year,month,rank_ME,rank_DLS_1,nstocks,ret_vw
1984,9,2,1,119,-4.1726
1984,9,2,2,125,-1.6990
1984,9,2,3,104,-0.1231
1984,9,2,4,93,0.8519
1984,9,2,5,105,-1.9322
1984,9,3,1,97,-4.3191
1984,9,3,2,132,-1.3752
1984,9,3,3,147,-0.2006
1984,9,3,4,154,0.2290
1984,9,3,5,114,1.3902
1984,10,1,1,163,-4.5627
1984,10,1,2,100,-4.2107
1984,10,1,3,85,-1.1570
1984,10,1,4,74,-3.9986
1984,10,1,5,149,-0.9967
1984,10,2,1,110,-2.0777
1984,10,2,2,133,-1.9063
1984,10,2,3,95,-0.2584
1984,10,2,4,90,0.3154
1984,10,2,5,117,-2.4102
1984,10,3,1,102,-1.0859
1984,10,3,2,130,-0.3564
1984,10,3,3,159,0.3162
1984,10,3,4,156,1.5170
1984,10,3,5,106,0.2611
1984,11,1,1,151,-5.5184
1984,11,1,2,105,-1.5208
1984,11,1,3,72,-3.0897
1984,11,1,4,80,-2.3917
1984,11,1,5,164,-3.8446
1984,11,2,1,116,-3.6817
1984,11,2,2,130,-2.1222
1984,11,2,3,101,-0.8618
1984,11,2,4,91,-0.3208
1984,11,2,5,125,-4.3401
1984,11,3,1,101,-1.1595
1984,11,3,2,131,-1.3919
1984,11,3,3,161,-0.9518
1984,11,3,4,149,-0.3935
1984,11,3,5,107,-1.1942
1984,12,1,1,161,-0.4974
1984,12,1,2,97,1.1947
1984,12,1,3,59,1.9040
1984,12,1,4,79,2.8185
1984,12,1,5,171,1.2134
1984,12,2,1,112,2.7102
1984,12,2,2,136,2.6031
1984,12,2,3,91,3.2007
1984,12,2,4,92,1.8062
1984,12,2,5,131,2.2824
1984,12,3,1,99,1.7342
1984,12,3,2,135,3.4371
1984,12,3,3,162,2.1519
1984,12,3,4,145,2.6423
1984,12,3,5,104,1.1429
1985,1,1,1,145,16.6570
1985,1,1,2,101,16.8588
1985,1,1,3,58,15.9881
1985,1,1,4,89,15.0446
1985,1,1,5,178,15.5214
1985,1,2,1,120,13.8662
1985,1,2,2,139,13.2649
1985,1,2,3,84,10.9956
1985,1,2,4,102,10.5908
1985,1,2,5,128,12.6451
1985,1,3,1,102,8.7413
1985,1,3,2,130,8.0949
1985,1,3,3,165,8.1925
1985,1,3,4,149,6.3830
1985,1,3,5,95,8.7263
1985,2,1,1,142,2.6061
1985,2,1,2,95,4.1093
1985,2,1,3,64,2.5614
1985,2,1,4,95,2.8465
1985,2,1,5,176,1.7611
1985,2,2,1,118,1.7065
1985,2,2,2,135,3.0918
1985,2,2,3,91,2.2949
1985,2,2,4,94,1.8635
1985,2,2,5,125,0.8645
1985,2,3,1,108,-0.6323
1985,2,3,2,131,0.6357
1985,2,3,3,165,1.7719
1985,2,3,4,148,2.3902
1985,2,3,5,98,1.5260
1985,3,1,1,148,-2.4873
1985,3,1,2,89,-2.4778
1985,3,1,3,51,-1.3241
1985,3,1,4,67,-0.7613
1985,3,1,5,216,-3.7579
1985,3,2,1,130,-3.6739
1985,3,2,2,130,-4.0305
1985,3,2,3,97,-3.5990
1985,3,2,4,91,-1.6183
1985,3,2,5,127,-2.8890
1985,3,3,1,106,-0.5113
1985,3,3,2,135,-1.7676
1985,3,3,3,164,0.4166
1985,3,3,4,145,0.9591
1985,3,3,5,93,0.1222
1985,4,1,1,178,-2.1155
1985,4,1,2,90,-0.4873
1985,4,1,3,53,-1.6524
1985,4,1,4,56,-3.2065
1985,4,1,5,186,-3.9744
1985,4,2,1,128,-2.0229
1985,4,2,2,130,-3.3209
1985,4,2,3,93,-1.3280
1985,4,2,4,92,-1.2205
1985,4,2,5,131,-1.4342
1985,4,3,1,98,0.1104
1985,4,3,2,124,-2.4879
1985,4,3,3,171,-0.4326
1985,4,3,4,153,0.0895
1985,4,3,5,99,-2.2453
1985,5,1,1,199,2.7698
1985,5,1,2,86,5.3316
1985,5,1,3,50,4.5027
1985,5,1,4,49,5.3682
1985,5,1,5,166,1.2887
1985,5,2,1,125,3.8615
1985,5,2,2,135,4.9595
1985,5,2,3,98,4.4429
1985,5,2,4,95,4.8158
1985,5,2,5,130,2.4162
1985,5,3,1,90,5.3194
1985,5,3,2,134,6.6620
1985,5,3,3,173,7.3598
1985,5,3,4,148,5.5841
1985,5,3,5,105,6.1404
1985,6,1,1,194,-0.6917
1985,6,1,2,89,0.0980
1985,6,1,3,44,1.7059
1985,6,1,4,55,0.5368
1985,6,1,5,168,-0.0337
1985,6,2,1,121,1.8367
1985,6,2,2,129,0.9011
1985,6,2,3,88,1.5446
1985,6,2,4,100,2.1255
1985,6,2,5,133,-0.4073
1985,6,3,1,89,2.0987
1985,6,3,2,140,1.3201
1985,6,3,3,167,2.7264
1985,6,3,4,150,0.8419
1985,6,3,5,101,2.4160
1985,7,1,1,190,4.6448
1985,7,1,2,88,4.4262
1985,7,1,3,38,2.5901
1985,7,1,4,61,2.8888
1985,7,1,5,168,3.1642
1985,7,2,1,123,3.6807
1985,7,2,2,105,2.9364
1985,7,2,3,94,0.6945
1985,7,2,4,114,1.4341
1985,7,2,5,128,3.7266
1985,7,3,1,93,-0.4157
1985,7,3,2,150,-0.3085
1985,7,3,3,171,-2.3666
1985,7,3,4,138,0.8895
1985,7,3,5,93,2.4898
1985,8,1,1,196,-1.1055
1985,8,1,2,70,-1.6045
1985,8,1,3,53,-1.7137
1985,8,1,4,60,-0.7042
1985,8,1,5,164,-1.6402
1985,8,2,1,133,-1.9046
1985,8,2,2,93,-0.4078
1985,8,2,3,102,-0.5671
1985,8,2,4,110,-0.6741
1985,8,2,5,133,-2.1680
1985,8,3,1,92,0.3709
