year,month,rank_ME,rank_RER,nstocks,ret_vw
1972,11,1,3,91,5.7913
1972,11,1,4,108,6.0013
1972,11,1,5,138,0.5804
1972,11,2,1,56,6.6585
1972,11,2,2,39,5.9213
1972,11,2,3,45,8.3758
1972,11,2,4,60,4.6746
1972,11,2,5,48,3.1809
1972,11,3,1,65,3.4993
1972,11,3,2,66,3.4033
1972,11,3,3,66,5.5611
1972,11,3,4,58,3.7348
1972,11,3,5,73,3.1092
1972,12,1,1,141,-2.8779
1972,12,1,2,105,-1.2328
1972,12,1,3,91,-2.4771
1972,12,1,4,108,-2.5182
1972,12,1,5,138,-1.0361
1972,12,2,1,56,-1.1131
1972,12,2,2,39,-2.5130
1972,12,2,3,45,-1.2309
1972,12,2,4,60,-1.7553
1972,12,2,5,48,-0.5826
1972,12,3,1,65,1.5956
1972,12,3,2,67,2.4346
1972,12,3,3,66,2.1755
1972,12,3,4,58,1.0327
1972,12,3,5,73,1.5783
1973,1,1,1,141,-4.7798
1973,1,1,2,105,-4.2699
1973,1,1,3,91,-5.2599
1973,1,1,4,108,-5.1836
1973,1,1,5,138,-4.8637
1973,1,2,1,56,-6.8420
1973,1,2,2,38,-7.5228
1973,1,2,3,45,-7.0577
1973,1,2,4,60,-7.5496
1973,1,2,5,48,-6.2125
1973,1,3,1,65,-0.3613
1973,1,3,2,67,-5.9677
1973,1,3,3,66,-2.0208
1973,1,3,4,58,-2.5149
1973,1,3,5,73,-3.6382
1973,2,1,1,141,-9.3041
1973,2,1,2,105,-8.9340
1973,2,1,3,91,-8.7869
1973,2,1,4,108,-7.8083
1973,2,1,5,138,-6.7472
1973,2,2,1,56,-8.4887
1973,2,2,2,38,-7.2654
1973,2,2,3,45,-10.0169
1973,2,2,4,60,-9.9609
1973,2,2,5,48,-10.6786
1973,2,3,1,65,-2.3634
1973,2,3,2,67,-4.0876
1973,2,3,3,66,-3.9328
1973,2,3,4,58,-1.4895
1973,2,3,5,73,-3.5824
1973,3,1,1,141,-3.0690
1973,3,1,2,105,-2.8788
1973,3,1,3,91,-1.8755
1973,3,1,4,108,-3.4076
1973,3,1,5,138,-3.2439
1973,3,2,1,56,-2.4057
1973,3,2,2,38,-4.1786
1973,3,2,3,45,-3.0570
1973,3,2,4,60,-4.8135
1973,3,2,5,48,-2.9502
1973,3,3,1,65,-1.6339
1973,3,3,2,67,0.7136
1973,3,3,3,66,-1.6244
1973,3,3,4,58,0.4418
1973,3,3,5,73,-3.5844
1973,4,1,1,141,-6.8269
1973,4,1,2,105,-4.5122
1973,4,1,3,91,-8.4560
