year,month,rank_ME,rank_r10n,nstocks,ret_vw
1970,2,1,4,12,0.1814
1970,2,1,5,18,1.4163
1970,2,2,1,38,3.5717
1970,2,2,2,38,2.9268
1970,2,2,3,44,3.3439
1970,2,2,4,24,5.6460
1970,2,2,5,18,7.7421
1970,2,3,1,56,8.5338
1970,2,3,2,73,4.0456
1970,2,3,3,77,6.3725
1970,2,3,4,99,4.4347
1970,2,3,5,100,8.2510
1970,3,1,1,44,-1.9084
1970,3,1,2,25,-0.9619
1970,3,1,3,21,1.2235
1970,3,1,4,17,-0.4979
1970,3,1,5,16,2.5944
1970,3,2,1,42,-2.4470
1970,3,2,2,34,-1.1337
1970,3,2,3,34,3.6708
1970,3,2,4,28,4.8985
1970,3,2,5,21,1.4798
1970,3,3,1,52,-1.5261
1970,3,3,2,80,0.6655
1970,3,3,3,84,0.7129
1970,3,3,4,91,-0.5195
1970,3,3,5,100,0.4387
1970,4,1,1,46,-16.1081
1970,4,1,2,20,-9.3470
1970,4,1,3,11,-13.4554
1970,4,1,4,24,-10.4377
1970,4,1,5,21,-16.7804
1970,4,2,1,37,-12.3975
1970,4,2,2,39,-8.8564
1970,4,2,3,32,-12.9237
1970,4,2,4,25,-12.2413
1970,4,2,5,26,-13.8168
1970,4,3,1,57,-10.1293
1970,4,3,2,77,-7.8389
1970,4,3,3,94,-8.5477
1970,4,3,4,90,-9.7777
1970,4,3,5,89,-9.6199
1970,5,1,1,44,-10.3566
1970,5,1,2,23,-11.9938
1970,5,1,3,15,-9.8806
1970,5,1,4,17,-9.8140
1970,5,1,5,19,-11.6692
1970,5,2,1,38,-10.0356
1970,5,2,2,38,-8.6681
1970,5,2,3,36,-6.6684
1970,5,2,4,25,-6.4457
1970,5,2,5,26,-11.1687
1970,5,3,1,58,-8.2364
1970,5,3,2,77,-7.1060
1970,5,3,3,88,-5.3172
1970,5,3,4,94,-3.2979
1970,5,3,5,93,-5.6160
1970,6,1,1,48,-9.9931
1970,6,1,2,17,-9.9513
1970,6,1,3,19,-7.4184
1970,6,1,4,15,-4.7250
1970,6,1,5,21,-11.8662
1970,6,2,1,31,-9.7578
1970,6,2,2,43,-9.2021
1970,6,2,3,30,-4.5962
