year,month,rank_ME,rank_RDMq_6,nstocks,ret_vw
1993,2,3,3,64,1.3199
1993,2,3,4,49,2.8571
1993,2,3,5,23,2.9395
1993,3,1,1,201,2.0563
1993,3,1,2,273,-0.0223
1993,3,1,3,285,1.5900
1993,3,1,4,335,-0.0616
1993,3,1,5,397,1.7028
1993,3,2,1,92,2.5539
1993,3,2,2,107,-0.6289
1993,3,2,3,110,-1.6938
1993,3,2,4,90,-1.5840
1993,3,2,5,69,1.1119
1993,3,3,1,67,2.6744
1993,3,3,2,68,2.0819
1993,3,3,3,61,0.2222
1993,3,3,4,52,1.7716
1993,3,3,5,24,-1.7571
1993,4,1,1,195,-2.7135
1993,4,1,2,261,-6.4332
1993,4,1,3,287,-4.9218
1993,4,1,4,327,-5.5235
1993,4,1,5,372,-3.6913
1993,4,2,1,91,-3.0549
1993,4,2,2,107,-5.7564
1993,4,2,3,105,-3.1548
1993,4,2,4,80,-5.8219
1993,4,2,5,59,-6.5321
1993,4,3,1,67,-5.2244
1993,4,3,2,70,1.3465
1993,4,3,3,60,1.8478
1993,4,3,4,49,0.0327
1993,4,3,5,21,-1.5943
1993,5,1,1,225,6.2999
1993,5,1,2,305,4.2307
1993,5,1,3,353,7.8451
1993,5,1,4,412,7.3609
1993,5,1,5,445,6.5220
1993,5,2,1,110,6.6093
1993,5,2,2,122,9.5139
1993,5,2,3,127,10.6691
1993,5,2,4,108,10.9078
1993,5,2,5,87,12.8006
1993,5,3,1,95,4.0357
1993,5,3,2,100,4.3477
1993,5,3,3,87,5.5893
1993,5,3,4,76,5.8632
1993,5,3,5,45,6.2183
1993,6,1,1,228,0.5316
1993,6,1,2,304,0.0229
1993,6,1,3,370,1.0014
1993,6,1,4,410,-0.6185
1993,6,1,5,440,-1.0363
1993,6,2,1,114,1.7450
1993,6,2,2,121,-0.6978
1993,6,2,3,128,0.6473
1993,6,2,4,104,-0.2338
1993,6,2,5,88,-1.9112
1993,6,3,1,95,-1.8072
1993,6,3,2,98,-0.9589
1993,6,3,3,89,1.0757
1993,6,3,4,78,-1.6662
1993,6,3,5,46,-0.2776
1993,7,1,1,215,-1.0518
1993,7,1,2,291,-1.7120
1993,7,1,3,348,0.4024
1993,7,1,4,406,-1.7392
1993,7,1,5,398,-0.1330
1993,7,2,1,109,-1.0496
1993,7,2,2,120,-0.0736
1993,7,2,3,121,1.3391
1993,7,2,4,102,-0.4168
1993,7,2,5,78,1.1413
1993,7,3,1,92,-4.0733
1993,7,3,2,101,-3.7813
1993,7,3,3,85,-2.2375
1993,7,3,4,76,-0.6358
1993,7,3,5,46,-4.0296
1993,8,1,1,244,5.0584
1993,8,1,2,300,3.9438
1993,8,1,3,357,5.3112
1993,8,1,4,470,4.6553
1993,8,1,5,531,7.1011
1993,8,2,1,109,4.4881
1993,8,2,2,130,4.5225
1993,8,2,3,131,7.0669
1993,8,2,4,117,5.5528
1993,8,2,5,98,5.8719
1993,8,3,1,91,3.2432
1993,8,3,2,104,4.0014
1993,8,3,3,89,5.6447
1993,8,3,4,83,4.9083
1993,8,3,5,56,3.2591
1993,9,1,1,241,0.6256
1993,9,1,2,288,2.6161
1993,9,1,3,359,2.2967
1993,9,1,4,467,3.9636
1993,9,1,5,552,3.4667
1993,9,2,1,108,2.3645
1993,9,2,2,122,4.8695
1993,9,2,3,130,3.8252
1993,9,2,4,118,1.1139
1993,9,2,5,102,2.3220
1993,9,3,1,93,0.7430
1993,9,3,2,106,-0.2648
1993,9,3,3,88,-0.4824
1993,9,3,4,82,-1.8685
1993,9,3,5,55,-2.9356
1993,10,1,1,232,6.5625
1993,10,1,2,267,5.1917
1993,10,1,3,345,5.2830
1993,10,1,4,470,5.8654
1993,10,1,5,531,8.5490
1993,10,2,1,106,4.8909
1993,10,2,2,117,2.9486
1993,10,2,3,128,2.0488
1993,10,2,4,120,2.3742
1993,10,2,5,97,4.2018
1993,10,3,1,91,2.3514
1993,10,3,2,106,1.3110
1993,10,3,3,87,3.6610
1993,10,3,4,77,1.3117
1993,10,3,5,54,7.0865
1993,11,1,1,257,-7.6541
1993,11,1,2,285,-2.2078
1993,11,1,3,344,-1.8169
1993,11,1,4,492,-3.1445
1993,11,1,5,555,-2.6435
1993,11,2,1,114,-2.9896
1993,11,2,2,122,-3.3646
1993,11,2,3,131,-3.2860
1993,11,2,4,136,-2.4703
1993,11,2,5,105,0.1253
1993,11,3,1,87,0.4538
1993,11,3,2,112,-0.6499
1993,11,3,3,92,-0.9044
1993,11,3,4,80,1.4564
1993,11,3,5,55,5.6197
1993,12,1,1,251,0.2461
1993,12,1,2,281,2.4830
1993,12,1,3,318,0.5026
1993,12,1,4,477,-0.1648
1993,12,1,5,559,-1.6328
1993,12,2,1,105,0.1749
1993,12,2,2,118,4.7231
1993,12,2,3,122,3.3653
1993,12,2,4,127,0.4639
1993,12,2,5,105,0.7549
1993,12,3,1,81,2.7270
1993,12,3,2,104,0.6084
1993,12,3,3,86,2.1672
1993,12,3,4,76,2.0921
1993,12,3,5,55,2.8731
1994,1,1,1,213,1.1678
1994,1,1,2,224,5.0894
1994,1,1,3,244,4.0064
1994,1,1,4,373,6.1702
1994,1,1,5,498,5.8184
1994,1,2,1,89,0.9648
1994,1,2,2,103,5.0460
1994,1,2,3,92,3.9120
1994,1,2,4,91,6.4155
1994,1,2,5,79,5.0855
1994,1,3,1,59,4.5009
1994,1,3,2,70,4.8501
1994,1,3,3,57,1.1762
1994,1,3,4,44,5.8466
1994,1,3,5,30,3.0771
1994,2,1,1,238,-3.7498
1994,2,1,2,242,-0.7956
1994,2,1,3,275,-0.2036
1994,2,1,4,390,-1.1303
1994,2,1,5,529,-1.9833
1994,2,2,1,97,-2.2557
1994,2,2,2,110,0.3636
1994,2,2,3,95,-0.4430
1994,2,2,4,92,0.5214
1994,2,2,5,86,1.6029
1994,2,3,1,60,-0.0974
1994,2,3,2,82,-3.6354
1994,2,3,3,62,-3.9254
1994,2,3,4,46,1.2873
1994,2,3,5,34,-0.9142
1994,3,1,1,237,-8.2855
1994,3,1,2,245,-7.0384
1994,3,1,3,268,-5.2896
1994,3,1,4,385,-6.1752
1994,3,1,5,506,-4.5225
1994,3,2,1,100,-9.5027
1994,3,2,2,113,-7.7532
1994,3,2,3,95,-7.8925
1994,3,2,4,95,-7.3523
1994,3,2,5,86,-6.3058
1994,3,3,1,61,-6.1467
1994,3,3,2,83,-2.7387
1994,3,3,3,64,-4.1372
1994,3,3,4,48,-5.3755
1994,3,3,5,35,-0.6598
1994,4,1,1,226,-6.6519
1994,4,1,2,229,-0.8432
1994,4,1,3,251,-1.9753
1994,4,1,4,368,-2.5672
1994,4,1,5,469,-3.2867
1994,4,2,1,95,-1.7704
1994,4,2,2,115,-1.5911
1994,4,2,3,88,-1.5074
1994,4,2,4,89,0.4381
1994,4,2,5,82,-2.0362
1994,4,3,1,61,-2.9504
1994,4,3,2,87,1.0616
1994,4,3,3,63,1.5735
1994,4,3,4,49,0.5840
1994,4,3,5,31,-1.9127
1994,5,1,1,273,-2.2077
1994,5,1,2,283,-1.8548
1994,5,1,3,333,-1.6234
1994,5,1,4,459,-1.4101
1994,5,1,5,580,-0.6439
1994,5,2,1,116,-3.1058
1994,5,2,2,135,-2.8132
1994,5,2,3,114,-3.9054
1994,5,2,4,109,-3.3789
1994,5,2,5,108,0.9633
1994,5,3,1,93,-2.8352
1994,5,3,2,115,2.8409
1994,5,3,3,93,5.6223
1994,5,3,4,68,3.1251
1994,5,3,5,60,4.4542
1994,6,1,1,275,-6.5868
1994,6,1,2,286,-4.5442
1994,6,1,3,348,-2.3682
1994,6,1,4,461,-5.4559
1994,6,1,5,584,-5.4601
1994,6,2,1,114,-6.6569
1994,6,2,2,136,-2.4501
1994,6,2,3,114,-5.5651
1994,6,2,4,110,-4.6852
1994,6,2,5,113,-4.8752
1994,6,3,1,95,-4.1433
1994,6,3,2,115,-2.8116
1994,6,3,3,99,-2.2795
1994,6,3,4,72,-2.9465
1994,6,3,5,61,-4.7424
