year,month,rank_ME,rank_RDSq_6,nstocks,ret_vw
1992,6,2,5,205,-5.9522
1992,6,3,1,56,-0.7596
1992,6,3,2,77,-4.3186
1992,6,3,3,76,-1.9872
1992,6,3,4,72,-5.1779
1992,6,3,5,94,-1.9465
1992,7,1,1,180,0.1544
1992,7,1,2,152,2.1164
1992,7,1,3,242,0.1114
1992,7,1,4,229,2.0376
1992,7,1,5,429,0.8864
1992,7,2,1,56,-4.3130
1992,7,2,2,40,1.1933
1992,7,2,3,72,4.2495
1992,7,2,4,83,1.2409
1992,7,2,5,199,4.0677
1992,7,3,1,52,3.0208
1992,7,3,2,73,4.8180
1992,7,3,3,73,3.4842
1992,7,3,4,74,4.9272
1992,7,3,5,88,3.7617
1992,8,1,1,179,-3.8010
1992,8,1,2,173,-4.9767
1992,8,1,3,260,-3.3633
1992,8,1,4,263,-3.9936
1992,8,1,5,475,-6.0069
1992,8,2,1,60,-4.4370
1992,8,2,2,42,-5.1735
1992,8,2,3,68,-4.9791
1992,8,2,4,87,-4.1772
1992,8,2,5,215,-5.7070
1992,8,3,1,52,-1.9098
1992,8,3,2,77,-2.0984
1992,8,3,3,72,-2.7983
1992,8,3,4,80,-3.3983
1992,8,3,5,93,-4.8441
1992,9,1,1,184,0.9921
1992,9,1,2,172,0.3728
1992,9,1,3,261,-0.0544
1992,9,1,4,260,1.4370
1992,9,1,5,477,0.1902
1992,9,2,1,59,3.4265
1992,9,2,2,44,3.5416
1992,9,2,3,67,-0.0959
1992,9,2,4,82,2.7925
1992,9,2,5,200,3.0433
1992,9,3,1,51,2.2363
1992,9,3,2,76,1.4633
1992,9,3,3,72,1.4546
1992,9,3,4,80,-1.6833
1992,9,3,5,88,-1.2651
1992,10,1,1,168,-0.6456
1992,10,1,2,158,2.2203
1992,10,1,3,234,4.7232
1992,10,1,4,234,2.6594
1992,10,1,5,447,4.2105
1992,10,2,1,59,3.5278
1992,10,2,2,39,3.1373
1992,10,2,3,64,-0.5602
1992,10,2,4,80,7.5507
1992,10,2,5,190,7.7214
1992,10,3,1,51,0.8020
1992,10,3,2,77,0.5356
1992,10,3,3,68,-0.0265
1992,10,3,4,75,0.4355
1992,10,3,5,81,2.2364
1992,11,1,1,180,10.3444
1992,11,1,2,164,6.2786
1992,11,1,3,254,11.7025
1992,11,1,4,268,10.9191
1992,11,1,5,504,14.9401
1992,11,2,1,61,5.2833
1992,11,2,2,38,3.7421
1992,11,2,3,73,7.4989
1992,11,2,4,88,13.8136
1992,11,2,5,196,12.8037
1992,11,3,1,50,4.2489
1992,11,3,2,78,3.9761
1992,11,3,3,70,4.9654
1992,11,3,4,76,4.0325
1992,11,3,5,90,3.8627
1992,12,1,1,183,-0.3480
1992,12,1,2,168,1.4569
1992,12,1,3,249,4.4403
1992,12,1,4,275,1.9646
1992,12,1,5,512,0.6767
1992,12,2,1,58,1.0392
1992,12,2,2,38,4.1355
1992,12,2,3,70,4.5363
1992,12,2,4,84,0.7399
1992,12,2,5,198,2.8379
1992,12,3,1,52,0.9905
1992,12,3,2,78,1.7371
1992,12,3,3,68,3.7537
1992,12,3,4,72,-2.8272
1992,12,3,5,91,-0.7727
1993,1,1,1,135,7.9641
1993,1,1,2,120,6.6782
1993,1,1,3,199,3.4898
1993,1,1,4,221,6.5686
1993,1,1,5,435,1.9500
1993,1,2,1,46,1.8380
1993,1,2,2,26,1.3332
1993,1,2,3,43,0.4805
1993,1,2,4,61,-0.5044
1993,1,2,5,174,-1.2658
1993,1,3,1,25,1.0542
1993,1,3,2,48,1.0924
1993,1,3,3,41,0.8818
1993,1,3,4,42,-2.7814
1993,1,3,5,60,-1.2945
1993,2,1,1,149,-1.6774
1993,2,1,2,141,-6.3574
1993,2,1,3,205,-5.2132
1993,2,1,4,261,-7.7059
1993,2,1,5,466,-9.5887
1993,2,2,1,49,-2.2885
1993,2,2,2,31,-0.4853
1993,2,2,3,46,-7.7836
1993,2,2,4,77,-8.9165
1993,2,2,5,184,-8.8100
1993,2,3,1,30,0.2077
1993,2,3,2,54,-1.9594
1993,2,3,3,49,1.2598
1993,2,3,4,47,-1.1247
1993,2,3,5,67,-3.7435
1993,3,1,1,153,-0.1516
