year,month,rank_ME,rank_RDM,nstocks,ret_vw
1980,6,2,4,51,1.1993
1980,6,2,5,45,1.6538
1980,6,3,1,83,3.8532
1980,6,3,2,68,2.2356
1980,6,3,3,73,2.8487
1980,6,3,4,64,2.0736
1980,6,3,5,49,0.6973
1980,7,1,1,125,10.2163
1980,7,1,2,126,10.8008
1980,7,1,3,138,14.8363
1980,7,1,4,134,16.2506
1980,7,1,5,202,15.1624
1980,7,2,1,68,11.6003
1980,7,2,2,49,11.5784
1980,7,2,3,47,15.6309
1980,7,2,4,60,18.1321
1980,7,2,5,39,14.4675
1980,7,3,1,92,2.0871
1980,7,3,2,72,5.4377
1980,7,3,3,73,11.5062
1980,7,3,4,56,10.6169
1980,7,3,5,53,13.4659
1980,8,1,1,125,7.9444
1980,8,1,2,126,9.7362
1980,8,1,3,137,12.5820
1980,8,1,4,133,9.3414
1980,8,1,5,201,13.6729
1980,8,2,1,67,7.4514
1980,8,2,2,49,5.7754
1980,8,2,3,47,7.5441
1980,8,2,4,60,8.0196
1980,8,2,5,39,8.1848
1980,8,3,1,92,3.3295
1980,8,3,2,72,2.7375
1980,8,3,3,73,0.0941
1980,8,3,4,56,1.3034
1980,8,3,5,53,2.2108
1980,9,1,1,125,5.6259
1980,9,1,2,126,1.4099
1980,9,1,3,135,4.3020
1980,9,1,4,131,2.8492
1980,9,1,5,201,3.9282
1980,9,2,1,64,4.5936
1980,9,2,2,49,5.4565
1980,9,2,3,47,5.8414
1980,9,2,4,60,1.7967
1980,9,2,5,39,2.3791
1980,9,3,1,92,5.3031
1980,9,3,2,71,4.3921
1980,9,3,3,73,1.4061
1980,9,3,4,56,3.1111
1980,9,3,5,53,1.1352
1980,10,1,1,122,7.7010
1980,10,1,2,123,6.3976
1980,10,1,3,135,7.6288
1980,10,1,4,132,4.0799
1980,10,1,5,198,5.0578
1980,10,2,1,63,4.0248
1980,10,2,2,48,3.1622
1980,10,2,3,47,6.7549
1980,10,2,4,59,1.2941
1980,10,2,5,38,1.4159
1980,10,3,1,92,5.2598
1980,10,3,2,69,3.3724
1980,10,3,3,73,1.0460
1980,10,3,4,56,-1.5037
1980,10,3,5,53,-1.8696
1980,11,1,1,122,6.2799
1980,11,1,2,123,6.8103
1980,11,1,3,135,4.7489
1980,11,1,4,132,8.3001
1980,11,1,5,198,11.6369
1980,11,2,1,63,10.8994
1980,11,2,2,48,11.0455
1980,11,2,3,47,9.7109
1980,11,2,4,59,7.5668
1980,11,2,5,38,2.7979
1980,11,3,1,92,17.7789
1980,11,3,2,68,16.8229
1980,11,3,3,73,7.3528
1980,11,3,4,56,9.3108
1980,11,3,5,53,6.7694
1980,12,1,1,122,-5.0751
1980,12,1,2,121,-5.8321
1980,12,1,3,134,-6.1514
1980,12,1,4,132,-4.9562
1980,12,1,5,197,-4.3919
1980,12,2,1,61,-6.3517
1980,12,2,2,48,-0.4885
1980,12,2,3,47,0.7638
1980,12,2,4,59,-4.3090
1980,12,2,5,38,-1.6596
1980,12,3,1,92,-8.5179
1980,12,3,2,68,-5.3182
1980,12,3,3,73,1.1372
1980,12,3,4,56,-0.9740
1980,12,3,5,53,0.4343
1981,1,1,1,123,-1.4831
1981,1,1,2,121,-0.7695
1981,1,1,3,133,1.2368
1981,1,1,4,132,-0.0135
1981,1,1,5,195,-3.1016
1981,1,2,1,62,-3.7231
1981,1,2,2,48,-1.6844
1981,1,2,3,47,-2.3159
1981,1,2,4,58,-5.2627
1981,1,2,5,38,-2.1575
1981,1,3,1,92,-7.0155
1981,1,3,2,68,-6.1961
1981,1,3,3,73,-4.4029
1981,1,3,4,56,-2.5679
1981,1,3,5,53,-4.0576
1981,2,1,1,122,-1.3889
1981,2,1,2,121,-0.1724
1981,2,1,3,132,-1.9529
1981,2,1,4,132,1.3894
1981,2,1,5,195,-1.8002
1981,2,2,1,61,0.5050
1981,2,2,2,47,-0.3404
1981,2,2,3,47,2.5682
1981,2,2,4,58,-1.1891
1981,2,2,5,38,-0.0303
1981,2,3,1,92,1.3463
1981,2,3,2,68,-0.9259
1981,2,3,3,73,3.8365
1981,2,3,4,56,5.4161
1981,2,3,5,52,3.8161
1981,3,1,1,121,9.5039
1981,3,1,2,121,9.9579
1981,3,1,3,130,8.2248
1981,3,1,4,131,10.3127
1981,3,1,5,193,11.2127
1981,3,2,1,61,9.4173
1981,3,2,2,47,6.9373
1981,3,2,3,47,9.7779
