year,month,rank_ME,rank_RCA,nstocks,ret_vw
1983,11,1,5,240,3.2607
1983,11,2,1,58,4.2962
1983,11,2,2,43,3.7101
1983,11,2,3,58,6.1398
1983,11,2,4,54,7.5339
1983,11,2,5,71,7.9266
1983,11,3,1,54,1.8170
1983,11,3,2,68,4.2408
1983,11,3,3,59,4.1985
1983,11,3,4,65,3.9981
1983,11,3,5,82,0.8419
1983,12,1,1,149,-2.4141
1983,12,1,2,142,-0.1681
1983,12,1,3,158,-0.5849
1983,12,1,4,171,-2.3432
1983,12,1,5,239,-4.2896
1983,12,2,1,57,-1.4781
1983,12,2,2,43,0.4946
1983,12,2,3,58,-1.4646
1983,12,2,4,54,-2.9904
1983,12,2,5,71,-3.3102
1983,12,3,1,54,-0.8422
1983,12,3,2,68,-0.9213
1983,12,3,3,59,-1.9345
1983,12,3,4,65,-0.4263
1983,12,3,5,82,0.3341
1984,1,1,1,150,-0.7836
1984,1,1,2,139,-0.8744
1984,1,1,3,158,-2.1219
1984,1,1,4,170,1.1715
1984,1,1,5,239,-1.6894
1984,1,2,1,57,-1.4422
1984,1,2,2,43,-2.2903
1984,1,2,3,58,-3.4371
1984,1,2,4,54,-4.2570
1984,1,2,5,71,-7.3646
1984,1,3,1,54,8.2287
1984,1,3,2,68,0.2885
1984,1,3,3,59,-4.3173
1984,1,3,4,65,-4.2993
1984,1,3,5,82,-4.9788
1984,2,1,1,150,-5.7542
1984,2,1,2,137,-7.2445
1984,2,1,3,157,-6.6073
1984,2,1,4,170,-8.5709
1984,2,1,5,236,-8.7107
1984,2,2,1,57,-3.6262
1984,2,2,2,43,-6.8453
1984,2,2,3,58,-6.5660
1984,2,2,4,54,-7.6400
1984,2,2,5,71,-8.7647
1984,2,3,1,54,1.5738
1984,2,3,2,68,-3.6743
1984,2,3,3,59,-7.8870
1984,2,3,4,65,-5.6334
1984,2,3,5,82,-4.2555
1984,3,1,1,150,0.1588
1984,3,1,2,136,-0.6511
1984,3,1,3,156,0.5447
1984,3,1,4,167,4.3372
1984,3,1,5,236,0.1435
1984,3,2,1,55,2.1543
1984,3,2,2,42,-0.9118
1984,3,2,3,56,0.4215
1984,3,2,4,54,1.3774
1984,3,2,5,70,0.1584
1984,3,3,1,54,-0.1496
1984,3,3,2,68,2.8933
1984,3,3,3,58,1.4484
1984,3,3,4,65,2.9569
1984,3,3,5,82,0.5835
1984,4,1,1,150,-2.5226
1984,4,1,2,137,-0.9700
1984,4,1,3,156,-1.8996
