year,month,rank_ME,rank_IM_1,nstocks,ret_vw
1969,9,1,1,133,-5.3561
1969,9,1,2,169,-2.4320
1969,9,1,3,247,-3.6653
1969,9,1,4,229,-3.0267
1969,9,1,5,190,-3.0613
1969,9,2,1,49,0.0912
1969,9,2,2,69,4.8295
1969,9,2,3,137,0.8598
1969,9,2,4,122,-0.7015
1969,9,2,5,92,1.1524
1969,9,3,1,59,-1.8178
1969,9,3,2,52,-0.9028
1969,9,3,3,202,-1.1012
1969,9,3,4,158,-1.6406
1969,9,3,5,141,0.9276
1969,10,1,1,148,12.7767
1969,10,1,2,242,10.5920
1969,10,1,3,182,7.6826
1969,10,1,4,205,12.1775
1969,10,1,5,187,15.2400
1969,10,2,1,68,2.8955
1969,10,2,2,106,9.5059
1969,10,2,3,122,4.8371
1969,10,2,4,86,10.4698
1969,10,2,5,96,10.4660
1969,10,3,1,101,10.7548
1969,10,3,2,100,9.7983
1969,10,3,3,174,5.3448
1969,10,3,4,90,8.4618
1969,10,3,5,149,6.3862
1969,11,1,1,184,-8.4677
1969,11,1,2,287,-6.5038
1969,11,1,3,136,-6.7824
1969,11,1,4,298,-8.7153
1969,11,1,5,57,-5.0203
1969,11,2,1,84,-6.0364
1969,11,2,2,137,-4.7724
1969,11,2,3,92,-6.8006
1969,11,2,4,142,-3.7340
1969,11,2,5,26,-0.5707
1969,11,3,1,105,-4.6654
1969,11,3,2,143,-2.7286
1969,11,3,3,154,-3.7309
1969,11,3,4,141,-0.7817
1969,11,3,5,76,-0.6402
1969,12,1,1,186,-11.0744
1969,12,1,2,273,-8.7922
1969,12,1,3,162,-7.6043
1969,12,1,4,270,-7.6982
1969,12,1,5,75,-7.5657
1969,12,2,1,83,-7.1901
1969,12,2,2,146,-5.5474
1969,12,2,3,80,-4.8513
1969,12,2,4,130,-3.0958
1969,12,2,5,40,-6.6248
1969,12,3,1,105,-0.6568
1969,12,3,2,208,-3.3133
1969,12,3,3,93,-2.4200
1969,12,3,4,118,0.2472
1969,12,3,5,97,1.3899
1970,1,1,1,180,-1.1160
1970,1,1,2,246,-4.2695
1970,1,1,3,337,-3.5292
1970,1,1,4,153,-4.2069
1970,1,1,5,57,-4.8903
1970,1,2,1,94,-2.9553
1970,1,2,2,133,-7.0928
1970,1,2,3,144,-11.2776
1970,1,2,4,68,-5.6052
1970,1,2,5,39,-6.7774
1970,1,3,1,127,-11.1991
1970,1,3,2,188,-5.5579
1970,1,3,3,120,-9.6864
1970,1,3,4,117,-5.8906
1970,1,3,5,67,-8.2079
1970,2,1,1,191,1.1269
1970,2,1,2,309,1.1144
1970,2,1,3,294,1.5880
1970,2,1,4,153,4.0594
1970,2,1,5,41,4.6968
1970,2,2,1,94,3.6460
1970,2,2,2,144,2.1633
1970,2,2,3,123,2.8566
1970,2,2,4,83,3.6640
1970,2,2,5,24,3.2296
1970,2,3,1,145,5.8285
1970,2,3,2,199,6.7127
1970,2,3,3,112,6.4385
1970,2,3,4,103,3.8660
1970,2,3,5,60,4.2720
1970,3,1,1,144,-2.2837
1970,3,1,2,246,-5.8261
1970,3,1,3,378,-5.7588
1970,3,1,4,175,-4.9865
1970,3,1,5,49,-2.8869
1970,3,2,1,83,-1.4629
1970,3,2,2,91,-4.5054
1970,3,2,3,183,-2.1527
1970,3,2,4,91,-2.0511
1970,3,2,5,29,-2.2006
1970,3,3,1,128,-6.9130
1970,3,3,2,105,-1.7263
1970,3,3,3,232,-0.7855
1970,3,3,4,88,0.2329
1970,3,3,5,69,-3.7493
1970,4,1,1,139,-22.8430
1970,4,1,2,280,-20.1113
1970,4,1,3,334,-18.8173
1970,4,1,4,98,-17.4492
1970,4,1,5,156,-15.6764
1970,4,2,1,54,-19.0596
1970,4,2,2,99,-16.5053
1970,4,2,3,171,-19.5758
1970,4,2,4,54,-15.3573
1970,4,2,5,96,-14.7105
1970,4,3,1,83,-16.7644
1970,4,3,2,114,-12.4692
1970,4,3,3,154,-12.0643
1970,4,3,4,103,-9.6590
1970,4,3,5,166,-13.0802
1970,5,1,1,149,-13.8246
1970,5,1,2,243,-10.1466
1970,5,1,3,290,-8.4716
1970,5,1,4,245,-9.7231
1970,5,1,5,96,-5.9040
1970,5,2,1,37,-12.9182
1970,5,2,2,90,-12.4101
1970,5,2,3,148,-12.6127
1970,5,2,4,118,-8.4095
1970,5,2,5,71,-5.3948
1970,5,3,1,41,-13.1050
1970,5,3,2,84,-12.1610
1970,5,3,3,142,-8.2421
1970,5,3,4,186,-6.2290
1970,5,3,5,159,-3.4619
1970,6,1,1,128,-11.2043
1970,6,1,2,260,-9.9649
1970,6,1,3,274,-11.0580
1970,6,1,4,294,-7.7504
1970,6,1,5,72,-8.4308
1970,6,2,1,38,-11.1403
1970,6,2,2,80,-6.0084
1970,6,2,3,137,-10.4535
1970,6,2,4,143,-6.5308
1970,6,2,5,71,-4.1536
1970,6,3,1,40,-6.9108
1970,6,3,2,62,-5.5605
1970,6,3,3,127,-7.6208
1970,6,3,4,217,-2.2573
1970,6,3,5,163,-2.7447
1970,7,1,1,164,-1.0279
1970,7,1,2,157,2.5474
1970,7,1,3,407,5.8430
1970,7,1,4,202,6.4525
1970,7,1,5,97,7.1102
1970,7,2,1,43,6.3459
1970,7,2,2,69,3.7110
1970,7,2,3,163,8.4599
1970,7,2,4,115,12.7475
1970,7,2,5,70,4.7648
1970,7,3,1,47,4.9556
1970,7,3,2,51,7.7684
1970,7,3,3,177,7.0093
1970,7,3,4,179,6.7536
1970,7,3,5,161,6.2877
1970,8,1,1,114,8.5222
1970,8,1,2,236,6.2594
1970,8,1,3,240,6.1338
1970,8,1,4,295,5.6507
1970,8,1,5,148,6.1551
1970,8,2,1,39,1.9718
1970,8,2,2,79,9.9245
1970,8,2,3,93,7.2891
1970,8,2,4,138,4.5935
1970,8,2,5,110,5.1855
1970,8,3,1,28,5.3525
1970,8,3,2,65,5.9504
1970,8,3,3,147,4.7204
1970,8,3,4,145,2.0484
1970,8,3,5,229,3.7408
1970,9,1,1,114,8.0223
1970,9,1,2,211,19.4957
1970,9,1,3,263,13.5724
1970,9,1,4,285,13.8192
1970,9,1,5,156,10.4631
1970,9,2,1,37,22.2652
1970,9,2,2,75,16.5036
1970,9,2,3,97,9.6930
1970,9,2,4,133,8.2681
1970,9,2,5,122,7.5771
1970,9,3,1,29,21.1957
1970,9,3,2,68,9.2516
1970,9,3,3,146,6.2527
1970,9,3,4,140,6.5965
1970,9,3,5,231,1.2750
1970,10,1,1,169,-14.8710
1970,10,1,2,191,-8.8170
1970,10,1,3,242,-6.3302
1970,10,1,4,186,-5.4490
1970,10,1,5,238,-3.6182
1970,10,2,1,69,-11.1405
1970,10,2,2,72,-7.7078
1970,10,2,3,88,-5.4561
1970,10,2,4,112,-2.2197
1970,10,2,5,127,-2.4615
1970,10,3,1,40,-9.5116
1970,10,3,2,91,-6.2728
1970,10,3,3,126,-2.0926
1970,10,3,4,203,-1.8728
1970,10,3,5,164,0.4876
1970,11,1,1,201,-4.0266
1970,11,1,2,150,-2.6205
1970,11,1,3,190,-3.1670
1970,11,1,4,274,-1.9059
1970,11,1,5,213,-0.9718
1970,11,2,1,76,1.6486
1970,11,2,2,71,2.2994
1970,11,2,3,84,-0.4031
1970,11,2,4,140,3.1249
1970,11,2,5,101,-0.2712
1970,11,3,1,56,4.5642
1970,11,3,2,109,6.1688
1970,11,3,3,93,3.6072
1970,11,3,4,230,7.2049
1970,11,3,5,137,5.8385
1970,12,1,1,114,9.1193
1970,12,1,2,234,6.8434
1970,12,1,3,288,10.3568
1970,12,1,4,183,10.3538
1970,12,1,5,213,6.1354
1970,12,2,1,48,10.2828
1970,12,2,2,92,5.4776
1970,12,2,3,136,11.4774
1970,12,2,4,93,7.1511
1970,12,2,5,105,7.8789
1970,12,3,1,51,2.7671
1970,12,3,2,102,7.1723
1970,12,3,3,167,6.1696
1970,12,3,4,167,7.6167
1970,12,3,5,138,2.0493
1971,1,1,1,105,16.6744
1971,1,1,2,116,12.5339
1971,1,1,3,228,15.7238
1971,1,1,4,327,17.8118
1971,1,1,5,260,15.5535
1971,1,2,1,50,7.7437
1971,1,2,2,58,8.0613
1971,1,2,3,106,11.3149
1971,1,2,4,146,10.3996
1971,1,2,5,108,12.2040
1971,1,3,1,58,9.1738
1971,1,3,2,107,7.6436
1971,1,3,3,118,4.8825
1971,1,3,4,230,6.6890
1971,1,3,5,109,9.7364
1971,2,1,1,119,6.8889
1971,2,1,2,220,6.3231
1971,2,1,3,168,4.4093
1971,2,1,4,345,11.1140
1971,2,1,5,189,5.4258
1971,2,2,1,65,7.1371
1971,2,2,2,138,3.2740
1971,2,2,3,73,3.3972
1971,2,2,4,121,6.8108
1971,2,2,5,70,-0.3072
