year,month,rank_ME,rank_CIM_6,nstocks,ret_vw
1971,3,3,4,407,4.1050
1971,3,3,5,383,5.5106
1971,4,1,1,533,1.3824
1971,4,1,2,574,2.1904
1971,4,1,3,626,1.9540
1971,4,1,4,674,2.2356
1971,4,1,5,570,0.9330
1971,4,2,1,269,2.1284
1971,4,2,2,291,3.2774
1971,4,2,3,254,3.9487
1971,4,2,4,290,3.5253
1971,4,2,5,256,2.4867
1971,4,3,1,373,2.8018
1971,4,3,2,429,2.5086
1971,4,3,3,319,4.9947
1971,4,3,4,398,4.8977
1971,4,3,5,354,3.2659
1971,5,1,1,430,-5.6802
1971,5,1,2,550,-6.2080
1971,5,1,3,664,-6.1935
1971,5,1,4,671,-6.8520
1971,5,1,5,509,-5.9194
1971,5,2,1,243,-4.4210
1971,5,2,2,292,-3.9361
1971,5,2,3,286,-3.8474
1971,5,2,4,298,-3.8041
1971,5,2,5,234,-4.7687
1971,5,3,1,345,-2.6031
1971,5,3,2,439,-3.1231
1971,5,3,3,367,-3.3186
1971,5,3,4,401,-2.9952
1971,5,3,5,323,-2.8769
1971,6,1,1,427,-3.9545
1971,6,1,2,555,-3.3291
1971,6,1,3,686,-2.8513
1971,6,1,4,669,-2.9853
1971,6,1,5,484,-3.2257
1971,6,2,1,238,-0.2187
1971,6,2,2,291,-1.0034
1971,6,2,3,304,-0.5485
1971,6,2,4,288,0.3474
1971,6,2,5,195,-2.4123
1971,6,3,1,361,1.4778
1971,6,3,2,442,1.7564
1971,6,3,3,380,0.6143
1971,6,3,4,397,1.0058
1971,6,3,5,227,0.2079
1971,7,1,1,419,-4.9865
1971,7,1,2,508,-4.8809
1971,7,1,3,679,-7.0747
1971,7,1,4,686,-6.5648
1971,7,1,5,468,-7.2891
1971,7,2,1,238,-4.2159
1971,7,2,2,269,-3.9976
1971,7,2,3,300,-6.1887
1971,7,2,4,332,-5.8970
1971,7,2,5,191,-4.5499
1971,7,3,1,361,-2.7212
1971,7,3,2,430,-3.6428
1971,7,3,3,364,-3.5801
1971,7,3,4,484,-4.5288
1971,7,3,5,233,-5.0143
1971,8,1,1,511,2.7122
1971,8,1,2,570,4.1548
1971,8,1,3,679,4.1893
1971,8,1,4,717,4.8298
1971,8,1,5,509,4.7270
1971,8,2,1,257,3.4891
1971,8,2,2,286,4.7042
1971,8,2,3,291,4.7295
1971,8,2,4,346,5.6202
1971,8,2,5,251,4.4198
1971,8,3,1,376,2.7645
1971,8,3,2,436,3.0996
1971,8,3,3,347,4.1614
1971,8,3,4,463,5.3051
1971,8,3,5,372,4.7301
1971,9,1,1,476,0.6505
1971,9,1,2,644,-1.0681
1971,9,1,3,642,-0.9231
1971,9,1,4,696,-0.9667
1971,9,1,5,508,-0.6206
