year,month,rank_ME,rank_CM_12,nstocks,ret_vw
1981,10,1,3,261,8.9860
1981,10,1,4,283,10.2519
1981,10,1,5,301,9.6935
1981,10,2,1,112,9.0803
1981,10,2,2,100,8.8234
1981,10,2,3,90,9.6721
1981,10,2,4,106,8.0652
1981,10,2,5,120,10.2238
1981,10,3,1,69,6.5938
1981,10,3,2,62,6.3206
1981,10,3,3,61,5.5979
1981,10,3,4,60,10.0307
1981,10,3,5,70,8.2343
1981,11,1,1,290,0.8344
1981,11,1,2,283,1.1788
1981,11,1,3,271,2.1012
1981,11,1,4,283,1.3612
1981,11,1,5,308,1.7344
1981,11,2,1,109,2.7531
1981,11,2,2,105,3.2973
1981,11,2,3,92,1.9673
1981,11,2,4,105,3.7589
1981,11,2,5,116,2.9944
1981,11,3,1,67,1.0721
1981,11,3,2,61,2.5464
1981,11,3,3,62,0.8805
1981,11,3,4,63,3.3929
1981,11,3,5,68,1.6232
1981,12,1,1,302,-1.9600
1981,12,1,2,293,-1.0617
1981,12,1,3,274,-2.3319
1981,12,1,4,281,-0.7691
1981,12,1,5,296,-1.5136
1981,12,2,1,109,-4.3589
1981,12,2,2,110,-3.4093
1981,12,2,3,93,-3.5055
1981,12,2,4,98,-4.6965
1981,12,2,5,111,-3.3877
1981,12,3,1,70,-3.0199
1981,12,3,2,67,-0.5848
1981,12,3,3,61,-1.7629
1981,12,3,4,62,-0.9695
1981,12,3,5,66,-2.4120
1982,1,1,1,312,-0.6743
1982,1,1,2,292,0.7952
1982,1,1,3,276,-0.6902
1982,1,1,4,275,-0.5840
1982,1,1,5,303,-0.9384
1982,1,2,1,112,-4.6736
1982,1,2,2,110,-4.3220
1982,1,2,3,97,-3.8657
1982,1,2,4,100,-4.5269
1982,1,2,5,112,-4.6616
1982,1,3,1,68,-6.5776
1982,1,3,2,66,-5.1010
1982,1,3,3,61,-4.6578
1982,1,3,4,63,-3.7497
1982,1,3,5,65,-5.2479
1982,2,1,1,309,-5.1694
1982,2,1,2,292,-5.2517
1982,2,1,3,272,-5.2487
1982,2,1,4,263,-4.7873
1982,2,1,5,300,-5.3844
1982,2,2,1,112,-7.9080
1982,2,2,2,115,-6.0611
1982,2,2,3,96,-6.6006
1982,2,2,4,93,-6.2990
1982,2,2,5,111,-7.9037
1982,2,3,1,66,-8.4356
1982,2,3,2,67,-5.9217
1982,2,3,3,59,-6.0470
1982,2,3,4,55,-5.7194
1982,2,3,5,64,-6.3871
1982,3,1,1,308,-2.0147
1982,3,1,2,281,-2.0953
1982,3,1,3,261,-2.6527
1982,3,1,4,263,-1.2991
1982,3,1,5,298,-1.1443
1982,3,2,1,114,-4.7075
1982,3,2,2,104,-2.8733
1982,3,2,3,91,-3.1340
1982,3,2,4,92,-2.5554
1982,3,2,5,109,-2.7520
1982,3,3,1,65,-1.8214
1982,3,3,2,64,-0.2767
1982,3,3,3,58,-1.7567
1982,3,3,4,55,-1.4470
1982,3,3,5,63,-3.2187
1982,4,1,1,303,5.7014
1982,4,1,2,282,5.5531
1982,4,1,3,270,4.9267
1982,4,1,4,264,5.6575
1982,4,1,5,291,4.9255
1982,4,2,1,112,6.0663
1982,4,2,2,103,6.4522
1982,4,2,3,96,6.1962
1982,4,2,4,100,6.5834
1982,4,2,5,110,6.5770
1982,4,3,1,60,6.2492
1982,4,3,2,62,6.2160
1982,4,3,3,63,4.7583
1982,4,3,4,58,7.3008
1982,4,3,5,63,6.9958
1982,5,1,1,301,-2.1462
1982,5,1,2,276,-1.3922
1982,5,1,3,268,-1.9879
1982,5,1,4,263,-1.1131
1982,5,1,5,292,-1.9407
1982,5,2,1,111,-3.4710
1982,5,2,2,98,-2.7027
1982,5,2,3,91,-2.8240
1982,5,2,4,100,-2.2856
1982,5,2,5,107,-3.3013
1982,5,3,1,61,-2.8411
1982,5,3,2,61,-2.2391
1982,5,3,3,59,-2.5848
1982,5,3,4,57,-2.5180
1982,5,3,5,62,-3.5129
1982,6,1,1,283,-3.9167
1982,6,1,2,264,-1.4657
1982,6,1,3,260,-1.1952
1982,6,1,4,263,-2.3471
1982,6,1,5,280,-3.9098
1982,6,2,1,103,-3.9912
1982,6,2,2,92,-3.9306
1982,6,2,3,90,-4.0500
1982,6,2,4,98,-3.5699
1982,6,2,5,99,-3.2966
1982,6,3,1,59,-4.9320
1982,6,3,2,58,-2.6914
1982,6,3,3,56,-3.1293
1982,6,3,4,56,-3.3514
1982,6,3,5,58,-5.2354
1982,7,1,1,324,-2.5179
1982,7,1,2,284,-0.8525
1982,7,1,3,253,-1.7685
1982,7,1,4,256,-2.0133
1982,7,1,5,288,-1.2165
1982,7,2,1,103,-3.2749
1982,7,2,2,94,-2.9465
1982,7,2,3,86,-1.3902
1982,7,2,4,96,-0.8328
1982,7,2,5,97,-3.5485
1982,7,3,1,65,-3.4156
1982,7,3,2,59,-2.0613
1982,7,3,3,59,-2.7468
1982,7,3,4,56,-3.7962
1982,7,3,5,58,-3.7935
1982,8,1,1,342,6.0724
1982,8,1,2,287,5.1128
1982,8,1,3,268,7.0003
1982,8,1,4,274,5.5543
1982,8,1,5,324,5.8324
1982,8,2,1,111,9.4081
1982,8,2,2,90,10.7322
1982,8,2,3,88,11.2965
1982,8,2,4,102,9.4150
1982,8,2,5,96,10.6521
1982,8,3,1,64,11.0875
1982,8,3,2,60,14.4888
1982,8,3,3,60,14.4745
1982,8,3,4,60,13.9863
1982,8,3,5,62,14.0425
1982,9,1,1,358,4.2130
1982,9,1,2,311,4.5790
1982,9,1,3,277,4.9819
1982,9,1,4,284,6.0561
1982,9,1,5,335,4.9699
1982,9,2,1,112,-0.1110
1982,9,2,2,98,2.6767
1982,9,2,3,92,2.4208
1982,9,2,4,89,3.3373
1982,9,2,5,96,1.9650
1982,9,3,1,62,2.1269
1982,9,3,2,59,0.6049
1982,9,3,3,60,0.8459
1982,9,3,4,58,2.8537
1982,9,3,5,61,3.4627
1982,10,1,1,355,12.8564
1982,10,1,2,303,14.0192
1982,10,1,3,288,13.5110
1982,10,1,4,303,13.7359
1982,10,1,5,342,14.4876
1982,10,2,1,105,13.4494
1982,10,2,2,95,11.6091
1982,10,2,3,93,14.1363
1982,10,2,4,95,14.3830
1982,10,2,5,97,14.8977
1982,10,3,1,60,12.1970
1982,10,3,2,58,12.2271
1982,10,3,3,59,11.8483
1982,10,3,4,58,10.0683
1982,10,3,5,56,12.3548
1982,11,1,1,358,7.3943
1982,11,1,2,314,8.6230
1982,11,1,3,296,8.9715
1982,11,1,4,298,9.0109
1982,11,1,5,337,8.9936
1982,11,2,1,106,3.6252
1982,11,2,2,91,6.3874
1982,11,2,3,91,7.2612
1982,11,2,4,91,5.5238
1982,11,2,5,96,8.9857
1982,11,3,1,59,1.7453
1982,11,3,2,57,5.0193
1982,11,3,3,56,5.4858
1982,11,3,4,54,6.2356
1982,11,3,5,55,5.4849
1982,12,1,1,358,1.8258
1982,12,1,2,314,1.9765
1982,12,1,3,300,3.2086
1982,12,1,4,302,2.9530
1982,12,1,5,328,3.6024
1982,12,2,1,107,2.5584
1982,12,2,2,97,2.9965
1982,12,2,3,91,2.9450
1982,12,2,4,91,4.9941
1982,12,2,5,91,1.0989
1982,12,3,1,61,2.7594
1982,12,3,2,56,1.9239
1982,12,3,3,54,2.1437
1982,12,3,4,56,0.8729
1982,12,3,5,49,1.3219
1983,1,1,1,379,13.3242
1983,1,1,2,323,10.3142
1983,1,1,3,296,12.1667
1983,1,1,4,320,11.6337
1983,1,1,5,336,12.3772
1983,1,2,1,113,8.9818
1983,1,2,2,93,7.2399
1983,1,2,3,91,6.2005
1983,1,2,4,96,5.9102
1983,1,2,5,92,7.9540
1983,1,3,1,61,5.3595
1983,1,3,2,56,4.6491
1983,1,3,3,54,4.0458
1983,1,3,4,58,4.2431
1983,1,3,5,51,6.5338
1983,2,1,1,374,2.7429
1983,2,1,2,315,5.9461
1983,2,1,3,309,5.5886
1983,2,1,4,314,4.9587
1983,2,1,5,338,6.2276
1983,2,2,1,110,1.0318
1983,2,2,2,90,2.8279
1983,2,2,3,91,5.0414
1983,2,2,4,94,5.5326
1983,2,2,5,102,3.2906
1983,2,3,1,61,1.5640
1983,2,3,2,57,4.0720
1983,2,3,3,55,5.1328
1983,2,3,4,58,4.4372
1983,2,3,5,56,4.9815
1983,3,1,1,378,2.2783
1983,3,1,2,310,3.5286
1983,3,1,3,318,4.5219
1983,3,1,4,312,4.4467
1983,3,1,5,340,3.1939
1983,3,2,1,116,3.4113
1983,3,2,2,89,3.1183
1983,3,2,3,93,4.5797
1983,3,2,4,95,4.4300
1983,3,2,5,102,4.9937
1983,3,3,1,59,1.8507
1983,3,3,2,57,1.0626
1983,3,3,3,58,0.5616
1983,3,3,4,54,0.2197
1983,3,3,5,53,2.2759
1983,4,1,1,379,6.8252
1983,4,1,2,308,6.5838
1983,4,1,3,320,8.1876
1983,4,1,4,314,6.1000
1983,4,1,5,337,8.9577
1983,4,2,1,114,7.0785
1983,4,2,2,87,7.3138
1983,4,2,3,91,6.2085
1983,4,2,4,95,6.9112
