year,month,rank_ME,rank_SIM_1,nstocks,ret_vw
1970,11,3,5,177,5.7983
1970,12,1,1,93,9.0309
1970,12,1,2,142,9.7919
1970,12,1,3,223,10.0448
1970,12,1,4,224,8.3567
1970,12,1,5,190,9.4555
1970,12,2,1,38,9.5707
1970,12,2,2,59,10.5653
1970,12,2,3,99,10.8193
1970,12,2,4,78,9.6590
1970,12,2,5,121,7.3215
1970,12,3,1,58,7.0443
1970,12,3,2,62,9.3338
1970,12,3,3,104,5.3610
1970,12,3,4,119,7.5933
1970,12,3,5,219,4.6045
1971,1,1,1,192,17.7954
1971,1,1,2,227,16.4821
1971,1,1,3,159,16.5672
1971,1,1,4,144,14.2706
1971,1,1,5,150,16.0171
1971,1,2,1,117,10.5071
1971,1,2,2,83,10.8052
1971,1,2,3,78,9.0735
1971,1,2,4,47,8.6335
1971,1,2,5,61,9.7391
1971,1,3,1,227,2.4458
1971,1,3,2,105,7.3383
1971,1,3,3,101,6.2453
1971,1,3,4,64,5.6221
1971,1,3,5,63,6.3474
1971,2,1,1,129,3.8347
1971,2,1,2,86,4.5266
1971,2,1,3,130,7.0713
1971,2,1,4,345,7.7760
1971,2,1,5,179,6.0098
1971,2,2,1,84,1.3332
1971,2,2,2,37,4.1974
1971,2,2,3,63,3.6837
1971,2,2,4,117,5.4325
1971,2,2,5,86,2.4747
1971,2,3,1,137,-1.5776
1971,2,3,2,91,1.8115
1971,2,3,3,88,1.2984
1971,2,3,4,134,3.2165
1971,2,3,5,107,1.6229
1971,3,1,1,105,3.2738
1971,3,1,2,136,5.3105
1971,3,1,3,112,5.7474
1971,3,1,4,325,7.8578
1971,3,1,5,177,4.0741
1971,3,2,1,75,2.4087
1971,3,2,2,60,7.0765
1971,3,2,3,50,5.7743
1971,3,2,4,108,7.4167
1971,3,2,5,102,6.5918
1971,3,3,1,142,2.8091
1971,3,3,2,107,4.5528
1971,3,3,3,82,2.2758
1971,3,3,4,134,6.0267
1971,3,3,5,94,5.6003
1971,4,1,1,139,0.3025
1971,4,1,2,119,3.6302
1971,4,1,3,169,3.3192
1971,4,1,4,243,1.6798
1971,4,1,5,182,0.7729
1971,4,2,1,56,0.1839
1971,4,2,2,60,4.4665
1971,4,2,3,110,3.6969
1971,4,2,4,93,2.8838
1971,4,2,5,73,2.6302
1971,4,3,1,68,2.0829
1971,4,3,2,71,6.0992
1971,4,3,3,176,2.4236
1971,4,3,4,157,4.2795
1971,4,3,5,85,2.2080
1971,5,1,1,236,-5.9233
1971,5,1,2,159,-5.9393
1971,5,1,3,140,-7.2464
1971,5,1,4,177,-5.3211
1971,5,1,5,138,-5.9689
1971,5,2,1,115,-4.0043
1971,5,2,2,72,-4.7982
1971,5,2,3,50,-4.4837
1971,5,2,4,81,-4.2137
1971,5,2,5,75,-4.5336
1971,5,3,1,199,-4.0127
1971,5,3,2,115,-1.4977
1971,5,3,3,71,-2.5586
1971,5,3,4,67,-2.6501
1971,5,3,5,102,-3.3274
1971,6,1,1,128,-1.4819
1971,6,1,2,148,-3.3895
1971,6,1,3,293,-3.0253
1971,6,1,4,168,-4.3281
1971,6,1,5,104,-1.7280
1971,6,2,1,57,-1.9150
1971,6,2,2,45,1.0187
1971,6,2,3,136,-0.6517
1971,6,2,4,111,-1.4141
1971,6,2,5,42,-1.3599
1971,6,3,1,93,-0.0819
1971,6,3,2,52,1.7224
1971,6,3,3,129,-0.4725
1971,6,3,4,174,2.4904
1971,6,3,5,109,1.4354
1971,7,1,1,119,-8.4394
1971,7,1,2,210,-4.9742
1971,7,1,3,157,-6.7094
1971,7,1,4,158,-8.2283
1971,7,1,5,194,-5.1945
1971,7,2,1,37,-7.4404
1971,7,2,2,85,-5.9210
1971,7,2,3,60,-2.8767
1971,7,2,4,90,-6.4984
1971,7,2,5,111,-2.4338
1971,7,3,1,43,-5.7466
1971,7,3,2,106,-3.9809
1971,7,3,3,71,-4.3786
1971,7,3,4,133,-4.2907
1971,7,3,5,198,-2.6549
1971,8,1,1,108,1.8172
1971,8,1,2,149,3.7901
1971,8,1,3,302,5.5926
1971,8,1,4,205,3.6712
1971,8,1,5,128,3.5518
1971,8,2,1,34,0.3508
1971,8,2,2,58,2.8815
1971,8,2,3,139,7.9350
1971,8,2,4,76,4.3079
1971,8,2,5,101,2.2898
1971,8,3,1,50,3.3341
1971,8,3,2,79,1.9580
1971,8,3,3,166,7.8924
1971,8,3,4,95,4.6329
1971,8,3,5,175,-0.0377
1971,9,1,1,148,-2.6031
1971,9,1,2,285,-0.9357
1971,9,1,3,163,-0.8108
1971,9,1,4,178,2.2308
1971,9,1,5,122,-1.3970
