year,month,rank_ME,rank_COP,nstocks,ret_vw
1969,3,3,4,88,2.9762
1969,3,3,5,93,3.2135
1969,4,1,1,180,-0.7601
1969,4,1,2,93,-0.2863
1969,4,1,3,95,-0.5828
1969,4,1,4,83,-1.3389
1969,4,1,5,116,-0.0882
1969,4,2,1,69,0.4263
1969,4,2,2,50,0.4068
1969,4,2,3,51,1.3456
1969,4,2,4,48,1.8616
1969,4,2,5,44,2.4408
1969,4,3,1,67,2.9224
1969,4,3,2,82,2.0013
1969,4,3,3,76,1.4289
1969,4,3,4,87,3.0703
1969,4,3,5,93,2.6026
1969,5,1,1,180,1.1487
1969,5,1,2,93,1.5487
1969,5,1,3,96,2.1802
1969,5,1,4,83,0.4746
1969,5,1,5,116,0.1759
1969,5,2,1,70,-2.0017
1969,5,2,2,50,0.3806
1969,5,2,3,51,1.0238
1969,5,2,4,48,0.2275
1969,5,2,5,44,1.0660
1969,5,3,1,67,-3.2781
1969,5,3,2,81,0.1434
1969,5,3,3,76,1.5252
1969,5,3,4,87,1.0965
1969,5,3,5,93,0.1318
1969,6,1,1,180,-14.7384
1969,6,1,2,94,-14.0486
1969,6,1,3,96,-13.4475
1969,6,1,4,83,-14.4551
1969,6,1,5,116,-12.0911
1969,6,2,1,70,-12.3124
1969,6,2,2,50,-11.8872
1969,6,2,3,52,-11.6826
1969,6,2,4,48,-9.8324
1969,6,2,5,44,-8.8115
1969,6,3,1,68,-9.3857
1969,6,3,2,81,-7.1193
1969,6,3,3,76,-8.6200
1969,6,3,4,87,-6.6041
1969,6,3,5,93,-1.7844
1969,7,1,1,205,-13.5073
1969,7,1,2,143,-12.2648
1969,7,1,3,96,-10.3351
1969,7,1,4,82,-9.7593
1969,7,1,5,97,-9.1735
1969,7,2,1,85,-12.0250
1969,7,2,2,47,-8.5479
1969,7,2,3,55,-10.6834
1969,7,2,4,57,-8.4387
1969,7,2,5,46,-6.9435
1969,7,3,1,58,-8.8437
1969,7,3,2,71,-7.4406
1969,7,3,3,97,-7.7126
1969,7,3,4,99,-6.4194
1969,7,3,5,101,-4.1810
1969,8,1,1,204,4.0151
1969,8,1,2,143,3.6787
1969,8,1,3,96,3.5368
1969,8,1,4,82,4.5781
