year,month,rank_ME,rank_CLA,nstocks,ret_vw
1969,8,2,3,56,5.3507
1969,8,2,4,53,5.7080
1969,8,2,5,51,6.4529
1969,8,3,1,56,9.5140
1969,8,3,2,70,3.1636
1969,8,3,3,100,6.1124
1969,8,3,4,90,4.4205
1969,8,3,5,110,5.5844
1969,9,1,1,206,-4.0309
1969,9,1,2,150,-3.5704
1969,9,1,3,98,-2.0570
1969,9,1,4,89,-2.3861
1969,9,1,5,80,-4.4200
1969,9,2,1,82,-2.7129
1969,9,2,2,47,-1.1904
1969,9,2,3,55,-0.6893
1969,9,2,4,52,0.4416
1969,9,2,5,51,3.9621
1969,9,3,1,55,-2.1147
1969,9,3,2,70,-2.6814
1969,9,3,3,100,-4.9699
1969,9,3,4,90,-3.7595
1969,9,3,5,110,-0.0130
1969,10,1,1,206,12.1778
1969,10,1,2,150,9.7404
1969,10,1,3,98,7.9962
1969,10,1,4,89,10.2064
1969,10,1,5,79,10.5850
1969,10,2,1,81,10.0912
1969,10,2,2,47,6.9007
1969,10,2,3,55,8.2988
1969,10,2,4,52,8.1755
1969,10,2,5,51,7.4543
1969,10,3,1,55,7.3232
1969,10,3,2,70,6.3515
1969,10,3,3,100,3.6861
1969,10,3,4,90,2.2004
1969,10,3,5,110,6.1778
1969,11,1,1,206,-8.3760
1969,11,1,2,150,-6.3288
1969,11,1,3,98,-8.7222
1969,11,1,4,89,-5.7571
1969,11,1,5,79,-2.2669
1969,11,2,1,80,-5.6085
1969,11,2,2,47,-7.0811
1969,11,2,3,56,-5.0913
1969,11,2,4,52,-3.8400
1969,11,2,5,51,-2.9529
1969,11,3,1,56,-3.7354
1969,11,3,2,70,-4.1852
1969,11,3,3,100,-4.1364
1969,11,3,4,90,-2.0224
1969,11,3,5,110,-2.0207
1969,12,1,1,206,-8.2677
1969,12,1,2,150,-7.5457
1969,12,1,3,98,-9.6418
1969,12,1,4,89,-6.3537
1969,12,1,5,80,-6.4977
1969,12,2,1,80,-7.3131
1969,12,2,2,47,-5.4635
1969,12,2,3,56,-4.2618
1969,12,2,4,52,-1.9198
1969,12,2,5,51,-2.8118
1969,12,3,1,56,-2.8742
1969,12,3,2,70,-2.4197
1969,12,3,3,100,-2.7720
1969,12,3,4,90,-3.3186
1969,12,3,5,110,0.7800
1970,1,1,1,206,-4.0049
1970,1,1,2,150,-1.1653
1970,1,1,3,98,-0.6860
1970,1,1,4,89,-3.7045
1970,1,1,5,80,-5.8681
1970,1,2,1,81,-9.4375
1970,1,2,2,47,-4.8352
1970,1,2,3,56,-3.0576
1970,1,2,4,52,-6.2461
1970,1,2,5,50,-6.2809
1970,1,3,1,56,-12.5778
1970,1,3,2,69,-7.7375
1970,1,3,3,100,-10.4775
1970,1,3,4,90,-7.3892
1970,1,3,5,110,-7.1201
1970,2,1,1,206,3.1095
1970,2,1,2,149,4.5037
1970,2,1,3,98,3.4228
1970,2,1,4,89,3.0152
1970,2,1,5,80,0.8639
1970,2,2,1,81,2.7132
1970,2,2,2,46,7.5878
1970,2,2,3,56,4.9460
1970,2,2,4,52,4.2229
1970,2,2,5,50,4.8523
1970,2,3,1,56,5.9439
1970,2,3,2,69,8.7270
1970,2,3,3,100,6.9090
1970,2,3,4,90,5.9721
1970,2,3,5,110,3.8958
1970,3,1,1,205,-4.5068
1970,3,1,2,149,-3.4250
1970,3,1,3,98,-2.3119
1970,3,1,4,89,-3.1500
1970,3,1,5,80,-2.3252
1970,3,2,1,82,-4.4743
1970,3,2,2,46,-0.5607
1970,3,2,3,56,-1.3778
1970,3,2,4,52,-2.2350
1970,3,2,5,51,-1.7663
1970,3,3,1,56,-3.3062
1970,3,3,2,70,-0.5962
1970,3,3,3,100,0.0567
1970,3,3,4,90,1.7304
1970,3,3,5,110,-0.9877
1970,4,1,1,204,-20.7075
1970,4,1,2,149,-17.0355
1970,4,1,3,98,-16.1120
1970,4,1,4,88,-15.8783
1970,4,1,5,80,-16.7719
1970,4,2,1,81,-19.3239
1970,4,2,2,47,-13.5327
1970,4,2,3,56,-13.9413
1970,4,2,4,52,-14.0156
1970,4,2,5,51,-16.5890
1970,4,3,1,56,-14.4428
1970,4,3,2,70,-11.6978
1970,4,3,3,100,-9.3492
1970,4,3,4,90,-8.9847
1970,4,3,5,110,-8.6685
1970,5,1,1,204,-9.7020
1970,5,1,2,149,-9.8037
1970,5,1,3,97,-8.1068
1970,5,1,4,88,-9.0467
1970,5,1,5,80,-7.6397
1970,5,2,1,81,-12.7019
1970,5,2,2,47,-11.0428
1970,5,2,3,56,-8.8885
1970,5,2,4,52,-12.3997
1970,5,2,5,51,-7.2367
1970,5,3,1,56,-8.5609
1970,5,3,2,70,-8.2436
1970,5,3,3,100,-3.8749
1970,5,3,4,90,-4.3252
1970,5,3,5,110,-6.6237
1970,6,1,1,202,-11.1922
1970,6,1,2,148,-7.0992
1970,6,1,3,97,-8.7017
1970,6,1,4,88,-7.2851
1970,6,1,5,79,-7.8697
1970,6,2,1,80,-9.7841
1970,6,2,2,47,-7.6219
1970,6,2,3,55,-5.3642
1970,6,2,4,52,-7.2898
1970,6,2,5,51,-5.7450
1970,6,3,1,56,-6.2053
1970,6,3,2,70,-5.5283
1970,6,3,3,100,-3.2017
1970,6,3,4,90,-6.1390
1970,6,3,5,110,-4.4629
1970,7,1,1,296,2.3368
1970,7,1,2,123,4.9606
1970,7,1,3,85,6.8686
1970,7,1,4,108,7.5766
1970,7,1,5,95,5.1354
1970,7,2,1,86,6.8058
1970,7,2,2,62,6.2257
1970,7,2,3,52,9.3547
1970,7,2,4,45,7.1257
1970,7,2,5,65,9.8876
1970,7,3,1,52,6.0832
1970,7,3,2,68,9.4576
1970,7,3,3,91,9.0934
1970,7,3,4,108,9.8671
1970,7,3,5,110,4.2127
1970,8,1,1,294,5.6156
1970,8,1,2,122,7.3728
1970,8,1,3,85,8.2669
1970,8,1,4,108,6.4196
1970,8,1,5,95,6.5011
1970,8,2,1,85,7.8499
1970,8,2,2,62,6.0118
1970,8,2,3,52,7.5618
1970,8,2,4,45,4.6631
1970,8,2,5,65,6.5609
1970,8,3,1,52,7.5162
1970,8,3,2,68,5.3213
1970,8,3,3,91,5.7775
1970,8,3,4,108,4.1782
1970,8,3,5,110,4.6308
1970,9,1,1,293,17.3601
1970,9,1,2,122,14.0965
1970,9,1,3,84,13.2109
1970,9,1,4,108,13.8890
1970,9,1,5,95,14.1629
1970,9,2,1,84,15.2015
1970,9,2,2,62,11.0986
1970,9,2,3,52,14.3070
1970,9,2,4,45,5.4604
1970,9,2,5,65,10.7085
1970,9,3,1,51,9.6557
1970,9,3,2,68,4.4837
1970,9,3,3,91,4.0775
1970,9,3,4,108,2.2492
1970,9,3,5,110,4.6291
1970,10,1,1,292,-11.3224
1970,10,1,2,123,-6.3844
