year,month,rank_ME,rank_SGq_1,nstocks,ret_vw
1970,7,3,5,96,4.1183
1970,8,1,1,207,5.5406
1970,8,1,2,117,7.9863
1970,8,1,3,75,5.7395
1970,8,1,4,80,6.4566
1970,8,1,5,157,6.1739
1970,8,2,1,74,11.3055
1970,8,2,2,56,7.4133
1970,8,2,3,50,7.0173
1970,8,2,4,54,5.6420
1970,8,2,5,106,6.1073
1970,8,3,1,56,6.5709
1970,8,3,2,104,5.9764
1970,8,3,3,119,4.1007
1970,8,3,4,129,3.8732
1970,8,3,5,101,4.4283
1970,9,1,1,210,19.3699
1970,9,1,2,111,10.9728
1970,9,1,3,81,11.8429
1970,9,1,4,84,11.3971
1970,9,1,5,161,15.9745
1970,9,2,1,74,13.7494
1970,9,2,2,58,9.5538
1970,9,2,3,52,9.4563
1970,9,2,4,56,9.9018
1970,9,2,5,105,13.2368
1970,9,3,1,58,3.0593
1970,9,3,2,102,6.4782
1970,9,3,3,121,1.0122
1970,9,3,4,127,2.6431
1970,9,3,5,106,7.6647
1970,10,1,1,220,-9.0370
1970,10,1,2,117,-6.2566
1970,10,1,3,77,-5.8665
1970,10,1,4,80,-6.9831
1970,10,1,5,162,-7.0728
1970,10,2,1,81,-7.9208
1970,10,2,2,51,-6.8905
1970,10,2,3,51,-4.8439
1970,10,2,4,55,-4.2496
1970,10,2,5,99,-3.2043
1970,10,3,1,55,-2.2492
1970,10,3,2,107,-1.3408
1970,10,3,3,120,0.6581
1970,10,3,4,127,-1.0131
1970,10,3,5,113,-2.6028
1970,11,1,1,271,-2.7329
1970,11,1,2,119,-0.7227
1970,11,1,3,87,0.5183
1970,11,1,4,69,-3.1849
1970,11,1,5,151,-0.0297
1970,11,2,1,87,2.6274
1970,11,2,2,66,1.8899
1970,11,2,3,57,4.1824
1970,11,2,4,59,4.8018
1970,11,2,5,90,2.1003
1970,11,3,1,63,4.5159
1970,11,3,2,106,5.3404
1970,11,3,3,123,5.5514
1970,11,3,4,133,5.8683
1970,11,3,5,131,5.3079
1970,12,1,1,274,8.1824
1970,12,1,2,121,10.8219
1970,12,1,3,93,9.9350
1970,12,1,4,67,10.2176
1970,12,1,5,142,11.0242
1970,12,2,1,85,8.7130
1970,12,2,2,69,11.5165
1970,12,2,3,54,11.0758
1970,12,2,4,61,10.5927
1970,12,2,5,88,6.8470
1970,12,3,1,65,6.3251
1970,12,3,2,101,6.4166
1970,12,3,3,126,5.4595
1970,12,3,4,135,6.8116
1970,12,3,5,130,4.9144
1971,1,1,1,267,17.6026
1971,1,1,2,127,15.7203
1971,1,1,3,88,13.2106
1971,1,1,4,71,16.2315
1971,1,1,5,144,14.8626
1971,1,2,1,84,12.1590
1971,1,2,2,69,8.1046
1971,1,2,3,57,10.6271
1971,1,2,4,59,10.3552
1971,1,2,5,85,8.1768
1971,1,3,1,65,3.0519
1971,1,3,2,99,4.1481
1971,1,3,3,126,3.3526
1971,1,3,4,138,5.4634
1971,1,3,5,129,6.3155
1971,2,1,1,273,5.6004
1971,2,1,2,121,5.3098
1971,2,1,3,81,5.7039
1971,2,1,4,70,7.9986
1971,2,1,5,149,6.2978
1971,2,2,1,78,4.0246
1971,2,2,2,65,2.0609
1971,2,2,3,66,2.9437
1971,2,2,4,55,2.7304
1971,2,2,5,88,3.7131
1971,2,3,1,63,1.2935
1971,2,3,2,107,1.9718
1971,2,3,3,121,1.8007
1971,2,3,4,138,0.1741
1971,2,3,5,127,2.3543
1971,3,1,1,298,5.9113
1971,3,1,2,115,7.1350
1971,3,1,3,75,7.2424
1971,3,1,4,67,7.0286
1971,3,1,5,137,6.3815
1971,3,2,1,75,5.5987
1971,3,2,2,65,6.9675
1971,3,2,3,66,6.5312
1971,3,2,4,58,5.9219
1971,3,2,5,97,6.7740
1971,3,3,1,67,3.8918
1971,3,3,2,109,3.3270
1971,3,3,3,120,4.3420
1971,3,3,4,133,3.7646
1971,3,3,5,129,4.9869
1971,4,1,1,295,2.5861
1971,4,1,2,119,2.7017
1971,4,1,3,70,2.1837
1971,4,1,4,59,1.2999
1971,4,1,5,146,2.5865
1971,4,2,1,76,2.6662
1971,4,2,2,69,4.1633
1971,4,2,3,60,2.4767
1971,4,2,4,62,4.4567
1971,4,2,5,96,3.8141
1971,4,3,1,64,5.7488
1971,4,3,2,106,5.7093
1971,4,3,3,128,2.3379
1971,4,3,4,129,1.8649
1971,4,3,5,127,5.1051
1971,5,1,1,278,-7.4676
1971,5,1,2,139,-7.2911
1971,5,1,3,107,-5.5233
1971,5,1,4,72,-5.6092
1971,5,1,5,140,-4.9352
1971,5,2,1,83,-6.0100
1971,5,2,2,71,-4.8682
1971,5,2,3,63,-2.9608
1971,5,2,4,60,-4.6768
1971,5,2,5,93,-3.5549
1971,5,3,1,85,-4.3536
1971,5,3,2,95,-2.2890
1971,5,3,3,118,-3.7894
1971,5,3,4,135,-3.7442
1971,5,3,5,142,-2.7375
1971,6,1,1,267,-2.9733
1971,6,1,2,142,-3.7067
1971,6,1,3,112,-1.2821
1971,6,1,4,71,-2.2804
1971,6,1,5,140,-2.0373
1971,6,2,1,76,-4.6268
1971,6,2,2,74,-1.7966
1971,6,2,3,63,-0.6030
1971,6,2,4,60,1.2253
1971,6,2,5,91,0.5418
1971,6,3,1,85,-2.7611
1971,6,3,2,94,-0.8894
1971,6,3,3,118,-0.6296
1971,6,3,4,137,2.2324
1971,6,3,5,145,2.5462
1971,7,1,1,269,-7.6446
1971,7,1,2,144,-5.4592
1971,7,1,3,116,-4.5999
1971,7,1,4,77,-7.2390
1971,7,1,5,132,-6.2443
1971,7,2,1,70,-7.0677
1971,7,2,2,72,-3.9038
1971,7,2,3,67,-4.4334
1971,7,2,4,62,-3.0146
1971,7,2,5,87,-3.7779
1971,7,3,1,85,-5.2501
1971,7,3,2,96,-3.5645
1971,7,3,3,115,-4.8800
1971,7,3,4,138,-3.1613
1971,7,3,5,144,-3.7569
1971,8,1,1,289,4.5721
1971,8,1,2,132,6.3837
1971,8,1,3,102,4.4032
1971,8,1,4,81,3.2963
1971,8,1,5,135,3.6000
1971,8,2,1,74,6.1181
1971,8,2,2,69,5.6149
1971,8,2,3,63,3.7724
1971,8,2,4,66,3.3104
1971,8,2,5,79,5.0656
1971,8,3,1,70,5.0629
1971,8,3,2,104,6.9052
1971,8,3,3,121,3.0673
1971,8,3,4,126,3.3125
1971,8,3,5,142,4.1629
1971,9,1,1,286,-2.8671
1971,9,1,2,131,0.1407
1971,9,1,3,101,1.3177
1971,9,1,4,81,0.3208
1971,9,1,5,152,1.1680
