year,month,rank_ME,rank_Oq_1,nstocks,ret_vw
1978,10,3,4,74,-9.1049
1978,10,3,5,51,-14.2863
1978,11,1,1,55,8.6376
1978,11,1,2,56,10.4561
1978,11,1,3,86,5.8386
1978,11,1,4,106,8.2011
1978,11,1,5,247,8.1418
1978,11,2,1,54,7.1325
1978,11,2,2,50,5.0148
1978,11,2,3,52,10.1627
1978,11,2,4,45,5.8554
1978,11,2,5,71,6.3904
1978,11,3,1,125,3.6181
1978,11,3,2,101,2.8673
1978,11,3,3,70,4.1356
1978,11,3,4,75,3.1583
1978,11,3,5,45,4.5081
1978,12,1,1,56,0.9730
1978,12,1,2,57,3.4593
1978,12,1,3,85,1.9386
1978,12,1,4,104,0.8042
1978,12,1,5,242,-1.0432
1978,12,2,1,54,2.5546
1978,12,2,2,52,3.1243
1978,12,2,3,48,3.1155
1978,12,2,4,48,-0.6053
1978,12,2,5,73,0.5036
1978,12,3,1,123,2.5485
1978,12,3,2,100,-0.1505
1978,12,3,3,73,-0.6838
1978,12,3,4,71,-0.8363
1978,12,3,5,46,-0.4401
1979,1,1,1,58,9.7278
1979,1,1,2,55,11.0140
1979,1,1,3,85,11.8862
1979,1,1,4,105,11.0259
1979,1,1,5,244,9.8534
1979,1,2,1,49,8.5139
1979,1,2,2,52,8.1119
1979,1,2,3,48,11.1665
1979,1,2,4,47,10.8763
1979,1,2,5,71,6.6722
1979,1,3,1,126,2.9804
1979,1,3,2,103,7.2080
1979,1,3,3,74,4.7255
1979,1,3,4,70,6.2346
1979,1,3,5,46,5.6911
1979,2,1,1,56,1.0578
1979,2,1,2,47,-2.8194
1979,2,1,3,83,-0.9153
1979,2,1,4,108,-2.0916
1979,2,1,5,247,-2.9913
1979,2,2,1,53,-4.4764
1979,2,2,2,48,-3.1681
1979,2,2,3,55,-2.9374
1979,2,2,4,46,-1.8419
1979,2,2,5,72,-3.1140
1979,2,3,1,124,-2.4787
1979,2,3,2,101,-2.1584
1979,2,3,3,71,-1.2809
1979,2,3,4,77,-1.6094
1979,2,3,5,45,-2.1705
1979,3,1,1,56,9.2567
1979,3,1,2,45,7.0707
1979,3,1,3,85,8.7845
1979,3,1,4,108,10.4245
1979,3,1,5,243,9.3293
1979,3,2,1,52,10.9916
1979,3,2,2,48,9.9633
1979,3,2,3,59,9.0129
1979,3,2,4,48,10.7669
1979,3,2,5,73,8.4241
1979,3,3,1,124,7.0069
1979,3,3,2,103,7.9523
1979,3,3,3,69,3.5612
1979,3,3,4,79,3.1125
1979,3,3,5,42,4.8359
1979,4,1,1,57,0.5382
1979,4,1,2,46,0.7594
1979,4,1,3,85,1.7486
1979,4,1,4,109,2.5480
1979,4,1,5,242,1.4172
1979,4,2,1,54,1.8795
1979,4,2,2,49,4.7700
1979,4,2,3,60,4.2961
1979,4,2,4,50,1.3450
1979,4,2,5,74,2.2581
1979,4,3,1,124,1.9837
1979,4,3,2,101,0.4605
1979,4,3,3,68,-2.1265
1979,4,3,4,76,-2.6695
1979,4,3,5,42,-0.6748
1979,5,1,1,61,-1.1420
1979,5,1,2,53,0.5035
1979,5,1,3,78,-1.2043
1979,5,1,4,109,-1.0076
1979,5,1,5,251,-0.8832
1979,5,2,1,50,-0.6776
1979,5,2,2,53,-3.5059
1979,5,2,3,63,-2.3438
1979,5,2,4,60,-0.6597
1979,5,2,5,85,0.2854
1979,5,3,1,134,-2.7569
1979,5,3,2,114,-2.0001
1979,5,3,3,84,-0.7537
1979,5,3,4,77,1.7587
1979,5,3,5,44,0.2170
1979,6,1,1,65,4.1988
1979,6,1,2,47,5.7437
1979,6,1,3,80,6.0411
1979,6,1,4,114,2.7423
1979,6,1,5,252,6.3040
1979,6,2,1,49,4.3522
1979,6,2,2,51,6.2219
1979,6,2,3,65,2.7624
1979,6,2,4,59,4.9816
1979,6,2,5,84,6.8143
1979,6,3,1,134,4.3749
1979,6,3,2,117,4.2051
1979,6,3,3,78,3.8090
1979,6,3,4,82,6.0230
1979,6,3,5,45,6.1049
1979,7,1,1,67,1.5146
1979,7,1,2,45,1.7345
1979,7,1,3,79,2.9350
1979,7,1,4,120,3.5159
1979,7,1,5,243,2.2717
1979,7,2,1,52,1.9560
1979,7,2,2,51,3.5371
1979,7,2,3,64,4.3727
1979,7,2,4,54,4.6222
1979,7,2,5,85,3.2641
1979,7,3,1,130,2.3972
1979,7,3,2,120,0.6898
1979,7,3,3,78,1.3242
1979,7,3,4,84,1.0437
1979,7,3,5,46,2.4026
1979,8,1,1,59,6.8128
1979,8,1,2,51,10.4854
1979,8,1,3,84,8.6514
1979,8,1,4,102,10.0684
1979,8,1,5,249,6.8654
1979,8,2,1,47,7.2253
1979,8,2,2,54,9.9015
1979,8,2,3,54,8.8583
1979,8,2,4,59,9.2391
1979,8,2,5,73,5.5923
1979,8,3,1,129,7.0919
1979,8,3,2,105,8.0047
1979,8,3,3,75,3.4352
1979,8,3,4,75,2.1432
1979,8,3,5,40,2.6651
1979,9,1,1,59,-0.3088
1979,9,1,2,54,-0.7007
1979,9,1,3,81,0.6379
1979,9,1,4,101,-1.2698
1979,9,1,5,253,-0.1630
