year,month,rank_ME,rank_CLAq_12,nstocks,ret_vw
1979,1,1,3,471,10.5716
1979,1,1,4,443,9.6426
1979,1,1,5,501,9.7879
1979,1,2,1,290,8.8052
1979,1,2,2,303,8.8566
1979,1,2,3,277,9.3914
1979,1,2,4,274,8.7939
1979,1,2,5,291,7.7115
1979,1,3,1,230,5.6513
1979,1,3,2,300,4.6716
1979,1,3,3,343,3.9917
1979,1,3,4,345,3.9341
1979,1,3,5,299,3.9101
1979,2,1,1,680,-3.3127
1979,2,1,2,550,-2.4110
1979,2,1,3,488,-1.9021
1979,2,1,4,470,-1.4429
1979,2,1,5,510,-2.2517
1979,2,2,1,305,-3.5423
1979,2,2,2,312,-2.0492
1979,2,2,3,295,-2.2719
1979,2,2,4,287,-2.2562
1979,2,2,5,294,-3.7827
1979,2,3,1,244,-3.8792
1979,2,3,2,308,-4.3270
1979,2,3,3,359,-3.2406
1979,2,3,4,361,-2.9274
1979,2,3,5,315,-2.5586
1979,3,1,1,678,9.3399
1979,3,1,2,553,9.2701
1979,3,1,3,501,11.0375
1979,3,1,4,473,9.3592
1979,3,1,5,507,9.2473
1979,3,2,1,311,11.1078
1979,3,2,2,309,10.8248
1979,3,2,3,293,11.5108
1979,3,2,4,286,10.1745
1979,3,2,5,288,11.4251
1979,3,3,1,243,6.7532
1979,3,3,2,307,6.7526
1979,3,3,3,361,7.0417
1979,3,3,4,360,7.0550
1979,3,3,5,318,6.5258
1979,4,1,1,654,2.2563
1979,4,1,2,517,2.8278
1979,4,1,3,469,2.7719
1979,4,1,4,438,3.0559
1979,4,1,5,481,2.1765
1979,4,2,1,296,2.0686
1979,4,2,2,299,2.9353
1979,4,2,3,267,2.2845
1979,4,2,4,273,3.5675
1979,4,2,5,277,3.1275
1979,4,3,1,232,0.6243
1979,4,3,2,286,0.7439
1979,4,3,3,342,0.9784
1979,4,3,4,342,0.8551
1979,4,3,5,311,1.6781
1979,5,1,1,678,-0.6600
1979,5,1,2,531,-1.1350
1979,5,1,3,500,-0.9676
1979,5,1,4,466,0.1007
1979,5,1,5,510,-0.2712
1979,5,2,1,304,-1.5430
1979,5,2,2,306,-1.3189
1979,5,2,3,289,-1.2827
1979,5,2,4,291,-1.7100
1979,5,2,5,287,-1.9301
1979,5,3,1,254,-2.0586
1979,5,3,2,306,-1.8087
1979,5,3,3,356,-2.4341
1979,5,3,4,364,-2.3500
1979,5,3,5,324,-1.5150
1979,6,1,1,685,4.4872
1979,6,1,2,532,4.9739
1979,6,1,3,506,5.9360
1979,6,1,4,465,5.5528
1979,6,1,5,513,5.2919
1979,6,2,1,314,4.2372
1979,6,2,2,310,6.5293
1979,6,2,3,295,4.6735
1979,6,2,4,293,4.5217
1979,6,2,5,297,3.7909
1979,6,3,1,256,4.2393
1979,6,3,2,312,4.5810
1979,6,3,3,361,4.4778
1979,6,3,4,369,4.5783
1979,6,3,5,327,3.6677
1979,7,1,1,662,1.7474
1979,7,1,2,502,2.0957
1979,7,1,3,464,0.8667
1979,7,1,4,435,1.2257
1979,7,1,5,475,3.1157
1979,7,2,1,295,3.0103
1979,7,2,2,284,3.0316
1979,7,2,3,264,3.1174
1979,7,2,4,283,3.5620
1979,7,2,5,284,2.3406
1979,7,3,1,221,1.0256
1979,7,3,2,286,2.6047
1979,7,3,3,331,1.8576
1979,7,3,4,342,0.9148
1979,7,3,5,309,0.4477
1979,8,1,1,685,8.0931
1979,8,1,2,539,8.0775
1979,8,1,3,488,8.8255
1979,8,1,4,454,8.6779
1979,8,1,5,503,7.9748
1979,8,2,1,313,7.5531
1979,8,2,2,301,9.1877
1979,8,2,3,284,9.0711
1979,8,2,4,294,9.3740
1979,8,2,5,288,9.0445
1979,8,3,1,237,7.7183
1979,8,3,2,303,7.2083
1979,8,3,3,348,7.3116
1979,8,3,4,371,7.5347
1979,8,3,5,322,6.3489
1979,9,1,1,677,-1.4536
1979,9,1,2,547,-1.3670
1979,9,1,3,491,-0.1909
1979,9,1,4,457,-0.6001
1979,9,1,5,514,-0.8318
1979,9,2,1,313,0.3330
1979,9,2,2,306,1.5190
1979,9,2,3,292,0.4438
1979,9,2,4,298,0.2487
1979,9,2,5,293,-0.1777
1979,9,3,1,235,0.1864
1979,9,3,2,309,-1.1340
1979,9,3,3,351,0.2818
1979,9,3,4,379,1.5648
1979,9,3,5,331,0.9822
1979,10,1,1,630,-11.1160
1979,10,1,2,502,-11.4767
1979,10,1,3,455,-11.2471
1979,10,1,4,433,-11.4687
1979,10,1,5,487,-9.4845
1979,10,2,1,300,-10.7470
1979,10,2,2,282,-9.6288
1979,10,2,3,276,-9.4579
1979,10,2,4,280,-9.3699
1979,10,2,5,277,-10.5825
1979,10,3,1,219,-8.6537
1979,10,3,2,281,-7.9690
1979,10,3,3,328,-7.5730
1979,10,3,4,351,-5.6682
1979,10,3,5,311,-5.5503
1979,11,1,1,658,9.1541
1979,11,1,2,539,8.6076
1979,11,1,3,499,7.8076
1979,11,1,4,451,8.9023
1979,11,1,5,508,9.6683
1979,11,2,1,323,8.1830
1979,11,2,2,298,9.1916
1979,11,2,3,301,8.4614
1979,11,2,4,298,9.7016
1979,11,2,5,295,9.0825
1979,11,3,1,241,5.3396
1979,11,3,2,302,5.4337
1979,11,3,3,345,5.7008
1979,11,3,4,373,5.4103
1979,11,3,5,333,5.6639
1979,12,1,1,659,8.5758
1979,12,1,2,539,8.4536
1979,12,1,3,504,7.4020
1979,12,1,4,453,7.9045
1979,12,1,5,504,8.8004
1979,12,2,1,323,7.1262
1979,12,2,2,309,6.5500
1979,12,2,3,299,7.2145
1979,12,2,4,305,7.2530
1979,12,2,5,295,6.7595
1979,12,3,1,242,4.2825
1979,12,3,2,305,3.7535
1979,12,3,3,349,3.5260
1979,12,3,4,376,1.7554
1979,12,3,5,337,2.0848
1980,1,1,1,627,10.5007
1980,1,1,2,508,12.2888
1980,1,1,3,470,12.0281
1980,1,1,4,427,10.0542
1980,1,1,5,477,8.8140
1980,1,2,1,304,6.8330
1980,1,2,2,284,8.2363
1980,1,2,3,287,8.4541
1980,1,2,4,281,7.7160
1980,1,2,5,282,5.9156
1980,1,3,1,229,5.7714
1980,1,3,2,291,6.3580
1980,1,3,3,316,7.5578
1980,1,3,4,352,7.5873
1980,1,3,5,323,7.9085
1980,2,1,1,642,-1.3373
1980,2,1,2,531,-1.1553
1980,2,1,3,493,-1.7001
