year,month,rank_ME,rank_Fq_12,nstocks,ret_vw
1987,4,1,4,1051,-2.1581
1987,4,1,5,837,-1.9951
1987,4,2,1,280,-2.7146
1987,4,2,2,361,-2.9851
1987,4,2,3,371,-2.4830
1987,4,2,4,334,-2.4627
1987,4,2,5,230,-2.3197
1987,4,3,1,203,0.7468
1987,4,3,2,298,0.7591
1987,4,3,3,329,-0.6778
1987,4,3,4,284,-1.6002
1987,4,3,5,244,-0.7247
1987,5,1,1,1230,0.7324
1987,5,1,2,1308,0.0161
1987,5,1,3,1324,0.5961
1987,5,1,4,1133,0.1127
1987,5,1,5,902,1.0552
1987,5,2,1,309,1.1199
1987,5,2,2,385,1.1655
1987,5,2,3,397,0.6610
1987,5,2,4,364,0.4667
1987,5,2,5,254,0.6752
1987,5,3,1,227,1.7238
1987,5,3,2,301,1.0920
1987,5,3,3,354,0.8825
1987,5,3,4,320,1.3432
1987,5,3,5,260,1.6571
1987,6,1,1,1231,2.3359
1987,6,1,2,1306,1.0446
1987,6,1,3,1335,2.4414
1987,6,1,4,1152,2.4555
1987,6,1,5,901,2.5184
1987,6,2,1,302,2.6467
1987,6,2,2,374,3.1603
1987,6,2,3,393,2.9817
1987,6,2,4,359,3.3570
1987,6,2,5,247,2.7734
1987,6,3,1,228,4.4462
1987,6,3,2,299,3.9285
1987,6,3,3,357,5.7979
1987,6,3,4,327,5.7508
1987,6,3,5,257,4.2477
1987,7,1,1,1115,3.6122
1987,7,1,2,1192,3.9807
1987,7,1,3,1212,3.5902
1987,7,1,4,1048,3.3443
1987,7,1,5,817,3.4032
1987,7,2,1,273,5.6061
1987,7,2,2,344,4.9898
1987,7,2,3,365,4.5055
1987,7,2,4,332,4.5038
1987,7,2,5,227,4.1144
1987,7,3,1,201,6.7320
1987,7,3,2,254,4.7684
1987,7,3,3,319,5.6957
1987,7,3,4,308,5.6506
1987,7,3,5,231,6.3915
1987,8,1,1,1199,0.3082
1987,8,1,2,1285,0.6092
1987,8,1,3,1312,2.7798
1987,8,1,4,1137,1.8936
1987,8,1,5,900,3.3362
1987,8,2,1,286,3.0852
1987,8,2,2,358,2.5923
1987,8,2,3,385,3.9210
1987,8,2,4,354,4.5912
1987,8,2,5,252,5.8846
1987,8,3,1,218,3.8809
1987,8,3,2,276,4.1707
1987,8,3,3,340,3.1421
1987,8,3,4,337,3.1507
1987,8,3,5,264,4.1787
1987,9,1,1,1207,-1.3528
1987,9,1,2,1288,-1.6741
1987,9,1,3,1311,-0.5260
1987,9,1,4,1138,-1.0415
1987,9,1,5,913,0.4860
1987,9,2,1,285,-2.1066
1987,9,2,2,353,-0.9631
1987,9,2,3,380,-1.4197
1987,9,2,4,353,-0.9514
1987,9,2,5,254,-2.0961
1987,9,3,1,213,-2.1961
1987,9,3,2,272,-4.0061
