year,month,rank_ME,rank_GLAq_12,nstocks,ret_vw
1978,2,1,2,415,2.0123
1978,2,1,3,402,3.5550
1978,2,1,4,466,3.7269
1978,2,1,5,434,2.8294
1978,2,2,1,198,1.1500
1978,2,2,2,253,1.9418
1978,2,2,3,240,2.5411
1978,2,2,4,216,2.0558
1978,2,2,5,202,1.3484
1978,2,3,1,261,0.2694
1978,2,3,2,287,-1.2864
1978,2,3,3,260,-1.9120
1978,2,3,4,230,-1.8316
1978,2,3,5,181,-2.7814
1978,3,1,1,373,7.8265
1978,3,1,2,407,6.4844
1978,3,1,3,402,9.0341
1978,3,1,4,468,8.2029
1978,3,1,5,435,8.3772
1978,3,2,1,195,4.4274
1978,3,2,2,253,6.4356
1978,3,2,3,235,7.4720
1978,3,2,4,218,6.6227
1978,3,2,5,202,6.6461
1978,3,3,1,261,3.1333
1978,3,3,2,286,4.1043
1978,3,3,3,262,3.1589
1978,3,3,4,232,2.8389
1978,3,3,5,183,0.7084
1978,4,1,1,350,6.5332
1978,4,1,2,393,7.5592
1978,4,1,3,397,8.0987
1978,4,1,4,459,8.6656
1978,4,1,5,428,9.2857
1978,4,2,1,184,4.6755
1978,4,2,2,241,6.7943
1978,4,2,3,223,8.4043
1978,4,2,4,211,9.2627
1978,4,2,5,198,9.5282
1978,4,3,1,243,3.4770
1978,4,3,2,271,7.2999
1978,4,3,3,244,9.3070
1978,4,3,4,229,11.5819
1978,4,3,5,182,11.0186
1978,5,1,1,356,5.3748
1978,5,1,2,407,6.8265
1978,5,1,3,429,9.0314
1978,5,1,4,474,8.3864
1978,5,1,5,425,8.7331
1978,5,2,1,184,3.3496
1978,5,2,2,241,6.4014
1978,5,2,3,236,5.8671
1978,5,2,4,220,5.7761
1978,5,2,5,201,7.3339
1978,5,3,1,256,1.4187
1978,5,3,2,276,0.3178
1978,5,3,3,252,2.3500
1978,5,3,4,238,2.7233
1978,5,3,5,187,2.0790
1978,6,1,1,357,-0.5909
1978,6,1,2,400,0.4608
1978,6,1,3,420,-0.2371
