year,month,rank_ME,rank_GPA,nstocks,ret_vw
1969,3,3,1,118,0.0875
1969,3,3,2,106,3.4389
1969,3,3,3,98,4.9404
1969,3,3,4,96,2.8629
1969,3,3,5,107,4.2753
1969,4,1,1,73,-0.6951
1969,4,1,2,121,-0.3972
1969,4,1,3,143,-1.0113
1969,4,1,4,146,-0.2037
1969,4,1,5,173,0.0124
1969,4,2,1,63,1.5635
1969,4,2,2,63,0.5522
1969,4,2,3,70,-0.5980
1969,4,2,4,75,2.6445
1969,4,2,5,64,3.1307
1969,4,3,1,118,1.2428
1969,4,3,2,106,1.5280
1969,4,3,3,98,0.8263
1969,4,3,4,94,3.7727
1969,4,3,5,107,3.5788
1969,5,1,1,73,3.9380
1969,5,1,2,121,0.7911
1969,5,1,3,143,1.6353
1969,5,1,4,147,0.8414
1969,5,1,5,173,-0.4477
1969,5,2,1,63,0.3792
1969,5,2,2,64,-0.8942
1969,5,2,3,70,-0.4582
1969,5,2,4,75,0.5467
1969,5,2,5,64,1.7844
1969,5,3,1,117,-1.1160
1969,5,3,2,106,2.2574
1969,5,3,3,98,0.4464
1969,5,3,4,94,-2.1016
1969,5,3,5,107,0.7674
1969,6,1,1,73,-16.1211
1969,6,1,2,121,-13.6032
1969,6,1,3,144,-15.0148
1969,6,1,4,147,-12.9259
1969,6,1,5,173,-11.7699
1969,6,2,1,63,-8.9011
1969,6,2,2,64,-14.0516
1969,6,2,3,70,-10.3181
1969,6,2,4,75,-11.5290
1969,6,2,5,65,-8.7046
1969,6,3,1,117,-6.8515
1969,6,3,2,106,-8.8560
1969,6,3,3,98,-6.9381
1969,6,3,4,95,-4.7927
1969,6,3,5,107,-0.8303
1969,7,1,1,88,-13.0033
1969,7,1,2,147,-11.0805
1969,7,1,3,171,-12.2265
1969,7,1,4,170,-10.8435
1969,7,1,5,174,-10.9920
1969,7,2,1,67,-7.4761
1969,7,2,2,58,-8.9669
1969,7,2,3,82,-9.2147
1969,7,2,4,84,-8.7268
1969,7,2,5,76,-9.3420
1969,7,3,1,123,-4.9269
1969,7,3,2,111,-7.6458
1969,7,3,3,103,-6.8958
1969,7,3,4,104,-5.2556
1969,7,3,5,114,-4.1456
1969,8,1,1,87,1.6201
1969,8,1,2,147,4.2588
1969,8,1,3,171,4.4720
1969,8,1,4,170,4.0259
1969,8,1,5,174,5.6810
1969,8,2,1,67,2.8968
1969,8,2,2,58,7.3768
1969,8,2,3,82,5.3302
1969,8,2,4,84,6.1729
1969,8,2,5,76,6.7501
1969,8,3,1,123,0.3267
1969,8,3,2,111,4.7550
1969,8,3,3,103,4.3151
1969,8,3,4,104,4.9241
1969,8,3,5,114,7.3355
1969,9,1,1,87,0.9734
1969,9,1,2,148,-4.0966
1969,9,1,3,171,-5.6977
1969,9,1,4,170,-4.4268
1969,9,1,5,174,-1.4794
1969,9,2,1,67,-1.8084
1969,9,2,2,56,0.2094
1969,9,2,3,81,-1.3618
1969,9,2,4,84,0.5994
1969,9,2,5,76,-0.2481
1969,9,3,1,123,-4.3088
1969,9,3,2,110,-5.5614
1969,9,3,3,103,-3.3940
1969,9,3,4,104,-0.4780
1969,9,3,5,114,0.5742
1969,10,1,1,87,8.4805
1969,10,1,2,148,10.2380
1969,10,1,3,171,10.5849
1969,10,1,4,169,10.8214
1969,10,1,5,174,11.9604
1969,10,2,1,67,5.0108
1969,10,2,2,56,8.9156
1969,10,2,3,80,8.4677
1969,10,2,4,84,10.6123
1969,10,2,5,76,7.0051
1969,10,3,1,123,7.5887
1969,10,3,2,110,2.7001
1969,10,3,3,103,3.9980
1969,10,3,4,104,4.8887
1969,10,3,5,114,7.1210
1969,11,1,1,87,-9.7405
1969,11,1,2,148,-7.7121
1969,11,1,3,171,-7.2675
1969,11,1,4,169,-6.1072
1969,11,1,5,174,-5.7452
1969,11,2,1,67,-5.3528
1969,11,2,2,55,-5.8670
1969,11,2,3,81,-5.3756
1969,11,2,4,84,-3.7546
1969,11,2,5,76,-3.5331
1969,11,3,1,123,-5.1832
1969,11,3,2,111,-3.0068
1969,11,3,3,103,-3.0366
1969,11,3,4,104,-3.6451
1969,11,3,5,114,-1.1150
1969,12,1,1,87,-9.4838
1969,12,1,2,148,-8.9383
1969,12,1,3,171,-8.1552
1969,12,1,4,170,-6.5221
1969,12,1,5,174,-6.4925
1969,12,2,1,67,-5.4566
1969,12,2,2,55,-7.4633
1969,12,2,3,81,-6.4410
1969,12,2,4,84,-0.5716
1969,12,2,5,76,-4.1265
1969,12,3,1,123,-1.6033
1969,12,3,2,111,-3.5326
1969,12,3,3,103,-2.5285
1969,12,3,4,104,-1.3761
1969,12,3,5,114,1.2316
1970,1,1,1,87,-1.2062
1970,1,1,2,148,-3.2572
1970,1,1,3,171,-2.9999
1970,1,1,4,170,-4.4823
1970,1,1,5,174,-4.1366
1970,1,2,1,67,-3.9892
1970,1,2,2,56,-5.5480
1970,1,2,3,80,-6.9522
1970,1,2,4,84,-4.6194
1970,1,2,5,75,-6.6811
1970,1,3,1,123,-5.3341
1970,1,3,2,111,-8.3420
1970,1,3,3,103,-11.0167
1970,1,3,4,103,-7.3481
1970,1,3,5,114,-6.6292
1970,2,1,1,87,2.1541
1970,2,1,2,147,3.6054
1970,2,1,3,171,2.5780
1970,2,1,4,170,4.1858
1970,2,1,5,174,1.8261
1970,2,2,1,66,7.1611
1970,2,2,2,56,5.9599
1970,2,2,3,80,2.9214
1970,2,2,4,84,2.3961
1970,2,2,5,75,4.1982
1970,2,3,1,123,9.7834
1970,2,3,2,111,6.6954
1970,2,3,3,103,8.2706
1970,2,3,4,103,3.6763
1970,2,3,5,114,3.2144
1970,3,1,1,86,-0.8143
1970,3,1,2,147,-3.7671
1970,3,1,3,171,-3.6077
1970,3,1,4,170,-5.4793
1970,3,1,5,174,-3.5960
1970,3,2,1,66,1.4300
1970,3,2,2,56,-2.6146
1970,3,2,3,82,-3.0707
