year,month,rank_ME,rank_CTOq_12,nstocks,ret_vw
1975,4,1,5,361,2.8178
1975,4,2,1,114,1.5225
1975,4,2,2,119,4.2320
1975,4,2,3,134,5.9284
1975,4,2,4,146,4.2124
1975,4,2,5,184,4.8149
1975,4,3,1,189,1.0911
1975,4,3,2,197,2.8832
1975,4,3,3,195,7.0006
1975,4,3,4,170,4.7158
1975,4,3,5,150,3.2399
1975,5,1,1,103,3.5624
1975,5,1,2,237,6.6636
1975,5,1,3,288,8.6174
1975,5,1,4,343,10.1778
1975,5,1,5,388,7.4945
1975,5,2,1,134,5.5789
1975,5,2,2,143,8.7546
1975,5,2,3,153,9.2783
1975,5,2,4,171,7.9516
1975,5,2,5,202,5.8724
1975,5,3,1,196,6.9298
1975,5,3,2,220,6.2927
1975,5,3,3,225,5.0697
1975,5,3,4,208,5.7414
1975,5,3,5,178,5.4059
1975,6,1,1,116,9.8741
1975,6,1,2,248,10.1478
1975,6,1,3,310,8.7885
1975,6,1,4,362,9.7309
1975,6,1,5,392,9.0125
1975,6,2,1,136,6.9184
1975,6,2,2,148,6.0622
1975,6,2,3,157,7.9409
1975,6,2,4,180,8.3569
1975,6,2,5,209,6.0614
1975,6,3,1,197,9.7943
1975,6,3,2,224,4.4856
1975,6,3,3,226,5.9709
1975,6,3,4,211,5.9581
1975,6,3,5,180,4.9231
1975,7,1,1,115,-3.2617
1975,7,1,2,247,-3.1112
1975,7,1,3,318,-3.6182
1975,7,1,4,364,-4.2694
1975,7,1,5,396,0.2471
1975,7,2,1,134,-4.1812
1975,7,2,2,147,-5.1215
1975,7,2,3,164,-4.0852
1975,7,2,4,181,-3.9101
1975,7,2,5,209,-2.7634
1975,7,3,1,198,-5.4421
1975,7,3,2,227,-7.1144
1975,7,3,3,228,-8.0721
1975,7,3,4,213,-5.2774
1975,7,3,5,182,-6.6304
1975,8,1,1,117,-4.6383
1975,8,1,2,256,-6.5064
1975,8,1,3,339,-5.9106
1975,8,1,4,385,-7.3092
1975,8,1,5,403,-5.5268
1975,8,2,1,133,-2.3555
1975,8,2,2,147,-5.5775
1975,8,2,3,170,-6.0994
1975,8,2,4,187,-4.8558
1975,8,2,5,217,-3.7351
1975,8,3,1,203,-2.0553
1975,8,3,2,233,-2.5166
1975,8,3,3,245,-1.8203
1975,8,3,4,224,-1.3040
1975,8,3,5,187,-2.5434
1975,9,1,1,114,-3.8666
1975,9,1,2,258,-3.7696
1975,9,1,3,345,-3.0736
1975,9,1,4,394,-3.0161
1975,9,1,5,413,-3.0131
1975,9,2,1,135,-3.6387
1975,9,2,2,147,-3.3575
1975,9,2,3,172,-4.3018
1975,9,2,4,192,-2.2917
1975,9,2,5,222,-2.3312
1975,9,3,1,208,-2.4453
1975,9,3,2,237,-3.3239
1975,9,3,3,244,-3.4893
1975,9,3,4,230,-1.9577
1975,9,3,5,188,-2.7508
1975,10,1,1,106,2.8821
1975,10,1,2,235,0.8230
1975,10,1,3,329,1.1082
1975,10,1,4,347,3.0711
1975,10,1,5,386,3.5022
1975,10,2,1,129,2.7976
1975,10,2,2,135,1.5509
1975,10,2,3,151,2.6180
1975,10,2,4,179,2.7698
1975,10,2,5,198,6.3150
1975,10,3,1,203,6.9291
1975,10,3,2,218,5.4902
1975,10,3,3,205,6.6799
1975,10,3,4,214,6.8836
1975,10,3,5,177,8.3062
1975,11,1,1,109,0.4439
1975,11,1,2,249,1.3626
1975,11,1,3,326,3.4790
1975,11,1,4,354,2.8501
1975,11,1,5,401,4.9880
1975,11,2,1,139,2.2568
1975,11,2,2,149,3.1045
1975,11,2,3,159,4.2460
1975,11,2,4,183,2.9696
1975,11,2,5,202,4.2365
1975,11,3,1,207,3.6687
1975,11,3,2,236,2.9491
1975,11,3,3,226,3.8381
1975,11,3,4,220,2.3740
1975,11,3,5,185,2.7124
1975,12,1,1,120,-2.0104
1975,12,1,2,260,-1.6615
1975,12,1,3,331,-1.6589
1975,12,1,4,365,-1.2611
1975,12,1,5,405,-1.7212
1975,12,2,1,142,1.0431
1975,12,2,2,155,-0.5396
1975,12,2,3,162,-1.4847
1975,12,2,4,185,-0.7324
1975,12,2,5,210,-1.7168
1975,12,3,1,207,0.8915
1975,12,3,2,239,-0.4783
1975,12,3,3,233,-1.7490
1975,12,3,4,222,-1.1585
1975,12,3,5,187,-1.4076
1976,1,1,1,114,22.3864
1976,1,1,2,244,24.4092
1976,1,1,3,303,26.3273
1976,1,1,4,344,26.1822
1976,1,1,5,390,22.5629
1976,1,2,1,145,13.1814
1976,1,2,2,156,18.7833
1976,1,2,3,155,22.3760
1976,1,2,4,184,23.0581
1976,1,2,5,209,19.3999
1976,1,3,1,207,8.8316
1976,1,3,2,227,13.4101
1976,1,3,3,234,14.4401
1976,1,3,4,220,12.0721
1976,1,3,5,188,8.6570
1976,2,1,1,120,8.4606
1976,2,1,2,247,13.5746
1976,2,1,3,303,14.4355
1976,2,1,4,347,12.6304
1976,2,1,5,397,12.7283
1976,2,2,1,147,3.0920
1976,2,2,2,154,9.0342
1976,2,2,3,157,9.0541
