year,month,rank_ME,rank_RNAq_6,nstocks,ret_vw
1978,9,1,1,458,0.9758
1978,9,1,2,396,-0.8914
1978,9,1,3,399,-0.5619
1978,9,1,4,347,-0.3621
1978,9,1,5,292,-2.6299
1978,9,2,1,187,-0.9504
1978,9,2,2,210,-1.2478
1978,9,2,3,204,-1.0487
1978,9,2,4,211,-2.2644
1978,9,2,5,248,-3.0469
1978,9,3,1,164,0.3408
1978,9,3,2,240,-0.6686
1978,9,3,3,282,-0.1211
1978,9,3,4,276,-0.8924
1978,9,3,5,258,-1.7714
1978,10,1,1,420,-23.8930
1978,10,1,2,349,-22.9180
1978,10,1,3,346,-22.3225
1978,10,1,4,304,-24.6834
1978,10,1,5,261,-22.9405
1978,10,2,1,158,-22.1963
1978,10,2,2,187,-20.4205
1978,10,2,3,187,-19.3508
1978,10,2,4,198,-20.4678
1978,10,2,5,225,-19.3400
1978,10,3,1,143,-10.1828
1978,10,3,2,203,-10.8985
1978,10,3,3,245,-10.9977
1978,10,3,4,254,-10.8562
1978,10,3,5,241,-8.7052
1978,11,1,1,453,4.9440
1978,11,1,2,398,7.0475
1978,11,1,3,405,7.7225
1978,11,1,4,348,9.0851
1978,11,1,5,286,8.6028
1978,11,2,1,177,6.4140
1978,11,2,2,217,6.7638
1978,11,2,3,219,6.7784
1978,11,2,4,226,6.5649
1978,11,2,5,233,7.0699
1978,11,3,1,171,2.8707
1978,11,3,2,250,3.2763
1978,11,3,3,280,3.3391
1978,11,3,4,284,3.4857
1978,11,3,5,260,3.1051
1978,12,1,1,459,-2.6407
1978,12,1,2,402,0.7547
1978,12,1,3,390,2.7623
1978,12,1,4,353,1.9766
1978,12,1,5,285,1.9490
1978,12,2,1,184,0.7371
1978,12,2,2,221,1.7380
1978,12,2,3,215,1.5770
1978,12,2,4,234,2.7430
1978,12,2,5,232,3.2352
1978,12,3,1,169,-1.8959
1978,12,3,2,248,-0.1572
1978,12,3,3,279,1.0683
1978,12,3,4,277,1.8736
1978,12,3,5,264,3.3856
1979,1,1,1,421,12.9725
1979,1,1,2,331,11.9919
1979,1,1,3,338,9.3624
1979,1,1,4,307,9.1706
1979,1,1,5,252,9.6267
1979,1,2,1,168,10.7252
1979,1,2,2,185,8.1329
1979,1,2,3,187,8.4904
1979,1,2,4,198,7.2717
1979,1,2,5,211,7.4699
1979,1,3,1,153,8.3074
1979,1,3,2,220,5.6907
1979,1,3,3,232,4.6252
1979,1,3,4,243,3.8797
1979,1,3,5,247,3.3845
1979,2,1,1,455,-2.6439
1979,2,1,2,376,-2.1775
1979,2,1,3,374,-1.0025
1979,2,1,4,316,-2.2882
1979,2,1,5,270,-2.9931
1979,2,2,1,181,-1.1656
1979,2,2,2,211,-2.0391
1979,2,2,3,212,-3.8445
1979,2,2,4,205,-3.5596
1979,2,2,5,223,-4.0337
1979,2,3,1,171,-2.7923
1979,2,3,2,240,-2.0506
1979,2,3,3,257,-2.4707
1979,2,3,4,273,-3.6597
1979,2,3,5,250,-3.1350
1979,3,1,1,450,9.4538
1979,3,1,2,385,9.0267
1979,3,1,3,374,9.7208
1979,3,1,4,321,9.1020
1979,3,1,5,271,8.6577
1979,3,2,1,182,9.4062
1979,3,2,2,210,9.5842
1979,3,2,3,209,10.0164
1979,3,2,4,214,10.3326
1979,3,2,5,217,11.5266
1979,3,3,1,169,4.3464
1979,3,3,2,242,7.0450
1979,3,3,3,257,8.4238
1979,3,3,4,267,6.1434
1979,3,3,5,243,5.8149
1979,4,1,1,386,2.8414
1979,4,1,2,323,2.3546
1979,4,1,3,314,1.9957
1979,4,1,4,275,2.6812
1979,4,1,5,241,1.4707
1979,4,2,1,145,2.3483
1979,4,2,2,181,1.8001
1979,4,2,3,177,3.7625
1979,4,2,4,181,2.1372
1979,4,2,5,187,2.2341
1979,4,3,1,141,-2.2329
1979,4,3,2,187,0.0444
1979,4,3,3,202,0.8932
1979,4,3,4,213,1.3363
1979,4,3,5,220,0.7831
1979,5,1,1,423,-0.4157
1979,5,1,2,371,-1.6704
1979,5,1,3,355,-0.9404
1979,5,1,4,317,-0.8976
1979,5,1,5,270,-0.3609
1979,5,2,1,157,-0.3746
1979,5,2,2,202,-0.2522
1979,5,2,3,210,-0.3073
1979,5,2,4,206,-2.2462
1979,5,2,5,202,-2.7579
1979,5,3,1,148,-0.2665
1979,5,3,2,218,-0.9626
1979,5,3,3,246,-2.2872
1979,5,3,4,244,-1.6271
1979,5,3,5,242,-2.0111
1979,6,1,1,427,7.5630
1979,6,1,2,374,5.5521
1979,6,1,3,371,4.6578
1979,6,1,4,325,3.9552
1979,6,1,5,284,4.1120
1979,6,2,1,163,7.7177
1979,6,2,2,204,4.8292
1979,6,2,3,214,3.3060
1979,6,2,4,213,5.0811
1979,6,2,5,208,3.0204
1979,6,3,1,152,4.6642
1979,6,3,2,222,6.0464
1979,6,3,3,244,5.4225
1979,6,3,4,249,3.7059
1979,6,3,5,250,2.8731
1979,7,1,1,413,0.9265
1979,7,1,2,336,2.0968
1979,7,1,3,297,2.8016
1979,7,1,4,291,3.0579
1979,7,1,5,260,3.2396
1979,7,2,1,153,3.5943
1979,7,2,2,183,2.9011
1979,7,2,3,184,3.5149
1979,7,2,4,192,3.4698
1979,7,2,5,189,3.1665
1979,7,3,1,140,2.2323
1979,7,3,2,193,1.4890
1979,7,3,3,210,1.6374
1979,7,3,4,228,1.8339
1979,7,3,5,231,0.2290
1979,8,1,1,466,6.7856
1979,8,1,2,380,8.6602
1979,8,1,3,343,8.1003
1979,8,1,4,322,8.4748
1979,8,1,5,286,9.1466
1979,8,2,1,177,7.5181
1979,8,2,2,209,7.4670
1979,8,2,3,215,7.9380
1979,8,2,4,213,8.6202
1979,8,2,5,217,9.6592
1979,8,3,1,162,4.0847
1979,8,3,2,243,6.1573
1979,8,3,3,262,8.2216
1979,8,3,4,272,6.7111
1979,8,3,5,248,6.3409
1979,9,1,1,480,-0.7845
1979,9,1,2,392,-1.4386
1979,9,1,3,358,-1.3083
1979,9,1,4,315,-0.2081
1979,9,1,5,297,-0.2290
1979,9,2,1,177,0.9054
1979,9,2,2,216,0.2078
1979,9,2,3,230,-0.4174
1979,9,2,4,218,-0.6471
1979,9,2,5,216,-0.1159
1979,9,3,1,160,-2.2477
1979,9,3,2,247,0.4369
1979,9,3,3,269,0.8410
1979,9,3,4,276,1.1761
1979,9,3,5,257,0.2206
1979,10,1,1,434,-11.9886
1979,10,1,2,344,-10.3091
1979,10,1,3,301,-11.3261
1979,10,1,4,277,-10.5529
1979,10,1,5,274,-9.0593
1979,10,2,1,156,-11.5787
1979,10,2,2,194,-9.7239
1979,10,2,3,195,-10.2088
1979,10,2,4,199,-9.5695
1979,10,2,5,200,-8.9669
1979,10,3,1,140,-7.6289
1979,10,3,2,212,-7.5014
1979,10,3,3,232,-7.3191
1979,10,3,4,244,-4.8802
1979,10,3,5,248,-6.4890
1979,11,1,1,467,6.8379
1979,11,1,2,389,7.4212
1979,11,1,3,352,8.9758
1979,11,1,4,316,7.9361
1979,11,1,5,286,8.8337
1979,11,2,1,177,8.4768
1979,11,2,2,223,8.3085
1979,11,2,3,224,9.0503
1979,11,2,4,212,8.3109
1979,11,2,5,216,9.2371
1979,11,3,1,155,5.0387
1979,11,3,2,250,6.8876
1979,11,3,3,262,6.3740
1979,11,3,4,275,6.2171
1979,11,3,5,263,5.2048
1979,12,1,1,472,6.1899
1979,12,1,2,398,6.2329
1979,12,1,3,348,8.2657
1979,12,1,4,316,7.8789
1979,12,1,5,280,9.3225
1979,12,2,1,186,7.1551
1979,12,2,2,229,6.0303
1979,12,2,3,224,5.9652
1979,12,2,4,216,5.7683
1979,12,2,5,218,6.2145
1979,12,3,1,159,0.1954
1979,12,3,2,253,2.6563
1979,12,3,3,269,3.1526
1979,12,3,4,275,3.2425
1979,12,3,5,264,2.0038
1980,1,1,1,431,9.8478
1980,1,1,2,325,10.8030
1980,1,1,3,295,11.2597
1980,1,1,4,265,10.2948
1980,1,1,5,247,10.1568
1980,1,2,1,170,7.3016
1980,1,2,2,190,7.7334
1980,1,2,3,192,5.6059
1980,1,2,4,190,7.0157
1980,1,2,5,206,5.4814
1980,1,3,1,147,2.9704
1980,1,3,2,225,4.6076
1980,1,3,3,231,10.1700
1980,1,3,4,232,8.1559
1980,1,3,5,236,6.1669
1980,2,1,1,454,-1.5598
1980,2,1,2,369,-2.5054
1980,2,1,3,342,-2.0933
1980,2,1,4,285,-2.9294
1980,2,1,5,251,-1.3836
1980,2,2,1,183,-0.2539
1980,2,2,2,217,-1.9374
1980,2,2,3,219,-2.0253
1980,2,2,4,221,-3.3287
1980,2,2,5,213,-2.1424
1980,2,3,1,168,-3.2872
1980,2,3,2,250,-1.4265
1980,2,3,3,266,2.2280
1980,2,3,4,265,3.7229
1980,2,3,5,246,-1.3973
1980,3,1,1,447,-19.1250
1980,3,1,2,379,-16.8962
1980,3,1,3,352,-18.4261
1980,3,1,4,297,-17.6542
1980,3,1,5,250,-19.1728
1980,3,2,1,181,-16.9970
1980,3,2,2,223,-15.5720
1980,3,2,3,215,-17.3313
1980,3,2,4,224,-15.8831
1980,3,2,5,219,-16.0474
1980,3,3,1,174,-8.6868
1980,3,3,2,252,-12.5199
1980,3,3,3,275,-12.6512
1980,3,3,4,268,-11.9507
1980,3,3,5,246,-10.8666
1980,4,1,1,383,4.2143
1980,4,1,2,330,5.2954
1980,4,1,3,302,6.7462
1980,4,1,4,260,6.3522
1980,4,1,5,219,8.1519
1980,4,2,1,152,7.6540
1980,4,2,2,188,7.8677
1980,4,2,3,184,5.5189
1980,4,2,4,192,4.7188
1980,4,2,5,188,5.5153
1980,4,3,1,152,8.4498
1980,4,3,2,191,6.3888
1980,4,3,3,220,5.0034
1980,4,3,4,231,5.2078
1980,4,3,5,222,2.6833
1980,5,1,1,405,6.7333
1980,5,1,2,384,6.6922
1980,5,1,3,353,5.8927
1980,5,1,4,282,5.9837
1980,5,1,5,246,8.1024
1980,5,2,1,160,7.5794
1980,5,2,2,200,7.9069
1980,5,2,3,225,9.0759
1980,5,2,4,211,8.5022
1980,5,2,5,214,8.9674
1980,5,3,1,162,4.9914
1980,5,3,2,218,6.4381
1980,5,3,3,256,6.2635
1980,5,3,4,275,5.5035
1980,5,3,5,242,5.1540
1980,6,1,1,407,3.2700
1980,6,1,2,388,3.3903
1980,6,1,3,358,2.9437
1980,6,1,4,288,3.1074
1980,6,1,5,247,4.5628
1980,6,2,1,161,4.2075
1980,6,2,2,205,3.2937
1980,6,2,3,230,4.8149
1980,6,2,4,217,3.7261
1980,6,2,5,214,4.2854
1980,6,3,1,163,3.0421
1980,6,3,2,219,3.5889
1980,6,3,3,261,3.1724
1980,6,3,4,274,4.4768
1980,6,3,5,257,3.2607
1980,7,1,1,376,10.2080
1980,7,1,2,340,11.1167
1980,7,1,3,314,12.0652
1980,7,1,4,244,12.2222
1980,7,1,5,212,13.5606
1980,7,2,1,143,7.7471
1980,7,2,2,172,8.1694
1980,7,2,3,204,11.9666
1980,7,2,4,194,14.7448
1980,7,2,5,196,10.7425
1980,7,3,1,148,5.8713
1980,7,3,2,191,6.5739
1980,7,3,3,219,9.2967
1980,7,3,4,237,6.5931
1980,7,3,5,238,7.9592
1980,8,1,1,431,5.6997
1980,8,1,2,373,7.8401
1980,8,1,3,327,7.7492
1980,8,1,4,266,9.6047
1980,8,1,5,245,9.4508
1980,8,2,1,162,3.5178
1980,8,2,2,201,4.4111
1980,8,2,3,239,5.4432
1980,8,2,4,210,5.3574
1980,8,2,5,218,6.6747
1980,8,3,1,167,-0.5170
1980,8,3,2,238,0.4387
1980,8,3,3,243,1.2311
1980,8,3,4,276,2.3333
1980,8,3,5,261,1.9293
1980,9,1,1,453,2.4115
1980,9,1,2,386,3.3847
1980,9,1,3,335,3.7514
1980,9,1,4,275,3.7391
1980,9,1,5,250,3.3793
1980,9,2,1,164,0.7272
1980,9,2,2,211,2.2773
1980,9,2,3,242,2.4833
