year,month,rank_ME,rank_CTO,nstocks,ret_vw
1969,8,2,2,56,6.5218
1969,8,2,3,55,4.9772
1969,8,2,4,73,5.9195
1969,8,2,5,90,7.7295
1969,8,3,1,132,1.5643
1969,8,3,2,121,5.5725
1969,8,3,3,109,5.3416
1969,8,3,4,80,5.5140
1969,8,3,5,92,6.9967
1969,9,1,1,57,-2.0064
1969,9,1,2,98,1.2208
1969,9,1,3,113,-4.5596
1969,9,1,4,160,-4.1467
1969,9,1,5,222,-3.7349
1969,9,2,1,54,-0.7992
1969,9,2,2,54,-0.9564
1969,9,2,3,55,-2.2361
1969,9,2,4,72,1.4727
1969,9,2,5,90,-0.4799
1969,9,3,1,131,-4.6230
1969,9,3,2,121,-4.7668
1969,9,3,3,109,0.2139
1969,9,3,4,80,-0.2029
1969,9,3,5,92,-2.2927
1969,10,1,1,57,9.1729
1969,10,1,2,98,9.6386
1969,10,1,3,112,8.8661
1969,10,1,4,160,10.8515
1969,10,1,5,222,11.8896
1969,10,2,1,54,6.4549
1969,10,2,2,53,9.2889
1969,10,2,3,55,6.3746
1969,10,2,4,72,7.9377
1969,10,2,5,90,8.7574
1969,10,3,1,131,5.1167
1969,10,3,2,121,3.4297
1969,10,3,3,109,4.7300
1969,10,3,4,80,6.2726
1969,10,3,5,92,7.7270
1969,11,1,1,57,-6.3903
1969,11,1,2,98,-7.1397
1969,11,1,3,112,-5.9151
1969,11,1,4,160,-6.4830
1969,11,1,5,222,-7.4885
1969,11,2,1,54,-4.8908
1969,11,2,2,54,-6.2848
1969,11,2,3,55,-2.9108
1969,11,2,4,72,-4.9748
1969,11,2,5,89,-4.6694
1969,11,3,1,132,-3.1567
1969,11,3,2,121,-3.5552
1969,11,3,3,109,-1.7996
1969,11,3,4,80,-3.2655
1969,11,3,5,92,-3.2606
1969,12,1,1,57,-8.4277
1969,12,1,2,98,-7.8882
1969,12,1,3,113,-5.6680
1969,12,1,4,160,-7.8808
1969,12,1,5,222,-8.0490
1969,12,2,1,54,-5.2829
1969,12,2,2,54,-5.4526
1969,12,2,3,55,-4.4247
1969,12,2,4,72,-4.0537
1969,12,2,5,89,-3.5524
1969,12,3,1,132,-2.6263
1969,12,3,2,121,-1.4977
1969,12,3,3,109,-0.8016
1969,12,3,4,80,-0.5354
1969,12,3,5,92,-1.5680
1970,1,1,1,57,-1.9991
1970,1,1,2,98,-1.2629
1970,1,1,3,113,-1.6654
1970,1,1,4,160,-3.5441
1970,1,1,5,222,-4.9781
1970,1,2,1,54,-3.7720
1970,1,2,2,54,-5.7465
1970,1,2,3,55,-4.7324
1970,1,2,4,72,-5.9833
