year,month,rank_ME,rank_ROE_6,nstocks,ret_vw
1969,3,2,4,127,1.8756
1969,3,2,5,125,2.8700
1969,3,3,1,115,1.0789
1969,3,3,2,202,5.2930
1969,3,3,3,227,3.5942
1969,3,3,4,226,3.3384
1969,3,3,5,181,3.3393
1969,4,1,1,286,-0.3273
1969,4,1,2,166,-0.9281
1969,4,1,3,143,0.1696
1969,4,1,4,177,0.4914
1969,4,1,5,189,-1.0482
1969,4,2,1,94,2.1755
1969,4,2,2,106,0.3250
1969,4,2,3,90,-0.9468
1969,4,2,4,114,0.9752
1969,4,2,5,111,0.8719
1969,4,3,1,98,1.4952
1969,4,3,2,174,1.0206
1969,4,3,3,187,1.8964
1969,4,3,4,190,1.7733
1969,4,3,5,153,2.4719
1969,5,1,1,354,0.6921
1969,5,1,2,192,-0.0644
1969,5,1,3,174,0.0101
1969,5,1,4,211,0.4631
1969,5,1,5,236,-0.8156
1969,5,2,1,115,1.0740
1969,5,2,2,136,0.6257
1969,5,2,3,114,-1.0330
1969,5,2,4,145,0.8435
1969,5,2,5,136,-1.8186
1969,5,3,1,125,0.0345
1969,5,3,2,200,1.5282
1969,5,3,3,225,-0.0286
1969,5,3,4,219,-0.5587
1969,5,3,5,191,0.5409
1969,6,1,1,367,-14.2278
1969,6,1,2,200,-12.8018
1969,6,1,3,178,-12.4347
1969,6,1,4,218,-12.3739
1969,6,1,5,234,-12.8552
1969,6,2,1,117,-10.7684
1969,6,2,2,140,-10.0375
1969,6,2,3,119,-10.3711
1969,6,2,4,147,-11.0552
1969,6,2,5,143,-11.0840
1969,6,3,1,130,-8.9368
1969,6,3,2,200,-7.7270
1969,6,3,3,229,-5.9925
1969,6,3,4,227,-6.9331
1969,6,3,5,196,-2.7869
1969,7,1,1,347,-11.2833
1969,7,1,2,179,-11.7624
1969,7,1,3,158,-10.8678
1969,7,1,4,199,-9.3855
1969,7,1,5,209,-11.2272
1969,7,2,1,112,-9.6303
1969,7,2,2,122,-8.6192
1969,7,2,3,102,-7.1096
1969,7,2,4,137,-9.3516
1969,7,2,5,131,-8.8561
1969,7,3,1,120,-8.2712
1969,7,3,2,168,-6.6366
1969,7,3,3,196,-6.7575
1969,7,3,4,190,-5.6605
1969,7,3,5,183,-4.8472
1969,8,1,1,381,3.2611
1969,8,1,2,239,4.5993
1969,8,1,3,189,3.1173
1969,8,1,4,225,5.1856
1969,8,1,5,238,6.7989
1969,8,2,1,124,5.6419
1969,8,2,2,133,2.9327
1969,8,2,3,137,6.6622
1969,8,2,4,163,6.9260
1969,8,2,5,146,7.8547
1969,8,3,1,132,4.0403
1969,8,3,2,204,4.0443
1969,8,3,3,226,4.1463
1969,8,3,4,223,4.9314
1969,8,3,5,212,6.2284
1969,9,1,1,392,-3.1976
1969,9,1,2,238,-3.2608
1969,9,1,3,210,-4.1298
1969,9,1,4,228,-3.6062
1969,9,1,5,242,-3.8914
1969,9,2,1,129,-1.1452
1969,9,2,2,137,-1.6031
1969,9,2,3,140,-1.3017
1969,9,2,4,165,0.5759
1969,9,2,5,156,1.0662
1969,9,3,1,133,-3.6839
1969,9,3,2,208,-4.0093
1969,9,3,3,234,-4.1219
1969,9,3,4,226,-0.9176
1969,9,3,5,220,-1.0703
1969,10,1,1,362,11.6903
1969,10,1,2,208,8.9666
1969,10,1,3,185,9.3953
1969,10,1,4,190,10.6209
1969,10,1,5,219,12.4691
1969,10,2,1,116,8.3800
1969,10,2,2,122,6.7991
1969,10,2,3,107,7.2292
1969,10,2,4,149,7.0144
1969,10,2,5,145,8.4246
1969,10,3,1,119,5.5696
1969,10,3,2,178,4.8337
1969,10,3,3,201,3.5464
1969,10,3,4,189,6.1063
1969,10,3,5,205,5.5781
1969,11,1,1,393,-7.6870
1969,11,1,2,242,-7.0183
1969,11,1,3,206,-6.8304
1969,11,1,4,218,-7.3010
1969,11,1,5,229,-6.2701
1969,11,2,1,132,-6.9446
1969,11,2,2,129,-4.8244
1969,11,2,3,132,-3.8033
1969,11,2,4,167,-4.5640
1969,11,2,5,157,-3.7222
1969,11,3,1,127,-4.8736
1969,11,3,2,213,-4.2128
1969,11,3,3,229,-3.9746
1969,11,3,4,223,-2.4399
1969,11,3,5,223,-2.2980
1969,12,1,1,397,-10.3587
1969,12,1,2,248,-7.5702
