year,month,rank_ME,nstocks,ret_vw
1974,10,8,161,15.1152
1974,10,9,140,16.1037
1974,10,10,133,17.5842
1974,11,1,2059,-5.9050
1974,11,2,393,-5.0757
1974,11,3,298,-4.0370
1974,11,4,202,-4.8207
1974,11,5,208,-4.5041
1974,11,6,173,-2.9180
1974,11,7,160,-3.4343
1974,11,8,161,-2.0761
1974,11,9,140,-2.3940
1974,11,10,133,-4.7181
1974,12,1,2020,-8.6446
1974,12,2,394,-6.7325
1974,12,3,296,-6.7297
1974,12,4,202,-5.1272
1974,12,5,208,-5.4752
1974,12,6,173,-4.6933
1974,12,7,160,-5.5194
