year,month,rank_ME,rank_CLA,nstocks,ret_vw
1970,4,1,2,149,-17.0422
1970,4,1,3,98,-16.1185
1970,4,1,4,88,-15.8858
1970,4,1,5,80,-16.7815
1970,4,2,1,81,-19.3340
1970,4,2,2,47,-13.5373
1970,4,2,3,56,-13.9474
1970,4,2,4,52,-14.0225
1970,4,2,5,51,-16.5982
1970,4,3,1,56,-14.4448
1970,4,3,2,70,-11.7002
1970,4,3,3,100,-9.3520
1970,4,3,4,90,-8.9890
1970,4,3,5,110,-8.6710
1970,5,1,1,204,-9.6997
1970,5,1,2,149,-9.8041
1970,5,1,3,97,-8.1092
1970,5,1,4,88,-9.0411
1970,5,1,5,80,-7.6376
1970,5,2,1,81,-12.7105
1970,5,2,2,47,-11.0535
1970,5,2,3,56,-8.8999
1970,5,2,4,52,-12.3950
1970,5,2,5,51,-7.2239
1970,5,3,1,56,-8.5546
1970,5,3,2,70,-8.2651
1970,5,3,3,100,-3.8515
1970,5,3,4,90,-4.2992
1970,5,3,5,110,-6.6289
1970,6,1,1,203,-11.2090
1970,6,1,2,148,-7.1126
1970,6,1,3,97,-8.7138
1970,6,1,4,88,-7.3053
1970,6,1,5,79,-7.9030
1970,6,2,1,80,-9.8047
1970,6,2,2,47,-7.6542
1970,6,2,3,55,-5.3790
1970,6,2,4,52,-7.3065
1970,6,2,5,51,-5.7610
1970,6,3,1,56,-6.2189
1970,6,3,2,70,-5.5627
1970,6,3,3,100,-3.2083
1970,6,3,4,90,-6.1445
1970,6,3,5,110,-4.4668
1970,7,1,1,296,2.3385
1970,7,1,2,123,4.9634
1970,7,1,3,85,6.8733
1970,7,1,4,108,7.5796
1970,7,1,5,95,5.1426
1970,7,2,1,86,6.8229
1970,7,2,2,62,6.2401
1970,7,2,3,52,9.3533
1970,7,2,4,45,7.1291
1970,7,2,5,65,9.8964
1970,7,3,1,52,6.0897
1970,7,3,2,68,9.4560
1970,7,3,3,91,9.1008
1970,7,3,4,108,9.8734
1970,7,3,5,110,4.2127
1970,8,1,1,294,5.6229
1970,8,1,2,123,7.3793
1970,8,1,3,85,8.2753
1970,8,1,4,108,6.4479
1970,8,1,5,95,6.5066
1970,8,2,1,85,7.8654
1970,8,2,2,62,6.0496
1970,8,2,3,52,7.5712
1970,8,2,4,45,4.6814
1970,8,2,5,65,6.5787
1970,8,3,1,52,7.5444
1970,8,3,2,68,5.3486
1970,8,3,3,91,5.8088
1970,8,3,4,108,4.2098
1970,8,3,5,110,4.6561
1970,9,1,1,293,17.3637
1970,9,1,2,122,14.1018
1970,9,1,3,84,13.2371
