year,month,rank_ME,rank_ROE_6,nstocks,ret_vw
1970,3,3,4,237,0.0357
1970,3,3,5,206,-1.3945
1970,4,1,1,358,-17.2380
1970,4,1,2,223,-15.8259
1970,4,1,3,166,-15.7908
1970,4,1,4,196,-16.7761
1970,4,1,5,191,-19.8117
1970,4,2,1,111,-14.6147
1970,4,2,2,115,-12.6843
1970,4,2,3,121,-15.6630
1970,4,2,4,122,-14.2744
1970,4,2,5,130,-18.1057
1970,4,3,1,98,-10.5166
1970,4,3,2,178,-8.4825
1970,4,3,3,193,-8.7433
1970,4,3,4,205,-9.0601
1970,4,3,5,182,-10.9316
1970,5,1,1,421,-9.0523
1970,5,1,2,266,-8.7565
1970,5,1,3,179,-10.1507
1970,5,1,4,224,-11.6970
1970,5,1,5,244,-10.2803
1970,5,2,1,139,-10.5000
1970,5,2,2,153,-8.2189
1970,5,2,3,151,-9.9624
1970,5,2,4,151,-10.1621
1970,5,2,5,153,-10.7971
1970,5,3,1,121,-6.7254
1970,5,3,2,213,-3.4654
1970,5,3,3,241,-4.0567
1970,5,3,4,249,-6.7802
1970,5,3,5,223,-7.1487
1970,6,1,1,430,-9.4394
1970,6,1,2,276,-8.7871
1970,6,1,3,184,-9.5368
1970,6,1,4,222,-7.6919
1970,6,1,5,244,-8.0293
1970,6,2,1,146,-8.8028
1970,6,2,2,158,-8.5486
1970,6,2,3,153,-7.8217
1970,6,2,4,157,-6.7435
1970,6,2,5,159,-4.9595
1970,6,3,1,123,-6.6428
1970,6,3,2,216,-3.9313
1970,6,3,3,247,-4.6293
1970,6,3,4,256,-3.2502
1970,6,3,5,232,-5.4017
1970,7,1,1,392,2.0956
1970,7,1,2,245,5.8724
1970,7,1,3,157,3.5441
1970,7,1,4,189,5.7071
1970,7,1,5,227,4.7306
1970,7,2,1,130,6.8585
1970,7,2,2,139,7.0585
1970,7,2,3,125,7.5870
1970,7,2,4,137,8.2679
1970,7,2,5,150,8.5187
1970,7,3,1,107,10.4283
1970,7,3,2,190,8.4660
1970,7,3,3,214,9.1373
1970,7,3,4,217,7.8189
1970,7,3,5,208,4.4772
1970,8,1,1,439,6.6146
1970,8,1,2,303,6.0107
1970,8,1,3,214,7.4606
1970,8,1,4,214,5.6865
1970,8,1,5,237,5.0178
1970,8,2,1,156,8.5077
1970,8,2,2,165,7.0773
1970,8,2,3,148,7.6656
1970,8,2,4,167,5.5733
1970,8,2,5,170,5.6515
1970,8,3,1,125,5.7507
1970,8,3,2,212,5.2976
1970,8,3,3,256,5.9694
1970,8,3,4,273,4.4667
1970,8,3,5,245,4.7153
1970,9,1,1,457,15.5880
1970,9,1,2,310,12.8213
