year,month,rank_ME,rank_FP_6,nstocks,ret_vw
1978,2,2,1,150,1.6451
1978,2,2,2,203,1.9166
1978,2,2,3,219,1.7679
1978,2,2,4,218,1.9839
1978,2,2,5,142,2.0751
1978,2,3,1,226,-1.8901
1978,2,3,2,268,-1.9575
1978,2,3,3,260,-2.0693
1978,2,3,4,176,-3.2913
1978,2,3,5,69,-2.5500
1978,3,1,1,165,6.8635
1978,3,1,2,195,8.2467
1978,3,1,3,296,6.6218
1978,3,1,4,384,7.8424
1978,3,1,5,580,9.5945
1978,3,2,1,160,6.9987
1978,3,2,2,203,6.9874
1978,3,2,3,218,5.8787
1978,3,2,4,216,5.5908
1978,3,2,5,133,7.0406
1978,3,3,1,230,1.5965
1978,3,3,2,263,3.0690
1978,3,3,3,257,3.4237
1978,3,3,4,173,3.9961
1978,3,3,5,75,8.2159
1978,4,1,1,165,6.3696
1978,4,1,2,195,8.6025
1978,4,1,3,311,8.7275
1978,4,1,4,375,8.1091
1978,4,1,5,560,8.9464
1978,4,2,1,160,9.6104
1978,4,2,2,190,8.6993
1978,4,2,3,204,8.1822
1978,4,2,4,218,7.7345
1978,4,2,5,141,6.3149
1978,4,3,1,228,10.2608
1978,4,3,2,265,9.8950
1978,4,3,3,243,9.3942
1978,4,3,4,173,10.0745
1978,4,3,5,75,7.3165
1978,5,1,1,190,7.3719
1978,5,1,2,224,6.0352
1978,5,1,3,328,7.8744
1978,5,1,4,392,8.4333
1978,5,1,5,582,8.3109
1978,5,2,1,172,6.1638
1978,5,2,2,206,6.7795
1978,5,2,3,211,6.5722
1978,5,2,4,231,5.4322
1978,5,2,5,159,5.6451
1978,5,3,1,243,2.0204
1978,5,3,2,293,2.4663
1978,5,3,3,270,1.7415
1978,5,3,4,236,0.3711
1978,5,3,5,93,2.9887
1978,6,1,1,195,-0.5139
1978,6,1,2,235,0.5385
1978,6,1,3,354,1.0370
1978,6,1,4,402,-1.2830
1978,6,1,5,576,0.2626
1978,6,2,1,181,0.0398
1978,6,2,2,213,1.0541
1978,6,2,3,212,-1.2395
1978,6,2,4,231,0.0512
1978,6,2,5,174,0.0832
1978,6,3,1,248,-0.7633
1978,6,3,2,293,-1.9746
1978,6,3,3,276,-1.8432
1978,6,3,4,234,-2.1402
1978,6,3,5,98,-4.1406
1978,7,1,1,203,5.2014
1978,7,1,2,235,6.6272
1978,7,1,3,347,6.7818
1978,7,1,4,374,6.5914
1978,7,1,5,569,4.8997
1978,7,2,1,182,7.2493
1978,7,2,2,206,6.5626
1978,7,2,3,213,6.7286
1978,7,2,4,223,6.2583
1978,7,2,5,178,5.7023
1978,7,3,1,241,7.1640
1978,7,3,2,291,6.1481
1978,7,3,3,286,5.4536
1978,7,3,4,232,5.1478
1978,7,3,5,98,7.5995
1978,8,1,1,205,11.1790
1978,8,1,2,242,6.8253
1978,8,1,3,354,8.4790
1978,8,1,4,381,8.7776
1978,8,1,5,578,11.1952
1978,8,2,1,182,9.8309
1978,8,2,2,207,9.9022
1978,8,2,3,216,7.8729
1978,8,2,4,222,6.9161
1978,8,2,5,192,9.0527
1978,8,3,1,248,3.4713
1978,8,3,2,304,3.7859
1978,8,3,3,300,4.1884
1978,8,3,4,235,2.6463
1978,8,3,5,105,2.5639
1978,9,1,1,204,-1.6810
1978,9,1,2,248,-2.0377
1978,9,1,3,361,-1.7418
1978,9,1,4,380,-1.7630
1978,9,1,5,570,1.4107
1978,9,2,1,187,-3.2575
1978,9,2,2,213,-1.2885
1978,9,2,3,227,-1.7238
1978,9,2,4,213,-0.6555
1978,9,2,5,196,-0.9236
1978,9,3,1,253,-2.7872
1978,9,3,2,300,0.2353
1978,9,3,3,293,-0.0816
1978,9,3,4,233,-0.1158
1978,9,3,5,106,1.7028
1978,10,1,1,199,-21.1944
1978,10,1,2,250,-21.8511
1978,10,1,3,346,-23.5614
1978,10,1,4,371,-23.3337
1978,10,1,5,572,-25.5224
1978,10,2,1,183,-18.9333
1978,10,2,2,222,-19.3441
1978,10,2,3,239,-20.9376
1978,10,2,4,217,-18.5963
1978,10,2,5,199,-22.1190
1978,10,3,1,267,-8.5999
1978,10,3,2,299,-10.6890
1978,10,3,3,284,-10.7949
1978,10,3,4,227,-9.9912
1978,10,3,5,99,-15.1013
1978,11,1,1,193,6.8917
1978,11,1,2,260,9.1450
1978,11,1,3,357,8.4103
1978,11,1,4,435,7.0092
1978,11,1,5,629,6.5661
1978,11,2,1,187,6.8006
1978,11,2,2,240,6.9559
1978,11,2,3,270,6.6268
1978,11,2,4,269,6.3247
1978,11,2,5,211,6.1018
1978,11,3,1,275,3.2671
1978,11,3,2,331,2.9738
1978,11,3,3,321,3.1257
1978,11,3,4,251,3.8161
1978,11,3,5,98,3.4187
1978,12,1,1,180,1.8781
1978,12,1,2,255,2.5562
1978,12,1,3,340,2.8746
1978,12,1,4,440,1.1387
1978,12,1,5,631,-1.0141
1978,12,2,1,183,3.9384
1978,12,2,2,228,2.5089
1978,12,2,3,266,2.7742
1978,12,2,4,276,0.6577
1978,12,2,5,206,0.9847
1978,12,3,1,275,3.3569
1978,12,3,2,329,1.3599
1978,12,3,3,311,0.0083
1978,12,3,4,241,-0.8366
1978,12,3,5,87,-0.5588
1979,1,1,1,158,7.9030
1979,1,1,2,238,10.2274
1979,1,1,3,322,9.3631
1979,1,1,4,429,9.8501
1979,1,1,5,610,12.9094
1979,1,2,1,163,7.0442
1979,1,2,2,218,8.2600
1979,1,2,3,253,6.6127
1979,1,2,4,275,7.5049
1979,1,2,5,193,10.6848
1979,1,3,1,274,3.0560
1979,1,3,2,311,5.0952
1979,1,3,3,299,6.0009
1979,1,3,4,228,6.2471
1979,1,3,5,81,9.5707
1979,2,1,1,155,-1.0188
1979,2,1,2,224,-1.4398
1979,2,1,3,309,-1.8243
1979,2,1,4,428,-2.2121
1979,2,1,5,603,-3.0995
1979,2,2,1,164,-3.3730
1979,2,2,2,206,-2.7514
1979,2,2,3,250,-2.6817
1979,2,2,4,277,-2.7875
1979,2,2,5,197,-3.4559
1979,2,3,1,274,-3.4461
1979,2,3,2,318,-2.4852
1979,2,3,3,292,-2.6566
1979,2,3,4,226,-2.1320
1979,2,3,5,81,-3.6696
1979,3,1,1,148,8.1582
1979,3,1,2,215,7.6947
1979,3,1,3,287,8.3140
1979,3,1,4,400,8.7748
1979,3,1,5,596,10.6053
1979,3,2,1,151,10.3974
1979,3,2,2,194,10.8227
1979,3,2,3,237,8.6401
1979,3,2,4,271,8.6164
1979,3,2,5,194,12.5079
1979,3,3,1,271,5.9599
1979,3,3,2,315,6.9587
1979,3,3,3,278,5.5509
1979,3,3,4,216,7.6674
1979,3,3,5,74,13.7933
1979,4,1,1,133,2.6418
1979,4,1,2,191,1.6482
1979,4,1,3,269,3.6266
1979,4,1,4,378,1.9137
1979,4,1,5,590,1.9430
1979,4,2,1,137,3.1106
1979,4,2,2,194,2.2050
1979,4,2,3,238,2.6597
1979,4,2,4,277,2.2884
1979,4,2,5,182,2.3353
1979,4,3,1,269,0.9012
1979,4,3,2,310,1.4083
1979,4,3,3,278,-1.3225
1979,4,3,4,197,-0.0637
1979,4,3,5,55,-0.4124
1979,5,1,1,153,0.2160
1979,5,1,2,196,-0.6624
1979,5,1,3,268,-1.5344
1979,5,1,4,379,-0.9483
1979,5,1,5,598,-1.3826
1979,5,2,1,147,-0.7645
1979,5,2,2,195,-1.1478
1979,5,2,3,238,-1.4008
1979,5,2,4,288,-1.1387
1979,5,2,5,191,-1.8041
1979,5,3,1,276,-1.9938
1979,5,3,2,315,-1.9722
1979,5,3,3,306,-0.6477
1979,5,3,4,209,-0.8383
1979,5,3,5,66,-3.0346
1979,6,1,1,157,4.6809
1979,6,1,2,200,4.9637
1979,6,1,3,274,5.5127
1979,6,1,4,380,5.5093
1979,6,1,5,605,4.9348
1979,6,2,1,154,2.4761
1979,6,2,2,196,4.9388
1979,6,2,3,252,4.0367
1979,6,2,4,291,5.0633
1979,6,2,5,204,5.8469
1979,6,3,1,278,2.9229
1979,6,3,2,322,5.5638
1979,6,3,3,313,4.8439
1979,6,3,4,209,5.6936
1979,6,3,5,73,9.6602
1979,7,1,1,159,2.7427
1979,7,1,2,193,4.1017
1979,7,1,3,259,2.1738
1979,7,1,4,363,2.9326
1979,7,1,5,580,1.5706
1979,7,2,1,151,3.8356
1979,7,2,2,197,3.0065
1979,7,2,3,243,3.1881
1979,7,2,4,280,3.3156
1979,7,2,5,197,4.2943
1979,7,3,1,268,0.4041
1979,7,3,2,319,1.4303
1979,7,3,3,310,2.3826
1979,7,3,4,208,2.0179
1979,7,3,5,75,3.5476
1979,8,1,1,159,7.7659
1979,8,1,2,196,9.0400
1979,8,1,3,278,8.9171
1979,8,1,4,373,8.2352
1979,8,1,5,588,7.9627
1979,8,2,1,159,8.6092
1979,8,2,2,207,9.7063
1979,8,2,3,245,7.9578
1979,8,2,4,277,7.1414
1979,8,2,5,193,8.6065
1979,8,3,1,271,6.2536
1979,8,3,2,315,8.1433
1979,8,3,3,311,7.0163
1979,8,3,4,203,3.9806
1979,8,3,5,74,5.9192
1979,9,1,1,157,0.6771
1979,9,1,2,187,-0.6815
1979,9,1,3,272,0.4525
1979,9,1,4,356,-0.4483
1979,9,1,5,586,-1.6997
1979,9,2,1,159,-0.0786
1979,9,2,2,210,1.1661
1979,9,2,3,242,1.2227
1979,9,2,4,270,-0.4943
1979,9,2,5,198,-1.8693
1979,9,3,1,268,0.5749
1979,9,3,2,318,2.3162
1979,9,3,3,300,-0.9734
1979,9,3,4,207,-1.7549
1979,9,3,5,78,-2.6740
1979,10,1,1,152,-8.1956
1979,10,1,2,189,-10.1687
1979,10,1,3,267,-9.7467
1979,10,1,4,345,-9.3683
1979,10,1,5,581,-12.5883
1979,10,2,1,152,-9.3537
1979,10,2,2,200,-8.0184
1979,10,2,3,229,-9.5242
1979,10,2,4,268,-9.5173
1979,10,2,5,194,-12.8702
1979,10,3,1,275,-5.9166
1979,10,3,2,316,-6.5196
1979,10,3,3,294,-7.1546
1979,10,3,4,194,-7.4925
1979,10,3,5,77,-11.2555
1979,11,1,1,159,7.0795
1979,11,1,2,194,8.2807
1979,11,1,3,265,7.9393
1979,11,1,4,357,8.4953
1979,11,1,5,586,7.7715
1979,11,2,1,145,8.7664
1979,11,2,2,200,9.3396
1979,11,2,3,246,7.8338
1979,11,2,4,282,8.6091
1979,11,2,5,202,8.4462
1979,11,3,1,283,4.9871
1979,11,3,2,326,6.8851
1979,11,3,3,297,7.0974
1979,11,3,4,196,6.0555
1979,11,3,5,75,7.0001
1979,12,1,1,160,9.5554
1979,12,1,2,186,8.0853
1979,12,1,3,269,8.4084
1979,12,1,4,352,7.4922
1979,12,1,5,585,6.2506
1979,12,2,1,141,6.0813
1979,12,2,2,203,5.9114
1979,12,2,3,255,6.7473
1979,12,2,4,287,5.2956
1979,12,2,5,198,6.6721
1979,12,3,1,289,1.6028
1979,12,3,2,328,4.3503
1979,12,3,3,298,3.3637
1979,12,3,4,197,0.0760
1979,12,3,5,74,5.2076
1980,1,1,1,153,13.2327
1980,1,1,2,168,8.7644
1980,1,1,3,264,10.3886
1980,1,1,4,342,10.9022
1980,1,1,5,569,9.5217
1980,1,2,1,135,7.0507
1980,1,2,2,187,6.5053
1980,1,2,3,257,5.4163
1980,1,2,4,268,6.1083
1980,1,2,5,185,6.8006
1980,1,3,1,278,7.5470
1980,1,3,2,313,8.8854
1980,1,3,3,280,5.7304
1980,1,3,4,190,2.6347
1980,1,3,5,71,6.3165
1980,2,1,1,155,-1.5814
1980,2,1,2,187,-2.0823
1980,2,1,3,290,-2.2687
1980,2,1,4,355,-2.5073
1980,2,1,5,566,-2.4083
1980,2,2,1,134,-1.7906
1980,2,2,2,191,-2.6594
1980,2,2,3,269,-2.2754
1980,2,2,4,265,-2.6355
1980,2,2,5,190,-2.8766
1980,2,3,1,290,1.9658
1980,2,3,2,332,1.5496
1980,2,3,3,273,-2.4118
1980,2,3,4,200,-3.0723
1980,2,3,5,78,-5.1504
1980,3,1,1,156,-16.7654
1980,3,1,2,186,-18.4387
1980,3,1,3,307,-18.2286
1980,3,1,4,366,-16.5643
1980,3,1,5,545,-20.0632
1980,3,2,1,138,-16.0055
1980,3,2,2,203,-16.4860
1980,3,2,3,278,-16.1361
1980,3,2,4,266,-15.1759
1980,3,2,5,195,-16.9945
1980,3,3,1,297,-12.0498
1980,3,3,2,339,-12.3627
1980,3,3,3,274,-11.2120
1980,3,3,4,200,-7.0073
1980,3,3,5,74,-14.2649
1980,4,1,1,151,7.1488
1980,4,1,2,191,7.3802
1980,4,1,3,293,6.6816
1980,4,1,4,376,6.7243
1980,4,1,5,554,4.3269
1980,4,2,1,136,5.7879
1980,4,2,2,198,5.3403
1980,4,2,3,281,6.0451
1980,4,2,4,291,6.3569
1980,4,2,5,206,6.0805
1980,4,3,1,305,3.9389
1980,4,3,2,340,3.7571
1980,4,3,3,292,5.2553
1980,4,3,4,205,9.3352
1980,4,3,5,80,9.5955
1980,5,1,1,161,7.9927
1980,5,1,2,198,5.1810
1980,5,1,3,299,6.1857
1980,5,1,4,383,6.4872
1980,5,1,5,558,6.8752
1980,5,2,1,143,8.0650
1980,5,2,2,208,8.1616
1980,5,2,3,287,8.0815
1980,5,2,4,307,8.9747
1980,5,2,5,208,8.2895
1980,5,3,1,311,4.8982
1980,5,3,2,365,5.8196
1980,5,3,3,310,7.1756
1980,5,3,4,219,5.9182
1980,5,3,5,84,5.7541
1980,6,1,1,153,3.8788
1980,6,1,2,196,3.3180
1980,6,1,3,301,3.5168
1980,6,1,4,391,3.6024
1980,6,1,5,555,2.8991
1980,6,2,1,146,4.2813
1980,6,2,2,211,4.1173
1980,6,2,3,286,4.3905
1980,6,2,4,307,4.2566
1980,6,2,5,201,2.8697
1980,6,3,1,318,3.8408
1980,6,3,2,378,3.2617
1980,6,3,3,321,3.3807
1980,6,3,4,220,3.0626
1980,6,3,5,84,2.5717
1980,7,1,1,146,11.4201
1980,7,1,2,197,12.6113
1980,7,1,3,291,12.2771
1980,7,1,4,380,11.4299
1980,7,1,5,556,11.8500
1980,7,2,1,138,11.0900
1980,7,2,2,208,13.8318
1980,7,2,3,270,11.1006
1980,7,2,4,303,8.8338
1980,7,2,5,192,9.7053
1980,7,3,1,308,6.9130
1980,7,3,2,372,9.4639
1980,7,3,3,315,6.9392
1980,7,3,4,223,4.3638
1980,7,3,5,74,10.0205
1980,8,1,1,144,7.4845
1980,8,1,2,205,7.9026
1980,8,1,3,290,8.0748
1980,8,1,4,378,6.7044
1980,8,1,5,565,8.5027
1980,8,2,1,141,5.4543
1980,8,2,2,212,6.0003
1980,8,2,3,289,5.4420
1980,8,2,4,299,3.2680
1980,8,2,5,193,6.0668
1980,8,3,1,304,1.9380
1980,8,3,2,373,1.6531
1980,8,3,3,322,0.4649
1980,8,3,4,224,0.3202
1980,8,3,5,69,2.7783
1980,9,1,1,138,3.8101
1980,9,1,2,200,3.1859
1980,9,1,3,287,3.2344
1980,9,1,4,365,3.2820
1980,9,1,5,556,2.9320
1980,9,2,1,139,3.6358
1980,9,2,2,198,4.7489
1980,9,2,3,286,3.6215
1980,9,2,4,296,3.0457
