year,month,rank_ME,rank_TBIq_6,nstocks,ret_vw
1969,7,1,1,163,-12.5120
1969,7,1,2,141,-10.3819
1969,7,1,3,145,-10.7446
1969,7,1,4,159,-10.2196
1969,7,1,5,307,-10.2666
1969,7,2,1,103,-10.8987
1969,7,2,2,120,-9.0610
1969,7,2,3,118,-7.9235
1969,7,2,4,109,-8.2826
1969,7,2,5,131,-8.8691
1969,7,3,1,134,-7.3360
1969,7,3,2,167,-7.2688
1969,7,3,3,187,-5.3544
1969,7,3,4,152,-4.9081
1969,7,3,5,136,-5.3791
1969,8,1,1,203,3.5418
1969,8,1,2,177,3.2677
1969,8,1,3,176,4.7588
1969,8,1,4,198,5.8790
1969,8,1,5,327,4.8009
1969,8,2,1,115,8.0909
1969,8,2,2,135,6.3983
1969,8,2,3,140,6.2248
1969,8,2,4,128,6.7117
1969,8,2,5,145,6.4168
1969,8,3,1,153,4.6599
1969,8,3,2,191,5.9213
1969,8,3,3,211,4.1012
1969,8,3,4,172,5.5801
1969,8,3,5,153,6.5036
1969,9,1,1,204,-1.7052
1969,9,1,2,173,-3.5717
1969,9,1,3,180,-2.4182
1969,9,1,4,201,-4.0382
1969,9,1,5,335,-3.6293
1969,9,2,1,118,0.0432
1969,9,2,2,137,-0.3227
1969,9,2,3,140,0.3793
1969,9,2,4,133,0.1276
1969,9,2,5,144,0.1841
1969,9,3,1,153,-5.2727
1969,9,3,2,192,-3.2072
1969,9,3,3,210,-1.3021
1969,9,3,4,174,-0.6218
1969,9,3,5,156,-1.6753
1969,10,1,1,179,9.6368
1969,10,1,2,141,10.4656
1969,10,1,3,153,11.0099
1969,10,1,4,186,10.8139
1969,10,1,5,298,10.5404
1969,10,2,1,111,8.4111
1969,10,2,2,121,5.3389
1969,10,2,3,124,7.3865
1969,10,2,4,115,8.5724
1969,10,2,5,122,8.0843
1969,10,3,1,142,3.9473
1969,10,3,2,170,3.3713
1969,10,3,3,176,5.4613
1969,10,3,4,147,6.2103
1969,10,3,5,144,6.1760
1969,11,1,1,199,-8.3269
1969,11,1,2,172,-6.6151
1969,11,1,3,186,-6.3399
1969,11,1,4,214,-6.0758
1969,11,1,5,337,-6.1576
1969,11,2,1,132,-5.2343
1969,11,2,2,139,-5.7148
1969,11,2,3,142,-3.4153
1969,11,2,4,130,-3.7258
1969,11,2,5,144,-3.5082
1969,11,3,1,163,-4.1177
1969,11,3,2,187,-3.5037
1969,11,3,3,197,-2.1523
1969,11,3,4,172,-1.7258
1969,11,3,5,165,-1.6951
1969,12,1,1,204,-7.9463
1969,12,1,2,175,-7.3695
1969,12,1,3,187,-6.1398
1969,12,1,4,216,-6.1056
1969,12,1,5,342,-6.8395
1969,12,2,1,131,-7.1177
1969,12,2,2,143,-5.6013
1969,12,2,3,142,-2.4541
1969,12,2,4,131,-3.2136
1969,12,2,5,141,-3.8569
1969,12,3,1,162,-2.1679
1969,12,3,2,187,-1.7922
1969,12,3,3,200,-2.5063
1969,12,3,4,171,0.3891
1969,12,3,5,166,-0.5405
1970,1,1,1,170,-2.6804
1970,1,1,2,144,-5.0841
1970,1,1,3,157,-3.4553
1970,1,1,4,169,-3.7307
1970,1,1,5,265,-3.6466
1970,1,2,1,122,-7.6226
1970,1,2,2,118,-6.7915
1970,1,2,3,112,-7.6440
1970,1,2,4,105,-3.7670
1970,1,2,5,118,-5.1960
1970,1,3,1,135,-9.7431
1970,1,3,2,140,-7.0652
1970,1,3,3,157,-7.1211
1970,1,3,4,136,-7.8819
1970,1,3,5,138,-6.7779
1970,2,1,1,187,3.6057
1970,2,1,2,166,1.7802
1970,2,1,3,184,3.1938
1970,2,1,4,199,3.5978
1970,2,1,5,292,3.1862
1970,2,2,1,131,6.1296
1970,2,2,2,138,3.2664
1970,2,2,3,129,3.8429
1970,2,2,4,122,2.2456
1970,2,2,5,134,2.5855
1970,2,3,1,146,8.2531
1970,2,3,2,155,6.2195
1970,2,3,3,177,5.0227
1970,2,3,4,165,4.8427
1970,2,3,5,153,2.4014
1970,3,1,1,184,-2.8482
1970,3,1,2,171,-4.0902
1970,3,1,3,181,-4.5980
1970,3,1,4,202,-1.8336
1970,3,1,5,301,-4.8814
1970,3,2,1,132,-2.0151
1970,3,2,2,139,-2.3243
1970,3,2,3,135,-2.0855
1970,3,2,4,127,-2.2627
1970,3,2,5,133,-3.1609
1970,3,3,1,148,-1.2490
1970,3,3,2,157,0.8557
1970,3,3,3,171,-0.5432
1970,3,3,4,171,-0.3845
1970,3,3,5,157,-1.3391
1970,4,1,1,160,-20.1437
1970,4,1,2,148,-17.2504
1970,4,1,3,157,-16.0418
1970,4,1,4,185,-14.7075
1970,4,1,5,272,-16.4565
1970,4,2,1,116,-17.7642
1970,4,2,2,122,-15.0592
1970,4,2,3,121,-15.3683
1970,4,2,4,107,-14.7703
1970,4,2,5,124,-16.5426
1970,4,3,1,136,-9.7164
1970,4,3,2,142,-9.6377
1970,4,3,3,154,-8.4470
1970,4,3,4,150,-10.1753
1970,4,3,5,141,-9.7626
1970,5,1,1,202,-10.2205
1970,5,1,2,191,-11.5143
1970,5,1,3,195,-10.8044
1970,5,1,4,214,-9.3065
1970,5,1,5,352,-8.3482
1970,5,2,1,133,-10.8310
1970,5,2,2,147,-9.6835
1970,5,2,3,136,-10.5742
1970,5,2,4,126,-11.2400
1970,5,2,5,156,-8.8374
1970,5,3,1,160,-3.3805
1970,5,3,2,177,-6.3085
1970,5,3,3,197,-5.4219
1970,5,3,4,173,-7.4180
1970,5,3,5,184,-7.6266
1970,6,1,1,207,-8.4477
1970,6,1,2,188,-8.4906
