year,month,rank_ME,rank_EG_1,nstocks,ret_vw
1969,6,3,4,96,-6.1799
1969,6,3,5,81,-2.3807
1969,7,1,1,196,-12.6485
1969,7,1,2,85,-10.8633
1969,7,1,3,72,-10.2728
1969,7,1,4,63,-9.0553
1969,7,1,5,97,-10.8120
1969,7,2,1,64,-13.2158
1969,7,2,2,46,-10.9072
1969,7,2,3,52,-8.5123
1969,7,2,4,44,-6.8424
1969,7,2,5,48,-7.9663
1969,7,3,1,66,-9.0708
1969,7,3,2,82,-8.6114
1969,7,3,3,87,-5.4396
1969,7,3,4,94,-5.7839
1969,7,3,5,81,-4.8345
1969,8,1,1,194,4.1829
1969,8,1,2,121,4.3212
1969,8,1,3,71,4.5127
1969,8,1,4,61,4.3119
1969,8,1,5,74,3.9658
1969,8,2,1,69,9.0319
1969,8,2,2,50,6.2944
1969,8,2,3,42,6.2423
1969,8,2,4,43,5.3906
1969,8,2,5,50,6.2575
1969,8,3,1,61,10.5232
1969,8,3,2,74,5.7420
1969,8,3,3,96,5.2138
1969,8,3,4,92,4.5371
1969,8,3,5,88,5.1296
1969,9,1,1,196,-5.0841
1969,9,1,2,110,-3.6702
1969,9,1,3,71,-3.5824
1969,9,1,4,64,-1.9879
1969,9,1,5,79,-3.3493
1969,9,2,1,70,-1.6897
1969,9,2,2,57,-0.0346
1969,9,2,3,46,-1.6313
1969,9,2,4,42,0.2709
1969,9,2,5,50,2.2920
1969,9,3,1,65,-3.5627
1969,9,3,2,72,-2.6216
1969,9,3,3,92,-3.1395
1969,9,3,4,91,-3.8602
1969,9,3,5,88,-0.5577
1969,10,1,1,204,12.2496
1969,10,1,2,97,12.5240
1969,10,1,3,72,10.5456
1969,10,1,4,65,7.3573
1969,10,1,5,81,9.9019
1969,10,2,1,74,11.8426
1969,10,2,2,58,7.9700
1969,10,2,3,46,5.4494
1969,10,2,4,42,7.2405
1969,10,2,5,46,5.9815
1969,10,3,1,65,5.1211
1969,10,3,2,76,4.2216
1969,10,3,3,88,4.8311
1969,10,3,4,94,3.4722
1969,10,3,5,89,5.6427
1969,11,1,1,200,-8.6169
1969,11,1,2,97,-7.1014
1969,11,1,3,74,-3.5251
1969,11,1,4,69,-6.5517
1969,11,1,5,95,-5.9641
1969,11,2,1,71,-6.2502
1969,11,2,2,58,-6.1419
1969,11,2,3,40,-4.7442
1969,11,2,4,52,-2.9871
1969,11,2,5,40,-4.0009
1969,11,3,1,71,-3.4370
1969,11,3,2,73,-3.5673
1969,11,3,3,91,-3.1493
1969,11,3,4,90,-2.4098
1969,11,3,5,93,-2.0016
1969,12,1,1,187,-10.5155
1969,12,1,2,108,-9.1132
1969,12,1,3,69,-8.2427
1969,12,1,4,75,-5.3393
1969,12,1,5,97,-8.0408
1969,12,2,1,70,-5.9098
1969,12,2,2,55,-7.6507
1969,12,2,3,50,-4.0180
1969,12,2,4,51,-5.1403
1969,12,2,5,42,-3.5742
1969,12,3,1,70,-3.1373
1969,12,3,2,74,-1.7785
1969,12,3,3,89,-1.6259
1969,12,3,4,89,-2.5282
1969,12,3,5,93,0.5918
1970,1,1,1,186,-2.6168
1970,1,1,2,119,-2.7996
1970,1,1,3,62,-2.0458
1970,1,1,4,79,-0.9817
