year,month,rank_ME,rank_COP,nstocks,ret_vw
1968,9,1,5,116,6.8277
1968,9,2,1,70,6.3992
1968,9,2,2,50,7.7161
1968,9,2,3,52,6.0174
1968,9,2,4,48,7.1015
1968,9,2,5,44,8.6582
1968,9,3,1,68,4.6223
1968,9,3,2,82,6.2324
1968,9,3,3,77,5.9326
1968,9,3,4,88,4.2794
1968,9,3,5,94,2.1733
1968,10,1,1,182,-1.7972
1968,10,1,2,95,1.4983
1968,10,1,3,97,2.2444
1968,10,1,4,83,1.2565
1968,10,1,5,116,0.7716
1968,10,2,1,70,-1.1915
1968,10,2,2,50,0.3303
1968,10,2,3,52,1.9504
1968,10,2,4,48,0.5332
1968,10,2,5,43,3.7031
1968,10,3,1,68,0.2984
1968,10,3,2,82,0.4508
1968,10,3,3,77,3.1609
1968,10,3,4,88,1.3636
1968,10,3,5,93,-0.7121
1968,11,1,1,182,6.6379
1968,11,1,2,95,6.1674
1968,11,1,3,96,5.3570
1968,11,1,4,82,5.7067
1968,11,1,5,116,10.5400
1968,11,2,1,70,9.1034
1968,11,2,2,50,8.4628
1968,11,2,3,52,7.2146
1968,11,2,4,48,8.8212
1968,11,2,5,44,6.8134
1968,11,3,1,68,8.2427
1968,11,3,2,82,3.2837
1968,11,3,3,77,6.0392
1968,11,3,4,88,5.6586
1968,11,3,5,93,4.8100
1968,12,1,1,182,2.3929
1968,12,1,2,94,0.8893
1968,12,1,3,97,1.4914
1968,12,1,4,83,2.3767
1968,12,1,5,116,2.4928
1968,12,2,1,70,-1.7604
1968,12,2,2,50,-2.5288
1968,12,2,3,52,-0.3118
1968,12,2,4,48,0.6847
1968,12,2,5,44,-2.4925
1968,12,3,1,68,-4.9008
1968,12,3,2,82,-3.4735
1968,12,3,3,77,-3.2157
1968,12,3,4,88,-4.4630
1968,12,3,5,93,-4.4500
1969,1,1,1,182,-0.3841
1969,1,1,2,94,-1.3400
1969,1,1,3,97,-0.8828
1969,1,1,4,83,-2.8754
1969,1,1,5,116,-1.2074
1969,1,2,1,70,-1.5502
1969,1,2,2,50,-2.3257
1969,1,2,3,52,-1.1215
1969,1,2,4,48,-2.7136
1969,1,2,5,44,-1.8249
1969,1,3,1,68,-2.1229
1969,1,3,2,82,-1.7325
1969,1,3,3,76,-0.6779
1969,1,3,4,88,-0.3104
1969,1,3,5,93,-1.7157
1969,2,1,1,181,-11.4402
1969,2,1,2,94,-10.4401
1969,2,1,3,96,-9.6873
1969,2,1,4,83,-9.5312
1969,2,1,5,116,-8.3083
1969,2,2,1,70,-10.5629
1969,2,2,2,50,-8.0324
1969,2,2,3,52,-8.0711
1969,2,2,4,48,-6.5558
1969,2,2,5,44,-8.1786
1969,2,3,1,68,-9.3226
1969,2,3,2,82,-4.1989
1969,2,3,3,76,-5.7653
1969,2,3,4,88,-4.0435
1969,2,3,5,93,-2.9146
1969,3,1,1,181,2.2006
1969,3,1,2,94,3.7905
1969,3,1,3,95,3.7862
1969,3,1,4,83,1.3254
1969,3,1,5,116,3.0109
1969,3,2,1,70,0.3898
1969,3,2,2,50,5.0908
1969,3,2,3,52,3.0204
1969,3,2,4,48,3.2136
1969,3,2,5,44,3.9358
1969,3,3,1,68,2.7008
1969,3,3,2,82,3.9741
1969,3,3,3,76,6.5588
1969,3,3,4,88,2.9761
1969,3,3,5,93,3.2143
1969,4,1,1,181,-0.7660
1969,4,1,2,94,0.4093
1969,4,1,3,95,-0.5820
1969,4,1,4,83,-1.3387
1969,4,1,5,116,-0.0863
1969,4,2,1,69,0.4267
1969,4,2,2,50,0.4082
1969,4,2,3,52,1.3157
1969,4,2,4,48,1.8631
1969,4,2,5,44,2.4419
1969,4,3,1,68,2.8964
1969,4,3,2,82,2.0063
1969,4,3,3,76,1.4312
1969,4,3,4,88,3.1004
1969,4,3,5,93,2.6039
1969,5,1,1,180,1.1463
1969,5,1,2,93,1.5467
1969,5,1,3,96,2.1792
1969,5,1,4,83,0.4720
1969,5,1,5,116,0.1749
1969,5,2,1,70,-2.0036
1969,5,2,2,50,0.3770
1969,5,2,3,51,1.0157
1969,5,2,4,48,0.2254
1969,5,2,5,44,1.0637
1969,5,3,1,67,-3.2826
1969,5,3,2,82,0.1153
1969,5,3,3,76,1.5288
1969,5,3,4,87,1.0976
1969,5,3,5,93,0.1259
1969,6,1,1,180,-14.7446
1969,6,1,2,94,-14.0615
1969,6,1,3,96,-13.4586
1969,6,1,4,83,-14.4745
1969,6,1,5,116,-12.1020
1969,6,2,1,70,-12.3194
1969,6,2,2,50,-11.9025
1969,6,2,3,52,-11.6908
1969,6,2,4,48,-9.8448
1969,6,2,5,44,-8.8171
1969,6,3,1,68,-9.3965
1969,6,3,2,81,-7.1237
1969,6,3,3,76,-8.6275
1969,6,3,4,87,-6.6105
1969,6,3,5,93,-1.7891
1969,7,1,1,205,-13.5121
1969,7,1,2,144,-12.2602
1969,7,1,3,96,-10.3398
1969,7,1,4,82,-9.7638
1969,7,1,5,97,-9.1811
1969,7,2,1,85,-12.0322
1969,7,2,2,47,-8.5506
1969,7,2,3,55,-10.6836
1969,7,2,4,57,-8.4422
1969,7,2,5,46,-6.9515
1969,7,3,1,58,-8.8501
1969,7,3,2,71,-7.4442
1969,7,3,3,97,-7.7104
1969,7,3,4,99,-6.4199
1969,7,3,5,101,-4.1822
1969,8,1,1,204,4.0152
1969,8,1,2,143,3.6818
1969,8,1,3,96,3.5388
1969,8,1,4,82,4.5780
1969,8,1,5,97,3.6175
1969,8,2,1,85,9.0130
1969,8,2,2,47,6.8490
1969,8,2,3,55,4.7228
1969,8,2,4,57,5.3524
1969,8,2,5,46,6.4396
1969,8,3,1,58,9.0437
1969,8,3,2,71,2.8648
1969,8,3,3,97,6.7287
1969,8,3,4,99,3.9779
1969,8,3,5,101,5.7094
1969,9,1,1,204,-4.2371
1969,9,1,2,144,-4.0400
1969,9,1,3,96,-0.8230
1969,9,1,4,82,-1.4326
1969,9,1,5,97,-4.9986
1969,9,2,1,85,-2.7535
1969,9,2,2,46,0.0568
1969,9,2,3,55,-1.7105
1969,9,2,4,56,1.3390
1969,9,2,5,46,3.5809
1969,9,3,1,58,-3.9871
1969,9,3,2,71,-1.5660
1969,9,3,3,97,-4.8619
1969,9,3,4,99,-3.2067
1969,9,3,5,101,-0.2724
1969,10,1,1,204,12.0256
1969,10,1,2,144,10.0130
1969,10,1,3,96,10.2918
1969,10,1,4,82,8.7175
1969,10,1,5,97,9.3537
1969,10,2,1,85,9.9327
