year,month,rank_ME,rank_OPE,nstocks,ret_vw
1969,1,2,4,61,-3.1458
1969,1,2,5,69,-2.6654
1969,1,3,1,65,0.2696
1969,1,3,2,97,-0.3583
1969,1,3,3,115,0.5648
1969,1,3,4,116,-0.9669
1969,1,3,5,123,-2.3430
1969,2,1,1,231,-11.4469
1969,2,1,2,96,-9.6951
1969,2,1,3,77,-8.6013
1969,2,1,4,94,-8.3917
1969,2,1,5,114,-10.7217
1969,2,2,1,68,-9.3382
1969,2,2,2,63,-7.8932
1969,2,2,3,49,-7.8552
1969,2,2,4,61,-6.5922
1969,2,2,5,69,-8.7887
1969,2,3,1,65,-6.7097
1969,2,3,2,97,-4.8877
1969,2,3,3,115,-4.6582
1969,2,3,4,116,-4.5990
1969,2,3,5,123,-3.8285
1969,3,1,1,231,3.5861
1969,3,1,2,96,0.8319
1969,3,1,3,77,2.7013
1969,3,1,4,94,3.7755
1969,3,1,5,114,0.9514
1969,3,2,1,68,4.2532
1969,3,2,2,63,3.1386
1969,3,2,3,49,1.8817
1969,3,2,4,61,0.9191
1969,3,2,5,69,3.9245
1969,3,3,1,65,3.1814
1969,3,3,2,97,3.4639
1969,3,3,3,115,4.1083
1969,3,3,4,116,1.6890
1969,3,3,5,123,3.6201
1969,4,1,1,231,0.5070
1969,4,1,2,96,-0.2703
1969,4,1,3,77,-0.6394
1969,4,1,4,94,-0.1696
1969,4,1,5,114,-0.2638
1969,4,2,1,67,2.2636
1969,4,2,2,63,0.9504
1969,4,2,3,49,1.3398
1969,4,2,4,61,1.0712
1969,4,2,5,69,1.7908
1969,4,3,1,65,2.3561
1969,4,3,2,97,2.3515
1969,4,3,3,115,1.0367
1969,4,3,4,116,2.1532
1969,4,3,5,123,2.8792
1969,5,1,1,229,3.4415
1969,5,1,2,96,1.1531
1969,5,1,3,77,1.3212
1969,5,1,4,94,-0.2873
1969,5,1,5,114,-2.0704
1969,5,2,1,68,0.1649
1969,5,2,2,62,0.8933
1969,5,2,3,49,-0.1338
1969,5,2,4,61,1.1733
1969,5,2,5,69,-0.2577
1969,5,3,1,65,-0.2539
1969,5,3,2,97,0.6706
1969,5,3,3,115,0.9791
1969,5,3,4,116,-0.6657
1969,5,3,5,121,0.3585
1969,6,1,1,230,-15.0193
1969,6,1,2,96,-13.5195
1969,6,1,3,77,-12.5709
1969,6,1,4,94,-12.9920
1969,6,1,5,114,-12.5557
1969,6,2,1,68,-11.9171
1969,6,2,2,63,-11.2823
1969,6,2,3,49,-9.8188
1969,6,2,4,61,-8.0397
1969,6,2,5,69,-10.4419
1969,6,3,1,64,-9.0708
1969,6,3,2,97,-7.9947
1969,6,3,3,115,-6.9478
1969,6,3,4,116,-4.9811
1969,6,3,5,122,-2.6790
1969,7,1,1,272,-11.9967
1969,7,1,2,122,-11.1334
1969,7,1,3,99,-11.1018
1969,7,1,4,87,-9.2784
1969,7,1,5,115,-11.5923
1969,7,2,1,63,-9.6230
1969,7,2,2,62,-8.6921
1969,7,2,3,75,-6.9088
1969,7,2,4,67,-8.5613
1969,7,2,5,73,-10.1035
1969,7,3,1,84,-8.9206
1969,7,3,2,109,-6.2043
1969,7,3,3,108,-5.8094
1969,7,3,4,121,-6.0713
1969,7,3,5,123,-4.6645
1969,8,1,1,271,3.4749
1969,8,1,2,122,4.0111
1969,8,1,3,99,2.9233
1969,8,1,4,87,3.9333
1969,8,1,5,115,6.8007
1969,8,2,1,63,4.9006
1969,8,2,2,62,6.7100
1969,8,2,3,75,3.7397
1969,8,2,4,67,5.3230
1969,8,2,5,73,7.8614
1969,8,3,1,84,3.1899
1969,8,3,2,109,4.0277
1969,8,3,3,108,5.3464
1969,8,3,4,121,4.2210
1969,8,3,5,123,5.7319
1969,9,1,1,272,-3.6543
1969,9,1,2,122,-1.5176
