year,month,rank_ME,rank_Oq_1,nstocks,ret_vw
1979,10,3,3,80,-5.0906
1979,10,3,4,70,-6.2954
1979,10,3,5,41,-8.8783
1979,11,1,1,59,10.5035
1979,11,1,2,57,5.2700
1979,11,1,3,63,8.6308
1979,11,1,4,116,7.1955
1979,11,1,5,247,8.7264
1979,11,2,1,37,7.4815
1979,11,2,2,49,5.8579
1979,11,2,3,58,8.7625
1979,11,2,4,63,8.8205
1979,11,2,5,73,10.3202
1979,11,3,1,134,5.3422
1979,11,3,2,104,5.2756
1979,11,3,3,81,6.6929
1979,11,3,4,68,8.0300
1979,11,3,5,44,7.3937
1979,12,1,1,56,7.8627
1979,12,1,2,56,9.8300
1979,12,1,3,64,5.2465
1979,12,1,4,117,7.4190
1979,12,1,5,243,6.5189
1979,12,2,1,40,6.2024
1979,12,2,2,52,6.0651
1979,12,2,3,59,4.0645
1979,12,2,4,62,5.3591
1979,12,2,5,75,5.4471
1979,12,3,1,136,2.0324
1979,12,3,2,100,4.8692
1979,12,3,3,79,1.1451
1979,12,3,4,70,-0.2272
1979,12,3,5,43,0.3761
1980,1,1,1,55,9.3508
1980,1,1,2,53,10.2548
1980,1,1,3,70,9.8598
1980,1,1,4,110,10.7324
1980,1,1,5,236,10.1642
1980,1,2,1,40,4.7653
1980,1,2,2,53,6.1009
1980,1,2,3,61,7.6959
1980,1,2,4,66,6.6514
1980,1,2,5,75,5.1028
1980,1,3,1,137,9.4112
1980,1,3,2,99,9.4466
1980,1,3,3,78,2.8349
1980,1,3,4,67,3.7759
1980,1,3,5,45,1.4190
1980,2,1,1,54,-1.4233
1980,2,1,2,52,-2.2794
1980,2,1,3,77,-3.7407
1980,2,1,4,105,-1.3240
1980,2,1,5,241,-2.6805
1980,2,2,1,42,-1.0921
1980,2,2,2,52,-3.9362
1980,2,2,3,59,-4.0063
1980,2,2,4,63,-3.1066
1980,2,2,5,75,-2.6699
1980,2,3,1,139,7.0146
1980,2,3,2,99,0.0845
1980,2,3,3,82,0.8426
1980,2,3,4,74,-2.5182
1980,2,3,5,38,-0.9870
1980,3,1,1,54,-17.2131
1980,3,1,2,51,-17.0393
1980,3,1,3,79,-16.6265
1980,3,1,4,100,-19.1108
1980,3,1,5,236,-18.0984
1980,3,2,1,43,-15.3594
1980,3,2,2,50,-16.2012
1980,3,2,3,62,-15.5514
1980,3,2,4,62,-14.6672
1980,3,2,5,80,-13.9960
1980,3,3,1,138,-14.0553
1980,3,3,2,102,-13.6942
1980,3,3,3,78,-9.2371
1980,3,3,4,77,-9.0840
1980,3,3,5,36,-9.1589
1980,4,1,1,56,6.6245
1980,4,1,2,50,6.0646
1980,4,1,3,76,3.6031
1980,4,1,4,100,4.0401
1980,4,1,5,237,6.5438
1980,4,2,1,40,2.5370
1980,4,2,2,54,5.5641
1980,4,2,3,60,3.2911
1980,4,2,4,62,8.3630
1980,4,2,5,77,8.4484
1980,4,3,1,140,4.2875
1980,4,3,2,98,3.5826
1980,4,3,3,77,8.6538
1980,4,3,4,77,12.2458
1980,4,3,5,39,12.1146
1980,5,1,1,59,11.9059
1980,5,1,2,44,5.2624
1980,5,1,3,82,5.7758
1980,5,1,4,106,7.4659
1980,5,1,5,243,6.7284
1980,5,2,1,43,7.4900
1980,5,2,2,52,10.6845
1980,5,2,3,66,8.7251
1980,5,2,4,70,8.1401
1980,5,2,5,78,6.9949
1980,5,3,1,146,5.1655
1980,5,3,2,110,7.3944
1980,5,3,3,82,5.9711
1980,5,3,4,77,4.1033
1980,5,3,5,51,5.7108
1980,6,1,1,59,4.3560
1980,6,1,2,44,6.0753
1980,6,1,3,76,5.7392
1980,6,1,4,108,1.4722
1980,6,1,5,243,4.1907
1980,6,2,1,45,4.0739
1980,6,2,2,48,2.8188
1980,6,2,3,73,3.1187
1980,6,2,4,70,5.3544
1980,6,2,5,81,5.2446
1980,6,3,1,144,3.7169
1980,6,3,2,115,2.7197
1980,6,3,3,78,1.9997
1980,6,3,4,78,5.7668
1980,6,3,5,49,5.8850
1980,7,1,1,57,15.8614
1980,7,1,2,43,10.9062
1980,7,1,3,80,11.3739
1980,7,1,4,104,10.5702
1980,7,1,5,237,9.6286
1980,7,2,1,45,11.5512
1980,7,2,2,53,10.6659
1980,7,2,3,71,12.8182
1980,7,2,4,71,11.1060
1980,7,2,5,82,6.4832
1980,7,3,1,143,5.1895
1980,7,3,2,112,8.7417
1980,7,3,3,77,4.9316
1980,7,3,4,80,-0.0302
1980,7,3,5,51,3.2959
1980,8,1,1,56,6.8941
1980,8,1,2,48,10.9396
1980,8,1,3,74,8.4479
1980,8,1,4,94,7.7657
1980,8,1,5,243,5.1316
1980,8,2,1,38,4.0546
1980,8,2,2,51,4.9547
1980,8,2,3,67,4.9046
1980,8,2,4,72,3.9310
1980,8,2,5,70,2.9114
1980,8,3,1,130,1.7991
1980,8,3,2,106,1.1716
1980,8,3,3,72,4.0008
1980,8,3,4,66,-0.1283
1980,8,3,5,43,0.0174
1980,9,1,1,51,3.3295
1980,9,1,2,53,4.6619
1980,9,1,3,75,2.7716
1980,9,1,4,90,1.1814
1980,9,1,5,245,1.3076
1980,9,2,1,41,5.3236
1980,9,2,2,49,1.8310
1980,9,2,3,64,6.4406
1980,9,2,4,74,1.9255
1980,9,2,5,72,0.2940
