year,month,rank_ME,rank_OPA,nstocks,ret_vw
1970,12,3,3,90,6.3417
1970,12,3,4,110,7.7774
1970,12,3,5,116,5.0487
1971,1,1,1,282,18.7413
1971,1,1,2,162,14.0229
1971,1,1,3,135,15.0189
1971,1,1,4,107,13.3394
1971,1,1,5,113,12.6992
1971,1,2,1,72,15.4643
1971,1,2,2,57,10.0523
1971,1,2,3,66,10.8389
1971,1,2,4,73,11.2506
1971,1,2,5,74,6.9817
1971,1,3,1,47,8.5709
1971,1,3,2,86,4.2561
1971,1,3,3,90,4.7065
1971,1,3,4,110,4.4301
1971,1,3,5,116,3.8434
1971,2,1,1,281,5.8387
1971,2,1,2,161,5.5724
1971,2,1,3,135,6.1774
1971,2,1,4,105,4.3317
1971,2,1,5,113,7.1492
1971,2,2,1,72,2.3330
1971,2,2,2,56,3.2036
1971,2,2,3,66,2.0925
1971,2,2,4,73,4.3642
1971,2,2,5,74,3.4944
1971,2,3,1,47,-0.2749
1971,2,3,2,86,3.2831
1971,2,3,3,90,0.3199
1971,2,3,4,110,2.6957
1971,2,3,5,115,1.9729
1971,3,1,1,280,5.0489
1971,3,1,2,161,6.4789
1971,3,1,3,135,7.3314
1971,3,1,4,105,6.6764
1971,3,1,5,113,6.9532
1971,3,2,1,72,6.1959
1971,3,2,2,56,6.0406
1971,3,2,3,66,6.5752
1971,3,2,4,73,6.7803
1971,3,2,5,74,10.0141
1971,3,3,1,47,4.5806
1971,3,3,2,86,3.3659
1971,3,3,3,90,2.6387
1971,3,3,4,110,4.6415
1971,3,3,5,114,4.9919
1971,4,1,1,279,2.8894
1971,4,1,2,161,2.5647
1971,4,1,3,135,1.9472
1971,4,1,4,105,2.6833
1971,4,1,5,112,1.9082
1971,4,2,1,71,5.6528
1971,4,2,2,56,1.8758
1971,4,2,3,65,2.5919
1971,4,2,4,73,4.7028
1971,4,2,5,74,5.0700
1971,4,3,1,47,4.9376
1971,4,3,2,86,7.1978
1971,4,3,3,90,1.9563
1971,4,3,4,110,6.4289
1971,4,3,5,114,3.5117
1971,5,1,1,275,-7.6108
1971,5,1,2,161,-6.3968
1971,5,1,3,134,-6.0095
1971,5,1,4,105,-6.2316
