year,month,rank_ME,rank_CTO,nstocks,ret_vw
1971,3,1,2,107,5.2282
1971,3,1,3,138,6.1617
1971,3,1,4,170,7.5768
1971,3,1,5,247,7.0647
1971,3,2,1,61,5.9026
1971,3,2,2,50,4.6064
1971,3,2,3,64,5.5378
1971,3,2,4,69,5.6495
1971,3,2,5,100,8.4166
1971,3,3,1,139,2.2928
1971,3,3,2,123,3.9550
1971,3,3,3,108,5.2780
1971,3,3,4,87,4.3832
1971,3,3,5,84,5.0675
1971,4,1,1,57,2.0287
1971,4,1,2,107,2.6552
1971,4,1,3,137,2.1373
1971,4,1,4,169,4.0068
1971,4,1,5,247,1.1565
1971,4,2,1,60,2.4516
1971,4,2,2,50,8.2025
1971,4,2,3,63,4.0125
1971,4,2,4,69,4.8636
1971,4,2,5,99,2.8554
1971,4,3,1,139,0.4650
1971,4,3,2,123,3.5314
1971,4,3,3,108,5.0965
1971,4,3,4,87,5.6497
1971,4,3,5,84,4.7478
1971,5,1,1,57,-7.3694
1971,5,1,2,106,-6.7687
1971,5,1,3,137,-5.9771
1971,5,1,4,166,-5.8698
1971,5,1,5,246,-6.8476
1971,5,2,1,60,-4.1965
1971,5,2,2,50,-4.9442
1971,5,2,3,63,-5.0114
1971,5,2,4,69,-3.1217
1971,5,2,5,99,-5.1986
1971,5,3,1,139,-4.6665
1971,5,3,2,123,-4.1289
1971,5,3,3,108,-2.2421
1971,5,3,4,87,-3.3013
1971,5,3,5,84,-1.7664
1971,6,1,1,56,-2.7843
1971,6,1,2,104,-1.5018
1971,6,1,3,136,-3.2625
1971,6,1,4,165,-2.0427
1971,6,1,5,245,-2.2477
1971,6,2,1,60,-3.1973
1971,6,2,2,49,-1.6518
1971,6,2,3,63,-0.5044
1971,6,2,4,69,-1.3469
1971,6,2,5,99,1.0704
1971,6,3,1,139,2.0845
1971,6,3,2,123,-1.5888
1971,6,3,3,107,0.6444
1971,6,3,4,87,1.1490
1971,6,3,5,84,1.9188
1971,7,1,1,84,-7.0763
1971,7,1,2,134,-6.6666
1971,7,1,3,157,-6.8729
1971,7,1,4,176,-6.0859
1971,7,1,5,240,-6.6712
1971,7,2,1,74,-2.0136
1971,7,2,2,49,-6.2907
1971,7,2,3,74,-6.5870
1971,7,2,4,81,-3.6199
1971,7,2,5,95,-5.2560
1971,7,3,1,129,-3.8536
1971,7,3,2,135,-4.1845
1971,7,3,3,102,-3.7586
1971,7,3,4,99,-4.6342
1971,7,3,5,106,-4.2678
1971,8,1,1,84,2.6624
1971,8,1,2,134,3.7961
1971,8,1,3,156,5.2658
1971,8,1,4,176,5.9560
1971,8,1,5,240,3.3722
1971,8,2,1,74,0.7963
1971,8,2,2,49,4.4456
1971,8,2,3,74,7.3801
1971,8,2,4,81,6.5261
1971,8,2,5,95,4.0002
1971,8,3,1,129,0.5187
1971,8,3,2,135,3.3509
1971,8,3,3,101,6.6344
1971,8,3,4,99,7.3484
1971,8,3,5,105,4.0480
1971,9,1,1,84,-1.5377
1971,9,1,2,134,-1.8936
1971,9,1,3,156,-0.7322
1971,9,1,4,176,-0.6128
1971,9,1,5,240,0.6729
1971,9,2,1,73,-2.5642
