year,month,rank_ME,rank_Fq_6,nstocks,ret_vw
1987,9,3,3,250,-1.9553
1987,9,3,4,247,-0.9494
1987,9,3,5,215,-1.6275
1987,10,1,1,792,-33.0422
1987,10,1,2,796,-31.6973
1987,10,1,3,800,-30.1820
1987,10,1,4,697,-29.7334
1987,10,1,5,575,-30.0380
1987,10,2,1,159,-34.6715
1987,10,2,2,203,-32.5853
1987,10,2,3,230,-31.5882
1987,10,2,4,214,-31.2445
1987,10,2,5,159,-30.0903
1987,10,3,1,138,-25.9617
1987,10,3,2,147,-23.4917
1987,10,3,3,203,-22.6989
1987,10,3,4,207,-20.8146
1987,10,3,5,187,-24.7546
1987,11,1,1,894,-8.5352
1987,11,1,2,936,-6.7702
1987,11,1,3,942,-4.8855
1987,11,1,4,812,-3.9624
1987,11,1,5,673,-3.5179
1987,11,2,1,185,-8.6481
1987,11,2,2,236,-5.7455
1987,11,2,3,263,-3.7848
1987,11,2,4,242,-4.5741
1987,11,2,5,181,-4.1355
1987,11,3,1,147,-6.5859
1987,11,3,2,186,-8.5915
1987,11,3,3,247,-9.5567
1987,11,3,4,243,-8.5505
1987,11,3,5,206,-7.3944
1987,12,1,1,898,3.5561
1987,12,1,2,940,5.0907
1987,12,1,3,959,4.5603
1987,12,1,4,805,4.8175
1987,12,1,5,678,6.2424
1987,12,2,1,191,10.4369
1987,12,2,2,244,12.1540
1987,12,2,3,268,11.6663
1987,12,2,4,250,8.9371
1987,12,2,5,180,12.6409
1987,12,3,1,143,8.6683
1987,12,3,2,189,9.0721
1987,12,3,3,243,7.9769
1987,12,3,4,243,7.9589
1987,12,3,5,201,10.5705
1988,1,1,1,756,6.1663
1988,1,1,2,733,6.3651
1988,1,1,3,821,6.3029
1988,1,1,4,692,6.1371
1988,1,1,5,603,5.7499
1988,1,2,1,159,0.2538
1988,1,2,2,223,2.1806
1988,1,2,3,229,1.6789
1988,1,2,4,212,2.4857
1988,1,2,5,163,3.9821
1988,1,3,1,104,2.9767
1988,1,3,2,149,4.7633
1988,1,3,3,205,4.4956
1988,1,3,4,198,1.6043
1988,1,3,5,171,1.0597
1988,2,1,1,869,7.3614
1988,2,1,2,853,8.4615
1988,2,1,3,959,8.5351
1988,2,1,4,826,7.4670
1988,2,1,5,690,8.3913
1988,2,2,1,175,10.3339
1988,2,2,2,258,10.4002
1988,2,2,3,262,10.7892
1988,2,2,4,233,10.5002
1988,2,2,5,183,9.6812
1988,2,3,1,110,6.8655
1988,2,3,2,167,7.8063
1988,2,3,3,239,4.0766
1988,2,3,4,242,6.2559
1988,2,3,5,205,6.6660
1988,3,1,1,859,4.1751
1988,3,1,2,857,4.6156
1988,3,1,3,966,5.1674
1988,3,1,4,826,5.8047
1988,3,1,5,700,6.4006
1988,3,2,1,171,4.1084
1988,3,2,2,257,3.0967
1988,3,2,3,263,4.4592
1988,3,2,4,231,4.6329
1988,3,2,5,188,4.9532
1988,3,3,1,116,-2.1246
1988,3,3,2,170,-1.5235
1988,3,3,3,236,-2.2879
1988,3,3,4,248,-2.8256
1988,3,3,5,205,-2.0930
1988,4,1,1,734,0.3659
1988,4,1,2,745,1.7042
1988,4,1,3,818,2.0133
1988,4,1,4,692,2.8678
