year,month,rank_ME,rank_RNAq_12,nstocks,ret_vw
1979,4,3,3,316,1.3781
1979,4,3,4,325,1.1459
1979,4,3,5,298,1.0013
1979,5,1,1,537,-0.7836
1979,5,1,2,522,-1.6740
1979,5,1,3,520,-0.8665
1979,5,1,4,447,-0.5813
1979,5,1,5,370,-0.5929
1979,5,2,1,225,-0.2716
1979,5,2,2,281,-0.0148
1979,5,2,3,300,-0.9180
1979,5,2,4,286,-1.7829
1979,5,2,5,287,-2.7329
1979,5,3,1,192,-0.2288
1979,5,3,2,296,-1.0747
1979,5,3,3,339,-2.2630
1979,5,3,4,333,-1.6730
1979,5,3,5,306,-1.9813
1979,6,1,1,538,6.4700
1979,6,1,2,519,5.6452
1979,6,1,3,513,4.6443
1979,6,1,4,450,4.5183
1979,6,1,5,372,4.3367
1979,6,2,1,227,7.4069
1979,6,2,2,281,5.2995
1979,6,2,3,305,3.8188
1979,6,2,4,292,4.8919
1979,6,2,5,289,3.1721
1979,6,3,1,194,4.4703
1979,6,3,2,299,5.9621
1979,6,3,3,335,5.5456
1979,6,3,4,333,3.9174
1979,6,3,5,305,2.9305
1979,7,1,1,516,1.1262
1979,7,1,2,483,1.9297
1979,7,1,3,477,2.4176
1979,7,1,4,418,2.8198
1979,7,1,5,358,3.3435
1979,7,2,1,215,3.4969
1979,7,2,2,262,3.3252
1979,7,2,3,286,3.2190
1979,7,2,4,274,3.5605
1979,7,2,5,275,2.7474
1979,7,3,1,186,2.0338
1979,7,3,2,289,1.5424
1979,7,3,3,311,1.8119
1979,7,3,4,317,1.8121
1979,7,3,5,294,0.3317
1979,8,1,1,550,7.2589
1979,8,1,2,505,8.3308
1979,8,1,3,502,8.1854
1979,8,1,4,425,8.3823
1979,8,1,5,370,9.0930
1979,8,2,1,227,7.4145
1979,8,2,2,283,7.7388
1979,8,2,3,291,8.1064
1979,8,2,4,278,8.3970
1979,8,2,5,280,9.7468
1979,8,3,1,194,4.1907
1979,8,3,2,313,6.1249
1979,8,3,3,341,8.6692
1979,8,3,4,343,7.1690
1979,8,3,5,301,5.9958
1979,9,1,1,552,-0.2523
1979,9,1,2,510,-1.0182
1979,9,1,3,500,-0.4369
1979,9,1,4,417,-0.3118
1979,9,1,5,375,-0.3482
1979,9,2,1,232,1.3143
1979,9,2,2,287,-0.2182
1979,9,2,3,299,-0.5867
1979,9,2,4,286,0.0898
1979,9,2,5,277,-0.2286
1979,9,3,1,194,-1.9264
1979,9,3,2,314,0.2645
1979,9,3,3,340,1.1892
1979,9,3,4,342,1.1003
1979,9,3,5,304,0.1696
1979,10,1,1,525,-11.6999
1979,10,1,2,475,-10.1648
1979,10,1,3,457,-11.3633
1979,10,1,4,399,-10.7538
1979,10,1,5,362,-8.8208
1979,10,2,1,213,-10.1340
1979,10,2,2,271,-10.1337
1979,10,2,3,289,-10.5147
1979,10,2,4,271,-9.1487
1979,10,2,5,266,-9.1399
1979,10,3,1,184,-7.4243
1979,10,3,2,288,-7.8210
1979,10,3,3,314,-6.7830
1979,10,3,4,320,-5.7742
1979,10,3,5,295,-6.1666
1979,11,1,1,541,8.5331
1979,11,1,2,514,7.7051
1979,11,1,3,479,8.5617
1979,11,1,4,425,8.9133
1979,11,1,5,375,8.2795
1979,11,2,1,222,9.0103
1979,11,2,2,293,8.4893
1979,11,2,3,303,8.8837
1979,11,2,4,284,8.1777
1979,11,2,5,274,9.0997
1979,11,3,1,188,5.2668
1979,11,3,2,306,6.7623
1979,11,3,3,331,6.8110
1979,11,3,4,334,5.6329
1979,11,3,5,307,5.2400
1979,12,1,1,546,7.1482
1979,12,1,2,516,7.1874
1979,12,1,3,479,9.0274
1979,12,1,4,420,8.0854
1979,12,1,5,366,8.2787
1979,12,2,1,231,7.0786
1979,12,2,2,295,6.1259
1979,12,2,3,307,6.1337
1979,12,2,4,287,5.9512
1979,12,2,5,279,6.3092
1979,12,3,1,192,0.8774
1979,12,3,2,307,2.7233
1979,12,3,3,335,3.1513
1979,12,3,4,335,3.2848
1979,12,3,5,307,1.6257
1980,1,1,1,532,10.5419
1980,1,1,2,493,10.5818
1980,1,1,3,442,10.7865
1980,1,1,4,405,10.7754
1980,1,1,5,351,9.4259
1980,1,2,1,227,7.8059
1980,1,2,2,288,7.1905
1980,1,2,3,293,6.4473
1980,1,2,4,274,7.0543
1980,1,2,5,270,6.0999
1980,1,3,1,187,3.5577
1980,1,3,2,294,5.9464
1980,1,3,3,323,9.5710
1980,1,3,4,318,7.3385
1980,1,3,5,295,6.3298
1980,2,1,1,545,-0.9908
1980,2,1,2,521,-1.7941
1980,2,1,3,467,-2.3473
1980,2,1,4,418,-3.0215
1980,2,1,5,349,-1.9882
1980,2,2,1,236,0.6686
1980,2,2,2,295,-1.1252
1980,2,2,3,305,-2.1855
1980,2,2,4,298,-3.5095
1980,2,2,5,278,-2.4552
1980,2,3,1,204,-2.6807
1980,2,3,2,306,-0.0211
1980,2,3,3,340,2.0979
1980,2,3,4,341,2.2016
1980,2,3,5,305,-0.7398
1980,3,1,1,541,-20.2156
1980,3,1,2,527,-17.6589
1980,3,1,3,476,-18.4159
1980,3,1,4,416,-17.6922
1980,3,1,5,350,-18.8431
1980,3,2,1,231,-18.4799
1980,3,2,2,299,-16.5424
1980,3,2,3,312,-17.6534
1980,3,2,4,300,-16.1359
1980,3,2,5,283,-15.7509
1980,3,3,1,207,-9.1556
1980,3,3,2,307,-12.6137
1980,3,3,3,342,-12.7157
1980,3,3,4,343,-11.5491
1980,3,3,5,305,-10.6813
1980,4,1,1,523,4.8715
1980,4,1,2,491,5.5972
1980,4,1,3,454,6.5099
1980,4,1,4,394,5.9326
1980,4,1,5,340,8.7413
1980,4,2,1,221,7.5497
1980,4,2,2,287,7.4387
1980,4,2,3,284,5.4117
1980,4,2,4,288,4.5420
1980,4,2,5,274,5.4470
1980,4,3,1,195,8.6754
1980,4,3,2,298,6.8780
1980,4,3,3,326,5.0117
1980,4,3,4,326,4.6950
1980,4,3,5,300,2.5780
1980,5,1,1,538,6.7013
1980,5,1,2,517,6.5461
1980,5,1,3,491,5.8722
1980,5,1,4,403,6.0835
1980,5,1,5,347,7.5967
1980,5,2,1,225,7.8925
1980,5,2,2,298,8.0497
1980,5,2,3,311,8.3472
1980,5,2,4,292,8.5451
1980,5,2,5,287,8.3253
1980,5,3,1,198,5.2345
1980,5,3,2,310,6.3743
1980,5,3,3,341,6.0117
1980,5,3,4,347,5.7445
1980,5,3,5,306,5.2743
1980,6,1,1,531,3.3908
1980,6,1,2,519,3.3448
1980,6,1,3,483,3.3263
1980,6,1,4,404,3.1496
1980,6,1,5,345,4.9261
1980,6,2,1,226,4.6280
1980,6,2,2,303,3.6885
1980,6,2,3,319,4.2290
1980,6,2,4,288,4.0760
1980,6,2,5,284,4.1495
1980,6,3,1,200,3.2669
1980,6,3,2,313,3.6779
1980,6,3,3,344,3.3026
1980,6,3,4,348,4.1098
1980,6,3,5,305,3.1696
1980,7,1,1,512,9.5757
1980,7,1,2,466,11.2758
1980,7,1,3,443,12.3986
1980,7,1,4,377,12.6465
1980,7,1,5,328,13.5104
1980,7,2,1,214,7.5821
1980,7,2,2,275,8.8986
1980,7,2,3,300,12.3245
1980,7,2,4,281,14.6519
1980,7,2,5,280,12.2066
1980,7,3,1,193,4.0779
1980,7,3,2,297,6.1535
1980,7,3,3,321,7.8619
1980,7,3,4,325,6.9149
1980,7,3,5,297,8.8869
1980,8,1,1,535,6.5497
1980,8,1,2,492,7.3930
1980,8,1,3,455,7.6431
1980,8,1,4,378,9.7698
1980,8,1,5,334,8.9790
1980,8,2,1,225,3.7940
1980,8,2,2,292,4.7161
1980,8,2,3,316,5.6278
1980,8,2,4,289,5.2706
1980,8,2,5,282,6.2085
1980,8,3,1,200,-0.3844
1980,8,3,2,309,0.4306
1980,8,3,3,336,1.5874
1980,8,3,4,346,2.0333
1980,8,3,5,311,1.8974
1980,9,1,1,537,2.8285
1980,9,1,2,499,3.2524
1980,9,1,3,465,3.3892
1980,9,1,4,388,3.6963
1980,9,1,5,332,3.5832
1980,9,2,1,230,0.8470
1980,9,2,2,297,2.5038
1980,9,2,3,312,2.6799
