year,month,rank_ME,rank_SGq_1,nstocks,ret_vw
1969,1,3,2,111,-0.6805
1969,1,3,3,105,0.2617
1969,1,3,4,106,-0.4033
1969,1,3,5,96,-2.7429
1969,2,1,1,162,-10.4630
1969,2,1,2,68,-8.4441
1969,2,1,3,59,-7.1420
1969,2,1,4,85,-7.4224
1969,2,1,5,147,-9.1986
1969,2,2,1,58,-7.8653
1969,2,2,2,41,-7.6638
1969,2,2,3,48,-7.8564
1969,2,2,4,54,-7.4577
1969,2,2,5,94,-9.6343
1969,2,3,1,77,-6.0910
1969,2,3,2,107,-4.3111
1969,2,3,3,109,-4.9768
1969,2,3,4,112,-3.9007
1969,2,3,5,88,-4.5217
1969,3,1,1,173,1.5387
1969,3,1,2,63,0.3867
1969,3,1,3,55,0.4831
1969,3,1,4,85,1.1459
1969,3,1,5,159,4.2936
1969,3,2,1,64,2.8520
1969,3,2,2,42,1.4558
1969,3,2,3,48,3.4719
1969,3,2,4,57,2.6416
1969,3,2,5,86,3.5543
1969,3,3,1,73,3.5410
1969,3,3,2,106,3.0028
1969,3,3,3,109,2.1679
1969,3,3,4,111,3.4779
1969,3,3,5,91,4.8262
1969,4,1,1,164,-0.8894
1969,4,1,2,70,-3.5640
1969,4,1,3,53,-0.3517
1969,4,1,4,91,0.2267
1969,4,1,5,162,-0.7428
1969,4,2,1,61,0.6547
1969,4,2,2,44,-0.0132
1969,4,2,3,47,1.6081
1969,4,2,4,56,1.0052
1969,4,2,5,92,0.6012
1969,4,3,1,73,2.4894
1969,4,3,2,104,0.8070
1969,4,3,3,113,4.6159
1969,4,3,4,109,0.2719
1969,4,3,5,92,3.0634
1969,5,1,1,174,0.5697
1969,5,1,2,86,-0.6407
1969,5,1,3,56,-1.4552
1969,5,1,4,89,2.5185
1969,5,1,5,167,0.6309
1969,5,2,1,59,-0.6479
1969,5,2,2,52,-0.6853
1969,5,2,3,42,1.6894
1969,5,2,4,63,-0.3977
1969,5,2,5,108,-1.8121
1969,5,3,1,74,1.6146
1969,5,3,2,119,0.6844
1969,5,3,3,124,-0.0406
1969,5,3,4,106,0.9273
1969,5,3,5,91,0.2821
1969,6,1,1,175,-13.4119
1969,6,1,2,87,-13.5892
1969,6,1,3,55,-11.0853
1969,6,1,4,88,-12.6861
1969,6,1,5,163,-14.1255
1969,6,2,1,57,-10.9997
1969,6,2,2,47,-7.4269
1969,6,2,3,49,-9.8887
1969,6,2,4,61,-10.4689
1969,6,2,5,105,-12.6307
1969,6,3,1,77,-8.2803
1969,6,3,2,120,-6.0738
1969,6,3,3,120,-6.7048
1969,6,3,4,110,-2.7181
1969,6,3,5,93,-6.8260
1969,7,1,1,177,-11.7583
1969,7,1,2,86,-11.7586
1969,7,1,3,56,-8.9185
1969,7,1,4,89,-10.0928
1969,7,1,5,167,-11.9955
1969,7,2,1,63,-9.5649
1969,7,2,2,42,-7.6688
1969,7,2,3,51,-7.1498
1969,7,2,4,63,-7.9077
1969,7,2,5,96,-10.8042
1969,7,3,1,78,-7.1763
1969,7,3,2,124,-7.0576
1969,7,3,3,118,-5.6688
1969,7,3,4,108,-5.7724
1969,7,3,5,93,-4.8084
1969,8,1,1,167,2.5075
1969,8,1,2,75,3.1278
1969,8,1,3,57,4.4617
1969,8,1,4,87,5.9541
1969,8,1,5,159,6.1662
1969,8,2,1,66,6.4546
1969,8,2,2,46,4.0144
1969,8,2,3,32,4.7211
1969,8,2,4,64,5.1414
1969,8,2,5,93,9.4331
1969,8,3,1,73,4.4326
1969,8,3,2,106,4.5503
