year,month,rank_ME,rank_RDM,nstocks,ret_vw
1980,2,1,5,212,-0.0047
1980,2,2,1,59,-0.7865
1980,2,2,2,47,-1.6873
1980,2,2,3,46,-3.4862
1980,2,2,4,52,-3.3593
1980,2,2,5,46,-3.2862
1980,2,3,1,83,6.5184
1980,2,3,2,68,2.7893
1980,2,3,3,73,-4.0018
1980,2,3,4,66,-3.7023
1980,2,3,5,49,-5.0592
1980,3,1,1,104,-20.2703
1980,3,1,2,127,-18.6963
1980,3,1,3,116,-18.4297
1980,3,1,4,109,-17.7243
1980,3,1,5,209,-20.9651
1980,3,2,1,59,-15.6666
1980,3,2,2,47,-17.6295
1980,3,2,3,45,-15.1919
1980,3,2,4,52,-17.1071
1980,3,2,5,45,-17.7980
1980,3,3,1,82,-12.7708
1980,3,3,2,68,-12.4253
1980,3,3,3,73,-7.8772
1980,3,3,4,65,-8.4346
1980,3,3,5,49,-11.1545
1980,4,1,1,103,7.0825
1980,4,1,2,127,7.6210
1980,4,1,3,116,8.5384
1980,4,1,4,108,5.8941
1980,4,1,5,209,3.9221
1980,4,2,1,59,5.2827
1980,4,2,2,46,5.8546
1980,4,2,3,45,3.1677
1980,4,2,4,52,5.3965
1980,4,2,5,45,-0.7673
1980,4,3,1,82,5.7411
1980,4,3,2,68,5.4823
1980,4,3,3,73,2.7878
1980,4,3,4,65,0.7525
1980,4,3,5,49,-0.2477
1980,5,1,1,103,5.8815
1980,5,1,2,127,6.2882
1980,5,1,3,117,6.8508
1980,5,1,4,109,6.0843
1980,5,1,5,210,6.4010
1980,5,2,1,59,6.9226
1980,5,2,2,46,8.9062
1980,5,2,3,44,8.7483
1980,5,2,4,51,6.7985
1980,5,2,5,45,8.9730
1980,5,3,1,83,4.7130
1980,5,3,2,68,7.6198
1980,5,3,3,73,4.6750
1980,5,3,4,65,6.5347
1980,5,3,5,49,3.1429
1980,6,1,1,103,2.6607
1980,6,1,2,127,3.9759
1980,6,1,3,116,3.9224
1980,6,1,4,109,3.6330
1980,6,1,5,207,1.9697
1980,6,2,1,58,3.6603
1980,6,2,2,47,2.1932
1980,6,2,3,42,1.3918
1980,6,2,4,51,1.2036
1980,6,2,5,45,1.6556
1980,6,3,1,83,3.8526
1980,6,3,2,68,2.2193
1980,6,3,3,73,2.8453
1980,6,3,4,64,2.0763
1980,6,3,5,49,0.6935
1980,7,1,1,125,10.2158
1980,7,1,2,126,10.7950
1980,7,1,3,137,14.8339
1980,7,1,4,134,16.2452
1980,7,1,5,201,15.1756
1980,7,2,1,68,11.5842
1980,7,2,2,49,11.5776
1980,7,2,3,47,15.6304
1980,7,2,4,60,18.1260
1980,7,2,5,39,14.4604
1980,7,3,1,92,2.0878
1980,7,3,2,72,5.4459
1980,7,3,3,73,11.4925
1980,7,3,4,56,10.6119
1980,7,3,5,53,13.4527
1980,8,1,1,125,7.9347
1980,8,1,2,126,9.7365
1980,8,1,3,136,12.5825
1980,8,1,4,132,9.4561
1980,8,1,5,201,13.6700
1980,8,2,1,67,7.4442
1980,8,2,2,49,5.7756
1980,8,2,3,47,7.5459
1980,8,2,4,60,8.0166
1980,8,2,5,39,8.1890
1980,8,3,1,92,3.3250
1980,8,3,2,72,2.7395
1980,8,3,3,73,0.1030
1980,8,3,4,56,1.3092
1980,8,3,5,53,2.2196
1980,9,1,1,124,5.6967
1980,9,1,2,126,1.4158
1980,9,1,3,134,4.2875
1980,9,1,4,131,2.8483
1980,9,1,5,200,3.9301
1980,9,2,1,64,4.6015
1980,9,2,2,49,5.4593
1980,9,2,3,47,5.8431
1980,9,2,4,60,1.8053
1980,9,2,5,39,2.3907
1980,9,3,1,92,5.3032
1980,9,3,2,71,4.3737
1980,9,3,3,73,1.4059
1980,9,3,4,56,3.1084
1980,9,3,5,53,1.1342
1980,10,1,1,122,7.6979
