year,month,rank_ME,rank_RDSq_6,nstocks,ret_vw
1992,11,2,3,73,7.4972
1992,11,2,4,88,13.8096
1992,11,2,5,196,12.8030
1992,11,3,1,50,4.2382
1992,11,3,2,78,3.9698
1992,11,3,3,70,4.9563
1992,11,3,4,76,4.0177
1992,11,3,5,90,3.8573
1992,12,1,1,183,-0.3448
1992,12,1,2,168,1.5685
1992,12,1,3,249,4.4340
1992,12,1,4,275,2.0049
1992,12,1,5,510,0.6758
1992,12,2,1,58,1.0409
1992,12,2,2,38,4.1343
1992,12,2,3,70,4.5380
1992,12,2,4,84,0.7367
1992,12,2,5,198,2.8376
1992,12,3,1,52,0.9908
1992,12,3,2,78,1.7388
1992,12,3,3,68,3.7640
1992,12,3,4,72,-2.8302
1992,12,3,5,91,-0.7689
1993,1,1,1,135,7.9650
1993,1,1,2,120,6.6635
1993,1,1,3,199,3.4897
1993,1,1,4,221,6.5634
1993,1,1,5,435,1.9498
1993,1,2,1,46,1.8372
1993,1,2,2,26,1.3315
1993,1,2,3,43,0.4804
1993,1,2,4,61,-0.5050
1993,1,2,5,174,-1.2660
1993,1,3,1,25,1.0460
1993,1,3,2,48,1.0936
1993,1,3,3,41,0.8818
1993,1,3,4,42,-2.7664
1993,1,3,5,60,-1.2914
1993,2,1,1,149,-1.6792
1993,2,1,2,141,-6.2489
1993,2,1,3,205,-5.2122
1993,2,1,4,261,-7.6617
1993,2,1,5,466,-9.5889
1993,2,2,1,49,-2.2949
1993,2,2,2,31,-0.4884
1993,2,2,3,46,-7.7843
1993,2,2,4,77,-8.9156
1993,2,2,5,184,-8.8095
1993,2,3,1,30,0.2002
1993,2,3,2,54,-1.9595
1993,2,3,3,49,1.2598
1993,2,3,4,47,-1.1312
1993,2,3,5,67,-3.7368
1993,3,1,1,153,-0.1530
1993,3,1,2,148,0.1957
1993,3,1,3,212,0.4169
1993,3,1,4,263,0.0917
1993,3,1,5,482,1.1896
1993,3,2,1,50,2.0984
1993,3,2,2,33,0.2465
1993,3,2,3,51,1.3492
1993,3,2,4,77,-1.6741
1993,3,2,5,187,-0.7978
1993,3,3,1,33,1.8556
1993,3,3,2,52,3.8955
1993,3,3,3,49,1.6491
1993,3,3,4,47,1.4026
1993,3,3,5,67,0.6309
1993,4,1,1,144,-3.3433
1993,4,1,2,135,-4.8343
1993,4,1,3,193,-4.9508
1993,4,1,4,238,-5.2366
1993,4,1,5,458,-4.9933
1993,4,2,1,43,-2.7321
1993,4,2,2,32,-1.1497
1993,4,2,3,49,-4.2453
1993,4,2,4,78,-7.4895
1993,4,2,5,167,-4.7603
1993,4,3,1,34,-4.1151
1993,4,3,2,50,-0.6246
1993,4,3,3,47,-0.7414
1993,4,3,4,48,0.8092
1993,4,3,5,64,-0.7421
1993,5,1,1,190,5.4731
1993,5,1,2,182,4.6257
1993,5,1,3,270,6.1007
1993,5,1,4,285,5.6100
1993,5,1,5,549,6.9080
1993,5,2,1,52,3.5211
1993,5,2,2,49,3.3388
1993,5,2,3,72,6.8876
1993,5,2,4,104,11.0844
1993,5,2,5,192,12.4537
1993,5,3,1,60,1.4447
1993,5,3,2,82,2.5534
1993,5,3,3,72,6.5365
1993,5,3,4,82,5.0755
1993,5,3,5,93,5.5972
1993,6,1,1,198,1.0414
1993,6,1,2,190,0.7250
1993,6,1,3,278,1.3609
1993,6,1,4,282,0.6031
1993,6,1,5,542,-0.4156
1993,6,2,1,54,2.8468
1993,6,2,2,49,-2.2302
1993,6,2,3,73,0.6684
1993,6,2,4,105,0.2255
1993,6,2,5,196,-0.1017
