year,month,rank_ME,rank_EPRD,nstocks,ret_vw
1970,8,1,4,10,6.1004
1970,8,1,5,17,13.3407
1970,8,2,1,8,7.7941
1970,8,2,2,3,-0.1713
1970,8,2,3,19,4.9366
1970,8,2,4,18,11.7403
1970,8,2,5,23,6.4482
1970,8,3,1,68,4.6396
1970,8,3,2,66,4.4830
1970,8,3,3,48,4.4723
1970,8,3,4,47,5.7714
1970,8,3,5,35,2.6718
1970,9,1,1,0,
1970,9,1,2,6,14.4787
1970,9,1,3,9,8.0703
1970,9,1,4,10,12.0419
1970,9,1,5,17,7.9956
1970,9,2,1,8,8.6358
1970,9,2,2,3,19.8157
1970,9,2,3,19,5.1669
1970,9,2,4,18,8.2269
1970,9,2,5,22,13.0201
1970,9,3,1,68,5.2914
1970,9,3,2,66,2.1831
1970,9,3,3,48,3.4803
1970,9,3,4,47,0.2065
1970,9,3,5,35,2.0855
1970,10,1,1,0,
1970,10,1,2,6,-8.5824
1970,10,1,3,9,-5.6970
1970,10,1,4,10,-6.9880
1970,10,1,5,17,-3.8926
1970,10,2,1,8,-2.0740
1970,10,2,2,3,-9.4860
1970,10,2,3,19,-2.9258
1970,10,2,4,18,-6.0973
1970,10,2,5,22,-7.3640
1970,10,3,1,68,1.5181
1970,10,3,2,66,-0.2610
1970,10,3,3,48,-1.1042
1970,10,3,4,47,-4.1005
1970,10,3,5,35,-5.4337
1970,11,1,1,0,
1970,11,1,2,6,-3.2764
1970,11,1,3,9,-2.8559
1970,11,1,4,10,0.6338
1970,11,1,5,17,1.7025
1970,11,2,1,8,3.4329
1970,11,2,2,3,2.9559
1970,11,2,3,19,3.0104
1970,11,2,4,18,2.2624
1970,11,2,5,21,1.1788
1970,11,3,1,68,5.0765
1970,11,3,2,66,5.6301
1970,11,3,3,48,3.5260
1970,11,3,4,47,7.0748
1970,11,3,5,35,2.8048
1970,12,1,1,0,
1970,12,1,2,6,11.7714
1970,12,1,3,9,16.1007
1970,12,1,4,10,9.9822
1970,12,1,5,17,12.0970
1970,12,2,1,8,7.4198
1970,12,2,2,3,4.3289
1970,12,2,3,19,9.9494
1970,12,2,4,18,10.3389
1970,12,2,5,21,10.3250
1970,12,3,1,68,3.9919
1970,12,3,2,66,6.8357
1970,12,3,3,48,8.0072
1970,12,3,4,46,6.3149
1970,12,3,5,35,8.9397
1971,1,1,1,0,
1971,1,1,2,6,10.2893
1971,1,1,3,9,19.4510
1971,1,1,4,10,6.4015
1971,1,1,5,17,16.7678
1971,1,2,1,8,7.2109
1971,1,2,2,3,18.0352
1971,1,2,3,19,10.0731
1971,1,2,4,17,11.6349
1971,1,2,5,21,16.9104
1971,1,3,1,68,2.5837
1971,1,3,2,66,3.5423
1971,1,3,3,48,5.1017
1971,1,3,4,46,6.4894
1971,1,3,5,35,6.1610
1971,2,1,1,0,
1971,2,1,2,6,9.1085
1971,2,1,3,9,9.9077
1971,2,1,4,10,5.4514
1971,2,1,5,17,3.4391
1971,2,2,1,8,4.9401
1971,2,2,2,3,4.8883
1971,2,2,3,18,3.4121
1971,2,2,4,17,-0.5611
1971,2,2,5,21,1.0380
1971,2,3,1,68,3.5237
1971,2,3,2,66,2.6624
1971,2,3,3,47,1.8519
1971,2,3,4,46,-3.2421
1971,2,3,5,35,1.1790
1971,3,1,1,0,
1971,3,1,2,6,1.8967
1971,3,1,3,9,1.9354
1971,3,1,4,10,1.7231
1971,3,1,5,17,4.0643
1971,3,2,1,8,6.2488
1971,3,2,2,3,10.4827
1971,3,2,3,18,2.0320
1971,3,2,4,17,6.7780
1971,3,2,5,21,2.4486
1971,3,3,1,68,4.5630
1971,3,3,2,66,3.8040
1971,3,3,3,47,3.5521
1971,3,3,4,46,1.8801
1971,3,3,5,35,2.1638
1971,4,1,1,0,
1971,4,1,2,6,1.8096
1971,4,1,3,9,4.2642
1971,4,1,4,10,-0.9068
1971,4,1,5,17,2.2319
1971,4,2,1,8,1.1667
1971,4,2,2,3,9.6024
1971,4,2,3,18,8.3115
1971,4,2,4,17,7.0177
1971,4,2,5,21,10.0437
1971,4,3,1,68,3.3391
1971,4,3,2,66,5.7816
1971,4,3,3,47,5.4594
1971,4,3,4,46,4.9424
1971,4,3,5,35,4.9583
1971,5,1,1,0,
1971,5,1,2,6,-5.4102
1971,5,1,3,9,-9.2104
1971,5,1,4,10,-6.7008
1971,5,1,5,17,-6.6298
1971,5,2,1,8,-1.6032
1971,5,2,2,3,-11.4094
1971,5,2,3,18,-3.1596
1971,5,2,4,17,-2.7631
1971,5,2,5,21,-6.4414
1971,5,3,1,68,-4.5889
1971,5,3,2,66,-2.6711
1971,5,3,3,47,-3.5965
1971,5,3,4,46,-5.0473
1971,5,3,5,35,-3.6533
1971,6,1,1,0,
1971,6,1,2,6,-3.1364
1971,6,1,3,8,-1.5905
1971,6,1,4,10,-0.4596
1971,6,1,5,17,2.2961
1971,6,2,1,8,-0.9887
1971,6,2,2,3,3.4929
1971,6,2,3,18,-3.5246
1971,6,2,4,17,-2.9500
1971,6,2,5,21,-4.9502
1971,6,3,1,68,0.7139
1971,6,3,2,66,-0.0699
1971,6,3,3,47,-1.0656
1971,6,3,4,46,-1.7235
1971,6,3,5,35,-3.6732
1971,7,1,1,2,0.5416
1971,7,1,2,3,-4.7284
1971,7,1,3,21,-2.8266
1971,7,1,4,15,-6.2123
1971,7,1,5,30,-6.0208
1971,7,2,1,16,-0.2821
1971,7,2,2,11,-1.7020
1971,7,2,3,21,-2.1560
1971,7,2,4,22,-1.4850
1971,7,2,5,28,-5.6179
1971,7,3,1,81,-3.4596
1971,7,3,2,85,-3.6492
1971,7,3,3,58,-3.9431
1971,7,3,4,62,-5.0587
1971,7,3,5,42,-5.0200
1971,8,1,1,2,-1.9756
1971,8,1,2,3,15.9421
1971,8,1,3,21,3.9869
1971,8,1,4,15,2.7652
1971,8,1,5,30,3.7392
1971,8,2,1,16,3.0953
1971,8,2,2,11,2.4994
1971,8,2,3,21,5.4460
1971,8,2,4,22,4.3425
1971,8,2,5,28,7.6476
1971,8,3,1,81,2.4150
1971,8,3,2,85,5.2605
1971,8,3,3,58,3.0401
1971,8,3,4,61,3.2611
1971,8,3,5,42,9.9895
1971,9,1,1,2,0.2531
1971,9,1,2,3,-3.2165
1971,9,1,3,21,0.1642
1971,9,1,4,15,-5.0493
1971,9,1,5,30,-4.2692
1971,9,2,1,16,0.2604
1971,9,2,2,11,-0.2104
1971,9,2,3,21,-0.5196
1971,9,2,4,22,-1.7734
1971,9,2,5,26,-2.6354
1971,9,3,1,81,0.3521
1971,9,3,2,85,-0.4092
