year,month,rank_ME,rank_RCA,nstocks,ret_vw
1983,2,2,2,44,4.5420
1983,2,2,3,57,7.4157
1983,2,2,4,41,7.2415
1983,2,2,5,65,4.8655
1983,2,3,1,60,-0.4612
1983,2,3,2,68,0.3872
1983,2,3,3,54,4.0993
1983,2,3,4,71,3.6439
1983,2,3,5,70,2.7100
1983,3,1,1,132,6.0844
1983,3,1,2,147,3.5942
1983,3,1,3,149,4.5240
1983,3,1,4,169,4.0516
1983,3,1,5,206,3.7248
1983,3,2,1,47,6.3265
1983,3,2,2,44,2.7283
1983,3,2,3,57,2.2081
1983,3,2,4,41,3.2348
1983,3,2,5,64,-1.0875
1983,3,3,1,60,3.6477
1983,3,3,2,67,3.5776
1983,3,3,3,53,1.4895
1983,3,3,4,72,1.7402
1983,3,3,5,70,0.3914
1983,4,1,1,132,8.3323
1983,4,1,2,146,7.0015
1983,4,1,3,147,8.3922
1983,4,1,4,168,6.8268
1983,4,1,5,204,6.2010
1983,4,2,1,47,4.3317
1983,4,2,2,44,5.3582
1983,4,2,3,57,7.8134
1983,4,2,4,41,10.0761
1983,4,2,5,64,9.9340
1983,4,3,1,60,7.4499
1983,4,3,2,66,8.1517
1983,4,3,3,53,7.2548
1983,4,3,4,72,5.4503
1983,4,3,5,70,8.4150
1983,5,1,1,132,11.6743
1983,5,1,2,145,8.3762
1983,5,1,3,146,11.4021
1983,5,1,4,168,11.3666
1983,5,1,5,201,10.5939
1983,5,2,1,47,3.8648
1983,5,2,2,44,5.1093
1983,5,2,3,57,4.7174
1983,5,2,4,41,7.6010
1983,5,2,5,64,7.2090
1983,5,3,1,60,-0.7157
1983,5,3,2,66,1.5240
1983,5,3,3,53,3.1456
1983,5,3,4,72,-1.8858
1983,5,3,5,70,-1.3342
1983,6,1,1,130,2.9217
1983,6,1,2,145,4.5427
1983,6,1,3,145,5.4677
1983,6,1,4,169,5.4434
1983,6,1,5,199,6.7578
1983,6,2,1,46,2.5137
1983,6,2,2,44,6.8302
1983,6,2,3,57,5.8448
1983,6,2,4,41,7.3095
1983,6,2,5,64,6.6611
1983,6,3,1,60,2.4392
1983,6,3,2,66,2.9848
1983,6,3,3,53,2.8006
1983,6,3,4,72,3.9159
1983,6,3,5,70,7.9247
1983,7,1,1,156,-1.9711
1983,7,1,2,145,-4.2297
1983,7,1,3,163,-4.5899
1983,7,1,4,175,-4.5555
1983,7,1,5,243,-7.4784
1983,7,2,1,59,-0.7977
1983,7,2,2,45,-3.7856
1983,7,2,3,58,-3.1310
1983,7,2,4,56,-6.2420
1983,7,2,5,71,-7.7532
1983,7,3,1,55,-4.5921
1983,7,3,2,68,0.0482
1983,7,3,3,59,-4.0471
1983,7,3,4,65,-4.0489
1983,7,3,5,82,-3.4329
1983,8,1,1,155,-4.8285
1983,8,1,2,145,-5.9099
1983,8,1,3,163,-5.4756
1983,8,1,4,174,-4.7816
1983,8,1,5,242,-5.6922
1983,8,2,1,59,-2.1775
1983,8,2,2,45,-6.1316
1983,8,2,3,58,-5.5737
1983,8,2,4,56,-2.7691
1983,8,2,5,71,-2.4709
1983,8,3,1,55,6.5110
1983,8,3,2,68,4.2582
1983,8,3,3,59,0.1586
1983,8,3,4,65,0.3213
1983,8,3,5,82,-0.2284
1983,9,1,1,153,0.2512
1983,9,1,2,145,0.3573
1983,9,1,3,162,0.1881
1983,9,1,4,172,-1.1355
1983,9,1,5,242,-2.5471
1983,9,2,1,58,4.4080
1983,9,2,2,44,2.1013
1983,9,2,3,58,2.0810
1983,9,2,4,55,2.3941
1983,9,2,5,71,2.7183
1983,9,3,1,55,-1.5880
1983,9,3,2,68,-0.5882
1983,9,3,3,59,1.8032
1983,9,3,4,65,3.6222
1983,9,3,5,82,3.3813
1983,10,1,1,151,-7.7830
1983,10,1,2,142,-7.6695
1983,10,1,3,162,-7.4179
1983,10,1,4,171,-8.6679
1983,10,1,5,240,-10.8639
1983,10,2,1,58,-7.1684
1983,10,2,2,44,-5.4745
1983,10,2,3,58,-6.3166
1983,10,2,4,54,-9.7757
1983,10,2,5,71,-10.1608
1983,10,3,1,54,-2.4464
1983,10,3,2,68,-0.6465
1983,10,3,3,59,-1.5779
1983,10,3,4,65,-1.7275
1983,10,3,5,82,-2.3819
1983,11,1,1,150,3.7849
1983,11,1,2,141,4.1726
1983,11,1,3,162,6.1662
1983,11,1,4,171,4.9919
1983,11,1,5,240,3.2575
1983,11,2,1,58,4.2889
1983,11,2,2,43,3.7050
1983,11,2,3,58,6.1275
1983,11,2,4,54,7.5225
1983,11,2,5,71,7.9232
1983,11,3,1,54,1.8264
1983,11,3,2,68,4.2382
1983,11,3,3,59,4.1886
1983,11,3,4,65,3.9922
1983,11,3,5,82,0.8628
1983,12,1,1,149,-2.4150
1983,12,1,2,142,-0.1677
1983,12,1,3,158,-0.6254
1983,12,1,4,171,-2.3455
1983,12,1,5,239,-4.2898
1983,12,2,1,57,-1.4797
1983,12,2,2,43,0.4925
1983,12,2,3,58,-1.4601
1983,12,2,4,54,-2.9924
1983,12,2,5,71,-3.3111
