year,month,rank_ME,rank_ETL,nstocks,ret_vw
1969,4,1,3,8,-3.4368
1969,4,1,4,15,-2.3613
1969,4,1,5,9,-5.7683
1969,4,2,1,20,-0.9088
1969,4,2,2,16,0.8992
1969,4,2,3,22,-1.5511
1969,4,2,4,9,1.6030
1969,4,2,5,18,7.1394
1969,4,3,1,61,1.6886
1969,4,3,2,64,2.1256
1969,4,3,3,58,3.3451
1969,4,3,4,64,2.5347
1969,4,3,5,60,1.0392
1969,5,1,1,8,0.3695
1969,5,1,2,8,-1.8399
1969,5,1,3,8,-4.9813
1969,5,1,4,15,2.5335
1969,5,1,5,9,-1.6373
1969,5,2,1,20,-0.8859
1969,5,2,2,16,1.0113
1969,5,2,3,22,0.4774
1969,5,2,4,9,-0.8655
1969,5,2,5,18,0.0699
1969,5,3,1,61,1.3629
1969,5,3,2,64,0.1007
1969,5,3,3,58,1.2663
1969,5,3,4,64,-0.7258
1969,5,3,5,60,2.1418
1969,6,1,1,8,-17.7142
1969,6,1,2,8,-11.5833
1969,6,1,3,8,-12.4550
1969,6,1,4,15,-11.6778
1969,6,1,5,9,-9.0510
1969,6,2,1,20,-9.1633
1969,6,2,2,16,-8.0154
1969,6,2,3,23,-10.6230
1969,6,2,4,9,-10.8385
1969,6,2,5,18,-9.7665
1969,6,3,1,61,-8.0290
1969,6,3,2,64,-2.7544
1969,6,3,3,58,-5.3677
1969,6,3,4,64,-5.4105
1969,6,3,5,60,-6.8338
1969,7,1,1,5,-14.4480
1969,7,1,2,10,-11.2423
1969,7,1,3,13,-8.6193
1969,7,1,4,7,-10.6495
1969,7,1,5,11,-13.1634
1969,7,2,1,21,-6.8576
1969,7,2,2,17,-5.1233
1969,7,2,3,14,-9.0723
1969,7,2,4,16,-9.7073
1969,7,2,5,19,-9.6273
1969,7,3,1,63,-3.8683
1969,7,3,2,61,-4.3122
1969,7,3,3,62,-6.2987
1969,7,3,4,65,-6.8387
1969,7,3,5,58,-7.8920
1969,8,1,1,5,-0.3601
1969,8,1,2,10,0.1865
1969,8,1,3,13,5.1244
1969,8,1,4,7,1.8467
1969,8,1,5,11,5.6715
1969,8,2,1,21,0.8990
1969,8,2,2,17,3.5988
1969,8,2,3,14,6.5010
1969,8,2,4,16,5.7979
1969,8,2,5,19,5.0827
1969,8,3,1,63,3.0752
1969,8,3,2,61,4.5129
1969,8,3,3,62,4.8792
1969,8,3,4,65,3.2664
1969,8,3,5,58,6.0418
1969,9,1,1,5,1.9493
1969,9,1,2,10,-2.1082
1969,9,1,3,13,-6.9036
1969,9,1,4,7,1.2862
1969,9,1,5,11,1.8464
1969,9,2,1,21,-1.8553
1969,9,2,2,17,-1.2696
1969,9,2,3,14,-4.2571
1969,9,2,4,16,1.2454
1969,9,2,5,19,-0.6552
1969,9,3,1,63,-4.1558
1969,9,3,2,61,-2.1968
1969,9,3,3,62,-2.6223
1969,9,3,4,64,-0.7218
1969,9,3,5,58,-4.2683
1969,10,1,1,5,9.8702
1969,10,1,2,10,7.8072
1969,10,1,3,13,9.0146
1969,10,1,4,7,9.3182
1969,10,1,5,11,12.9770
1969,10,2,1,21,5.7642
1969,10,2,2,17,3.5723
1969,10,2,3,14,11.4698
1969,10,2,4,16,3.0269
1969,10,2,5,19,12.0277
1969,10,3,1,63,4.3031
1969,10,3,2,61,4.8014
1969,10,3,3,62,5.7166
1969,10,3,4,64,4.7515
1969,10,3,5,58,3.0921
1969,11,1,1,5,-7.7715
1969,11,1,2,10,-8.4428
1969,11,1,3,13,-4.9954
1969,11,1,4,7,-4.4068
1969,11,1,5,11,-9.6842
1969,11,2,1,21,-1.9485
1969,11,2,2,17,-8.5670
1969,11,2,3,14,-5.2735
1969,11,2,4,16,-2.9160
1969,11,2,5,19,-4.0669
1969,11,3,1,63,-1.9823
1969,11,3,2,61,-2.2754
1969,11,3,3,62,-3.5395
1969,11,3,4,65,-4.3651
1969,11,3,5,58,-3.6584
1969,12,1,1,5,-7.9872
1969,12,1,2,10,-2.5969
1969,12,1,3,13,-8.2692
1969,12,1,4,7,-6.3252
1969,12,1,5,11,-4.6891
1969,12,2,1,21,-1.7567
1969,12,2,2,17,-2.6875
1969,12,2,3,14,-6.0895
1969,12,2,4,16,-7.1613
1969,12,2,5,19,-5.5057
1969,12,3,1,63,-2.9434
1969,12,3,2,61,-0.2594
1969,12,3,3,62,-0.2676
1969,12,3,4,65,-2.5138
1969,12,3,5,58,0.1971
1970,1,1,1,5,-1.0576
1970,1,1,2,10,-5.7021
1970,1,1,3,13,-0.0417
1970,1,1,4,7,-3.7009
1970,1,1,5,11,-2.7726
1970,1,2,1,21,-3.6005
1970,1,2,2,17,-7.7332
1970,1,2,3,14,-6.4163
1970,1,2,4,16,-1.5888
1970,1,2,5,19,-2.2704
1970,1,3,1,63,-4.4723
1970,1,3,2,61,-8.5194
1970,1,3,3,62,-8.2307
1970,1,3,4,65,-8.0399
1970,1,3,5,58,-8.7047
1970,2,1,1,5,3.1521
1970,2,1,2,10,6.8486
1970,2,1,3,13,5.5618
1970,2,1,4,7,-3.0937
1970,2,1,5,11,2.9324
1970,2,2,1,21,5.5446
1970,2,2,2,17,6.5410
1970,2,2,3,14,2.3417
1970,2,2,4,16,5.6406
1970,2,2,5,19,6.7295
1970,2,3,1,63,8.0549
1970,2,3,2,61,5.5092
1970,2,3,3,62,5.9586
1970,2,3,4,65,6.0283
1970,2,3,5,58,5.0547
1970,3,1,1,5,3.6355
1970,3,1,2,10,3.3079
1970,3,1,3,13,0.3475
1970,3,1,4,7,-5.1489
1970,3,1,5,10,-0.3697
1970,3,2,1,21,2.0170
1970,3,2,2,17,2.3534
1970,3,2,3,14,4.9243
1970,3,2,4,16,-1.5781
1970,3,2,5,19,-2.4956
1970,3,3,1,63,1.9046
1970,3,3,2,61,-0.7646
1970,3,3,3,62,-0.6875
1970,3,3,4,65,2.5958
1970,3,3,5,58,-0.0944
1970,4,1,1,5,-16.7524
1970,4,1,2,10,-13.8221
1970,4,1,3,13,-9.3605
1970,4,1,4,7,-11.2050
1970,4,1,5,10,-13.3763
1970,4,2,1,21,-8.4657
1970,4,2,2,17,-8.4794
1970,4,2,3,14,-13.7383
1970,4,2,4,16,-10.2681
1970,4,2,5,19,-12.5381
1970,4,3,1,63,-8.2256
1970,4,3,2,61,-10.4957
1970,4,3,3,62,-7.6009
1970,4,3,4,65,-9.2051
1970,4,3,5,58,-8.3847
1970,5,1,1,5,-10.7560
1970,5,1,2,10,-12.1648
1970,5,1,3,13,-9.0981
1970,5,1,4,7,-12.4262
1970,5,1,5,10,-4.3735
1970,5,2,1,21,-6.7127
1970,5,2,2,17,-5.0665
1970,5,2,3,14,-5.1681
1970,5,2,4,16,-11.2750
1970,5,2,5,19,-11.5467
1970,5,3,1,63,-4.2572
1970,5,3,2,61,-6.6619
1970,5,3,3,62,-4.7053
1970,5,3,4,65,-6.0678
1970,5,3,5,58,-3.8552
1970,6,1,1,5,-13.2123
1970,6,1,2,10,-10.0177
1970,6,1,3,13,-3.3074
1970,6,1,4,7,-5.9108
1970,6,1,5,9,-9.3903
1970,6,2,1,21,-5.3991
1970,6,2,2,17,-6.9601
1970,6,2,3,14,-3.3453
1970,6,2,4,15,-5.4897
1970,6,2,5,19,-4.9664
1970,6,3,1,63,-5.1282
1970,6,3,2,61,-6.9522
1970,6,3,3,62,-2.7445
1970,6,3,4,65,-3.5550
1970,6,3,5,58,-3.4238
1970,7,1,1,3,24.0192
1970,7,1,2,8,11.3593
1970,7,1,3,10,2.1495
1970,7,1,4,12,0.1935
1970,7,1,5,11,5.1102
1970,7,2,1,16,4.0495
1970,7,2,2,16,6.3794
1970,7,2,3,16,8.6041
1970,7,2,4,16,7.6294
1970,7,2,5,15,9.7055
1970,7,3,1,69,9.5472
1970,7,3,2,63,6.7227
1970,7,3,3,61,9.9745
1970,7,3,4,60,8.4167
1970,7,3,5,61,4.0200
1970,8,1,1,3,7.3401
1970,8,1,2,8,5.0191
1970,8,1,3,10,14.8199
1970,8,1,4,12,11.7398
1970,8,1,5,11,8.6303
1970,8,2,1,16,8.2991
1970,8,2,2,16,4.6198
1970,8,2,3,16,7.3324
1970,8,2,4,16,3.3376
1970,8,2,5,15,12.0811
1970,8,3,1,69,3.1892
1970,8,3,2,63,4.6906
1970,8,3,3,61,4.8843
1970,8,3,4,60,6.0460
1970,8,3,5,61,4.5247
1970,9,1,1,3,15.3821
1970,9,1,2,8,13.8617
1970,9,1,3,10,6.6047
1970,9,1,4,12,7.3276
1970,9,1,5,11,6.8074
1970,9,2,1,16,5.2689
1970,9,2,2,16,7.9866
1970,9,2,3,15,8.2299
1970,9,2,4,16,12.9029
1970,9,2,5,15,8.6592
1970,9,3,1,69,-0.0003
1970,9,3,2,63,5.1260
1970,9,3,3,61,0.9071
1970,9,3,4,60,2.6342
1970,9,3,5,61,4.5527
1970,10,1,1,3,-0.6129
1970,10,1,2,8,-4.9439
1970,10,1,3,10,-8.2215
1970,10,1,4,12,-6.9384
1970,10,1,5,11,-4.5942
1970,10,2,1,16,-4.9877
1970,10,2,2,16,-6.5241
1970,10,2,3,15,-3.5041
1970,10,2,4,16,-3.7517
1970,10,2,5,15,-4.6199
1970,10,3,1,69,-2.7556
1970,10,3,2,63,-0.0616
1970,10,3,3,61,0.6286
1970,10,3,4,60,-0.4122
1970,10,3,5,61,-0.8114
1970,11,1,1,3,-12.2410
1970,11,1,2,8,6.2507
