year,month,rank_ME,rank_OCA,nstocks,ret_vw
1968,12,2,3,56,-1.7696
1968,12,2,4,65,-1.6544
1968,12,2,5,51,-1.3939
1968,12,3,1,104,-3.6866
1968,12,3,2,84,-3.9383
1968,12,3,3,76,-3.8721
1968,12,3,4,74,-5.1243
1968,12,3,5,81,-4.0912
1969,1,1,1,84,-1.8287
1969,1,1,2,104,-0.9603
1969,1,1,3,131,-1.6793
1969,1,1,4,139,-0.3739
1969,1,1,5,171,-2.1719
1969,1,2,1,60,0.2231
1969,1,2,2,59,-0.0338
1969,1,2,3,56,-4.3416
1969,1,2,4,65,-3.4173
1969,1,2,5,51,-1.7152
1969,1,3,1,104,-0.0856
1969,1,3,2,84,-1.2325
1969,1,3,3,76,-1.4910
1969,1,3,4,73,-3.1707
1969,1,3,5,81,-0.6481
1969,2,1,1,84,-11.3134
1969,2,1,2,104,-9.5089
1969,2,1,3,131,-10.6565
1969,2,1,4,138,-10.0968
1969,2,1,5,169,-9.5204
1969,2,2,1,60,-10.4610
1969,2,2,2,59,-8.6613
1969,2,2,3,56,-8.1738
1969,2,2,4,65,-7.4191
1969,2,2,5,51,-6.8930
1969,2,3,1,104,-4.7933
1969,2,3,2,84,-4.6772
1969,2,3,3,76,-5.9112
1969,2,3,4,73,-3.4410
1969,2,3,5,81,-3.1135
1969,3,1,1,84,0.9338
1969,3,1,2,104,4.3811
1969,3,1,3,131,2.3449
1969,3,1,4,138,1.8890
1969,3,1,5,169,3.7505
1969,3,2,1,60,2.1051
1969,3,2,2,58,4.4229
1969,3,2,3,56,2.5802
1969,3,2,4,65,2.7861
1969,3,2,5,51,4.0679
1969,3,3,1,104,2.9342
1969,3,3,2,84,3.7721
1969,3,3,3,76,3.4398
1969,3,3,4,73,5.8552
1969,3,3,5,81,3.9159
1969,4,1,1,84,-2.2376
1969,4,1,2,104,0.9063
1969,4,1,3,130,-0.6763
1969,4,1,4,137,0.2438
1969,4,1,5,169,-0.1232
1969,4,2,1,60,-0.2133
1969,4,2,2,58,0.3924
1969,4,2,3,56,0.8243
1969,4,2,4,65,2.7380
1969,4,2,5,50,2.5092
1969,4,3,1,104,1.7953
1969,4,3,2,83,1.0733
1969,4,3,3,76,2.2086
1969,4,3,4,72,3.6553
1969,4,3,5,81,4.1895
1969,5,1,1,84,3.2662
1969,5,1,2,104,0.9578
1969,5,1,3,130,-0.9852
1969,5,1,4,138,1.6900
1969,5,1,5,169,1.1808
1969,5,2,1,60,-0.9143
1969,5,2,2,59,-0.5603
1969,5,2,3,56,-0.2218
1969,5,2,4,65,0.7342
1969,5,2,5,50,1.9234
1969,5,3,1,103,1.4917
1969,5,3,2,83,0.2184
1969,5,3,3,76,-0.1152
1969,5,3,4,72,-1.3855
1969,5,3,5,81,1.3569
1969,6,1,1,84,-14.2172
1969,6,1,2,104,-14.9875
1969,6,1,3,130,-15.0966
1969,6,1,4,139,-13.2452
