year,month,rank_ME,rank_r10n,nstocks,ret_vw
1970,6,2,1,31,-9.7358
1970,6,2,2,43,-9.1838
1970,6,2,3,30,-4.5533
1970,6,2,4,25,-3.9347
1970,6,2,5,32,-9.8343
1970,6,3,1,64,-5.9663
1970,6,3,2,79,-2.6540
1970,6,3,3,91,-7.0896
1970,6,3,4,98,-4.5197
1970,6,3,5,86,-3.7016
1970,7,1,1,46,9.1112
1970,7,1,2,20,2.2746
1970,7,1,3,16,5.0921
1970,7,1,4,17,9.2847
1970,7,1,5,20,1.7988
1970,7,2,1,37,3.5631
1970,7,2,2,38,7.5355
1970,7,2,3,36,6.9943
1970,7,2,4,27,4.3900
1970,7,2,5,28,11.5417
1970,7,3,1,58,6.3932
1970,7,3,2,83,5.8405
1970,7,3,3,89,6.4119
1970,7,3,4,95,10.6243
1970,7,3,5,91,8.8547
1970,8,1,1,42,5.7571
1970,8,1,2,25,5.7963
1970,8,1,3,14,9.4887
1970,8,1,4,17,4.8681
1970,8,1,5,27,8.8401
1970,8,2,1,33,9.6044
1970,8,2,2,42,5.7158
1970,8,2,3,38,5.9513
1970,8,2,4,22,9.3119
1970,8,2,5,30,9.6383
1970,8,3,1,66,5.6876
1970,8,3,2,76,4.1980
1970,8,3,3,87,3.7882
1970,8,3,4,102,5.2224
1970,8,3,5,82,6.1145
1970,9,1,1,45,13.9106
1970,9,1,2,22,3.6157
1970,9,1,3,23,10.0627
1970,9,1,4,15,13.4726
1970,9,1,5,21,11.5665
1970,9,2,1,34,14.5492
1970,9,2,2,43,6.2009
1970,9,2,3,33,10.4369
1970,9,2,4,27,8.4036
1970,9,2,5,30,9.7179
1970,9,3,1,64,1.5076
1970,9,3,2,76,3.6699
1970,9,3,3,87,3.3613
1970,9,3,4,99,1.8570
1970,9,3,5,89,6.2887
1970,10,1,1,47,-7.7278
1970,10,1,2,21,-0.7699
1970,10,1,3,17,-5.0739
1970,10,1,4,15,-7.3459
1970,10,1,5,30,-8.6608
1970,10,2,1,36,-5.9425
1970,10,2,2,30,-3.3814
1970,10,2,3,41,-3.9478
1970,10,2,4,28,-2.7642
1970,10,2,5,26,-4.1624
1970,10,3,1,60,-2.5531
1970,10,3,2,90,-1.8940
1970,10,3,3,82,-0.0074
1970,10,3,4,97,-0.4203
1970,10,3,5,86,-1.7533
1970,11,1,1,48,1.0792
1970,11,1,2,21,2.3044
1970,11,1,3,16,4.3966
1970,11,1,4,21,0.6549
1970,11,1,5,23,-1.2445
1970,11,2,1,29,4.0787
1970,11,2,2,33,4.3458
1970,11,2,3,35,3.6647
1970,11,2,4,28,0.8543
1970,11,2,5,38,2.6532
1970,11,3,1,64,4.6600
1970,11,3,2,88,5.3303
1970,11,3,3,88,5.3386
1970,11,3,4,95,5.9099
1970,11,3,5,78,7.2833
1970,12,1,1,31,9.9924
1970,12,1,2,24,13.7942
1970,12,1,3,21,9.2604
1970,12,1,4,22,11.9589
1970,12,1,5,26,10.5732
1970,12,2,1,36,6.0428
1970,12,2,2,33,9.2915
1970,12,2,3,33,10.2245
1970,12,2,4,31,11.4765
1970,12,2,5,40,10.8316
1970,12,3,1,74,7.4375
1970,12,3,2,86,7.2593
1970,12,3,3,87,5.3555
1970,12,3,4,90,4.8682
1970,12,3,5,73,6.8511
1971,1,1,1,48,15.3664
1971,1,1,2,20,13.0266
1971,1,1,3,13,23.5849
1971,1,1,4,19,12.7394
1971,1,1,5,27,15.3803
1971,1,2,1,37,11.5188
1971,1,2,2,34,10.1167
1971,1,2,3,34,7.8891
1971,1,2,4,35,9.7398
1971,1,2,5,28,12.5657
1971,1,3,1,58,6.3912
1971,1,3,2,86,4.5909
1971,1,3,3,92,2.8260
1971,1,3,4,86,2.3548
1971,1,3,5,86,6.7764
1971,2,1,1,35,3.1505
1971,2,1,2,25,2.3221
1971,2,1,3,14,5.7618
1971,2,1,4,21,2.1638
1971,2,1,5,30,4.5777
1971,2,2,1,36,3.4759
1971,2,2,2,39,1.4585
1971,2,2,3,35,0.8648
1971,2,2,4,29,4.1805
1971,2,2,5,31,2.6753
1971,2,3,1,70,-0.8982
1971,2,3,2,77,1.4598
1971,2,3,3,91,1.7534
1971,2,3,4,89,2.7605
1971,2,3,5,79,0.7476
1971,3,1,1,41,4.5826
1971,3,1,2,14,1.4051
1971,3,1,3,17,8.4738
1971,3,1,4,28,4.8260
1971,3,1,5,25,7.7837
1971,3,2,1,36,6.0729
1971,3,2,2,35,3.1654
1971,3,2,3,31,2.7602
1971,3,2,4,36,8.3331
1971,3,2,5,31,5.6883
1971,3,3,1,66,3.6290
1971,3,3,2,90,3.3830
1971,3,3,3,93,3.0343
1971,3,3,4,76,4.3262
1971,3,3,5,84,4.0888
1971,4,1,1,38,2.0174
1971,4,1,2,21,4.7723
1971,4,1,3,19,4.0110
1971,4,1,4,22,-0.1155
1971,4,1,5,26,3.4927
1971,4,2,1,37,4.9920
1971,4,2,2,33,2.0255
1971,4,2,3,27,3.7892
1971,4,2,4,33,4.5301
1971,4,2,5,40,3.0885
1971,4,3,1,67,1.4385
1971,4,3,2,86,2.3229
1971,4,3,3,93,2.9162
1971,4,3,4,87,5.9988
1971,4,3,5,74,8.4252
1971,5,1,1,33,-4.6519
1971,5,1,2,29,-3.2825
1971,5,1,3,17,-6.4032
1971,5,1,4,28,-8.3396
1971,5,1,5,21,-7.6836
1971,5,2,1,40,-4.0374
1971,5,2,2,28,-2.9922
1971,5,2,3,37,-6.3152
1971,5,2,4,25,-5.1397
1971,5,2,5,36,-4.3281
1971,5,3,1,69,-4.4512
1971,5,3,2,83,-3.4792
1971,5,3,3,88,-5.1982
1971,5,3,4,87,-3.2087
1971,5,3,5,84,-1.1024
1971,6,1,1,30,0.4527
1971,6,1,2,28,-2.1921
1971,6,1,3,17,-4.3527
1971,6,1,4,25,-2.9854
1971,6,1,5,27,-1.8146
1971,6,2,1,41,-1.6585
1971,6,2,2,28,-2.5875
1971,6,2,3,34,-2.0046
1971,6,2,4,32,-0.5085
1971,6,2,5,33,-3.2788
1971,6,3,1,72,1.9929
1971,6,3,2,85,2.0625
1971,6,3,3,91,0.3942
1971,6,3,4,85,-0.5676
1971,6,3,5,82,-1.2004
1971,7,1,1,28,-4.4010
1971,7,1,2,24,-7.5920
1971,7,1,3,23,-4.1569
1971,7,1,4,23,-3.9195
1971,7,1,5,26,-5.0746
1971,7,2,1,41,-4.4266
1971,7,2,2,35,-2.0100
1971,7,2,3,30,-4.6003
1971,7,2,4,33,-0.1497
1971,7,2,5,32,-4.0969
1971,7,3,1,74,-3.3000
1971,7,3,2,81,-3.1885
1971,7,3,3,90,-5.3750
1971,7,3,4,84,-2.3860
1971,7,3,5,83,-5.4739
1971,8,1,1,29,1.9159
1971,8,1,2,23,1.2365
1971,8,1,3,22,5.8935
1971,8,1,4,24,6.3961
1971,8,1,5,29,7.9805
1971,8,2,1,37,5.0965
1971,8,2,2,33,3.9981
1971,8,2,3,31,5.7157
1971,8,2,4,29,5.2584
1971,8,2,5,34,7.4166
1971,8,3,1,76,4.8345
1971,8,3,2,85,2.4661
1971,8,3,3,89,4.0977
1971,8,3,4,88,3.8380
1971,8,3,5,78,5.8388
1971,9,1,1,24,-4.7702
1971,9,1,2,28,-3.1756
1971,9,1,3,23,-1.0390
1971,9,1,4,29,-2.2034
1971,9,1,5,27,-2.8850
1971,9,2,1,35,0.0683
