year,month,rank_ME,rank_ETR,nstocks,ret_vw
1969,6,2,2,30,-9.0423
1969,6,2,3,41,-6.8516
1969,6,2,4,47,-9.8545
1969,6,2,5,45,-10.5885
1969,6,3,1,80,-8.0562
1969,6,3,2,113,-2.3203
1969,6,3,3,105,-3.9505
1969,6,3,4,87,-7.9657
1969,6,3,5,78,-8.8616
1969,7,1,1,86,-11.9603
1969,7,1,2,43,-10.9406
1969,7,1,3,28,-10.0124
1969,7,1,4,47,-9.3750
1969,7,1,5,109,-10.6828
1969,7,2,1,52,-7.4549
1969,7,2,2,36,-8.3983
1969,7,2,3,39,-7.1130
1969,7,2,4,45,-7.0642
1969,7,2,5,60,-9.4145
1969,7,3,1,80,-6.6083
1969,7,3,2,116,-5.0005
1969,7,3,3,113,-4.2724
1969,7,3,4,105,-6.3132
1969,7,3,5,72,-9.6728
1969,8,1,1,86,2.8872
1969,8,1,2,43,4.1059
1969,8,1,3,28,3.4597
1969,8,1,4,47,4.8463
1969,8,1,5,109,3.9561
1969,8,2,1,52,5.7550
1969,8,2,2,36,3.9444
1969,8,2,3,39,5.5000
1969,8,2,4,45,5.0243
1969,8,2,5,60,7.8915
1969,8,3,1,80,3.3433
1969,8,3,2,116,3.3101
1969,8,3,3,113,5.3258
1969,8,3,4,105,4.7272
1969,8,3,5,72,6.9117
1969,9,1,1,86,-4.8459
1969,9,1,2,43,-0.4266
1969,9,1,3,28,-5.6839
1969,9,1,4,47,-0.2546
1969,9,1,5,109,-4.7332
1969,9,2,1,50,-0.9495
1969,9,2,2,36,1.3472
1969,9,2,3,39,-1.3209
1969,9,2,4,45,-0.1244
1969,9,2,5,60,0.0066
1969,9,3,1,80,-1.7149
1969,9,3,2,115,-3.5338
1969,9,3,3,113,-1.5668
1969,9,3,4,105,-1.7928
1969,9,3,5,72,-6.4609
1969,10,1,1,86,7.7918
1969,10,1,2,43,10.2661
1969,10,1,3,28,8.6114
1969,10,1,4,47,9.9094
1969,10,1,5,109,9.6473
1969,10,2,1,50,11.8700
1969,10,2,2,36,6.3193
1969,10,2,3,39,6.4083
1969,10,2,4,45,7.0899
1969,10,2,5,60,6.8837
1969,10,3,1,80,4.9833
1969,10,3,2,115,5.0167
1969,10,3,3,113,5.8069
1969,10,3,4,105,3.7549
1969,10,3,5,72,6.1898
1969,11,1,1,86,-7.3209
1969,11,1,2,43,-3.0313
1969,11,1,3,28,-4.3931
1969,11,1,4,47,-6.2811
1969,11,1,5,109,-5.6743
1969,11,2,1,51,-4.2765
1969,11,2,2,36,-4.8592
1969,11,2,3,39,-4.5284
1969,11,2,4,45,-2.9974
1969,11,2,5,60,-5.7993
1969,11,3,1,80,-4.6487
1969,11,3,2,116,-2.7984
1969,11,3,3,113,-2.3289
1969,11,3,4,105,-2.7160
1969,11,3,5,72,-4.1711
1969,12,1,1,86,-7.2223
1969,12,1,2,43,-0.4861
1969,12,1,3,28,-10.1590
1969,12,1,4,47,-4.9923
1969,12,1,5,109,-8.0082
1969,12,2,1,51,-4.7631
1969,12,2,2,36,-6.4989
1969,12,2,3,39,-3.7343
1969,12,2,4,45,-0.5829
1969,12,2,5,60,-4.7751
1969,12,3,1,80,-1.4526
1969,12,3,2,116,-3.0997
1969,12,3,3,113,-0.3177
1969,12,3,4,105,-0.5030
1969,12,3,5,72,-4.1372
1970,1,1,1,86,-2.4866
1970,1,1,2,43,-2.4419
1970,1,1,3,28,-3.4474
1970,1,1,4,47,-2.2870
1970,1,1,5,109,-3.6336
1970,1,2,1,51,-4.8788
1970,1,2,2,36,-3.8688
1970,1,2,3,39,-4.1924
1970,1,2,4,45,-3.5647
1970,1,2,5,60,-6.9766
1970,1,3,1,80,-7.4206
1970,1,3,2,116,-6.2946
1970,1,3,3,113,-8.0741
1970,1,3,4,104,-7.6073
1970,1,3,5,72,-10.4717
1970,2,1,1,86,3.3434
1970,2,1,2,43,2.6814
1970,2,1,3,28,0.6218
1970,2,1,4,46,3.2560
1970,2,1,5,109,3.5662
1970,2,2,1,51,5.2950
1970,2,2,2,36,3.8668
1970,2,2,3,39,5.9246
1970,2,2,4,45,3.0935
1970,2,2,5,60,6.9179
1970,2,3,1,80,7.6105
1970,2,3,2,116,8.3862
1970,2,3,3,113,4.6298
1970,2,3,4,104,3.8670
1970,2,3,5,72,9.1220
1970,3,1,1,86,-1.0276
1970,3,1,2,43,-2.7004
1970,3,1,3,28,-2.6921
1970,3,1,4,46,-2.7331
1970,3,1,5,109,-1.4696
1970,3,2,1,51,-1.0717
1970,3,2,2,36,1.6727
1970,3,2,3,39,-2.1178
1970,3,2,4,45,0.2067
1970,3,2,5,60,-2.0538
1970,3,3,1,80,1.6236
1970,3,3,2,116,0.2971
1970,3,3,3,113,-1.7331
1970,3,3,4,105,1.4944
1970,3,3,5,72,-0.4786
1970,4,1,1,86,-15.2235
1970,4,1,2,43,-15.2821
1970,4,1,3,28,-10.7099
1970,4,1,4,46,-13.7636
1970,4,1,5,109,-15.5208
1970,4,2,1,51,-12.3277
1970,4,2,2,36,-13.7396
1970,4,2,3,39,-11.5366
1970,4,2,4,45,-12.9285
1970,4,2,5,60,-14.7298
1970,4,3,1,80,-9.9874
1970,4,3,2,116,-8.6319
1970,4,3,3,113,-9.1230
1970,4,3,4,105,-8.9669
1970,4,3,5,72,-10.1912
1970,5,1,1,86,-8.1085
1970,5,1,2,43,-11.6802
1970,5,1,3,28,-7.2290
1970,5,1,4,46,-8.1406
1970,5,1,5,109,-9.8436
1970,5,2,1,51,-10.2367
1970,5,2,2,36,-6.7791
1970,5,2,3,39,-10.1029
1970,5,2,4,45,-6.6934
1970,5,2,5,60,-11.4938
1970,5,3,1,80,-7.0656
1970,5,3,2,116,-5.3286
1970,5,3,3,113,-7.4005
1970,5,3,4,105,-4.4122
1970,5,3,5,72,-2.7273
1970,6,1,1,86,-7.9549
1970,6,1,2,43,-5.3373
1970,6,1,3,28,-4.5316
1970,6,1,4,46,-6.6154
1970,6,1,5,109,-8.7011
1970,6,2,1,51,-5.4006
1970,6,2,2,36,-4.6517
1970,6,2,3,39,-6.6157
1970,6,2,4,45,-5.8837
1970,6,2,5,60,-7.4074
1970,6,3,1,80,-5.7768
1970,6,3,2,116,-5.9642
1970,6,3,3,113,-3.8571
1970,6,3,4,105,-4.8616
1970,6,3,5,72,-4.5048
1970,7,1,1,140,6.4514
1970,7,1,2,47,5.0066
1970,7,1,3,49,4.5133
1970,7,1,4,60,3.5032
1970,7,1,5,134,5.4665
1970,7,2,1,49,5.6288
1970,7,2,2,42,5.1418
1970,7,2,3,40,10.8214
1970,7,2,4,65,9.0785
1970,7,2,5,60,7.1930
1970,7,3,1,76,7.6531
1970,7,3,2,119,10.2261
1970,7,3,3,123,5.1182
1970,7,3,4,90,8.9648
1970,7,3,5,85,4.8768
1970,8,1,1,140,6.8998
1970,8,1,2,47,4.5378
1970,8,1,3,48,5.7985
1970,8,1,4,60,6.8437
1970,8,1,5,134,7.5154
1970,8,2,1,49,6.9556
1970,8,2,2,41,9.2524
1970,8,2,3,40,6.0113
1970,8,2,4,65,5.3457
1970,8,2,5,60,6.8270
1970,8,3,1,76,5.6176
1970,8,3,2,119,5.8040
1970,8,3,3,123,4.4842
1970,8,3,4,90,3.8447
