year,month,rank_ME,rank_OL,nstocks,ret_vw
1971,1,3,3,96,6.5672
1971,1,3,4,61,3.3730
1971,1,3,5,63,6.7045
1971,2,1,1,96,5.5912
1971,2,1,2,108,5.7626
1971,2,1,3,143,6.6376
1971,2,1,4,172,4.3316
1971,2,1,5,276,6.5669
1971,2,2,1,61,2.9179
1971,2,2,2,60,3.3653
1971,2,2,3,59,2.8648
1971,2,2,4,71,2.9464
1971,2,2,5,90,3.4582
1971,2,3,1,120,1.4646
1971,2,3,2,109,1.5354
1971,2,3,3,95,1.6011
1971,2,3,4,61,2.0356
1971,2,3,5,63,4.9721
1971,3,1,1,96,4.6263
1971,3,1,2,108,6.6094
1971,3,1,3,142,4.8054
1971,3,1,4,172,6.5538
1971,3,1,5,276,7.8443
1971,3,2,1,61,7.8868
1971,3,2,2,60,6.8350
1971,3,2,3,58,5.9232
1971,3,2,4,71,6.2811
1971,3,2,5,90,8.6340
1971,3,3,1,120,3.9888
1971,3,3,2,109,3.3884
1971,3,3,3,95,5.4595
1971,3,3,4,61,3.8415
1971,3,3,5,62,4.6816
1971,4,1,1,96,2.7835
1971,4,1,2,108,2.2434
1971,4,1,3,142,1.8905
1971,4,1,4,171,3.4781
1971,4,1,5,275,2.4405
1971,4,2,1,61,5.3897
1971,4,2,2,60,4.5799
1971,4,2,3,58,2.1627
1971,4,2,4,70,4.3824
1971,4,2,5,90,3.8564
1971,4,3,1,120,2.9543
1971,4,3,2,109,5.5332
1971,4,3,3,95,4.8040
1971,4,3,4,61,6.2605
1971,4,3,5,62,4.9347
1971,5,1,1,96,-7.6359
1971,5,1,2,107,-6.8629
1971,5,1,3,141,-5.8957
1971,5,1,4,170,-5.5840
1971,5,1,5,271,-5.9702
1971,5,2,1,61,-4.9648
1971,5,2,2,59,-3.3577
1971,5,2,3,59,-5.8650
1971,5,2,4,70,-3.3174
1971,5,2,5,90,-3.5752
1971,5,3,1,120,-4.5302
1971,5,3,2,109,-3.2198
1971,5,3,3,95,-1.7098
1971,5,3,4,61,-3.4250
1971,5,3,5,62,-1.9196
1971,6,1,1,94,-1.5813
1971,6,1,2,106,-3.0512
1971,6,1,3,140,-3.4543
1971,6,1,4,170,-2.2107
1971,6,1,5,269,-1.6372
1971,6,2,1,60,-4.1858
1971,6,2,2,59,-1.2296
1971,6,2,3,59,0.1150
1971,6,2,4,70,-1.8299
1971,6,2,5,90,3.1178
1971,6,3,1,120,-0.3054
1971,6,3,2,108,-0.4811
1971,6,3,3,95,0.7578
1971,6,3,4,61,0.7186
1971,6,3,5,62,0.5138
1971,7,1,1,111,-7.7521
1971,7,1,2,112,-6.5323
1971,7,1,3,150,-7.8508
1971,7,1,4,165,-7.1509
1971,7,1,5,291,-6.0917
1971,7,2,1,64,-7.3845
1971,7,2,2,58,-6.7814
1971,7,2,3,62,-4.5262
1971,7,2,4,71,-4.7724
1971,7,2,5,93,-5.2211
1971,7,3,1,127,-4.4718
1971,7,3,2,106,-3.6129
1971,7,3,3,94,-4.1580
1971,7,3,4,76,-4.2144
1971,7,3,5,70,-3.8738
1971,8,1,1,111,1.6996
1971,8,1,2,112,5.3467
1971,8,1,3,150,5.3733
1971,8,1,4,164,4.7806
1971,8,1,5,291,4.1477
1971,8,2,1,64,2.2489
1971,8,2,2,58,8.0358
1971,8,2,3,62,6.4327
1971,8,2,4,71,6.9902
1971,8,2,5,93,3.5054
1971,8,3,1,127,2.6253
1971,8,3,2,105,5.2101
1971,8,3,3,93,7.0504
1971,8,3,4,76,6.3085
1971,8,3,5,70,5.7498
1971,9,1,1,111,-1.7073
1971,9,1,2,112,-1.8583
1971,9,1,3,150,-1.4376
1971,9,1,4,164,-0.2614
1971,9,1,5,291,1.3889
1971,9,2,1,63,-3.2959
