year,month,rank_ME,rank_HS,nstocks,ret_vw
1969,6,2,1,43,-9.7665
1969,6,2,2,44,-9.9984
1969,6,2,3,39,-10.7338
1969,6,2,4,65,-12.3531
1969,6,2,5,43,-8.7926
1969,6,3,1,92,-7.7192
1969,6,3,2,67,-5.6978
1969,6,3,3,80,-9.6221
1969,6,3,4,68,-1.7031
1969,6,3,5,79,-4.0282
1969,7,1,1,76,-10.4222
1969,7,1,2,117,-12.0940
1969,7,1,3,143,-11.4124
1969,7,1,4,142,-10.6947
1969,7,1,5,119,-13.6482
1969,7,2,1,49,-9.8307
1969,7,2,2,57,-9.3873
1969,7,2,3,50,-7.8120
1969,7,2,4,67,-10.3540
1969,7,2,5,46,-9.8072
1969,7,3,1,96,-8.3440
1969,7,3,2,79,-5.6039
1969,7,3,3,75,-4.8285
1969,7,3,4,84,-5.7921
1969,7,3,5,82,-4.4163
1969,8,1,1,76,4.6704
1969,8,1,2,116,2.8290
1969,8,1,3,143,5.2186
1969,8,1,4,142,4.8139
1969,8,1,5,119,3.6458
1969,8,2,1,49,5.8301
1969,8,2,2,57,6.0218
1969,8,2,3,50,5.2780
1969,8,2,4,67,7.1768
1969,8,2,5,46,5.7029
1969,8,3,1,96,6.9533
1969,8,3,2,79,4.2884
1969,8,3,3,75,5.4122
1969,8,3,4,84,5.6515
1969,8,3,5,82,3.7244
1969,9,1,1,76,-2.2031
1969,9,1,2,117,-5.3670
1969,9,1,3,143,-2.3034
1969,9,1,4,142,-3.0741
1969,9,1,5,119,-2.9277
1969,9,2,1,48,-2.0475
1969,9,2,2,56,0.5489
1969,9,2,3,50,1.4515
1969,9,2,4,67,-0.6320
1969,9,2,5,45,-0.3901
1969,9,3,1,96,-5.2546
1969,9,3,2,78,-1.1276
1969,9,3,3,75,-0.0460
1969,9,3,4,84,-0.9155
1969,9,3,5,82,-2.7231
1969,10,1,1,76,10.4680
1969,10,1,2,117,10.9216
1969,10,1,3,143,9.9678
1969,10,1,4,141,10.4824
1969,10,1,5,119,11.4854
1969,10,2,1,48,8.4323
1969,10,2,2,56,8.1662
1969,10,2,3,50,11.3467
1969,10,2,4,67,7.3126
1969,10,2,5,45,5.0433
1969,10,3,1,96,2.3462
1969,10,3,2,78,6.1902
1969,10,3,3,75,6.2973
1969,10,3,4,84,5.1518
1969,10,3,5,82,4.6214
1969,11,1,1,76,-6.2406
1969,11,1,2,117,-6.4107
1969,11,1,3,143,-6.4786
1969,11,1,4,141,-7.7283
1969,11,1,5,119,-7.3973
1969,11,2,1,48,-7.0603
1969,11,2,2,56,-5.0147
1969,11,2,3,50,-4.6351
1969,11,2,4,67,-4.9379
1969,11,2,5,46,-3.8768
1969,11,3,1,96,-3.8825
1969,11,3,2,79,-4.2486
1969,11,3,3,75,-2.8486
1969,11,3,4,84,-2.0106
1969,11,3,5,82,-1.3839
1969,12,1,1,76,-6.8310
1969,12,1,2,117,-8.1873
1969,12,1,3,143,-8.0739
1969,12,1,4,142,-8.3595
1969,12,1,5,119,-7.6734
1969,12,2,1,48,-4.9805
1969,12,2,2,56,-5.7656
1969,12,2,3,50,-3.8740
1969,12,2,4,67,-3.1709
1969,12,2,5,46,-4.5983
1969,12,3,1,96,-1.6807
1969,12,3,2,79,-1.3591
1969,12,3,3,75,-0.2109
1969,12,3,4,84,-0.7268
1969,12,3,5,82,-2.9516
1970,1,1,1,76,-3.0683
1970,1,1,2,117,-3.0333
1970,1,1,3,143,-2.7170
1970,1,1,4,142,-4.0456
1970,1,1,5,119,-3.7473
1970,1,2,1,48,-5.6928
1970,1,2,2,56,-5.2644
1970,1,2,3,48,-3.3741
1970,1,2,4,67,-8.8711
1970,1,2,5,46,-5.7297
1970,1,3,1,96,-9.8527
1970,1,3,2,79,-6.4555
1970,1,3,3,75,-8.6379
1970,1,3,4,84,-8.2670
1970,1,3,5,82,-6.4214
1970,2,1,1,76,4.3509
1970,2,1,2,117,1.9601
1970,2,1,3,143,2.6255
1970,2,1,4,142,2.6805
1970,2,1,5,119,2.2126
1970,2,2,1,47,5.4992
1970,2,2,2,56,6.7744
1970,2,2,3,48,-0.1767
1970,2,2,4,67,4.2616
1970,2,2,5,46,1.5510
1970,2,3,1,96,5.6074
1970,2,3,2,79,6.7791
1970,2,3,3,75,7.4854
1970,2,3,4,84,4.4728
1970,2,3,5,82,4.7275
1970,3,1,1,76,-3.0920
1970,3,1,2,117,-2.9617
1970,3,1,3,143,-5.3272
1970,3,1,4,142,-2.8812
1970,3,1,5,118,-5.3348
1970,3,2,1,47,0.2008
1970,3,2,2,56,-0.6946
1970,3,2,3,50,-3.6794
1970,3,2,4,67,-3.2082
1970,3,2,5,46,-4.5623
1970,3,3,1,96,-1.8640
1970,3,3,2,79,0.8513
1970,3,3,3,75,-1.3538
1970,3,3,4,84,0.0530
1970,3,3,5,82,1.2364
1970,4,1,1,76,-16.0601
1970,4,1,2,116,-16.4566
1970,4,1,3,142,-17.8933
1970,4,1,4,142,-20.7379
1970,4,1,5,118,-20.0777
1970,4,2,1,47,-14.5950
1970,4,2,2,56,-13.7343
1970,4,2,3,50,-15.1265
1970,4,2,4,67,-18.4237
1970,4,2,5,46,-15.9170
1970,4,3,1,96,-9.2165
1970,4,3,2,79,-9.6087
1970,4,3,3,75,-11.4340
1970,4,3,4,84,-11.3654
1970,4,3,5,82,-7.1717
1970,5,1,1,76,-7.1431
1970,5,1,2,116,-9.9537
1970,5,1,3,141,-9.2454
1970,5,1,4,142,-10.1784
1970,5,1,5,117,-9.3763
1970,5,2,1,47,-11.4401
1970,5,2,2,56,-8.2043
1970,5,2,3,50,-10.8094
1970,5,2,4,66,-11.1782
1970,5,2,5,46,-10.2014
1970,5,3,1,96,-1.4111
1970,5,3,2,79,-8.3908
1970,5,3,3,75,-10.3358
1970,5,3,4,84,-6.5148
1970,5,3,5,82,-6.1147
1970,6,1,1,75,-7.1735
1970,6,1,2,116,-8.4440
1970,6,1,3,139,-10.1576
1970,6,1,4,141,-9.3888
1970,6,1,5,117,-11.4286
1970,6,2,1,47,-7.1714
1970,6,2,2,55,-5.3442
1970,6,2,3,50,-8.2283
1970,6,2,4,65,-9.4808
1970,6,2,5,46,-7.6289
1970,6,3,1,96,-3.0388
1970,6,3,2,79,-3.9347
1970,6,3,3,75,-5.7842
1970,6,3,4,84,-7.1140
1970,6,3,5,82,-5.7211
1970,7,1,1,87,2.2542
1970,7,1,2,131,2.8426
1970,7,1,3,146,6.3206
1970,7,1,4,184,5.3640
1970,7,1,5,137,5.5830
1970,7,2,1,65,7.0038
1970,7,2,2,55,4.3925
1970,7,2,3,50,10.6165
1970,7,2,4,56,5.9041
1970,7,2,5,61,10.5534
1970,7,3,1,98,8.4722
1970,7,3,2,82,7.5103
1970,7,3,3,77,6.8847
1970,7,3,4,73,5.3050
1970,7,3,5,82,8.2291
1970,8,1,1,87,7.4248
1970,8,1,2,130,6.9285
1970,8,1,3,145,7.6009
1970,8,1,4,184,5.4884
1970,8,1,5,137,5.4459
1970,8,2,1,65,7.3844
1970,8,2,2,55,6.4239
1970,8,2,3,50,5.7801
1970,8,2,4,55,3.6635
1970,8,2,5,61,10.3576
1970,8,3,1,98,5.2808
1970,8,3,2,82,3.3086
1970,8,3,3,77,3.0447
1970,8,3,4,72,7.2038
1970,8,3,5,82,3.7532
1970,9,1,1,87,15.3405
1970,9,1,2,130,16.7501
1970,9,1,3,144,16.3254
1970,9,1,4,183,15.0707
1970,9,1,5,137,14.6285
1970,9,2,1,65,9.9976
1970,9,2,2,55,11.0860
1970,9,2,3,50,10.0103
1970,9,2,4,55,14.0805
1970,9,2,5,61,14.5972
1970,9,3,1,98,3.6783
1970,9,3,2,81,5.1777
1970,9,3,3,77,5.3947
1970,9,3,4,72,5.5934
1970,9,3,5,82,2.0699
1970,10,1,1,87,-7.2325
1970,10,1,2,130,-8.7207
1970,10,1,3,144,-8.4092
1970,10,1,4,183,-9.1380
1970,10,1,5,137,-7.0432
1970,10,2,1,65,-5.9285
1970,10,2,2,55,-7.9815
1970,10,2,3,50,-3.7308
1970,10,2,4,55,-6.1772
1970,10,2,5,61,-6.2690
1970,10,3,1,98,1.1768
1970,10,3,2,81,-2.2906
1970,10,3,3,77,-3.3392
1970,10,3,4,72,-1.7057
1970,10,3,5,82,-2.1397
1970,11,1,1,86,-2.9268
1970,11,1,2,129,-2.2564
1970,11,1,3,144,-1.6257
1970,11,1,4,182,-1.8537
1970,11,1,5,137,-3.1555
1970,11,2,1,65,1.6618
1970,11,2,2,55,3.1237
1970,11,2,3,50,1.8153
1970,11,2,4,55,3.2352
1970,11,2,5,60,1.0083
1970,11,3,1,98,4.3595
1970,11,3,2,81,6.5163
1970,11,3,3,77,3.7796
1970,11,3,4,72,5.7061
1970,11,3,5,82,5.0348
1970,12,1,1,86,10.2256
1970,12,1,2,129,9.7490
1970,12,1,3,144,10.1572
1970,12,1,4,182,7.1162
1970,12,1,5,136,10.5270
1970,12,2,1,65,7.8766
1970,12,2,2,55,7.8613
1970,12,2,3,50,11.2731
