year,month,rank_ME,rank_ALMq_6,nstocks,ret_vw
1978,11,2,1,147,9.9900
1978,11,2,2,167,6.2631
1978,11,2,3,212,6.0267
1978,11,2,4,201,5.6171
1978,11,2,5,166,6.5970
1978,11,3,1,278,2.9051
1978,11,3,2,255,2.9115
1978,11,3,3,204,3.3436
1978,11,3,4,167,4.4108
1978,11,3,5,79,4.8297
1978,12,1,1,125,2.2468
1978,12,1,2,171,0.3749
1978,12,1,3,295,1.9798
1978,12,1,4,404,0.9695
1978,12,1,5,582,-0.0633
1978,12,2,1,148,2.7754
1978,12,2,2,176,2.0785
1978,12,2,3,217,2.1273
1978,12,2,4,207,1.3377
1978,12,2,5,174,2.3885
1978,12,3,1,275,3.4914
1978,12,3,2,253,-0.0229
1978,12,3,3,209,0.8152
1978,12,3,4,175,0.7096
1978,12,3,5,83,0.1111
1979,1,1,1,113,10.5834
1979,1,1,2,155,7.3040
1979,1,1,3,269,10.5179
1979,1,1,4,355,11.5612
1979,1,1,5,547,11.7176
1979,1,2,1,148,6.8410
1979,1,2,2,170,6.8150
1979,1,2,3,203,7.7168
1979,1,2,4,186,10.0785
1979,1,2,5,161,9.5040
1979,1,3,1,260,2.9344
1979,1,3,2,226,5.7059
1979,1,3,3,193,4.8785
1979,1,3,4,166,6.5301
1979,1,3,5,83,6.7771
1979,2,1,1,124,-0.6041
1979,2,1,2,180,-2.2650
1979,2,1,3,291,-2.2972
1979,2,1,4,383,-3.6060
1979,2,1,5,542,-2.0793
1979,2,2,1,158,-2.7497
1979,2,2,2,189,-2.5321
1979,2,2,3,217,-2.3977
1979,2,2,4,211,-3.6568
1979,2,2,5,158,-3.0217
1979,2,3,1,272,-3.0194
1979,2,3,2,238,-2.6091
1979,2,3,3,217,-2.6128
1979,2,3,4,183,-4.0308
1979,2,3,5,89,-4.2651
1979,3,1,1,130,12.7138
1979,3,1,2,180,8.5879
1979,3,1,3,289,8.8097
1979,3,1,4,385,8.9027
1979,3,1,5,540,8.6998
1979,3,2,1,160,11.2332
1979,3,2,2,185,8.3046
1979,3,2,3,220,11.3676
1979,3,2,4,202,10.4488
1979,3,2,5,160,9.7601
1979,3,3,1,274,5.4770
1979,3,3,2,238,5.2166
1979,3,3,3,217,7.1254
1979,3,3,4,183,7.9591
1979,3,3,5,87,9.1299
1979,4,1,1,124,1.8840
1979,4,1,2,178,1.8198
1979,4,1,3,259,3.3074
1979,4,1,4,338,2.4183
