year,month,rank_ME,rank_OLq_1,nstocks,ret_vw
1974,10,3,1,32,25.1791
1974,10,3,2,5,25.6718
1974,10,3,3,4,20.5403
1974,10,3,4,7,23.9821
1974,10,3,5,5,35.0897
1974,11,1,1,39,-9.9308
1974,11,1,2,39,-6.3444
1974,11,1,3,27,-10.2340
1974,11,1,4,37,-7.3789
1974,11,1,5,42,-5.2428
1974,11,2,1,29,-4.5736
1974,11,2,2,14,-2.4100
1974,11,2,3,9,-9.6290
1974,11,2,4,12,-9.5591
1974,11,2,5,9,-5.5307
1974,11,3,1,43,-0.5681
1974,11,3,2,11,-2.5704
1974,11,3,3,9,-4.1869
1974,11,3,4,7,-5.3160
1974,11,3,5,11,-3.0438
1974,12,1,1,40,-11.6289
1974,12,1,2,35,-12.8695
1974,12,1,3,31,-11.8604
1974,12,1,4,31,-10.3352
1974,12,1,5,42,-7.9576
1974,12,2,1,30,-2.0694
1974,12,2,2,14,-7.7287
1974,12,2,3,16,-7.3426
1974,12,2,4,9,-8.1048
1974,12,2,5,12,-5.6353
1974,12,3,1,40,-6.7528
1974,12,3,2,13,-9.4882
1974,12,3,3,8,-2.8901
1974,12,3,4,8,1.2548
1974,12,3,5,10,-3.3857
1975,1,1,1,32,31.9523
1975,1,1,2,35,28.1157
1975,1,1,3,28,34.5240
1975,1,1,4,40,42.8543
1975,1,1,5,45,30.5521
1975,1,2,1,29,27.3858
1975,1,2,2,10,30.2043
1975,1,2,3,17,25.4285
1975,1,2,4,13,24.1266
1975,1,2,5,13,25.8970
1975,1,3,1,43,15.7512
1975,1,3,2,17,12.5545
1975,1,3,3,11,32.9492
1975,1,3,4,8,13.9283
1975,1,3,5,9,20.9389
1975,2,1,1,13,4.0737
1975,2,1,2,36,4.8902
1975,2,1,3,21,5.7430
1975,2,1,4,31,0.8723
1975,2,1,5,51,2.3021
1975,2,2,1,30,0.4823
1975,2,2,2,7,4.6574
1975,2,2,3,13,5.8505
1975,2,2,4,9,-0.6957
1975,2,2,5,14,-0.9223
1975,2,3,1,41,2.3942
1975,2,3,2,13,12.0510
1975,2,3,3,8,11.5958
1975,2,3,4,9,4.7655
1975,2,3,5,9,9.1070
1975,3,1,1,12,17.2393
1975,3,1,2,31,6.7664
1975,3,1,3,23,7.8764
1975,3,1,4,35,12.9306
1975,3,1,5,58,9.0255
1975,3,2,1,27,1.7896
1975,3,2,2,10,9.4223
1975,3,2,3,12,14.2544
1975,3,2,4,8,2.5806
1975,3,2,5,13,7.2127
1975,3,3,1,44,5.1121
1975,3,3,2,13,7.2777
1975,3,3,3,11,9.5771
1975,3,3,4,12,0.9318
1975,3,3,5,11,5.5446
1975,4,1,1,22,5.0291
1975,4,1,2,33,3.5284
1975,4,1,3,21,0.3675
1975,4,1,4,30,2.3880
1975,4,1,5,63,2.5381
1975,4,2,1,30,1.3018
1975,4,2,2,6,0.2915
1975,4,2,3,13,3.0447
1975,4,2,4,7,1.8300
1975,4,2,5,10,-3.5019
1975,4,3,1,39,10.0621
1975,4,3,2,10,8.0899
1975,4,3,3,10,10.4322
1975,4,3,4,13,6.0514
1975,4,3,5,12,1.9811
1975,5,1,1,43,4.2132
1975,5,1,2,92,7.5482
1975,5,1,3,92,7.2930
1975,5,1,4,111,9.7684
1975,5,1,5,203,5.8845
1975,5,2,1,77,7.9754
1975,5,2,2,46,11.7033
1975,5,2,3,55,8.0465
1975,5,2,4,49,6.8990
1975,5,2,5,74,8.5224
1975,5,3,1,119,6.0382
1975,5,3,2,92,4.2972
1975,5,3,3,77,4.3409
1975,5,3,4,65,7.2733
1975,5,3,5,50,4.5767
1975,6,1,1,49,8.2931
1975,6,1,2,94,8.4744
1975,6,1,3,98,8.4152
1975,6,1,4,132,7.3123
1975,6,1,5,185,9.0723
1975,6,2,1,78,3.4138
1975,6,2,2,50,7.6584
1975,6,2,3,53,7.7344
1975,6,2,4,61,7.0372
1975,6,2,5,74,8.3418
1975,6,3,1,121,5.9231
1975,6,3,2,93,1.6467
1975,6,3,3,80,5.0765
1975,6,3,4,60,6.1506
1975,6,3,5,55,7.4213
1975,7,1,1,50,-3.1325
1975,7,1,2,99,-1.6874
1975,7,1,3,94,-2.5371
1975,7,1,4,138,-1.4284
1975,7,1,5,179,-0.3246
1975,7,2,1,80,-4.0698
1975,7,2,2,52,-5.8840
1975,7,2,3,58,-4.0668
1975,7,2,4,59,-1.7172
1975,7,2,5,78,-3.1402
1975,7,3,1,120,-4.5604
1975,7,3,2,92,-7.8888
1975,7,3,3,79,-8.8523
1975,7,3,4,60,-8.6139
1975,7,3,5,54,-7.3935
1975,8,1,1,24,-6.8957
1975,8,1,2,24,-7.6482
1975,8,1,3,44,-6.6330
1975,8,1,4,107,-6.5674
1975,8,1,5,89,-5.8357
1975,8,2,1,53,-4.5792
1975,8,2,2,16,-7.5976
1975,8,2,3,29,-6.4507
1975,8,2,4,38,-4.4834
1975,8,2,5,36,-2.9594
1975,8,3,1,77,-1.5004
1975,8,3,2,59,1.3402
1975,8,3,3,44,-0.8757
1975,8,3,4,26,-1.8928
1975,8,3,5,27,1.1714
1975,9,1,1,26,-5.2856
1975,9,1,2,24,-4.9415
1975,9,1,3,41,-3.2071
1975,9,1,4,89,-2.0472
1975,9,1,5,118,-2.2553
1975,9,2,1,53,-5.3586
1975,9,2,2,19,0.1552
1975,9,2,3,30,-3.5005
1975,9,2,4,37,-3.2008
1975,9,2,5,35,-1.5247
1975,9,3,1,76,-5.9290
1975,9,3,2,59,-5.8259
1975,9,3,3,41,-1.6950
1975,9,3,4,32,-2.0496
1975,9,3,5,21,-2.4130
1975,10,1,1,32,2.7595
1975,10,1,2,23,-3.0698
1975,10,1,3,45,5.9942
1975,10,1,4,90,0.6047
1975,10,1,5,119,1.8035
1975,10,2,1,55,-1.3219
1975,10,2,2,23,1.5582
1975,10,2,3,30,4.2005
1975,10,2,4,37,3.3105
1975,10,2,5,37,4.3040
1975,10,3,1,76,3.5543
1975,10,3,2,58,6.4367
1975,10,3,3,42,4.6781
1975,10,3,4,35,6.5933
1975,10,3,5,23,6.7328
1975,11,1,1,42,0.5107
1975,11,1,2,37,1.5662
1975,11,1,3,65,4.4920
1975,11,1,4,96,1.9782
1975,11,1,5,151,4.4080
1975,11,2,1,61,1.7169
1975,11,2,2,25,4.1003
1975,11,2,3,38,5.1619
1975,11,2,4,43,2.3528
1975,11,2,5,39,4.6889
1975,11,3,1,83,2.0883
1975,11,3,2,66,1.6713
1975,11,3,3,45,2.7934
1975,11,3,4,43,3.5491
1975,11,3,5,37,3.3699
1975,12,1,1,47,-0.3266
1975,12,1,2,38,-0.5675
1975,12,1,3,69,0.0481
1975,12,1,4,105,-0.9476
1975,12,1,5,138,-2.4561
1975,12,2,1,60,0.2292
1975,12,2,2,25,-1.7396
1975,12,2,3,38,1.3247
1975,12,2,4,42,-3.3211
1975,12,2,5,42,-2.2658
1975,12,3,1,85,-0.5292
1975,12,3,2,69,-0.5142
1975,12,3,3,47,-1.6176
1975,12,3,4,40,0.3783
1975,12,3,5,41,-1.0006
1976,1,1,1,42,20.2098
1976,1,1,2,41,25.1211
1976,1,1,3,69,24.3796
1976,1,1,4,96,25.1984
1976,1,1,5,134,23.9200
1976,1,2,1,61,15.0752
1976,1,2,2,27,20.0181
1976,1,2,3,39,23.4377
1976,1,2,4,44,23.4291
1976,1,2,5,44,19.5470
1976,1,3,1,89,12.3839
1976,1,3,2,68,13.2992
1976,1,3,3,48,13.0697
1976,1,3,4,41,13.3555
1976,1,3,5,45,8.1472
1976,2,1,1,42,11.1478
1976,2,1,2,43,14.9398
1976,2,1,3,58,13.1622
1976,2,1,4,105,13.7258
1976,2,1,5,127,13.0383
1976,2,2,1,62,3.4400
1976,2,2,2,28,10.9580
1976,2,2,3,38,11.7317
1976,2,2,4,47,7.1166
1976,2,2,5,51,6.6555
1976,2,3,1,92,-0.4436
1976,2,3,2,73,-0.0570
1976,2,3,3,49,2.0113
1976,2,3,4,43,2.3772
1976,2,3,5,42,1.0809
1976,3,1,1,44,1.6490
1976,3,1,2,45,2.0585
1976,3,1,3,56,5.3817
1976,3,1,4,110,2.7144
1976,3,1,5,147,1.8242
1976,3,2,1,62,1.5763
1976,3,2,2,29,1.0009
1976,3,2,3,33,3.5546
1976,3,2,4,46,3.0116
1976,3,2,5,52,1.9505
1976,3,3,1,86,4.3430
1976,3,3,2,74,2.7496
1976,3,3,3,53,4.7431
1976,3,3,4,45,3.1600
1976,3,3,5,43,0.6880
1976,4,1,1,42,-1.5439
1976,4,1,2,45,-3.6023
1976,4,1,3,58,-1.8783
1976,4,1,4,112,-2.2765
1976,4,1,5,152,-2.7317
1976,4,2,1,65,-0.3178
1976,4,2,2,29,-0.8994
1976,4,2,3,36,-1.4619
1976,4,2,4,46,-2.8735
1976,4,2,5,52,-1.9329
1976,4,3,1,85,-2.0278
1976,4,3,2,73,-0.1554
1976,4,3,3,52,1.6092
1976,4,3,4,47,-0.0911
1976,4,3,5,38,-2.0099
1976,5,1,1,88,1.0359
1976,5,1,2,108,-2.2590
1976,5,1,3,166,-3.3345
1976,5,1,4,158,-3.2298
1976,5,1,5,220,-2.7057
1976,5,2,1,93,1.7545
1976,5,2,2,55,-0.0462
1976,5,2,3,79,-2.7286
1976,5,2,4,81,-1.5475
1976,5,2,5,80,-3.2575
1976,5,3,1,126,-0.5555
1976,5,3,2,103,1.4232
1976,5,3,3,79,-1.1918
1976,5,3,4,107,-1.0539
1976,5,3,5,80,-1.4972
1976,6,1,1,96,5.3347
1976,6,1,2,106,4.0724
1976,6,1,3,193,2.8258
1976,6,1,4,160,2.5430
1976,6,1,5,220,2.8796
1976,6,2,1,100,4.7101
1976,6,2,2,59,5.1163
1976,6,2,3,82,6.0845
1976,6,2,4,84,3.6293
1976,6,2,5,79,3.9186
1976,6,3,1,129,3.8126
1976,6,3,2,106,4.0109
1976,6,3,3,78,4.6415
1976,6,3,4,103,4.6280
1976,6,3,5,84,6.4675
1976,7,1,1,99,0.8556
1976,7,1,2,109,-0.3364
1976,7,1,3,195,-1.1692
1976,7,1,4,166,0.0636
1976,7,1,5,219,0.2105
1976,7,2,1,104,0.9400
1976,7,2,2,57,-0.5890
1976,7,2,3,87,-1.6795
1976,7,2,4,86,1.1109
1976,7,2,5,85,-0.4581
1976,7,3,1,129,-2.4197
1976,7,3,2,109,-0.7720
1976,7,3,3,79,-0.9334
1976,7,3,4,105,-0.5166
1976,7,3,5,77,-1.2385
1976,8,1,1,91,-3.4838
1976,8,1,2,82,0.0615
1976,8,1,3,104,-2.3079
1976,8,1,4,160,-2.2809
1976,8,1,5,215,-3.6273
1976,8,2,1,103,-2.8076
1976,8,2,2,61,-2.7247
1976,8,2,3,76,-2.2673
1976,8,2,4,70,-2.2026
1976,8,2,5,90,-2.6123
1976,8,3,1,125,-0.2881
1976,8,3,2,116,-2.3056
1976,8,3,3,100,0.2718
1976,8,3,4,75,-1.1029
1976,8,3,5,69,1.9479
1976,9,1,1,97,2.6571
1976,9,1,2,89,0.5368
1976,9,1,3,112,3.4177
1976,9,1,4,156,2.8637
1976,9,1,5,252,1.5993
1976,9,2,1,109,4.0888
1976,9,2,2,63,2.1178
1976,9,2,3,78,2.0372
1976,9,2,4,64,1.5932
1976,9,2,5,91,2.3167
1976,9,3,1,123,3.1799
1976,9,3,2,113,1.9996
1976,9,3,3,103,2.8485
1976,9,3,4,80,3.4235
1976,9,3,5,67,1.5696
1976,10,1,1,114,-0.7505
1976,10,1,2,103,-1.6111
1976,10,1,3,138,-3.1501
1976,10,1,4,200,-3.5589
1976,10,1,5,301,-3.3859
1976,10,2,1,117,-2.2891
1976,10,2,2,73,-5.0364
1976,10,2,3,78,-2.6196
1976,10,2,4,68,-2.6771
1976,10,2,5,92,-2.9184
1976,10,3,1,127,-2.7932
1976,10,3,2,112,-1.8382
1976,10,3,3,107,-4.3674
1976,10,3,4,80,-1.7128
1976,10,3,5,71,-2.5737
1976,11,1,1,117,3.4817
1976,11,1,2,97,2.4450
1976,11,1,3,141,1.4287
1976,11,1,4,212,2.6654
