year,month,rank_ME,rank_RER,nstocks,ret_vw
1972,11,1,1,141,6.1870
1972,11,1,2,105,4.4338
1972,11,1,3,91,5.7918
1972,11,1,4,108,5.9944
1972,11,1,5,138,0.5819
1972,11,2,1,56,6.6480
1972,11,2,2,39,5.9224
1972,11,2,3,45,8.3637
1972,11,2,4,60,4.6721
1972,11,2,5,48,3.1729
1972,11,3,1,65,3.4910
1972,11,3,2,66,3.3985
1972,11,3,3,66,5.5565
1972,11,3,4,58,3.7290
1972,11,3,5,73,3.1147
1972,12,1,1,141,-2.8806
1972,12,1,2,105,-1.2281
1972,12,1,3,91,-2.4765
1972,12,1,4,108,-2.5102
1972,12,1,5,138,-1.0424
1972,12,2,1,56,-1.1103
1972,12,2,2,39,-2.4998
1972,12,2,3,45,-1.2281
1972,12,2,4,60,-1.7503
1972,12,2,5,48,-0.5820
1972,12,3,1,65,1.5961
1972,12,3,2,67,2.4361
1972,12,3,3,66,2.1763
1972,12,3,4,58,1.0346
1972,12,3,5,73,1.5795
1973,1,1,1,141,-4.7757
1973,1,1,2,105,-4.2653
1973,1,1,3,91,-5.2507
1973,1,1,4,108,-5.1804
1973,1,1,5,138,-4.8601
1973,1,2,1,56,-6.8358
1973,1,2,2,38,-7.5179
1973,1,2,3,45,-7.0521
1973,1,2,4,60,-7.5448
1973,1,2,5,48,-6.2107
1973,1,3,1,65,-0.3593
1973,1,3,2,67,-5.9667
1973,1,3,3,66,-2.0165
1973,1,3,4,58,-2.5124
1973,1,3,5,73,-3.6364
1973,2,1,1,141,-9.2957
1973,2,1,2,105,-8.9283
1973,2,1,3,91,-8.7730
1973,2,1,4,108,-7.8058
1973,2,1,5,138,-6.7440
1973,2,2,1,56,-8.4725
1973,2,2,2,38,-7.2585
1973,2,2,3,45,-10.0051
1973,2,2,4,60,-9.9439
1973,2,2,5,48,-10.6675
1973,2,3,1,65,-2.3579
1973,2,3,2,67,-4.0801
1973,2,3,3,66,-3.9288
1973,2,3,4,58,-1.4866
1973,2,3,5,73,-3.5789
1973,3,1,1,141,-3.0657
1973,3,1,2,105,-2.8718
1973,3,1,3,91,-1.8703
1973,3,1,4,108,-3.4007
1973,3,1,5,138,-3.2372
1973,3,2,1,56,-2.3992
1973,3,2,2,38,-4.1671
1973,3,2,3,45,-3.0569
1973,3,2,4,60,-4.8105
1973,3,2,5,48,-2.9472
1973,3,3,1,65,-1.6316
1973,3,3,2,67,0.7163
1973,3,3,3,65,-1.7254
1973,3,3,4,58,0.4432
1973,3,3,5,73,-3.5826
1973,4,1,1,141,-6.8165
1973,4,1,2,105,-4.5078
1973,4,1,3,91,-8.4494
1973,4,1,4,107,-4.7006
1973,4,1,5,138,-10.0649
1973,4,2,1,56,-9.0039
1973,4,2,2,39,-5.1949
1973,4,2,3,45,-4.4373
1973,4,2,4,60,-9.7788
1973,4,2,5,48,-9.3232
1973,4,3,1,65,-4.4583
1973,4,3,2,67,-5.0062
1973,4,3,3,65,-6.2915
1973,4,3,4,58,-7.3396
1973,4,3,5,73,-5.6955
1973,5,1,1,141,-10.8915
1973,5,1,2,105,-9.3230
1973,5,1,3,91,-9.5224
1973,5,1,4,107,-8.2074
1973,5,1,5,138,-9.6186
1973,5,2,1,56,-8.8210
1973,5,2,2,39,-9.7428
1973,5,2,3,45,-8.7799
1973,5,2,4,60,-8.7706
1973,5,2,5,48,-9.3934
1973,5,3,1,65,-1.9938
1973,5,3,2,67,-2.2891
1973,5,3,3,66,-2.3404
1973,5,3,4,58,1.2794
1973,5,3,5,73,0.2021
1973,6,1,1,141,-3.7800
1973,6,1,2,105,-3.7359
1973,6,1,3,91,-3.7245
1973,6,1,4,106,-3.5390
1973,6,1,5,138,-2.8501
1973,6,2,1,56,-5.2865
1973,6,2,2,39,-3.4848
1973,6,2,3,45,-2.7501
1973,6,2,4,60,-6.6546
1973,6,2,5,48,-4.2688
1973,6,3,1,65,0.9587
1973,6,3,2,67,-0.7213
1973,6,3,3,66,-2.9382
1973,6,3,4,58,-2.3379
1973,6,3,5,73,-4.1133
1973,7,1,1,199,15.4735
1973,7,1,2,128,14.5779
1973,7,1,3,137,18.0765
1973,7,1,4,129,13.1563
1973,7,1,5,232,14.7506
1973,7,2,1,67,14.3160
1973,7,2,2,43,12.6189
1973,7,2,3,61,12.3650
1973,7,2,4,73,16.6501
1973,7,2,5,57,14.5217
1973,7,3,1,67,3.3060
1973,7,3,2,71,5.4148
1973,7,3,3,62,6.8466
1973,7,3,4,61,9.8927
1973,7,3,5,81,6.8930
1973,8,1,1,198,-7.8348
1973,8,1,2,128,-6.4567
1973,8,1,3,137,-8.3156
1973,8,1,4,128,-5.3861
1973,8,1,5,231,-5.5268
1973,8,2,1,67,-4.6619
1973,8,2,2,43,-4.1735
1973,8,2,3,61,-3.6343
1973,8,2,4,73,-4.6210
1973,8,2,5,57,-3.2506
1973,8,3,1,67,-3.3941
1973,8,3,2,71,-2.7599
1973,8,3,3,62,-2.9564
1973,8,3,4,61,-2.1507
1973,8,3,5,81,-2.5484
1973,9,1,1,198,10.0708
1973,9,1,2,128,8.0335
1973,9,1,3,138,9.3106
1973,9,1,4,128,8.9134
1973,9,1,5,230,8.7931
1973,9,2,1,67,12.3498
1973,9,2,2,43,11.2749
1973,9,2,3,61,10.6821
1973,9,2,4,73,12.0908
1973,9,2,5,57,11.6611
1973,9,3,1,66,-4.3937
1973,9,3,2,71,4.3438
1973,9,3,3,62,4.0806
1973,9,3,4,61,5.0304
1973,9,3,5,81,5.5196
1973,10,1,1,198,-0.3988
1973,10,1,2,128,-0.1358
1973,10,1,3,138,0.0411
1973,10,1,4,128,-0.4892
1973,10,1,5,231,0.5830
1973,10,2,1,67,-1.6188
1973,10,2,2,43,0.0999
1973,10,2,3,61,-0.6992
1973,10,2,4,73,0.1504
1973,10,2,5,57,-1.2373
