year,month,rank_ME,rank_EM,nstocks,ret_vw
1969,12,1,2,75,-4.7429
1969,12,1,3,86,-9.2170
1969,12,1,4,94,-6.4467
1969,12,1,5,206,-8.8299
1969,12,2,1,46,-4.4555
1969,12,2,2,56,-4.3985
1969,12,2,3,51,-2.6422
1969,12,2,4,57,-6.7942
1969,12,2,5,85,-4.3682
1969,12,3,1,83,-4.1878
1969,12,3,2,81,-3.1833
1969,12,3,3,99,-1.6550
1969,12,3,4,92,1.2826
1969,12,3,5,105,-0.3552
1970,1,1,1,128,-2.5002
1970,1,1,2,75,-3.3037
1970,1,1,3,86,-4.3714
1970,1,1,4,94,-5.0627
1970,1,1,5,206,-3.5728
1970,1,2,1,46,-2.8945
1970,1,2,2,56,-5.1929
1970,1,2,3,51,-5.7277
1970,1,2,4,57,-5.0500
1970,1,2,5,84,-8.0038
1970,1,3,1,83,-6.9407
1970,1,3,2,81,-9.9126
1970,1,3,3,99,-6.7754
1970,1,3,4,92,-8.1876
1970,1,3,5,104,-9.2788
1970,2,1,1,128,1.6399
1970,2,1,2,75,2.5045
1970,2,1,3,86,4.3273
1970,2,1,4,94,2.7326
1970,2,1,5,206,3.3968
1970,2,2,1,46,5.5257
1970,2,2,2,56,6.0305
1970,2,2,3,51,1.4271
1970,2,2,4,57,5.1995
1970,2,2,5,84,3.7809
1970,2,3,1,83,6.4100
1970,2,3,2,81,7.7737
1970,2,3,3,99,5.8726
1970,2,3,4,92,5.1685
1970,2,3,5,104,3.7093
1970,3,1,1,128,-0.9093
1970,3,1,2,75,-3.2357
1970,3,1,3,86,-2.3517
1970,3,1,4,94,-4.4146
1970,3,1,5,206,-5.8538
1970,3,2,1,46,0.1263
1970,3,2,2,56,-1.1432
1970,3,2,3,51,-0.7890
1970,3,2,4,57,-2.7004
1970,3,2,5,86,-5.9992
1970,3,3,1,83,3.2025
1970,3,3,2,81,-0.1830
1970,3,3,3,99,-0.4391
1970,3,3,4,92,-1.1645
1970,3,3,5,105,-3.3504
1970,4,1,1,128,-10.0880
1970,4,1,2,75,-15.4524
1970,4,1,3,86,-15.9102
1970,4,1,4,94,-17.6549
1970,4,1,5,206,-23.7375
1970,4,2,1,46,-11.4234
1970,4,2,2,56,-11.5003
1970,4,2,3,51,-14.0822
1970,4,2,4,57,-15.5373
1970,4,2,5,86,-22.7302
1970,4,3,1,83,-7.3481
1970,4,3,2,81,-8.5091
1970,4,3,3,99,-10.2500
1970,4,3,4,92,-9.8952
1970,4,3,5,105,-11.4652
1970,5,1,1,128,-9.2802
1970,5,1,2,75,-8.1113
1970,5,1,3,86,-8.1035
1970,5,1,4,94,-12.0755
1970,5,1,5,206,-9.9217
1970,5,2,1,46,-8.7725
1970,5,2,2,56,-8.2883
1970,5,2,3,51,-11.3850
1970,5,2,4,57,-13.9447
1970,5,2,5,85,-11.5095
1970,5,3,1,83,-2.5398
1970,5,3,2,81,-4.0617
1970,5,3,3,99,-5.7815
1970,5,3,4,92,-7.8884
1970,5,3,5,105,-8.0415
1970,6,1,1,128,-5.6222
1970,6,1,2,75,-7.2549
1970,6,1,3,86,-9.6718
1970,6,1,4,93,-11.3577
1970,6,1,5,206,-10.4207
1970,6,2,1,46,-3.9434
1970,6,2,2,56,-5.6980
1970,6,2,3,51,-8.4723
1970,6,2,4,57,-7.8491
1970,6,2,5,85,-9.7553
1970,6,3,1,83,-4.6836
1970,6,3,2,81,-3.6450
1970,6,3,3,99,-3.3175
1970,6,3,4,92,-5.6065
1970,6,3,5,105,-6.4544
1970,7,1,1,185,5.2499
1970,7,1,2,117,7.8567
1970,7,1,3,113,5.1608
1970,7,1,4,117,5.1814
1970,7,1,5,171,2.8741
1970,7,2,1,60,7.3307
1970,7,2,2,55,9.8787
1970,7,2,3,71,8.9870
1970,7,2,4,62,10.1472
1970,7,2,5,84,5.1463
1970,7,3,1,69,9.2404
1970,7,3,2,94,10.0028
1970,7,3,3,89,7.9218
1970,7,3,4,97,9.9506
1970,7,3,5,123,3.1054
1970,8,1,1,185,6.6937
1970,8,1,2,117,4.5516
1970,8,1,3,112,6.5044
1970,8,1,4,117,8.0988
1970,8,1,5,171,5.4799
1970,8,2,1,60,6.9240
1970,8,2,2,55,7.5979
1970,8,2,3,71,8.3950
1970,8,2,4,62,6.6747
1970,8,2,5,84,7.5756
1970,8,3,1,69,7.2271
1970,8,3,2,94,4.2148
1970,8,3,3,89,5.9490
1970,8,3,4,97,3.6587
1970,8,3,5,123,4.3652
1970,9,1,1,185,10.7249
1970,9,1,2,117,14.3418
1970,9,1,3,112,16.7335
1970,9,1,4,117,15.2449
1970,9,1,5,171,21.0372
1970,9,2,1,60,5.2098
1970,9,2,2,55,10.1513
1970,9,2,3,71,14.3267
1970,9,2,4,62,13.1303
1970,9,2,5,84,17.2608
1970,9,3,1,69,0.3987
1970,9,3,2,94,1.6758
1970,9,3,3,88,2.3739
1970,9,3,4,97,4.9949
1970,9,3,5,123,7.9547
1970,10,1,1,185,-4.8458
1970,10,1,2,117,-7.0697
1970,10,1,3,113,-8.8796
1970,10,1,4,117,-8.0387
1970,10,1,5,171,-11.5528
1970,10,2,1,60,-2.0795
1970,10,2,2,55,-5.1193
1970,10,2,3,71,-4.3823
1970,10,2,4,62,-7.2494
1970,10,2,5,84,-5.8262
1970,10,3,1,69,-1.4483
1970,10,3,2,94,-1.8514
1970,10,3,3,88,-1.5850
1970,10,3,4,97,-0.2773
1970,10,3,5,123,-0.5530
1970,11,1,1,185,0.6006
1970,11,1,2,117,-0.3525
1970,11,1,3,113,-0.9743
1970,11,1,4,117,-2.1699
1970,11,1,5,170,-5.8459
1970,11,2,1,60,3.3924
1970,11,2,2,55,4.0349
1970,11,2,3,71,2.7025
1970,11,2,4,62,1.1078
1970,11,2,5,84,1.1431
1970,11,3,1,69,5.9153
1970,11,3,2,94,5.8059
1970,11,3,3,88,4.8797
1970,11,3,4,97,4.3437
1970,11,3,5,123,4.7143
1970,12,1,1,185,11.7703
1970,12,1,2,117,12.6989
1970,12,1,3,113,9.6038
1970,12,1,4,117,9.5863
1970,12,1,5,170,6.0044
1970,12,2,1,60,8.9562
1970,12,2,2,55,11.5851
1970,12,2,3,71,7.3129
1970,12,2,4,62,9.3625
1970,12,2,5,84,6.3778
1970,12,3,1,69,5.9268
1970,12,3,2,94,5.7725
1970,12,3,3,88,8.2116
1970,12,3,4,97,6.3554
1970,12,3,5,123,4.5576
1971,1,1,1,185,13.3821
1971,1,1,2,117,15.2661
1971,1,1,3,113,14.7581
1971,1,1,4,117,16.4951
1971,1,1,5,169,16.4355
1971,1,2,1,60,10.3393
1971,1,2,2,55,8.2201
1971,1,2,3,71,12.4208
1971,1,2,4,62,11.8885
1971,1,2,5,84,9.9205
1971,1,3,1,69,2.2707
1971,1,3,2,94,6.2205
1971,1,3,3,88,4.4621
1971,1,3,4,97,5.3352
1971,1,3,5,123,4.2820
1971,2,1,1,185,6.0129
1971,2,1,2,117,4.4815
1971,2,1,3,113,5.7034
1971,2,1,4,117,5.3123
1971,2,1,5,169,6.0574
1971,2,2,1,60,2.5875
1971,2,2,2,55,4.5478
1971,2,2,3,71,2.1624
1971,2,2,4,62,2.0636
1971,2,2,5,84,3.6534
1971,2,3,1,69,2.1412
1971,2,3,2,94,0.2800
1971,2,3,3,88,2.1729
1971,2,3,4,97,3.6146
1971,2,3,5,123,1.7312
1971,3,1,1,185,5.3272
1971,3,1,2,117,7.7135
1971,3,1,3,113,6.3014
1971,3,1,4,117,6.2137
1971,3,1,5,168,6.7073
1971,3,2,1,60,4.7210
1971,3,2,2,55,5.9075
1971,3,2,3,71,6.4890
1971,3,2,4,62,8.0869
1971,3,2,5,83,9.1549
1971,3,3,1,69,1.9456
1971,3,3,2,94,2.8624
1971,3,3,3,87,2.9814
1971,3,3,4,97,4.5208
1971,3,3,5,123,6.4565
1971,4,1,1,185,1.7306
1971,4,1,2,117,3.1450
1971,4,1,3,113,2.2371
1971,4,1,4,117,4.0493
1971,4,1,5,168,1.5852
1971,4,2,1,60,5.1868
1971,4,2,2,55,4.1778
1971,4,2,3,71,1.3764
1971,4,2,4,62,4.0802
1971,4,2,5,83,5.6586
1971,4,3,1,69,6.1839
1971,4,3,2,94,2.7124
1971,4,3,3,87,5.7498
1971,4,3,4,97,5.7001
1971,4,3,5,123,3.1074
1971,5,1,1,185,-5.1697
1971,5,1,2,117,-4.0934
1971,5,1,3,113,-6.2610
1971,5,1,4,117,-6.8822
1971,5,1,5,168,-7.3661
1971,5,2,1,60,-4.5374
1971,5,2,2,55,-4.6073
1971,5,2,3,71,-6.3225
1971,5,2,4,62,-2.2865
1971,5,2,5,84,-2.9048
1971,5,3,1,69,-4.5073
1971,5,3,2,94,-4.2036
1971,5,3,3,87,-3.6108
1971,5,3,4,97,-2.9701
1971,5,3,5,123,-2.8890
1971,6,1,1,185,-2.6030
1971,6,1,2,117,0.1078
1971,6,1,3,113,-2.4154
1971,6,1,4,117,-2.2900
1971,6,1,5,167,-3.1486
1971,6,2,1,60,-1.7628
1971,6,2,2,55,-0.7203
1971,6,2,3,71,-1.7809
1971,6,2,4,62,1.7245
1971,6,2,5,83,0.3386
1971,6,3,1,69,-1.8393
1971,6,3,2,94,0.2986
1971,6,3,3,87,-0.5563
1971,6,3,4,97,1.0793
1971,6,3,5,123,0.7038
1971,7,1,1,282,-5.8766
1971,7,1,2,105,-5.4851
1971,7,1,3,101,-7.1049
1971,7,1,4,117,-9.2639
1971,7,1,5,162,-7.1913
1971,7,2,1,88,-5.0498
1971,7,2,2,86,-4.1575
1971,7,2,3,53,-6.3036
1971,7,2,4,69,-5.3400
1971,7,2,5,62,-6.8689
1971,7,3,1,56,-2.6774
1971,7,3,2,80,-5.1333
1971,7,3,3,121,-3.8436
1971,7,3,4,123,-4.1433
1971,7,3,5,125,-4.8677
1971,8,1,1,282,5.2652
1971,8,1,2,105,4.6056
1971,8,1,3,101,5.2660
1971,8,1,4,117,3.4569
1971,8,1,5,162,3.5168
1971,8,2,1,88,6.1382
1971,8,2,2,86,5.2764
1971,8,2,3,53,6.6998
1971,8,2,4,69,5.0464
1971,8,2,5,62,3.1712
1971,8,3,1,56,0.5134
1971,8,3,2,80,7.3050
1971,8,3,3,119,2.6553
1971,8,3,4,123,6.4099
1971,8,3,5,125,5.3567
1971,9,1,1,282,1.1398
1971,9,1,2,105,-0.9022
1971,9,1,3,101,-1.6915
1971,9,1,4,117,1.2969
1971,9,1,5,162,-2.5401
