year,month,rank_ME,rank_VFP,nstocks,ret_vw
1979,6,1,4,8,-2.8315
1979,6,1,5,17,6.9938
1979,6,2,1,19,4.8829
1979,6,2,2,16,-1.4833
1979,6,2,3,22,4.2864
1979,6,2,4,30,3.4441
1979,6,2,5,34,6.2152
1979,6,3,1,81,3.0235
1979,6,3,2,86,2.8850
1979,6,3,3,81,3.5201
1979,6,3,4,78,6.2087
1979,6,3,5,62,6.1039
1979,7,1,1,9,-2.8963
1979,7,1,2,6,0.0727
1979,7,1,3,5,1.2973
1979,7,1,4,13,6.8916
1979,7,1,5,39,2.6142
1979,7,2,1,37,1.4995
1979,7,2,2,27,3.6242
1979,7,2,3,31,2.7388
1979,7,2,4,30,5.5595
1979,7,2,5,48,3.1243
1979,7,3,1,95,-1.2766
1979,7,3,2,100,1.5800
1979,7,3,3,96,2.5719
1979,7,3,4,88,2.5869
1979,7,3,5,61,2.5321
1979,8,1,1,9,8.9258
1979,8,1,2,6,7.5664
1979,8,1,3,5,6.6260
1979,8,1,4,13,17.4703
1979,8,1,5,39,10.9872
1979,8,2,1,37,9.8971
1979,8,2,2,27,5.7221
1979,8,2,3,31,6.6966
1979,8,2,4,30,7.2082
1979,8,2,5,48,8.0795
1979,8,3,1,94,6.0552
1979,8,3,2,100,6.0371
1979,8,3,3,96,5.2144
1979,8,3,4,88,7.3666
1979,8,3,5,61,7.1945
1979,9,1,1,8,-4.9012
1979,9,1,2,6,-0.5182
1979,9,1,3,5,2.0957
1979,9,1,4,12,-2.9377
1979,9,1,5,39,1.1878
1979,9,2,1,36,3.8916
1979,9,2,2,27,-1.2053
1979,9,2,3,30,-0.3039
1979,9,2,4,30,-0.7460
1979,9,2,5,48,-3.1135
1979,9,3,1,94,-1.0785
1979,9,3,2,100,-0.1994
1979,9,3,3,96,0.6517
1979,9,3,4,88,1.8431
1979,9,3,5,61,0.4421
1979,10,1,1,8,-11.2104
1979,10,1,2,6,-4.3463
1979,10,1,3,5,-10.2327
1979,10,1,4,12,-9.9803
1979,10,1,5,39,-11.8782
1979,10,2,1,36,-8.1374
1979,10,2,2,27,-10.6754
1979,10,2,3,30,-9.3717
1979,10,2,4,30,-9.1301
1979,10,2,5,48,-12.0510
1979,10,3,1,93,-5.5653
1979,10,3,2,100,-6.4172
1979,10,3,3,96,-5.7397
1979,10,3,4,88,-7.2319
1979,10,3,5,61,-10.5312
1979,11,1,1,8,9.8411
1979,11,1,2,6,6.1993
1979,11,1,3,5,1.9110
1979,11,1,4,13,9.1938
1979,11,1,5,39,6.0110
1979,11,2,1,36,10.2265
1979,11,2,2,27,10.5691
1979,11,2,3,30,8.3781
1979,11,2,4,30,5.8595
1979,11,2,5,48,7.1669
1979,11,3,1,93,5.5759
1979,11,3,2,100,6.2053
1979,11,3,3,96,6.2967
1979,11,3,4,88,4.9785
1979,11,3,5,61,1.5710
1979,12,1,1,8,8.7451
1979,12,1,2,6,11.2552
1979,12,1,3,5,10.5385
1979,12,1,4,13,4.7812
1979,12,1,5,39,6.4178
1979,12,2,1,36,8.5612
1979,12,2,2,27,6.4032
1979,12,2,3,30,4.1048
1979,12,2,4,30,6.3689
1979,12,2,5,48,5.5872
1979,12,3,1,93,1.5353
1979,12,3,2,100,3.6537
1979,12,3,3,96,0.3410
1979,12,3,4,88,3.4435
1979,12,3,5,61,3.8350
1980,1,1,1,8,9.2130
1980,1,1,2,6,5.5981
1980,1,1,3,5,6.7620
1980,1,1,4,13,6.6415
1980,1,1,5,39,8.5911
1980,1,2,1,36,8.4212
1980,1,2,2,27,-0.2376
1980,1,2,3,30,6.5233
1980,1,2,4,30,2.8517
1980,1,2,5,48,5.9133
1980,1,3,1,92,4.0326
1980,1,3,2,99,6.8611
1980,1,3,3,96,7.4456
1980,1,3,4,88,6.3338
1980,1,3,5,61,11.4805
1980,2,1,1,8,-3.3801
1980,2,1,2,6,-1.8955
1980,2,1,3,5,-6.1230
1980,2,1,4,12,-1.6701
1980,2,1,5,37,-2.8306
1980,2,2,1,36,-0.2581
1980,2,2,2,27,0.1907
