year,month,rank_ME,rank_Dur,nstocks,ret_vw
1969,6,2,1,62,-9.7982
1969,6,2,2,45,-8.9932
1969,6,2,3,31,-10.5435
1969,6,2,4,50,-10.6243
1969,6,2,5,43,-12.2375
1969,6,3,1,50,-9.5422
1969,6,3,2,83,-6.7477
1969,6,3,3,103,-8.1475
1969,6,3,4,102,-6.6124
1969,6,3,5,120,-2.1797
1969,7,1,1,101,-8.3296
1969,7,1,2,63,-9.8249
1969,7,1,3,85,-10.9944
1969,7,1,4,104,-10.9327
1969,7,1,5,161,-13.2170
1969,7,2,1,54,-7.0591
1969,7,2,2,52,-6.4997
1969,7,2,3,42,-7.8847
1969,7,2,4,60,-9.5078
1969,7,2,5,77,-12.1024
1969,7,3,1,79,-5.5216
1969,7,3,2,98,-7.3918
1969,7,3,3,111,-7.9139
1969,7,3,4,109,-6.2693
1969,7,3,5,114,-3.5416
1969,8,1,1,101,2.6174
1969,8,1,2,63,2.5012
1969,8,1,3,85,4.0952
1969,8,1,4,104,4.0810
1969,8,1,5,161,4.8785
1969,8,2,1,54,3.9943
1969,8,2,2,52,3.1583
1969,8,2,3,42,4.6819
1969,8,2,4,60,9.0481
1969,8,2,5,77,7.2931
1969,8,3,1,79,2.5632
1969,8,3,2,98,3.6839
1969,8,3,3,111,3.8080
1969,8,3,4,109,4.4713
1969,8,3,5,114,7.3570
1969,9,1,1,101,-2.9415
1969,9,1,2,64,-4.1123
1969,9,1,3,85,-3.0640
1969,9,1,4,104,-4.0032
1969,9,1,5,161,-3.4212
1969,9,2,1,54,-0.5577
1969,9,2,2,52,-2.0469
1969,9,2,3,42,-0.5250
1969,9,2,4,60,0.1722
1969,9,2,5,77,0.5209
1969,9,3,1,79,-4.5132
1969,9,3,2,98,-5.4506
1969,9,3,3,110,-2.7176
1969,9,3,4,109,-2.1972
1969,9,3,5,114,0.0202
1969,10,1,1,101,7.2371
1969,10,1,2,64,8.5115
1969,10,1,3,85,7.1684
1969,10,1,4,103,13.2695
1969,10,1,5,161,14.6929
1969,10,2,1,54,8.0219
1969,10,2,2,52,6.4655
1969,10,2,3,42,6.3668
1969,10,2,4,60,7.9467
1969,10,2,5,76,8.5935
1969,10,3,1,79,3.8845
1969,10,3,2,98,2.4792
1969,10,3,3,110,5.2516
1969,10,3,4,109,5.4302
1969,10,3,5,114,6.4293
1969,11,1,1,101,-6.2521
1969,11,1,2,64,-5.8580
1969,11,1,3,85,-5.7549
1969,11,1,4,103,-7.2267
1969,11,1,5,161,-8.2275
1969,11,2,1,54,-4.9972
1969,11,2,2,52,-4.1134
1969,11,2,3,42,-4.0353
1969,11,2,4,60,-4.6396
1969,11,2,5,76,-4.9536
1969,11,3,1,79,-2.6263
1969,11,3,2,98,-4.2577
1969,11,3,3,111,-3.6912
1969,11,3,4,109,-3.5865
1969,11,3,5,114,-1.2376
1969,12,1,1,101,-8.2926
1969,12,1,2,64,-6.0581
1969,12,1,3,85,-5.9543
1969,12,1,4,104,-8.0889
1969,12,1,5,161,-8.1104
1969,12,2,1,54,-4.2767
1969,12,2,2,52,-3.4809
1969,12,2,3,42,-4.4596
1969,12,2,4,60,-3.6021
1969,12,2,5,76,-4.3912
1969,12,3,1,79,-4.5559
1969,12,3,2,98,-3.0591
1969,12,3,3,111,-1.6094
1969,12,3,4,109,-1.7341
1969,12,3,5,114,1.3101
1970,1,1,1,101,-1.4544
1970,1,1,2,64,-1.4236
1970,1,1,3,85,-2.8346
1970,1,1,4,104,-5.2779
1970,1,1,5,161,-4.3199
1970,1,2,1,54,-2.5118
1970,1,2,2,52,-2.6870
1970,1,2,3,42,-7.7725
1970,1,2,4,60,-8.3254
1970,1,2,5,76,-5.3332
1970,1,3,1,79,-4.4789
1970,1,3,2,98,-9.8663
1970,1,3,3,111,-7.9291
1970,1,3,4,108,-7.8924
1970,1,3,5,114,-8.3589
1970,2,1,1,101,3.8443
1970,2,1,2,64,2.2572
1970,2,1,3,85,5.0666
1970,2,1,4,104,3.3845
1970,2,1,5,161,2.2777
1970,2,2,1,54,4.8848
1970,2,2,2,52,6.8601
1970,2,2,3,42,3.8130
1970,2,2,4,60,4.4086
1970,2,2,5,76,4.1826
1970,2,3,1,79,7.4850
1970,2,3,2,98,6.1237
1970,2,3,3,111,8.6050
1970,2,3,4,108,5.4317
1970,2,3,5,114,3.7654
1970,3,1,1,101,-0.0547
1970,3,1,2,64,-0.7466
1970,3,1,3,85,-2.3102
1970,3,1,4,104,-2.5114
1970,3,1,5,161,-6.2805
1970,3,2,1,54,1.5293
1970,3,2,2,52,0.2743
1970,3,2,3,42,0.8657
1970,3,2,4,60,-0.8500
1970,3,2,5,77,-6.2032
1970,3,3,1,79,1.9364
1970,3,3,2,98,1.0617
1970,3,3,3,111,2.6726
1970,3,3,4,109,-0.1159
1970,3,3,5,114,-2.5775
1970,4,1,1,101,-11.5865
1970,4,1,2,64,-12.2652
1970,4,1,3,85,-14.7643
1970,4,1,4,104,-19.5219
1970,4,1,5,161,-22.8202
1970,4,2,1,54,-10.7523
1970,4,2,2,52,-9.5253
1970,4,2,3,42,-11.1076
1970,4,2,4,60,-14.8211
1970,4,2,5,77,-22.7825
1970,4,3,1,79,-7.8979
1970,4,3,2,98,-8.1954
1970,4,3,3,111,-8.5555
1970,4,3,4,109,-9.9958
1970,4,3,5,114,-10.6882
1970,5,1,1,101,-8.9882
1970,5,1,2,64,-8.4433
1970,5,1,3,85,-9.6988
1970,5,1,4,104,-10.0332
1970,5,1,5,161,-9.7183
1970,5,2,1,54,-7.4443
1970,5,2,2,52,-8.2955
1970,5,2,3,42,-11.3790
1970,5,2,4,60,-10.8504
1970,5,2,5,76,-11.2761
1970,5,3,1,79,-3.6040
1970,5,3,2,98,-1.4540
1970,5,3,3,111,-5.7378
1970,5,3,4,109,-6.7338
1970,5,3,5,114,-8.2023
1970,6,1,1,101,-6.1656
1970,6,1,2,63,-6.1774
1970,6,1,3,85,-7.4269
1970,6,1,4,104,-9.1662
1970,6,1,5,161,-12.0135
1970,6,2,1,54,-4.4836
1970,6,2,2,52,-6.9718
1970,6,2,3,42,-6.9808
1970,6,2,4,60,-5.2946
1970,6,2,5,76,-9.0295
1970,6,3,1,79,-7.4920
1970,6,3,2,98,-3.2908
1970,6,3,3,111,-2.7042
1970,6,3,4,109,-3.9846
1970,6,3,5,114,-6.8390
1970,7,1,1,122,6.4784
1970,7,1,2,89,6.0886
1970,7,1,3,103,6.4145
1970,7,1,4,116,4.0191
