year,month,rank_ME,rank_CP,nstocks,ret_vw
1969,10,1,5,92,7.0697
1969,10,2,1,112,10.9772
1969,10,2,2,62,8.2283
1969,10,2,3,64,7.4087
1969,10,2,4,58,4.7812
1969,10,2,5,63,6.5482
1969,10,3,1,121,6.2554
1969,10,3,2,110,6.7765
1969,10,3,3,102,6.1751
1969,10,3,4,114,3.5281
1969,10,3,5,107,3.2111
1969,11,1,1,273,-8.0195
1969,11,1,2,148,-6.3696
1969,11,1,3,108,-6.7136
1969,11,1,4,87,-5.9149
1969,11,1,5,92,-6.6954
1969,11,2,1,111,-4.5832
1969,11,2,2,62,-3.7903
1969,11,2,3,64,-4.6718
1969,11,2,4,58,-5.1835
1969,11,2,5,64,-5.2500
1969,11,3,1,122,-1.3604
1969,11,3,2,110,-2.6913
1969,11,3,3,102,-3.2197
1969,11,3,4,114,-4.5522
1969,11,3,5,107,-3.2346
1969,12,1,1,273,-7.8197
1969,12,1,2,148,-7.6700
1969,12,1,3,109,-8.9218
1969,12,1,4,87,-5.9047
1969,12,1,5,92,-7.3049
1969,12,2,1,111,-3.5946
1969,12,2,2,62,-4.4370
1969,12,2,3,64,-4.5116
1969,12,2,4,58,-5.2498
1969,12,2,5,64,-5.7258
1969,12,3,1,122,1.5230
1969,12,3,2,110,-1.8609
1969,12,3,3,102,-1.7256
1969,12,3,4,114,-1.8760
1969,12,3,5,107,-5.0751
1970,1,1,1,273,-4.6472
1970,1,1,2,148,-3.8518
1970,1,1,3,109,-3.3003
1970,1,1,4,87,-2.4805
1970,1,1,5,92,-1.7889
1970,1,2,1,110,-6.3436
1970,1,2,2,62,-7.5763
1970,1,2,3,64,-6.9139
1970,1,2,4,58,-4.1164
1970,1,2,5,64,-2.1107
1970,1,3,1,121,-8.2073
1970,1,3,2,110,-6.9123
1970,1,3,3,102,-7.6864
1970,1,3,4,114,-8.8426
1970,1,3,5,107,-6.7218
1970,2,1,1,273,3.6080
1970,2,1,2,147,3.7874
1970,2,1,3,109,0.7248
1970,2,1,4,87,1.4573
1970,2,1,5,92,4.3101
1970,2,2,1,109,3.0040
1970,2,2,2,62,3.7391
1970,2,2,3,64,4.9126
1970,2,2,4,58,4.5317
1970,2,2,5,64,6.2340
1970,2,3,1,121,3.5109
1970,2,3,2,110,5.2843
1970,2,3,3,102,5.8566
1970,2,3,4,114,6.8824
1970,2,3,5,107,8.8146
1970,3,1,1,272,-6.3246
1970,3,1,2,147,-5.5568
1970,3,1,3,109,-1.5962
1970,3,1,4,87,0.1229
1970,3,1,5,92,0.3531
1970,3,2,1,112,-4.7513
1970,3,2,2,62,-2.2824
1970,3,2,3,64,-0.5958
1970,3,2,4,58,0.2101
1970,3,2,5,64,-0.1019
1970,3,3,1,122,-2.8708
1970,3,3,2,110,0.2818
1970,3,3,3,102,0.6470
1970,3,3,4,114,2.2659
1970,3,3,5,107,1.2686
1970,4,1,1,271,-23.0409
1970,4,1,2,147,-16.8688
1970,4,1,3,109,-15.4800
1970,4,1,4,87,-12.9564
1970,4,1,5,92,-11.8159
1970,4,2,1,113,-21.3916
1970,4,2,2,62,-15.8343
1970,4,2,3,64,-11.6557
1970,4,2,4,58,-10.1969
1970,4,2,5,64,-10.7952
1970,4,3,1,122,-10.6228
1970,4,3,2,110,-10.8516
1970,4,3,3,102,-9.3933
1970,4,3,4,114,-8.5714
1970,4,3,5,107,-7.5344
1970,5,1,1,271,-9.7109
1970,5,1,2,145,-8.3614
1970,5,1,3,109,-9.7365
1970,5,1,4,87,-8.6612
1970,5,1,5,92,-8.7568
1970,5,2,1,112,-12.6023
1970,5,2,2,62,-9.9979
1970,5,2,3,64,-8.6959
1970,5,2,4,58,-9.1786
1970,5,2,5,64,-8.1494
1970,5,3,1,122,-8.2900
1970,5,3,2,110,-8.7409
1970,5,3,3,102,-6.3117
1970,5,3,4,114,-2.0619
1970,5,3,5,107,-3.3012
1970,6,1,1,271,-12.0961
1970,6,1,2,144,-8.3662
1970,6,1,3,108,-6.7838
1970,6,1,4,87,-5.4210
1970,6,1,5,91,-7.0313
1970,6,2,1,112,-9.6973
1970,6,2,2,61,-7.3724
1970,6,2,3,63,-5.3194
1970,6,2,4,58,-6.3540
1970,6,2,5,64,-4.2510
1970,6,3,1,122,-6.1573
1970,6,3,2,110,-3.5791
1970,6,3,3,102,-3.5549
1970,6,3,4,114,-4.2570
1970,6,3,5,107,-5.8437
1970,7,1,1,219,4.3578
1970,7,1,2,167,4.9740
1970,7,1,3,133,5.1348
1970,7,1,4,124,6.2241
1970,7,1,5,152,5.7027
1970,7,2,1,107,6.1101
1970,7,2,2,74,8.7363
1970,7,2,3,70,7.5252
1970,7,2,4,68,6.6937
1970,7,2,5,70,7.6765
1970,7,3,1,146,3.7491
1970,7,3,2,115,8.0183
1970,7,3,3,112,9.2819
1970,7,3,4,112,10.1972
1970,7,3,5,87,8.7884
1970,8,1,1,219,5.0664
1970,8,1,2,167,5.1204
1970,8,1,3,133,6.2311
1970,8,1,4,123,5.9766
1970,8,1,5,152,8.3794
1970,8,2,1,107,7.2937
1970,8,2,2,73,5.5720
1970,8,2,3,70,7.1543
1970,8,2,4,68,6.0130
1970,8,2,5,70,8.0588
1970,8,3,1,146,4.0772
1970,8,3,2,115,3.8137
1970,8,3,3,112,5.0999
1970,8,3,4,112,5.7389
1970,8,3,5,86,6.2784
1970,9,1,1,219,20.4471
1970,9,1,2,166,16.8621
1970,9,1,3,133,12.3932
1970,9,1,4,123,11.0294
1970,9,1,5,152,11.9630
1970,9,2,1,107,15.8707
1970,9,2,2,73,11.5260
1970,9,2,3,70,9.3956
1970,9,2,4,67,9.6949
1970,9,2,5,70,8.2775
1970,9,3,1,146,7.7339
1970,9,3,2,114,4.9514
1970,9,3,3,112,1.1506
1970,9,3,4,112,0.2005
1970,9,3,5,86,3.1334
1970,10,1,1,218,-11.3142
1970,10,1,2,166,-7.5744
1970,10,1,3,133,-7.4748
1970,10,1,4,124,-6.3647
1970,10,1,5,152,-4.2372
1970,10,2,1,106,-6.7660
1970,10,2,2,73,-4.3870
1970,10,2,3,70,-5.0642
1970,10,2,4,67,-5.0451
1970,10,2,5,70,-2.9866
1970,10,3,1,146,-0.3025
1970,10,3,2,114,-1.3672
1970,10,3,3,112,-0.1994
1970,10,3,4,112,-1.5054
1970,10,3,5,86,-3.0869
1970,11,1,1,216,-5.1680
1970,11,1,2,166,-0.9360
1970,11,1,3,133,0.4057
1970,11,1,4,124,-2.1779
1970,11,1,5,151,1.7387
1970,11,2,1,106,0.2946
1970,11,2,2,73,2.0640
1970,11,2,3,69,3.3479
1970,11,2,4,67,2.7414
1970,11,2,5,70,6.9330
1970,11,3,1,146,5.1810
1970,11,3,2,114,4.0625
1970,11,3,3,112,5.6591
1970,11,3,4,112,6.7453
1970,11,3,5,86,4.6201
1970,12,1,1,216,6.3270
1970,12,1,2,166,9.6284
1970,12,1,3,133,11.8403
1970,12,1,4,123,12.6877
1970,12,1,5,150,10.6053
1970,12,2,1,106,7.8705
