year,month,rank_ME,rank_DP,nstocks,ret_vw
1969,8,3,3,95,3.5198
1969,8,3,4,101,3.5404
1969,8,3,5,114,1.3328
1969,9,1,1,108,-2.0600
1969,9,1,2,109,-1.8198
1969,9,1,3,93,-3.6303
1969,9,1,4,85,-3.7210
1969,9,1,5,74,-4.0618
1969,9,2,1,75,1.2485
1969,9,2,2,66,0.3087
1969,9,2,3,67,0.4258
1969,9,2,4,57,-1.4527
1969,9,2,5,49,-3.2576
1969,9,3,1,121,-1.0179
1969,9,3,2,112,-0.8069
1969,9,3,3,93,-2.5813
1969,9,3,4,101,-5.7233
1969,9,3,5,114,-2.8225
1969,10,1,1,108,10.7480
1969,10,1,2,107,10.9331
1969,10,1,3,93,7.9288
1969,10,1,4,85,7.1953
1969,10,1,5,73,4.8299
1969,10,2,1,75,8.5824
1969,10,2,2,66,7.0715
1969,10,2,3,66,5.8029
1969,10,2,4,57,8.4251
1969,10,2,5,49,5.0107
1969,10,3,1,121,5.8124
1969,10,3,2,110,6.5266
1969,10,3,3,93,5.2771
1969,10,3,4,101,3.7633
1969,10,3,5,114,3.3902
1969,11,1,1,108,-7.6906
1969,11,1,2,107,-4.1573
1969,11,1,3,92,-5.8553
1969,11,1,4,85,-5.8090
1969,11,1,5,73,-5.2778
1969,11,2,1,75,-4.3888
1969,11,2,2,66,-3.9108
1969,11,2,3,66,-4.3345
1969,11,2,4,58,-5.4228
1969,11,2,5,49,-3.2807
1969,11,3,1,121,-1.8058
1969,11,3,2,110,-2.3929
1969,11,3,3,94,-3.1626
1969,11,3,4,101,-3.1711
1969,11,3,5,114,-4.4815
1969,12,1,1,107,-7.6267
1969,12,1,2,106,-3.2871
1969,12,1,3,90,-7.3211
1969,12,1,4,85,-7.0986
1969,12,1,5,74,-6.2244
1969,12,2,1,74,-0.6404
1969,12,2,2,66,-4.4583
1969,12,2,3,66,-5.1165
1969,12,2,4,58,-4.2681
1969,12,2,5,49,-6.7559
1969,12,3,1,121,0.2703
1969,12,3,2,110,-0.0506
1969,12,3,3,94,-2.0112
1969,12,3,4,101,-3.5262
1969,12,3,5,114,-2.1948
1970,1,1,1,107,-6.4811
1970,1,1,2,106,-4.5728
1970,1,1,3,90,-0.2732
1970,1,1,4,83,-1.1367
1970,1,1,5,74,-0.6815
1970,1,2,1,72,-7.1276
1970,1,2,2,66,-5.6555
1970,1,2,3,66,-5.2514
1970,1,2,4,56,-3.2437
1970,1,2,5,48,-0.7911
1970,1,3,1,120,-8.2717
1970,1,3,2,110,-8.5528
1970,1,3,3,94,-7.5027
1970,1,3,4,101,-7.4263
1970,1,3,5,114,-5.0419
1970,2,1,1,106,4.5578
1970,2,1,2,106,2.0673
1970,2,1,3,90,1.4809
1970,2,1,4,82,4.6953
1970,2,1,5,74,3.1464
1970,2,2,1,71,3.8916
1970,2,2,2,66,3.8244
1970,2,2,3,66,5.7749
1970,2,2,4,56,3.6580
1970,2,2,5,48,5.0455
1970,2,3,1,120,2.9918
1970,2,3,2,110,7.2755
1970,2,3,3,94,5.8582
1970,2,3,4,101,7.3567
1970,2,3,5,114,6.6092
1970,3,1,1,106,-6.6686
1970,3,1,2,106,-3.2045
1970,3,1,3,90,-2.8514
1970,3,1,4,80,-0.0180
1970,3,1,5,74,1.3747
1970,3,2,1,72,-3.1719
1970,3,2,2,66,0.6867
1970,3,2,3,66,-2.0859
1970,3,2,4,56,2.6400
