year,month,rank_ME,rank_IR,nstocks,ret_vw
1969,2,1,2,33,-7.3179
1969,2,1,3,29,-8.4618
1969,2,1,4,43,-8.0383
1969,2,1,5,32,-11.2955
1969,2,2,1,43,-6.4279
1969,2,2,2,31,-8.9701
1969,2,2,3,37,-5.6026
1969,2,2,4,23,-8.5216
1969,2,2,5,35,-9.8281
1969,2,3,1,64,-4.0224
1969,2,3,2,87,-5.0089
1969,2,3,3,83,-4.2435
1969,2,3,4,95,-4.6138
1969,2,3,5,90,-4.1774
1969,3,1,1,41,3.0875
1969,3,1,2,33,1.3253
1969,3,1,3,29,-0.0497
1969,3,1,4,43,2.1312
1969,3,1,5,32,0.3674
1969,3,2,1,43,0.7662
1969,3,2,2,31,1.7053
1969,3,2,3,37,6.3268
1969,3,2,4,23,0.6884
1969,3,2,5,35,-0.0475
1969,3,3,1,64,1.3473
1969,3,3,2,87,4.1508
1969,3,3,3,83,3.7518
1969,3,3,4,95,3.8013
1969,3,3,5,90,3.2151
1969,4,1,1,40,-1.9712
1969,4,1,2,33,-0.7039
1969,4,1,3,29,-1.9299
1969,4,1,4,43,0.2651
1969,4,1,5,32,-2.0911
1969,4,2,1,43,1.9873
1969,4,2,2,31,2.9789
1969,4,2,3,37,0.6467
1969,4,2,4,22,-0.8741
1969,4,2,5,35,1.6492
1969,4,3,1,64,4.3195
1969,4,3,2,87,0.7190
1969,4,3,3,83,-0.1581
1969,4,3,4,95,2.8202
1969,4,3,5,89,3.4863
1969,5,1,1,40,-0.4644
1969,5,1,2,33,-0.8241
1969,5,1,3,29,-0.0308
1969,5,1,4,43,6.0340
1969,5,1,5,32,-2.1605
1969,5,2,1,43,0.3305
1969,5,2,2,31,-1.6331
1969,5,2,3,37,1.9333
1969,5,2,4,22,0.2753
1969,5,2,5,35,0.5549
1969,5,3,1,63,0.9669
1969,5,3,2,87,1.9990
1969,5,3,3,83,0.4825
1969,5,3,4,95,-0.1812
1969,5,3,5,89,-0.6695
1969,6,1,1,40,-11.8279
1969,6,1,2,33,-11.7267
1969,6,1,3,29,-11.7413
1969,6,1,4,43,-12.9878
1969,6,1,5,32,-14.7011
1969,6,2,1,43,-8.4310
1969,6,2,2,31,-9.4108
1969,6,2,3,37,-8.8225
1969,6,2,4,23,-9.3985
1969,6,2,5,35,-12.1192
1969,6,3,1,63,-5.6277
1969,6,3,2,87,-7.6802
1969,6,3,3,83,-7.8155
1969,6,3,4,95,-5.7390
1969,6,3,5,90,-1.4637
1969,7,1,1,30,-8.3588
1969,7,1,2,40,-9.3302
1969,7,1,3,45,-9.2759
1969,7,1,4,63,-11.2839
1969,7,1,5,83,-14.8842
1969,7,2,1,37,-6.9732
1969,7,2,2,26,-5.7370
1969,7,2,3,31,-8.6583
1969,7,2,4,45,-9.6144
1969,7,2,5,39,-10.4468
1969,7,3,1,96,-5.6256
1969,7,3,2,97,-6.7683
1969,7,3,3,86,-6.5897
1969,7,3,4,83,-7.2422
1969,7,3,5,85,-4.1346
1969,8,1,1,30,1.8958
1969,8,1,2,40,2.7805
1969,8,1,3,45,2.6736
1969,8,1,4,63,5.5800
1969,8,1,5,83,5.1037
1969,8,2,1,37,2.4594
1969,8,2,2,26,1.2665
1969,8,2,3,31,4.2285
1969,8,2,4,45,6.9770
1969,8,2,5,39,7.9092
1969,8,3,1,96,2.1332
1969,8,3,2,97,2.9204
1969,8,3,3,86,4.5946
1969,8,3,4,83,6.5935
1969,8,3,5,85,7.2725
1969,9,1,1,30,-2.2539
1969,9,1,2,40,-1.7591
1969,9,1,3,45,-2.6697
1969,9,1,4,63,-2.9090
1969,9,1,5,83,-4.0694
1969,9,2,1,37,-4.1920
1969,9,2,2,26,-0.6952
1969,9,2,3,31,2.3639
1969,9,2,4,45,-0.1677
1969,9,2,5,39,0.8378
1969,9,3,1,96,-4.5469
1969,9,3,2,97,-3.0038
1969,9,3,3,86,-3.1584
1969,9,3,4,82,-1.8749
1969,9,3,5,85,-0.4935
1969,10,1,1,30,7.0348
1969,10,1,2,40,6.2857
1969,10,1,3,45,6.0401
1969,10,1,4,63,10.7076
1969,10,1,5,83,14.5712
1969,10,2,1,37,6.6544
1969,10,2,2,26,9.3894
1969,10,2,3,31,10.1223
1969,10,2,4,45,5.5789
1969,10,2,5,38,5.0731
1969,10,3,1,96,3.8310
1969,10,3,2,97,5.2561
1969,10,3,3,86,2.7154
1969,10,3,4,82,5.1312
1969,10,3,5,85,6.6320
1969,11,1,1,30,-7.8672
1969,11,1,2,40,-5.6060
1969,11,1,3,45,-5.7234
1969,11,1,4,63,-4.9490
1969,11,1,5,83,-8.1752
1969,11,2,1,37,-5.0813
1969,11,2,2,26,-4.9099
1969,11,2,3,31,-6.1919
1969,11,2,4,45,-2.8954
1969,11,2,5,38,-5.4076
1969,11,3,1,96,-3.3094
1969,11,3,2,97,-3.7125
1969,11,3,3,86,-3.8691
1969,11,3,4,83,-2.6219
1969,11,3,5,85,-1.7101
1969,12,1,1,30,-5.7130
1969,12,1,2,40,-8.5058
1969,12,1,3,45,-7.4175
1969,12,1,4,63,-5.9448
1969,12,1,5,83,-8.4384
1969,12,2,1,37,-4.5985
1969,12,2,2,26,-4.0955
1969,12,2,3,31,-5.1529
1969,12,2,4,45,-3.4034
1969,12,2,5,38,-5.7082
1969,12,3,1,96,-3.3573
1969,12,3,2,97,-1.7469
1969,12,3,3,86,-1.6715
1969,12,3,4,83,-2.1954
1969,12,3,5,85,0.8436
1970,1,1,1,30,-0.7202
1970,1,1,2,40,-0.1553
1970,1,1,3,45,-0.5540
1970,1,1,4,63,-2.0906
1970,1,1,5,83,-3.3796
1970,1,2,1,37,-0.3227
1970,1,2,2,26,-5.5851
1970,1,2,3,31,-3.9378
1970,1,2,4,45,-5.8471
1970,1,2,5,38,-5.0282
1970,1,3,1,96,-5.0648
1970,1,3,2,97,-8.1620
1970,1,3,3,86,-8.6673
1970,1,3,4,83,-8.9897
1970,1,3,5,84,-8.7457
1970,2,1,1,30,2.3490
1970,2,1,2,40,5.7655
1970,2,1,3,45,3.1636
1970,2,1,4,63,4.5498
1970,2,1,5,83,1.9108
1970,2,2,1,37,6.3083
1970,2,2,2,26,6.2173
1970,2,2,3,31,4.8036
1970,2,2,4,45,4.6039
1970,2,2,5,38,5.7579
1970,2,3,1,96,6.8092
1970,2,3,2,97,7.7687
1970,2,3,3,86,6.4728
1970,2,3,4,83,6.9667
1970,2,3,5,84,2.8578
1970,3,1,1,30,2.3297
1970,3,1,2,40,-0.8444
1970,3,1,3,45,-0.6941
1970,3,1,4,63,-3.2025
1970,3,1,5,83,-2.5054
1970,3,2,1,37,4.4686
1970,3,2,2,26,1.5251
1970,3,2,3,31,0.6376
1970,3,2,4,45,-1.4369
1970,3,2,5,39,-2.5594
1970,3,3,1,96,2.2057
1970,3,3,2,97,1.7150
1970,3,3,3,86,1.2144
1970,3,3,4,83,-1.6520
1970,3,3,5,85,-2.2591
1970,4,1,1,30,-8.1849
1970,4,1,2,40,-11.7881
1970,4,1,3,45,-12.3165
