year,month,rank_ME,rank_EPq_12,nstocks,ret_vw
1970,5,3,3,356,-4.2514
1970,5,3,4,322,-2.4123
1970,5,3,5,251,-5.5059
1970,6,1,1,453,-9.9056
1970,6,1,2,448,-8.3601
1970,6,1,3,400,-8.0144
1970,6,1,4,414,-7.6878
1970,6,1,5,471,-7.6332
1970,6,2,1,256,-6.9154
1970,6,2,2,275,-6.8250
1970,6,2,3,249,-6.2102
1970,6,2,4,246,-7.1858
1970,6,2,5,225,-7.1387
1970,6,3,1,284,-6.5066
1970,6,3,2,348,-2.7067
1970,6,3,3,362,-5.1222
1970,6,3,4,328,-3.6159
1970,6,3,5,248,-5.3548
1970,7,1,1,413,3.9138
1970,7,1,2,434,4.6694
1970,7,1,3,391,4.9418
1970,7,1,4,406,4.6573
1970,7,1,5,452,5.1259
1970,7,2,1,246,7.1423
1970,7,2,2,272,8.5946
1970,7,2,3,244,7.6698
1970,7,2,4,240,6.9663
1970,7,2,5,220,7.6342
1970,7,3,1,283,3.9074
1970,7,3,2,334,8.7320
1970,7,3,3,353,9.6132
1970,7,3,4,324,9.6852
1970,7,3,5,236,8.3755
1970,8,1,1,436,5.5262
1970,8,1,2,453,5.5822
1970,8,1,3,421,6.6073
1970,8,1,4,430,5.9084
1970,8,1,5,486,4.8172
1970,8,2,1,252,7.1669
1970,8,2,2,288,6.1784
1970,8,2,3,272,5.2645
1970,8,2,4,254,6.3324
1970,8,2,5,234,6.9535
1970,8,3,1,298,4.5548
1970,8,3,2,351,3.8777
1970,8,3,3,364,4.4488
1970,8,3,4,331,6.4109
1970,8,3,5,245,5.6356
1970,9,1,1,438,17.0652
1970,9,1,2,458,14.0363
1970,9,1,3,416,12.9853
1970,9,1,4,437,11.5170
1970,9,1,5,498,13.1011
1970,9,2,1,249,13.1388
1970,9,2,2,290,11.6140
1970,9,2,3,272,8.2354
1970,9,2,4,255,7.6095
1970,9,2,5,233,10.0250
1970,9,3,1,297,7.0732
1970,9,3,2,353,3.5922
1970,9,3,3,361,0.5717
1970,9,3,4,330,1.9006
1970,9,3,5,246,4.7876
1970,10,1,1,424,-9.6812
1970,10,1,2,439,-6.3195
1970,10,1,3,399,-6.1848
1970,10,1,4,425,-5.6683
1970,10,1,5,502,-6.3327
1970,10,2,1,239,-4.8006
1970,10,2,2,282,-4.6214
1970,10,2,3,272,-3.0630
1970,10,2,4,250,-4.3533
1970,10,2,5,233,-4.3466
1970,10,3,1,291,-0.4347
1970,10,3,2,351,-1.5477
1970,10,3,3,353,-1.8010
1970,10,3,4,328,0.0271
1970,10,3,5,237,-2.8836
1970,11,1,1,439,-3.0287
1970,11,1,2,463,-1.0536
1970,11,1,3,408,0.0321
1970,11,1,4,450,0.3277
1970,11,1,5,521,0.6489
1970,11,2,1,246,1.7693
1970,11,2,2,291,3.0705
1970,11,2,3,281,3.4859
1970,11,2,4,258,3.4020
1970,11,2,5,243,3.2804
1970,11,3,1,296,5.1368
1970,11,3,2,366,5.2164
1970,11,3,3,366,5.8522
1970,11,3,4,335,5.6706
1970,11,3,5,246,5.0007
1970,12,1,1,441,6.1828
1970,12,1,2,455,9.4586
1970,12,1,3,419,10.1197
1970,12,1,4,458,10.5495
1970,12,1,5,519,12.0371
1970,12,2,1,249,5.2058
1970,12,2,2,291,9.0922
1970,12,2,3,278,9.0822
1970,12,2,4,263,9.5460
1970,12,2,5,243,8.5760
1970,12,3,1,300,4.4025
1970,12,3,2,365,6.2439
1970,12,3,3,371,6.7244
