year,month,rank_ME,rank_SP,nstocks,ret_vw
1969,5,3,3,105,1.5542
1969,5,3,4,91,0.5629
1969,5,3,5,46,-2.1962
1969,6,1,1,90,-16.6143
1969,6,1,2,89,-12.4164
1969,6,1,3,108,-12.4443
1969,6,1,4,128,-14.0798
1969,6,1,5,245,-12.8137
1969,6,2,1,63,-11.3751
1969,6,2,2,72,-9.9508
1969,6,2,3,67,-10.3906
1969,6,2,4,63,-10.1472
1969,6,2,5,72,-11.3491
1969,6,3,1,166,-3.1271
1969,6,3,2,116,-7.0600
1969,6,3,3,106,-7.2659
1969,6,3,4,91,-8.2266
1969,6,3,5,46,-7.2768
1969,7,1,1,113,-12.6964
1969,7,1,2,115,-11.5869
1969,7,1,3,161,-10.5295
1969,7,1,4,156,-12.5686
1969,7,1,5,205,-10.4978
1969,7,2,1,83,-9.1508
1969,7,2,2,75,-7.6359
1969,7,2,3,77,-9.1689
1969,7,2,4,60,-8.7827
1969,7,2,5,72,-9.0264
1969,7,3,1,170,-4.0916
1969,7,3,2,111,-6.5827
1969,7,3,3,113,-6.9783
1969,7,3,4,98,-7.1366
1969,7,3,5,64,-9.9652
1969,8,1,1,113,3.9654
1969,8,1,2,115,5.9750
1969,8,1,3,161,4.9436
1969,8,1,4,155,3.7229
1969,8,1,5,205,3.2486
1969,8,2,1,83,6.4405
1969,8,2,2,75,6.3105
1969,8,2,3,77,4.6134
1969,8,2,4,60,4.9597
1969,8,2,5,72,5.6838
1969,8,3,1,170,5.0070
1969,8,3,2,111,5.1321
1969,8,3,3,113,4.5689
1969,8,3,4,98,3.6932
1969,8,3,5,64,4.8796
1969,9,1,1,113,-2.2579
1969,9,1,2,115,-1.6720
1969,9,1,3,161,-3.9798
1969,9,1,4,155,-3.6748
1969,9,1,5,206,-3.4459
1969,9,2,1,83,1.4274
1969,9,2,2,74,-1.8976
1969,9,2,3,75,0.1234
1969,9,2,4,60,-1.1111
1969,9,2,5,72,-1.6568
1969,9,3,1,170,-2.1100
1969,9,3,2,111,-3.0888
1969,9,3,3,112,-2.8140
1969,9,3,4,98,-1.8491
1969,9,3,5,64,-3.7737
1969,10,1,1,113,12.3201
1969,10,1,2,114,12.8520
1969,10,1,3,161,11.1585
1969,10,1,4,155,8.9835
1969,10,1,5,206,8.6815
1969,10,2,1,83,9.3141
1969,10,2,2,74,8.4081
1969,10,2,3,74,8.3725
1969,10,2,4,60,9.1251
1969,10,2,5,72,4.8813
1969,10,3,1,170,5.4451
1969,10,3,2,111,4.8190
1969,10,3,3,112,3.1621
1969,10,3,4,98,7.5269
1969,10,3,5,64,6.5549
1969,11,1,1,113,-6.9665
1969,11,1,2,114,-6.5393
1969,11,1,3,161,-6.7787
1969,11,1,4,155,-7.4943
1969,11,1,5,206,-7.0667
1969,11,2,1,82,-4.1085
1969,11,2,2,75,-3.0560
1969,11,2,3,74,-5.7507
1969,11,2,4,60,-5.0084
1969,11,2,5,72,-5.9053
1969,11,3,1,170,-1.1957
1969,11,3,2,111,-4.1209
1969,11,3,3,113,-4.1377
1969,11,3,4,98,-3.2905
1969,11,3,5,64,-5.7398
1969,12,1,1,113,-7.1793
1969,12,1,2,115,-7.7175
1969,12,1,3,161,-5.7049
1969,12,1,4,155,-8.2735
1969,12,1,5,206,-9.1703
1969,12,2,1,82,-4.8838
1969,12,2,2,75,-2.3235
1969,12,2,3,74,-5.3396
1969,12,2,4,60,-2.5406
1969,12,2,5,72,-7.6973
1969,12,3,1,170,0.2424
1969,12,3,2,111,-1.3519
1969,12,3,3,113,-3.2831
1969,12,3,4,98,-2.8138
1969,12,3,5,64,-4.8902
1970,1,1,1,113,-5.0731
1970,1,1,2,115,-3.7431
1970,1,1,3,161,-4.0031
1970,1,1,4,155,-2.9736
1970,1,1,5,206,-1.7440
1970,1,2,1,81,-7.6368
1970,1,2,2,75,-2.5862
1970,1,2,3,74,-6.9191
1970,1,2,4,60,-5.6036
1970,1,2,5,72,-4.9815
1970,1,3,1,169,-7.3180
1970,1,3,2,111,-8.2466
1970,1,3,3,113,-8.3961
1970,1,3,4,98,-7.7698
1970,1,3,5,64,-8.1503
1970,2,1,1,113,2.3876
1970,2,1,2,114,3.3242
1970,2,1,3,161,4.3147
1970,2,1,4,155,3.0067
1970,2,1,5,206,1.4672
1970,2,2,1,81,3.7254
1970,2,2,2,75,4.3698
1970,2,2,3,73,4.0078
1970,2,2,4,60,5.7052
1970,2,2,5,72,3.7763
1970,2,3,1,169,4.8745
1970,2,3,2,111,6.8528
1970,2,3,3,113,5.9155
1970,2,3,4,98,6.8709
1970,2,3,5,64,7.3664
1970,3,1,1,113,-5.7486
1970,3,1,2,114,-4.6018
1970,3,1,3,161,-4.9029
1970,3,1,4,155,-2.7007
1970,3,1,5,205,-1.1840
1970,3,2,1,83,-5.0648
1970,3,2,2,75,-1.1213
1970,3,2,3,74,-0.0938
1970,3,2,4,60,-0.9716
1970,3,2,5,72,-1.4614
1970,3,3,1,170,-1.0698
1970,3,3,2,111,0.0578
1970,3,3,3,113,1.7236
1970,3,3,4,98,-0.0924
1970,3,3,5,64,0.9273
1970,4,1,1,112,-24.3629
1970,4,1,2,114,-21.0548
1970,4,1,3,161,-18.1376
1970,4,1,4,155,-14.5231
1970,4,1,5,205,-14.4242
1970,4,2,1,83,-18.4062
1970,4,2,2,75,-14.2561
1970,4,2,3,74,-13.7319
1970,4,2,4,60,-14.0037
1970,4,2,5,72,-13.7713
1970,4,3,1,170,-9.4086
1970,4,3,2,111,-9.8754
1970,4,3,3,113,-8.5388
1970,4,3,4,98,-10.3718
1970,4,3,5,64,-9.9718
1970,5,1,1,112,-8.6730
1970,5,1,2,114,-9.2542
1970,5,1,3,160,-7.4490
1970,5,1,4,154,-10.3352
1970,5,1,5,205,-10.3147
1970,5,2,1,82,-11.1843
1970,5,2,2,75,-10.3008
1970,5,2,3,74,-8.9037
1970,5,2,4,60,-9.3790
1970,5,2,5,72,-9.5008
1970,5,3,1,170,-5.9443
1970,5,3,2,111,-5.1229
1970,5,3,3,113,-4.6800
1970,5,3,4,98,-7.7012
1970,5,3,5,64,-6.2201
1970,6,1,1,112,-10.7833
1970,6,1,2,113,-11.1623
1970,6,1,3,158,-9.4900
1970,6,1,4,153,-7.7423
1970,6,1,5,205,-6.5613
1970,6,2,1,82,-6.8402
1970,6,2,2,75,-7.3915
1970,6,2,3,74,-8.1244
1970,6,2,4,58,-6.5415
1970,6,2,5,72,-5.3016
1970,6,3,1,170,-6.2359
1970,6,3,2,111,-3.4400
1970,6,3,3,113,-3.7087
1970,6,3,4,98,-4.8301
1970,6,3,5,64,-5.7457
1970,7,1,1,88,6.1660
1970,7,1,2,106,5.2589
1970,7,1,3,157,5.1958
1970,7,1,4,223,2.9007
1970,7,1,5,270,5.6203
1970,7,2,1,74,8.4646
1970,7,2,2,84,7.2035
1970,7,2,3,81,5.4739
1970,7,2,4,65,8.0236
1970,7,2,5,87,7.4618
1970,7,3,1,188,5.1932
1970,7,3,2,133,8.8946
1970,7,3,3,115,9.8173
1970,7,3,4,89,7.4305
1970,7,3,5,47,7.9330
1970,8,1,1,88,4.6381
1970,8,1,2,105,5.4716
1970,8,1,3,156,5.8085
1970,8,1,4,223,7.7524
1970,8,1,5,269,5.9202
1970,8,2,1,74,6.9825
1970,8,2,2,84,6.4644
1970,8,2,3,80,7.9829
1970,8,2,4,65,7.5828
1970,8,2,5,87,5.3693
1970,8,3,1,188,4.0272
1970,8,3,2,133,4.1535
1970,8,3,3,115,6.1871
1970,8,3,4,89,5.9193
1970,8,3,5,46,8.5410
1970,9,1,1,88,20.0821
1970,9,1,2,105,17.6313
1970,9,1,3,156,16.1689
1970,9,1,4,221,13.4309
1970,9,1,5,269,12.7979
1970,9,2,1,74,15.0087
1970,9,2,2,84,10.4904
1970,9,2,3,80,11.2301
1970,9,2,4,65,9.5038
1970,9,2,5,86,10.8078
1970,9,3,1,188,4.9443
1970,9,3,2,133,2.3594
1970,9,3,3,115,2.8940
1970,9,3,4,88,4.2730
1970,9,3,5,46,4.5500
1970,10,1,1,88,-8.0408
1970,10,1,2,105,-9.9432
1970,10,1,3,155,-8.3547
1970,10,1,4,220,-8.4142
1970,10,1,5,270,-5.6309
1970,10,2,1,73,-4.8879
1970,10,2,2,84,-4.7506
1970,10,2,3,80,-6.2908
1970,10,2,4,65,-3.3920
1970,10,2,5,86,-5.8940
1970,10,3,1,188,-0.7633
1970,10,3,2,133,-0.3115
1970,10,3,3,115,-0.8587
1970,10,3,4,88,-3.6231
1970,10,3,5,46,-5.5008
1970,11,1,1,88,-5.2449
1970,11,1,2,105,-2.2745
1970,11,1,3,154,-0.7013
1970,11,1,4,220,-0.9637
1970,11,1,5,268,-0.6634
1970,11,2,1,73,0.0005
1970,11,2,2,83,3.2425
1970,11,2,3,80,4.1883
1970,11,2,4,65,3.6452
1970,11,2,5,86,3.0403
1970,11,3,1,188,5.2689
1970,11,3,2,133,6.2269
1970,11,3,3,115,5.5517
1970,11,3,4,88,3.7350
1970,11,3,5,46,5.4290
1970,12,1,1,88,4.1976
1970,12,1,2,105,9.4241
1970,12,1,3,154,8.9153
1970,12,1,4,219,10.6339
1970,12,1,5,267,11.8126
1970,12,2,1,73,5.4046
1970,12,2,2,83,7.9384
1970,12,2,3,80,9.4007
1970,12,2,4,65,8.7832
1970,12,2,5,86,9.7955
1970,12,3,1,187,5.2226
1970,12,3,2,133,6.3351
1970,12,3,3,115,5.4463
1970,12,3,4,88,9.7478
1970,12,3,5,46,7.4591
1971,1,1,1,87,13.3856
1971,1,1,2,104,13.1315
1971,1,1,3,154,13.1591
1971,1,1,4,219,14.0634
1971,1,1,5,266,18.0069
1971,1,2,1,73,8.8904
1971,1,2,2,82,9.8093
1971,1,2,3,80,10.0690
1971,1,2,4,64,13.0771
1971,1,2,5,86,11.3950
1971,1,3,1,187,4.4162
1971,1,3,2,133,3.8365
1971,1,3,3,115,3.5391
1971,1,3,4,88,6.6100
1971,1,3,5,46,9.0828
1971,2,1,1,87,8.1782
1971,2,1,2,104,3.7954
1971,2,1,3,153,7.1231
1971,2,1,4,217,5.1177
1971,2,1,5,265,5.4410
1971,2,2,1,73,3.5530
1971,2,2,2,81,1.9185
1971,2,2,3,80,2.4777
1971,2,2,4,64,3.0491
1971,2,2,5,86,2.2101
1971,2,3,1,186,0.2557
1971,2,3,2,133,1.2726
1971,2,3,3,115,3.1006
1971,2,3,4,88,2.8084
1971,2,3,5,46,2.8537
1971,3,1,1,87,6.4479
1971,3,1,2,103,6.0582
1971,3,1,3,153,5.4813
1971,3,1,4,217,6.6149
1971,3,1,5,265,6.6365
1971,3,2,1,73,9.7533
1971,3,2,2,80,6.9062
1971,3,2,3,80,7.3163
1971,3,2,4,64,4.6126
1971,3,2,5,86,4.4401
1971,3,3,1,186,4.7314
1971,3,3,2,132,3.4894
1971,3,3,3,115,3.5826
1971,3,3,4,88,3.9154
1971,3,3,5,45,3.4392
1971,4,1,1,87,0.9424
1971,4,1,2,102,3.9267
1971,4,1,3,152,2.3178
1971,4,1,4,217,2.5286
1971,4,1,5,265,2.3823
1971,4,2,1,72,1.7543
1971,4,2,2,80,5.0064
1971,4,2,3,80,4.8002
1971,4,2,4,64,3.8495
1971,4,2,5,85,3.7451
1971,4,3,1,186,1.4454
1971,4,3,2,132,4.6072
1971,4,3,3,115,5.7106
1971,4,3,4,88,4.8975
1971,4,3,5,45,5.2830
1971,5,1,1,86,-6.0068
1971,5,1,2,102,-5.9516
1971,5,1,3,152,-6.6213
1971,5,1,4,215,-5.5050
1971,5,1,5,261,-6.6424
1971,5,2,1,72,-2.9222
1971,5,2,2,80,-3.1316
1971,5,2,3,80,-5.1474
1971,5,2,4,64,-3.9997
1971,5,2,5,85,-5.8226
1971,5,3,1,186,-3.4844
1971,5,3,2,132,-3.0394
1971,5,3,3,115,-3.6502
1971,5,3,4,88,-4.4998
1971,5,3,5,45,-3.4513
1971,6,1,1,85,-3.2716
1971,6,1,2,101,-2.6598
1971,6,1,3,149,-2.0505
1971,6,1,4,214,-1.1973
1971,6,1,5,261,-2.2959
1971,6,2,1,71,-1.0059
1971,6,2,2,80,0.7933
1971,6,2,3,80,0.6896
1971,6,2,4,64,-1.8882
1971,6,2,5,85,-0.7586
1971,6,3,1,185,1.7723
1971,6,3,2,132,0.1504
1971,6,3,3,115,-0.6517
1971,6,3,4,88,-2.0173
1971,6,3,5,45,-0.1148
1971,7,1,1,59,-7.9041
1971,7,1,2,93,-7.0873
1971,7,1,3,135,-7.7921
1971,7,1,4,241,-7.7020
1971,7,1,5,334,-5.4104
1971,7,2,1,66,-5.3847
1971,7,2,2,77,-3.5031
1971,7,2,3,91,-5.0648
1971,7,2,4,90,-5.6152
1971,7,2,5,79,-4.9866
1971,7,3,1,189,-3.9974
1971,7,3,2,151,-3.3980
1971,7,3,3,120,-4.6652
1971,7,3,4,77,-5.9814
1971,7,3,5,47,-6.4606
1971,8,1,1,59,0.8257
1971,8,1,2,93,3.1958
1971,8,1,3,135,3.7614
1971,8,1,4,241,4.1976
1971,8,1,5,333,5.9143
1971,8,2,1,66,1.2716
1971,8,2,2,77,3.0675
1971,8,2,3,91,5.2653
1971,8,2,4,90,7.4267
1971,8,2,5,79,4.6322
1971,8,3,1,189,2.7604
1971,8,3,2,150,4.6022
1971,8,3,3,119,4.8522
1971,8,3,4,77,7.5430
1971,8,3,5,47,7.6407
1971,9,1,1,59,-3.4417
1971,9,1,2,93,2.3140
1971,9,1,3,135,-0.1385
1971,9,1,4,241,-0.5315
1971,9,1,5,333,-0.8780
