year,month,rank_ME,rank_EBP,nstocks,ret_vw
1970,1,2,1,88,-5.7014
1970,1,2,2,61,-8.6827
1970,1,2,3,49,-5.4303
1970,1,2,4,47,-4.4847
1970,1,2,5,47,-3.2787
1970,1,3,1,114,-7.3108
1970,1,3,2,95,-8.9179
1970,1,3,3,92,-10.4148
1970,1,3,4,86,-9.8440
1970,1,3,5,70,-4.5420
1970,2,1,1,174,3.1744
1970,2,1,2,111,2.2748
1970,2,1,3,113,3.5728
1970,2,1,4,90,2.4490
1970,2,1,5,113,3.4148
1970,2,2,1,88,3.0164
1970,2,2,2,61,3.1645
1970,2,2,3,49,3.1842
1970,2,2,4,47,5.3176
1970,2,2,5,47,8.6948
1970,2,3,1,114,3.0555
1970,2,3,2,95,6.4496
1970,2,3,3,92,7.6283
1970,2,3,4,86,6.3447
1970,2,3,5,70,8.0092
1970,3,1,1,174,-6.1363
1970,3,1,2,111,-5.2807
1970,3,1,3,113,-3.9994
1970,3,1,4,90,-0.3369
1970,3,1,5,113,-0.6844
1970,3,2,1,89,-5.0466
1970,3,2,2,62,-1.8517
1970,3,2,3,49,-2.2590
1970,3,2,4,47,-1.0313
1970,3,2,5,47,-0.2481
1970,3,3,1,115,-3.1254
1970,3,3,2,95,2.0637
1970,3,3,3,92,-0.2273
1970,3,3,4,86,0.5415
1970,3,3,5,70,2.3439
1970,4,1,1,173,-23.4176
1970,4,1,2,111,-19.7080
1970,4,1,3,113,-15.1106
1970,4,1,4,90,-14.6766
1970,4,1,5,113,-12.9610
1970,4,2,1,89,-20.0900
1970,4,2,2,62,-16.6377
1970,4,2,3,49,-11.8092
1970,4,2,4,47,-13.2827
1970,4,2,5,47,-12.9140
1970,4,3,1,115,-9.6786
1970,4,3,2,95,-10.6011
1970,4,3,3,92,-9.2774
1970,4,3,4,86,-8.6423
1970,4,3,5,70,-8.2134
1970,5,1,1,173,-9.8785
1970,5,1,2,111,-8.5854
1970,5,1,3,113,-10.5396
1970,5,1,4,90,-9.4175
1970,5,1,5,113,-9.5059
1970,5,2,1,88,-11.3021
1970,5,2,2,62,-10.7531
1970,5,2,3,49,-11.1838
1970,5,2,4,47,-10.8279
1970,5,2,5,47,-8.8178
1970,5,3,1,115,-7.4347
1970,5,3,2,95,-7.5500
1970,5,3,3,92,-5.6237
1970,5,3,4,86,-0.6343
1970,5,3,5,70,-4.4512
1970,6,1,1,173,-11.6116
1970,6,1,2,111,-7.9456
1970,6,1,3,113,-8.0669
1970,6,1,4,90,-8.9863
1970,6,1,5,112,-6.6357
1970,6,2,1,88,-9.0501
1970,6,2,2,62,-5.8564
1970,6,2,3,49,-6.6698
1970,6,2,4,47,-7.2525
1970,6,2,5,47,-6.5425
1970,6,3,1,115,-5.9066
1970,6,3,2,95,-4.4242
1970,6,3,3,92,-1.7703
1970,6,3,4,86,-3.5037
1970,6,3,5,70,-7.9567
1970,7,1,1,113,5.4329
1970,7,1,2,157,3.8160
1970,7,1,3,124,5.1955
1970,7,1,4,163,5.2824
1970,7,1,5,174,4.6015
1970,7,2,1,81,8.7368
1970,7,2,2,77,8.8789
1970,7,2,3,61,5.6167
1970,7,2,4,60,8.4612
1970,7,2,5,55,8.3800
1970,7,3,1,143,4.3526
1970,7,3,2,103,7.1421
1970,7,3,3,87,10.3981
1970,7,3,4,78,10.6941
1970,7,3,5,63,7.0677
1970,8,1,1,113,5.4461
