year,month,rank_ME,rank_Rev_12,nstocks,ret_vw
1969,5,3,1,183,0.6419
1969,5,3,2,229,1.0334
1969,5,3,3,235,0.0795
1969,5,3,4,212,0.1422
1969,5,3,5,173,-0.5100
1969,6,1,1,202,-13.1423
1969,6,1,2,273,-12.7534
1969,6,1,3,346,-12.0520
1969,6,1,4,355,-13.4031
1969,6,1,5,304,-15.3171
1969,6,2,1,95,-8.7000
1969,6,2,2,116,-11.0036
1969,6,2,3,149,-10.2437
1969,6,2,4,174,-11.0943
1969,6,2,5,167,-13.3520
1969,6,3,1,187,-5.8052
1969,6,3,2,229,-6.8502
1969,6,3,3,218,-7.1063
1969,6,3,4,214,-3.0923
1969,6,3,5,175,-5.4240
1969,7,1,1,188,-10.6124
1969,7,1,2,266,-9.6193
1969,7,1,3,328,-10.5336
1969,7,1,4,354,-10.9785
1969,7,1,5,313,-13.1589
1969,7,2,1,90,-6.7225
1969,7,2,2,119,-8.3748
1969,7,2,3,151,-8.7529
1969,7,2,4,169,-10.0963
1969,7,2,5,165,-11.4380
1969,7,3,1,190,-4.6558
1969,7,3,2,228,-6.6083
1969,7,3,3,216,-7.1563
1969,7,3,4,215,-4.7825
1969,7,3,5,173,-8.1031
1969,8,1,1,173,4.8635
1969,8,1,2,261,3.3428
1969,8,1,3,323,3.5557
1969,8,1,4,350,3.9410
1969,8,1,5,323,5.3870
1969,8,2,1,90,2.7328
1969,8,2,2,122,3.9388
1969,8,2,3,155,4.7811
1969,8,2,4,177,7.3901
1969,8,2,5,162,8.1213
1969,8,3,1,191,1.8348
1969,8,3,2,227,4.0158
1969,8,3,3,218,5.1684
1969,8,3,4,215,6.7039
1969,8,3,5,171,7.4200
1969,9,1,1,162,-1.3434
1969,9,1,2,254,-2.8675
1969,9,1,3,321,-1.7891
1969,9,1,4,354,-2.4870
1969,9,1,5,329,-4.0148
1969,9,2,1,91,-2.8435
1969,9,2,2,116,-1.4752
1969,9,2,3,155,-0.7538
1969,9,2,4,177,-0.9026
1969,9,2,5,164,-0.7664
1969,9,3,1,189,-3.7638
1969,9,3,2,232,-3.1849
1969,9,3,3,221,-2.7730
1969,9,3,4,210,-1.5637
1969,9,3,5,168,-0.9498
1969,10,1,1,155,9.6598
1969,10,1,2,239,7.2561
1969,10,1,3,309,7.5781
1969,10,1,4,359,9.8638
1969,10,1,5,336,11.3761
1969,10,2,1,95,6.5903
1969,10,2,2,115,6.1733
1969,10,2,3,150,6.8380
1969,10,2,4,174,5.2053
1969,10,2,5,165,7.8643
1969,10,3,1,192,4.2043
1969,10,3,2,234,4.1095
1969,10,3,3,220,4.5532
1969,10,3,4,208,5.7928
1969,10,3,5,166,6.5499
1969,11,1,1,155,-7.5020
1969,11,1,2,237,-5.5882
1969,11,1,3,311,-5.8781
1969,11,1,4,363,-5.8770
1969,11,1,5,340,-7.0004
1969,11,2,1,94,-5.3340
1969,11,2,2,113,-4.8020
1969,11,2,3,153,-4.5691
1969,11,2,4,177,-3.9522
1969,11,2,5,169,-5.4312
1969,11,3,1,192,-3.0033
1969,11,3,2,243,-3.9132
1969,11,3,3,221,-2.9791
1969,11,3,4,211,-2.2707
1969,11,3,5,167,-2.1398
1969,12,1,1,143,-7.2197
1969,12,1,2,245,-7.8387
1969,12,1,3,303,-7.5255
1969,12,1,4,358,-7.0266
1969,12,1,5,346,-9.2530
1969,12,2,1,88,-4.8682
1969,12,2,2,114,-7.9276
1969,12,2,3,151,-5.1224
1969,12,2,4,171,-4.9991
1969,12,2,5,166,-5.4850
1969,12,3,1,192,-2.7436
1969,12,3,2,245,-2.0534
1969,12,3,3,220,-2.1174
1969,12,3,4,208,1.5885
1969,12,3,5,162,-3.5305
1970,1,1,1,133,-2.8770
1970,1,1,2,241,-1.1481
1970,1,1,3,293,-0.6848
1970,1,1,4,363,-1.5123
1970,1,1,5,357,-3.7424
1970,1,2,1,85,-1.8299
1970,1,2,2,117,-3.4994
1970,1,2,3,152,-4.5001
1970,1,2,4,177,-4.3518
1970,1,2,5,175,-8.4478
1970,1,3,1,194,-4.9607
1970,1,3,2,245,-8.7605
1970,1,3,3,220,-8.9037
1970,1,3,4,205,-8.2547
1970,1,3,5,157,-9.7850
1970,2,1,1,133,1.5089
1970,2,1,2,230,3.0483
1970,2,1,3,298,3.2678
1970,2,1,4,364,3.1121
1970,2,1,5,362,2.7461
1970,2,2,1,87,5.0754
1970,2,2,2,118,4.6060
1970,2,2,3,159,4.2551
1970,2,2,4,184,4.2596
1970,2,2,5,183,3.7050
1970,2,3,1,196,6.3691
1970,2,3,2,245,7.6362
1970,2,3,3,219,7.0726
1970,2,3,4,209,3.4495
1970,2,3,5,161,4.2970
1970,3,1,1,122,1.3332
1970,3,1,2,231,-0.4402
1970,3,1,3,302,-1.3169
1970,3,1,4,360,-2.4904
1970,3,1,5,367,-5.0207
1970,3,2,1,84,2.0880
1970,3,2,2,119,1.1130
1970,3,2,3,161,1.0063
1970,3,2,4,183,-1.3356
1970,3,2,5,188,-4.3171
1970,3,3,1,197,2.8015
1970,3,3,2,245,0.6181
1970,3,3,3,219,-1.5199
1970,3,3,4,205,-1.7131
1970,3,3,5,162,-3.6545
1970,4,1,1,113,-12.8246
1970,4,1,2,219,-13.5430
1970,4,1,3,298,-14.5920
1970,4,1,4,355,-16.8332
1970,4,1,5,366,-21.6643
1970,4,2,1,80,-9.6303
1970,4,2,2,119,-10.8761
1970,4,2,3,156,-12.2069
1970,4,2,4,177,-14.4709
1970,4,2,5,187,-20.8278
1970,4,3,1,195,-6.9879
1970,4,3,2,241,-8.7955
1970,4,3,3,229,-10.2284
1970,4,3,4,196,-10.5129
1970,4,3,5,160,-14.7447
1970,5,1,1,108,-9.2373
1970,5,1,2,223,-9.8919
1970,5,1,3,299,-8.5179
1970,5,1,4,345,-10.1914
1970,5,1,5,372,-8.8128
1970,5,2,1,82,-5.3504
1970,5,2,2,121,-8.8685
1970,5,2,3,154,-7.7552
1970,5,2,4,181,-9.8536
1970,5,2,5,192,-13.2298
1970,5,3,1,198,-3.7580
1970,5,3,2,243,-3.9747
1970,5,3,3,231,-7.3434
1970,5,3,4,193,-7.4963
1970,5,3,5,156,-9.9628
1970,6,1,1,110,-5.9226
1970,6,1,2,232,-6.5667
1970,6,1,3,303,-7.8339
1970,6,1,4,348,-8.8374
1970,6,1,5,382,-10.9542
1970,6,2,1,82,-4.2516
1970,6,2,2,121,-7.7644
1970,6,2,3,155,-5.7306
1970,6,2,4,186,-6.9381
1970,6,2,5,191,-8.3639
1970,6,3,1,203,-4.6834
1970,6,3,2,250,-3.5855
1970,6,3,3,237,-3.8951
1970,6,3,4,195,-6.1841
1970,6,3,5,156,-8.2525
1970,7,1,1,117,2.4846
1970,7,1,2,230,2.5780
1970,7,1,3,301,5.5637
1970,7,1,4,345,5.2596
1970,7,1,5,378,3.4366
1970,7,2,1,85,4.3148
1970,7,2,2,116,6.4945
1970,7,2,3,162,8.2306
1970,7,2,4,189,9.7222
1970,7,2,5,184,6.9108
1970,7,3,1,204,9.7290
1970,7,3,2,248,8.6729
1970,7,3,3,235,6.9703
1970,7,3,4,193,3.4077
1970,7,3,5,155,7.7341
1970,8,1,1,123,4.4669
1970,8,1,2,233,6.3019
1970,8,1,3,299,5.0482
1970,8,1,4,348,5.9583
1970,8,1,5,373,6.0712
1970,8,2,1,90,5.0394
1970,8,2,2,119,5.9737
1970,8,2,3,162,5.8551
1970,8,2,4,194,8.3206
1970,8,2,5,186,8.0851
1970,8,3,1,206,4.8553
1970,8,3,2,254,5.1455
1970,8,3,3,245,4.7022
1970,8,3,4,203,4.6674
1970,8,3,5,159,6.4291
1970,9,1,1,124,9.9153
1970,9,1,2,231,11.1807
1970,9,1,3,302,10.8376
1970,9,1,4,339,12.9494
1970,9,1,5,368,17.1847
1970,9,2,1,91,3.3159
1970,9,2,2,122,6.4908
1970,9,2,3,166,7.9331
1970,9,2,4,186,10.1638
1970,9,2,5,187,15.1975
1970,9,3,1,209,-0.2423
1970,9,3,2,254,3.0856
1970,9,3,3,245,4.8258
1970,9,3,4,204,6.9725
1970,9,3,5,156,8.6083
1970,10,1,1,138,-6.5212
1970,10,1,2,236,-5.4029
1970,10,1,3,313,-3.7561
1970,10,1,4,337,-5.8607
1970,10,1,5,368,-10.3238
1970,10,2,1,93,-1.0273
1970,10,2,2,123,-3.5429
1970,10,2,3,169,-3.2616
1970,10,2,4,194,-3.2390
1970,10,2,5,187,-7.6033
1970,10,3,1,210,-1.8376
1970,10,3,2,262,-0.1187
1970,10,3,3,244,-1.5184
1970,10,3,4,216,-0.1497
1970,10,3,5,163,-1.7623
1970,11,1,1,146,-0.2070
1970,11,1,2,238,-0.2183
1970,11,1,3,313,-1.1269
1970,11,1,4,337,-0.6174
1970,11,1,5,368,-2.2647
1970,11,2,1,94,5.7678
1970,11,2,2,131,4.0789
1970,11,2,3,181,4.0929
1970,11,2,4,198,3.5979
1970,11,2,5,191,2.0985
1970,11,3,1,212,6.8950
1970,11,3,2,271,5.5467
1970,11,3,3,253,4.0781
1970,11,3,4,212,4.5180
1970,11,3,5,167,5.1500
1970,12,1,1,157,10.4121
1970,12,1,2,253,9.8473
1970,12,1,3,318,10.3039
