year,month,rank_ME,rank_EMq_1,nstocks,ret_vw
1978,6,1,4,114,0.1610
1978,6,1,5,115,-1.5316
1978,6,2,1,73,-1.5019
1978,6,2,2,64,-2.5051
1978,6,2,3,64,0.4045
1978,6,2,4,58,-0.3580
1978,6,2,5,61,5.4343
1978,6,3,1,82,-3.8584
1978,6,3,2,90,-1.8279
1978,6,3,3,102,-2.1951
1978,6,3,4,112,-0.6696
1978,6,3,5,99,-0.5891
1978,7,1,1,159,5.0977
1978,7,1,2,113,6.3469
1978,7,1,3,111,4.6275
1978,7,1,4,103,6.5732
1978,7,1,5,110,7.7448
1978,7,2,1,76,5.1258
1978,7,2,2,62,6.8568
1978,7,2,3,57,6.4009
1978,7,2,4,72,7.7452
1978,7,2,5,60,5.3128
1978,7,3,1,83,4.7235
1978,7,3,2,87,7.0927
1978,7,3,3,109,4.7809
1978,7,3,4,103,7.0189
1978,7,3,5,100,4.3170
1978,8,1,1,150,8.4570
1978,8,1,2,131,9.8414
1978,8,1,3,72,7.0391
1978,8,1,4,96,10.0909
1978,8,1,5,119,7.4590
1978,8,2,1,70,8.7879
1978,8,2,2,64,7.7472
1978,8,2,3,46,7.9128
1978,8,2,4,51,8.5091
1978,8,2,5,68,7.3053
1978,8,3,1,77,4.7513
1978,8,3,2,80,2.8792
1978,8,3,3,94,3.6280
1978,8,3,4,94,3.7449
1978,8,3,5,76,1.8125
1978,9,1,1,136,1.0512
1978,9,1,2,115,-1.1591
1978,9,1,3,82,0.0601
1978,9,1,4,89,-0.5380
1978,9,1,5,135,-0.4307
1978,9,2,1,60,-1.3942
1978,9,2,2,70,-1.8748
1978,9,2,3,45,-0.3569
1978,9,2,4,61,-3.7801
1978,9,2,5,71,-1.2670
1978,9,3,1,82,3.4094
1978,9,3,2,75,0.7858
1978,9,3,3,91,-1.3666
1978,9,3,4,86,-1.3522
1978,9,3,5,77,-1.1355
1978,10,1,1,146,-18.1409
1978,10,1,2,113,-21.4127
1978,10,1,3,71,-23.6253
1978,10,1,4,98,-25.5853
1978,10,1,5,138,-24.8645
1978,10,2,1,64,-15.3388
1978,10,2,2,62,-20.8423
1978,10,2,3,48,-17.8482
1978,10,2,4,62,-20.6875
1978,10,2,5,69,-22.2274
1978,10,3,1,78,-9.6459
1978,10,3,2,79,-10.1046
1978,10,3,3,95,-10.1930
1978,10,3,4,82,-10.2721
1978,10,3,5,80,-11.0626
1978,11,1,1,162,9.6497
1978,11,1,2,113,6.6240
1978,11,1,3,86,9.9269
1978,11,1,4,105,7.8115
1978,11,1,5,106,5.3128
1978,11,2,1,76,4.4560
1978,11,2,2,52,7.0071
1978,11,2,3,53,7.6974
1978,11,2,4,64,9.4323
1978,11,2,5,57,5.7672
1978,11,3,1,67,4.8532
1978,11,3,2,82,3.0759
1978,11,3,3,103,2.0791
1978,11,3,4,94,5.0607
1978,11,3,5,81,3.2544
1978,12,1,1,164,2.3609
1978,12,1,2,105,0.4350
1978,12,1,3,91,3.6731
1978,12,1,4,103,-0.4367
1978,12,1,5,101,-0.8362
1978,12,2,1,66,2.2246
1978,12,2,2,53,1.5317
1978,12,2,3,62,2.7568
1978,12,2,4,67,2.7611
1978,12,2,5,57,1.6334
1978,12,3,1,74,1.6441
1978,12,3,2,80,0.4511
1978,12,3,3,107,0.8437
1978,12,3,4,84,2.0980
1978,12,3,5,82,-1.2498
1979,1,1,1,170,10.6027
1979,1,1,2,107,10.1271
1979,1,1,3,86,7.8365
1979,1,1,4,96,11.7597
1979,1,1,5,101,10.9856
1979,1,2,1,67,9.7936
1979,1,2,2,48,8.5767
1979,1,2,3,62,9.8602
1979,1,2,4,65,8.2073
1979,1,2,5,61,7.3070
1979,1,3,1,76,4.8830
1979,1,3,2,86,6.7013
1979,1,3,3,102,4.4998
1979,1,3,4,84,3.6865
1979,1,3,5,86,5.5826
1979,2,1,1,173,-1.9207
1979,2,1,2,103,-1.2465
1979,2,1,3,69,-1.6458
1979,2,1,4,99,-3.6577
1979,2,1,5,109,-2.8896
1979,2,2,1,65,-3.8635
1979,2,2,2,58,-4.3889
1979,2,2,3,49,-3.9970
1979,2,2,4,59,-3.5410
1979,2,2,5,69,-0.1940
1979,2,3,1,75,-1.1495
1979,2,3,2,83,-2.1604
1979,2,3,3,99,-2.5467
1979,2,3,4,91,-3.2963
1979,2,3,5,79,-2.6994
1979,3,1,1,169,8.0972
1979,3,1,2,99,12.0234
1979,3,1,3,75,7.1293
1979,3,1,4,103,9.6484
1979,3,1,5,105,9.4425
1979,3,2,1,64,13.1102
1979,3,2,2,59,10.5079
1979,3,2,3,47,9.7954
1979,3,2,4,66,9.0596
1979,3,2,5,64,8.0382
1979,3,3,1,68,8.1717
1979,3,3,2,78,7.6690
1979,3,3,3,100,6.4632
1979,3,3,4,89,6.2784
1979,3,3,5,87,3.8767
1979,4,1,1,175,2.9163
1979,4,1,2,98,3.1139
1979,4,1,3,75,-0.2407
1979,4,1,4,93,1.8012
1979,4,1,5,111,0.5965
1979,4,2,1,62,1.8171
