year,month,rank_ME,rank_BMJ,nstocks,ret_vw
1971,1,2,3,71,11.2403
1971,1,2,4,70,11.2520
1971,1,2,5,66,13.6514
1971,1,3,1,178,4.1567
1971,1,3,2,131,4.6133
1971,1,3,3,116,3.9322
1971,1,3,4,80,3.7074
1971,1,3,5,58,9.5781
1971,2,1,1,89,9.2810
1971,2,1,2,141,6.1340
1971,2,1,3,137,4.8993
1971,2,1,4,208,5.7786
1971,2,1,5,216,4.8752
1971,2,2,1,86,3.5192
1971,2,2,2,75,3.1051
1971,2,2,3,71,1.2759
1971,2,2,4,70,4.2323
1971,2,2,5,66,0.7316
1971,2,3,1,178,2.4642
1971,2,3,2,131,0.6046
1971,2,3,3,116,0.0478
1971,2,3,4,80,1.6536
1971,2,3,5,58,1.7909
1971,3,1,1,88,9.1347
1971,3,1,2,141,5.6689
1971,3,1,3,137,4.7215
1971,3,1,4,208,6.9677
1971,3,1,5,216,5.8745
1971,3,2,1,86,10.4343
1971,3,2,2,74,5.8279
1971,3,2,3,71,5.8044
1971,3,2,4,70,5.6498
1971,3,2,5,66,4.5123
1971,3,3,1,178,5.6009
1971,3,3,2,131,3.6977
1971,3,3,3,116,2.4260
1971,3,3,4,80,2.5016
1971,3,3,5,57,2.1284
1971,4,1,1,88,1.6830
1971,4,1,2,140,2.4228
1971,4,1,3,137,3.5392
1971,4,1,4,208,2.3375
1971,4,1,5,216,2.1490
1971,4,2,1,86,3.3203
1971,4,2,2,74,3.5411
1971,4,2,3,71,4.1267
1971,4,2,4,70,1.2087
1971,4,2,5,66,6.8634
1971,4,3,1,178,3.5737
1971,4,3,2,131,4.4220
1971,4,3,3,116,1.6900
1971,4,3,4,80,4.7584
1971,4,3,5,57,7.2590
1971,5,1,1,87,-5.7397
1971,5,1,2,139,-5.2394
1971,5,1,3,137,-6.5286
1971,5,1,4,208,-6.5166
1971,5,1,5,215,-6.5965
1971,5,2,1,86,-2.9176
1971,5,2,2,75,-3.3249
1971,5,2,3,70,-5.0340
1971,5,2,4,70,-4.5551
1971,5,2,5,66,-5.5208
1971,5,3,1,178,-2.4809
1971,5,3,2,131,-4.0584
1971,5,3,3,116,-4.6984
1971,5,3,4,80,-4.6295
1971,5,3,5,57,-3.1142
1971,6,1,1,87,-0.5543
1971,6,1,2,138,-2.2919
1971,6,1,3,136,-1.3982
1971,6,1,4,206,-2.5808
1971,6,1,5,215,-2.8316
1971,6,2,1,85,2.8769
1971,6,2,2,75,-1.3819
1971,6,2,3,70,-0.9375
1971,6,2,4,70,-0.8667
1971,6,2,5,66,-2.4770
1971,6,3,1,178,0.8441
1971,6,3,2,131,-0.4104
1971,6,3,3,116,1.0531
1971,6,3,4,80,0.4904
1971,6,3,5,57,-2.8040
1971,7,1,1,96,-8.7926
1971,7,1,2,153,-10.0960
1971,7,1,3,164,-4.7934
1971,7,1,4,184,-5.7159
1971,7,1,5,264,-5.9993
1971,7,2,1,84,-6.6095
1971,7,2,2,89,-5.2712
1971,7,2,3,81,-4.3650
1971,7,2,4,79,-2.6885
1971,7,2,5,69,-5.3290
1971,7,3,1,188,-4.4753
1971,7,3,2,133,-3.7678
1971,7,3,3,119,-3.5438
1971,7,3,4,89,-3.8444
1971,7,3,5,54,-5.2609
1971,8,1,1,96,4.0008
1971,8,1,2,153,2.8688
1971,8,1,3,164,2.9940
1971,8,1,4,184,5.8462
1971,8,1,5,263,5.2489
1971,8,2,1,84,3.9807
1971,8,2,2,89,4.5570
1971,8,2,3,81,3.8662
1971,8,2,4,79,3.3832
1971,8,2,5,69,7.2297
1971,8,3,1,187,5.3552
1971,8,3,2,132,5.9285
1971,8,3,3,119,0.0663
1971,8,3,4,89,1.4476
1971,8,3,5,54,9.1534
1971,9,1,1,96,1.4095
1971,9,1,2,153,0.9308
1971,9,1,3,164,0.4324
1971,9,1,4,184,-0.5120
1971,9,1,5,263,-2.8416
