year,month,rank_ME,rank_EP,nstocks,ret_vw
1968,10,2,1,89,-1.5439
1968,10,2,2,58,0.6833
1968,10,2,3,50,-0.6184
1968,10,2,4,60,5.3769
1968,10,2,5,69,2.1496
1968,10,3,1,127,-2.0576
1968,10,3,2,113,0.5347
1968,10,3,3,113,2.9918
1968,10,3,4,102,2.7007
1968,10,3,5,73,1.1957
1968,11,1,1,183,6.9055
1968,11,1,2,91,8.9670
1968,11,1,3,96,8.7382
1968,11,1,4,73,5.7000
1968,11,1,5,144,6.1569
1968,11,2,1,89,9.6194
1968,11,2,2,58,8.1980
1968,11,2,3,50,8.0783
1968,11,2,4,61,6.0486
1968,11,2,5,69,7.6337
1968,11,3,1,127,6.3757
1968,11,3,2,113,5.4728
1968,11,3,3,113,3.8721
1968,11,3,4,102,5.3663
1968,11,3,5,73,7.4406
1968,12,1,1,183,2.3815
1968,12,1,2,91,1.9151
1968,12,1,3,97,-0.3308
1968,12,1,4,73,0.0127
1968,12,1,5,144,1.5007
1968,12,2,1,89,-1.3652
1968,12,2,2,58,-1.7012
1968,12,2,3,50,-0.2464
1968,12,2,4,61,-1.7399
1968,12,2,5,69,-1.2962
1968,12,3,1,127,-5.1874
1968,12,3,2,113,-4.3305
1968,12,3,3,113,-3.4524
1968,12,3,4,102,-4.0259
1968,12,3,5,73,-0.5413
1969,1,1,1,183,-2.0933
1969,1,1,2,91,-2.0680
1969,1,1,3,97,-2.6912
1969,1,1,4,73,-0.5241
1969,1,1,5,144,-1.5032
1969,1,2,1,89,-1.8884
1969,1,2,2,58,-1.0917
1969,1,2,3,50,-2.2446
1969,1,2,4,61,-1.6206
1969,1,2,5,69,0.6354
1969,1,3,1,127,-2.2702
1969,1,3,2,113,-0.6662
1969,1,3,3,113,-0.2888
1969,1,3,4,102,0.2047
1969,1,3,5,72,-0.2778
1969,2,1,1,182,-12.4957
1969,2,1,2,90,-9.7425
1969,2,1,3,97,-9.7181
1969,2,1,4,73,-7.5109
1969,2,1,5,144,-7.6813
1969,2,2,1,89,-10.2043
1969,2,2,2,58,-8.9006
1969,2,2,3,50,-7.4975
1969,2,2,4,61,-6.2710
1969,2,2,5,69,-6.2939
1969,2,3,1,127,-3.9353
1969,2,3,2,113,-5.4744
1969,2,3,3,113,-4.6015
1969,2,3,4,102,-3.7695
1969,2,3,5,72,-7.3109
1969,3,1,1,182,2.2117
1969,3,1,2,90,4.6577
1969,3,1,3,97,1.5842
1969,3,1,4,73,-0.0936
1969,3,1,5,144,2.1223
1969,3,2,1,88,4.1069
1969,3,2,2,58,1.8714
1969,3,2,3,50,2.3150
1969,3,2,4,61,2.7615
1969,3,2,5,69,3.0265
1969,3,3,1,127,4.6300
1969,3,3,2,113,1.9339
1969,3,3,3,113,3.2793
1969,3,3,4,102,2.5472
1969,3,3,5,72,3.4797
1969,4,1,1,180,-0.3884
1969,4,1,2,90,-1.2706
1969,4,1,3,97,-1.6842
1969,4,1,4,73,2.0298
1969,4,1,5,144,-0.8321
1969,4,2,1,88,2.0206
1969,4,2,2,57,1.5090
1969,4,2,3,50,0.7279
1969,4,2,4,61,1.7411
1969,4,2,5,69,1.3390
1969,4,3,1,127,4.0090
1969,4,3,2,112,1.5955
1969,4,3,3,113,0.9512
1969,4,3,4,102,2.0909
1969,4,3,5,71,0.1074
1969,5,1,1,181,2.6035
1969,5,1,2,90,-1.6273
1969,5,1,3,97,-0.3125
1969,5,1,4,73,-0.7626
1969,5,1,5,144,0.6449
1969,5,2,1,89,0.9365
1969,5,2,2,57,-2.0207
1969,5,2,3,50,0.2335
1969,5,2,4,61,0.6178
1969,5,2,5,69,1.6193
1969,5,3,1,127,-0.6572
1969,5,3,2,112,-0.9182
1969,5,3,3,113,0.9796
1969,5,3,4,102,1.3024
1969,5,3,5,70,2.3627
1969,6,1,1,182,-14.6640
1969,6,1,2,90,-14.6537
1969,6,1,3,97,-12.7053
1969,6,1,4,73,-10.7598
1969,6,1,5,144,-11.3630
1969,6,2,1,89,-12.1438
1969,6,2,2,58,-10.6844
1969,6,2,3,50,-12.0493
1969,6,2,4,61,-8.4676
1969,6,2,5,69,-9.4003
1969,6,3,1,127,-1.6489
1969,6,3,2,111,-7.6386
1969,6,3,3,113,-7.9131
1969,6,3,4,102,-6.3549
1969,6,3,5,71,-9.1128
1969,7,1,1,274,-12.6829
1969,7,1,2,113,-11.6300
1969,7,1,3,109,-10.6063
1969,7,1,4,89,-10.1731
1969,7,1,5,90,-8.5437
1969,7,2,1,103,-10.5913
1969,7,2,2,72,-9.2046
1969,7,2,3,65,-9.3961
1969,7,2,4,54,-6.6292
1969,7,2,5,64,-6.1526
1969,7,3,1,117,-3.9393
1969,7,3,2,108,-5.8142
1969,7,3,3,102,-6.8283
1969,7,3,4,114,-5.7911
1969,7,3,5,112,-7.4974
1969,8,1,1,274,4.2512
1969,8,1,2,113,5.1206
1969,8,1,3,109,5.3718
1969,8,1,4,89,4.1772
1969,8,1,5,90,2.8258
1969,8,2,1,103,8.3816
1969,8,2,2,72,5.9501
1969,8,2,3,65,5.6557
1969,8,2,4,54,4.0794
1969,8,2,5,64,3.1628
1969,8,3,1,117,7.7172
1969,8,3,2,108,5.6401
1969,8,3,3,102,4.4100
1969,8,3,4,114,2.4707
1969,8,3,5,112,3.1246
1969,9,1,1,274,-3.2204
1969,9,1,2,113,-3.0388
1969,9,1,3,109,-3.4099
1969,9,1,4,89,-3.9512
1969,9,1,5,90,-2.0365
1969,9,2,1,102,1.4805
1969,9,2,2,71,-2.3167
1969,9,2,3,65,-1.0164
1969,9,2,4,54,-1.0279
1969,9,2,5,63,-1.0319
1969,9,3,1,116,0.2352
1969,9,3,2,108,-1.6388
1969,9,3,3,102,-4.3909
1969,9,3,4,114,-3.8573
1969,9,3,5,112,-4.3162
1969,10,1,1,274,13.1666
1969,10,1,2,113,10.7606
1969,10,1,3,109,7.9763
1969,10,1,4,88,7.5116
1969,10,1,5,90,5.9076
1969,10,2,1,102,10.9536
1969,10,2,2,71,6.5954
1969,10,2,3,65,7.9802
1969,10,2,4,54,7.0027
1969,10,2,5,63,5.6649
1969,10,3,1,116,6.2666
1969,10,3,2,108,5.5257
1969,10,3,3,102,6.8279
1969,10,3,4,114,3.8335
1969,10,3,5,112,3.1952
1969,11,1,1,274,-7.4761
1969,11,1,2,113,-6.7555
1969,11,1,3,109,-7.0949
1969,11,1,4,88,-5.2173
1969,11,1,5,90,-4.9573
1969,11,2,1,101,-4.5869
1969,11,2,2,71,-5.0396
1969,11,2,3,65,-5.5580
1969,11,2,4,54,-2.7473
1969,11,2,5,64,-4.0821
1969,11,3,1,117,-1.2022
1969,11,3,2,108,-3.3199
1969,11,3,3,102,-3.7913
1969,11,3,4,114,-1.9775
1969,11,3,5,112,-4.7698
1969,12,1,1,274,-8.7380
1969,12,1,2,113,-6.5067
1969,12,1,3,109,-8.7524
1969,12,1,4,89,-5.3018
1969,12,1,5,90,-5.1856
1969,12,2,1,101,-4.3746
1969,12,2,2,71,-4.7632
1969,12,2,3,65,-3.3315
1969,12,2,4,54,-5.1021
1969,12,2,5,64,-4.6484
1969,12,3,1,117,1.2585
1969,12,3,2,108,-1.4205
1969,12,3,3,102,-2.5592
1969,12,3,4,114,-3.4380
1969,12,3,5,112,-2.4110
1970,1,1,1,274,-4.0523
1970,1,1,2,113,-5.0925
1970,1,1,3,109,-3.5203
1970,1,1,4,89,-2.6581
1970,1,1,5,90,-2.6806
1970,1,2,1,100,-6.9877
1970,1,2,2,71,-6.4224
1970,1,2,3,65,-6.5228
1970,1,2,4,54,-5.1382
1970,1,2,5,64,-1.3913
1970,1,3,1,116,-8.3966
1970,1,3,2,108,-7.5631
1970,1,3,3,102,-7.1632
1970,1,3,4,114,-6.8504
1970,1,3,5,112,-8.4486
1970,2,1,1,274,3.7053
1970,2,1,2,112,3.6866
1970,2,1,3,109,1.5380
1970,2,1,4,89,3.7389
